Check failed for (fp32): alpha = -6.25177; diff1 = 5.960464e-08; diff2 = 1.999013; -995/1000
Check failed for (fp32): alpha = -6.163805; diff1 = 5.960464e-08; diff2 = 1.985765; -981/1000
Check failed for (fp32): alpha = -6.088407; diff1 = 5.960464e-08; diff2 = 1.962181; -969/1000
Check failed for (fp32): alpha = -5.987876; diff1 = 5.960464e-08; diff2 = 1.913424; -953/1000
Check failed for (fp32): alpha = -5.943893; diff1 = 5.960464e-08; diff2 = 1.885981; -946/1000
Check failed for (fp32): alpha = -5.874778; diff1 = 5.960464e-08; diff2 = 1.835509; -935/1000
Check failed for (fp32): alpha = -5.824513; diff1 = 5.960464e-08; diff2 = 1.793282; -927/1000
Check failed for (fp32): alpha = -5.755398; diff1 = 5.960464e-08; diff2 = 1.727847; -916/1000
Check failed for (fp32): alpha = -5.749115; diff1 = 5.960464e-08; diff2 = 1.721484; -915/1000
Check failed for (fp32): alpha = -5.736548; diff1 = 5.960464e-08; diff2 = 1.708555; -913/1000
Check failed for (fp32): alpha = -5.730265; diff1 = 5.960464e-08; diff2 = 1.701989; -912/1000
Check failed for (fp32): alpha = -5.723982; diff1 = 5.960464e-08; diff2 = 1.695356; -911/1000
Check failed for (fp32): alpha = -5.654867; diff1 = 5.960464e-08; diff2 = 1.618034; -900/1000
Check failed for (fp32): alpha = -5.636017; diff1 = 5.960464e-08; diff2 = 1.595589; -897/1000
Check failed for (fp32): alpha = -5.623451; diff1 = 5.960464e-08; diff2 = 1.58031; -895/1000
Check failed for (fp32): alpha = -5.610885; diff1 = 5.960464e-08; diff2 = 1.564782; -893/1000
Check failed for (fp32): alpha = -5.585752; diff1 = 5.960464e-08; diff2 = 1.532986; -889/1000
Check failed for (fp32): alpha = -5.573185; diff1 = 5.960464e-08; diff2 = 1.516724; -887/1000
Check failed for (fp32): alpha = -5.566902; diff1 = 5.960464e-08; diff2 = 1.508503; -886/1000
Check failed for (fp32): alpha = -5.560619; diff1 = 5.960464e-08; diff2 = 1.500222; -885/1000
Check failed for (fp32): alpha = -5.554336; diff1 = 5.960464e-08; diff2 = 1.491883; -884/1000
Check failed for (fp32): alpha = -5.529203; diff1 = 5.960464e-08; diff2 = 1.457938; -880/1000
Check failed for (fp32): alpha = -5.516637; diff1 = 5.960464e-08; diff2 = 1.440618; -878/1000
Check failed for (fp32): alpha = -5.478938; diff1 = 5.960464e-08; diff2 = 1.387307; -872/1000
Check failed for (fp32): alpha = -5.453805; diff1 = 5.960464e-08; diff2 = 1.350666; -868/1000
Check failed for (fp32): alpha = -5.441238; diff1 = 5.960464e-08; diff2 = 1.332024; -866/1000
Check failed for (fp32): alpha = -5.416106; diff1 = 5.960464e-08; diff2 = 1.294112; -862/1000
Check failed for (fp32): alpha = -5.409823; diff1 = 5.960464e-08; diff2 = 1.284506; -861/1000
Check failed for (fp32): alpha = -5.40354; diff1 = 5.960464e-08; diff2 = 1.274848; -860/1000
