Check failed for (fp128): x = -6.276902121872406890448361479792446694e+00; diff = 1.534725424433578570403982422997363957e-33; -999/1000
Check failed for (fp128): x = -5.811946409141117491155890259067080329e+00; diff = 6.740754805355325485695922799047245615e-34; -925/1000
Check failed for (fp128): x = -5.805663223833937904678964972300520658e+00; diff = 7.703719777548943412223911770339709274e-34; -924/1000
Check failed for (fp128): x = -5.799380038526758318202039685533961757e+00; diff = 1.444447458290426889791983456938695489e-33; -923/1000
Check failed for (fp128): x = -5.793096853219578731725114398767402857e+00; diff = 8.666684749742561338751900741632172933e-34; -922/1000
Check failed for (fp128): x = -5.786813667912399145248189112000843956e+00; diff = 6.740754805355325485695922799047245615e-34; -921/1000
Check failed for (fp128): x = -5.780530482605219558771263825234285055e+00; diff = 5.777789833161707559167933827754781956e-34; -920/1000
Check failed for (fp128): x = -5.774247297298039972294338538467726154e+00; diff = 1.155557966632341511833586765550956391e-33; -919/1000
Check failed for (fp128): x = -5.761680926683680799340487964934608352e+00; diff = 2.888894916580853779583966913877390978e-34; -917/1000
Check failed for (fp128): x = -5.755397741376501212863562678168049452e+00; diff = 5.296307347064898595903939342108550126e-34; -916/1000
Check failed for (fp128): x = -5.749114556069321626386637391401490551e+00; diff = 1.348150961071065097139184559809449123e-33; -915/1000
Check failed for (fp128): x = -5.742831370762142039909712104634930880e+00; diff = 2.888894916580853779583966913877390978e-34; -914/1000
Check failed for (fp128): x = -5.736548185454962453432786817868371979e+00; diff = 2.407412430484044816319972428231159148e-33; -913/1000
Check failed for (fp128): x = -5.730265000147782866955861531101813078e+00; diff = 4.814824860968089632639944856462318296e-34; -912/1000
Check failed for (fp128): x = -5.723981814840603280478936244335254177e+00; diff = 1.637040452729150475097581251197188221e-33; -911/1000
Check failed for (fp128): x = -5.717698629533423694002010957568695276e+00; diff = 9.629649721936179265279889712924636593e-34; -910/1000
Check failed for (fp128): x = -5.711415444226244107525085670802136375e+00; diff = 9.629649721936179265279889712924636593e-34; -909/1000
Check failed for (fp128): x = -5.705132258919064521048160384035576704e+00; diff = 3.851859888774471706111955885169854637e-34; -908/1000
Check failed for (fp128): x = -5.692565888304705348094309810502458903e+00; diff = 8.185202263645752375487906255985941104e-34; -906/1000
Check failed for (fp128): x = -5.686282702997525761617384523735900002e+00; diff = 1.227780339546862856323185938397891166e-33; -905/1000
Check failed for (fp128): x = -5.679999517690346175140459236969341101e+00; diff = 1.685188701338831371423980699761811404e-33; -904/1000
Check failed for (fp128): x = -5.673716332383166588663533950202782200e+00; diff = 5.898160454685909799983932449166339913e-34; -903/1000
Check failed for (fp128): x = -5.661149961768807415709683376669664399e+00; diff = 9.449093789649875904055891780807299657e-34; -901/1000
Check failed for (fp128): x = -5.654866776461627829232758089903105498e+00; diff = 6.639845465792865975602494945947938231e-34; -900/1000
Check failed for (fp128): x = -5.648583591154448242755832803136546597e+00; diff = 1.197687684165812296119186283045001676e-33; -899/1000
Check failed for (fp128): x = -5.642300405847268656278907516369986926e+00; diff = 1.745374012100932491831980010467590382e-33; -898/1000
Check failed for (fp128): x = -5.636017220540089069801982229603428025e+00; diff = 3.731489267250269465295957263758296680e-34; -897/1000
Check failed for (fp128): x = -5.629734035232909483325056942836869124e+00; diff = 1.300002712461384200812785111244825940e-33; -896/1000
Check failed for (fp128): x = -5.623450849925729896848131656070310223e+00; diff = 4.092601131822876187743953127992970552e-34; -895/1000
Check failed for (fp128): x = -5.617167664618550310371206369303751322e+00; diff = 2.696301922142130194278369119618898246e-33; -894/1000
Check failed for (fp128): x = -5.610884479311370723894281082537191651e+00; diff = 7.944461020597347893855909013162825189e-34; -893/1000
Check failed for (fp128): x = -5.604601294004191137417355795770632750e+00; diff = 1.227780339546862856323185938397891166e-33; -892/1000
Check failed for (fp128): x = -5.598318108697011550940430509004073850e+00; diff = 1.396299209680745993465584008374072306e-33; -891/1000
Check failed for (fp128): x = -5.592034923389831964463505222237514949e+00; diff = 6.259272319258516522431928313401013785e-34; -890/1000
Check failed for (fp128): x = -5.585751738082652377986579935470956048e+00; diff = 3.851859888774471706111955885169854637e-34; -889/1000
Check failed for (fp128): x = -5.573185367468293205032729361937837476e+00; diff = 8.185202263645752375487906255985941104e-34; -887/1000
Check failed for (fp128): x = -5.566902182161113618555804075171278575e+00; diff = 2.407412430484044816319972428231159148e-34; -886/1000
Check failed for (fp128): x = -5.560618996853934032078878788404719674e+00; diff = 1.540743955509788682444782354067941855e-33; -885/1000
Check failed for (fp128): x = -5.554335811546754445601953501638160773e+00; diff = 1.925929944387235853055977942584927319e-34; -884/1000
Check failed for (fp128): x = -5.548052626239574859125028214871601873e+00; diff = 1.348150961071065097139184559809449123e-33; -883/1000
Check failed for (fp128): x = -5.541769440932395272648102928105042972e+00; diff = 4.814824860968089632639944856462318296e-34; -882/1000
Check failed for (fp128): x = -5.535486255625215686171177641338484071e+00; diff = 9.629649721936179265279889712924636593e-34; -881/1000
Check failed for (fp128): x = -5.529203070318036099694252354571925170e+00; diff = 1.925929944387235853055977942584927319e-34; -880/1000
Check failed for (fp128): x = -5.522919885010856513217327067805366269e+00; diff = 1.733336949948512267750380148326434587e-33; -879/1000
Check failed for (fp128): x = -5.516636699703676926740401781038807368e+00; diff = 4.814824860968089632639944856462318296e-34; -878/1000
Check failed for (fp128): x = -5.497787143782138167309625920739129896e+00; diff = 3.851859888774471706111955885169854637e-34; -875/1000
Check failed for (fp128): x = -5.485220773167778994355775347206012094e+00; diff = 5.777789833161707559167933827754781956e-34; -873/1000
Check failed for (fp128): x = -5.478937587860599407878850060439452423e+00; diff = 9.629649721936179265279889712924636593e-34; -872/1000
Check failed for (fp128): x = -5.472654402553419821401924773672893522e+00; diff = 4.814824860968089632639944856462318296e-34; -871/1000
Check failed for (fp128): x = -5.466371217246240234924999486906334621e+00; diff = 1.155557966632341511833586765550956391e-33; -870/1000
Check failed for (fp128): x = -5.460088031939060648448074200139775720e+00; diff = 6.740754805355325485695922799047245615e-34; -869/1000
Check failed for (fp128): x = -5.453804846631881061971148913373216819e+00; diff = 7.703719777548943412223911770339709274e-34; -868/1000
Check failed for (fp128): x = -5.447521661324701475494223626606657919e+00; diff = 5.777789833161707559167933827754781956e-34; -867/1000
Check failed for (fp128): x = -5.441238476017521889017298339840099018e+00; diff = 8.666684749742561338751900741632172933e-34; -866/1000
Check failed for (fp128): x = -5.434955290710342302540373053073540117e+00; diff = 3.851859888774471706111955885169854637e-34; -865/1000
Check failed for (fp128): x = -5.428672105403162716063447766306981216e+00; diff = 1.059261469412979719180787868421710025e-33; -864/1000
Check failed for (fp128): x = -5.409822549481623956632671906007303743e+00; diff = 2.888894916580853779583966913877390978e-34; -861/1000
Check failed for (fp128): x = -5.403539364174444370155746619240744842e+00; diff = 3.851859888774471706111955885169854637e-34; -860/1000
Check failed for (fp128): x = -5.397256178867264783678821332474185942e+00; diff = 1.925929944387235853055977942584927319e-34; -859/1000
Check failed for (fp128): x = -5.390972993560085197201896045707627041e+00; diff = 3.851859888774471706111955885169854637e-34; -858/1000
Check failed for (fp128): x = -5.384689808252905610724970758941068140e+00; diff = 2.888894916580853779583966913877390978e-34; -857/1000
Check failed for (fp128): x = -5.378406622945726024248045472174508469e+00; diff = 3.851859888774471706111955885169854637e-34; -856/1000
Check failed for (fp128): x = -5.365840252331366851294194898641390667e+00; diff = 3.851859888774471706111955885169854637e-34; -854/1000
Check failed for (fp128): x = -5.359557067024187264817269611874831766e+00; diff = 2.888894916580853779583966913877390978e-34; -853/1000
Check failed for (fp128): x = -5.346990696409828091863419038341713194e+00; diff = 3.851859888774471706111955885169854637e-34; -851/1000
Check failed for (fp128): x = -5.340707511102648505386493751575154293e+00; diff = 3.851859888774471706111955885169854637e-34; -850/1000
Check failed for (fp128): x = -5.328141140488289332432643178042036492e+00; diff = 3.851859888774471706111955885169854637e-34; -848/1000
Check failed for (fp128): x = -5.321857955181109745955717891275477591e+00; diff = 4.814824860968089632639944856462318296e-34; -847/1000
Check failed for (fp128): x = -5.309291584566750573001867317742359789e+00; diff = 1.925929944387235853055977942584927319e-34; -845/1000
Check failed for (fp128): x = -5.303008399259570986524942030975800889e+00; diff = 1.925929944387235853055977942584927319e-34; -844/1000
Check failed for (fp128): x = -5.296725213952391400048016744209241988e+00; diff = 1.925929944387235853055977942584927319e-34; -843/1000
Check failed for (fp128): x = -5.290442028645211813571091457442683087e+00; diff = 2.888894916580853779583966913877390978e-34; -842/1000
Check failed for (fp128): x = -5.284158843338032227094166170676123416e+00; diff = 1.925929944387235853055977942584927319e-34; -841/1000
Check failed for (fp128): x = -5.277875658030852640617240883909564515e+00; diff = 7.703719777548943412223911770339709274e-34; -840/1000
Check failed for (fp128): x = -5.265309287416493467663390310376446713e+00; diff = 8.666684749742561338751900741632172933e-34; -838/1000
Check failed for (fp128): x = -5.252742916802134294709539736843328912e+00; diff = 1.059261469412979719180787868421710025e-33; -836/1000
Check failed for (fp128): x = -5.246459731494954708232614450076769240e+00; diff = 3.851859888774471706111955885169854637e-34; -835/1000
Check failed for (fp128): x = -5.233893360880595535278763876543651439e+00; diff = 2.888894916580853779583966913877390978e-34; -833/1000
Check failed for (fp128): x = -5.227610175573415948801838589777092538e+00; diff = 6.740754805355325485695922799047245615e-34; -832/1000
Check failed for (fp128): x = -5.221326990266236362324913303010533637e+00; diff = 3.851859888774471706111955885169854637e-34; -831/1000
Check failed for (fp128): x = -5.215043804959056775847988016243974736e+00; diff = 5.777789833161707559167933827754781956e-34; -830/1000
Check failed for (fp128): x = -5.208760619651877189371062729477415835e+00; diff = 2.888894916580853779583966913877390978e-34; -829/1000
Check failed for (fp128): x = -5.202477434344697602894137442710856935e+00; diff = 3.851859888774471706111955885169854637e-34; -828/1000
Check failed for (fp128): x = -5.196194249037518016417212155944298034e+00; diff = 2.888894916580853779583966913877390978e-34; -827/1000
Check failed for (fp128): x = -5.189911063730338429940286869177739133e+00; diff = 4.814824860968089632639944856462318296e-34; -826/1000
Check failed for (fp128): x = -5.183627878423158843463361582411179462e+00; diff = 1.155557966632341511833586765550956391e-33; -825/1000
Check failed for (fp128): x = -5.171061507808799670509511008878061660e+00; diff = 7.703719777548943412223911770339709274e-34; -823/1000
Check failed for (fp128): x = -5.158495137194440497555660435344943858e+00; diff = 1.251854463851703304486385662680202757e-33; -821/1000
Check failed for (fp128): x = -5.152211951887260911078735148578384187e+00; diff = 5.777789833161707559167933827754781956e-34; -820/1000
Check failed for (fp128): x = -5.145928766580081324601809861811825286e+00; diff = 5.777789833161707559167933827754781956e-34; -819/1000
Check failed for (fp128): x = -5.139645581272901738124884575045266386e+00; diff = 5.777789833161707559167933827754781956e-34; -818/1000
Check failed for (fp128): x = -5.133362395965722151647959288278707485e+00; diff = 5.777789833161707559167933827754781956e-34; -817/1000
Check failed for (fp128): x = -5.127079210658542565171034001512148584e+00; diff = 5.296307347064898595903939342108550126e-34; -816/1000
Check failed for (fp128): x = -5.120796025351362978694108714745588913e+00; diff = 1.925929944387235853055977942584927319e-34; -815/1000
Check failed for (fp128): x = -5.114512840044183392217183427979030012e+00; diff = 1.540743955509788682444782354067941855e-33; -814/1000
Check failed for (fp128): x = -5.101946469429824219263332854445912981e+00; diff = 4.814824860968089632639944856462318296e-34; -812/1000
Check failed for (fp128): x = -5.095663284122644632786407567679354080e+00; diff = 1.011113220803298822854388419857086842e-33; -811/1000
Check failed for (fp128): x = -5.089380098815465046309482280912795179e+00; diff = 6.259272319258516522431928313401013785e-34; -810/1000
Check failed for (fp128): x = -5.083096913508285459832556994146235508e+00; diff = 1.925929944387235853055977942584927319e-34; -809/1000
Check failed for (fp128): x = -5.076813728201105873355631707379676607e+00; diff = 1.637040452729150475097581251197188221e-33; -808/1000
Check failed for (fp128): x = -5.064247357586746700401781133846558805e+00; diff = 1.492595706900107786118382905503318672e-33; -806/1000
Check failed for (fp128): x = -5.051680986972387527447930560313440233e+00; diff = 5.296307347064898595903939342108550126e-34; -804/1000
Check failed for (fp128): x = -5.045397801665207940971005273546881333e+00; diff = 8.425943506694156857119903498809057019e-34; -803/1000
Check failed for (fp128): x = -5.039114616358028354494079986780322432e+00; diff = 7.222237291452134448959917284693477445e-34; -802/1000
Check failed for (fp128): x = -5.032831431050848768017154700013763531e+00; diff = 8.787055371266763579567899363043730891e-34; -801/1000
Check failed for (fp128): x = -5.026548245743669181540229413247204630e+00; diff = 8.863378048486260672893613163419609122e-34; -800/1000
Check failed for (fp128): x = -5.020265060436489595063304126480644959e+00; diff = 1.685188701338831371423980699761811404e-33; -799/1000
Check failed for (fp128): x = -5.007698689822130422109453552947527157e+00; diff = 1.552781017662208906526382216209097651e-33; -797/1000
Check failed for (fp128): x = -4.995132319207771249155602979414409356e+00; diff = 1.612966328424310026934381526914876629e-33; -795/1000
Check failed for (fp128): x = -4.982565948593412076201752405881291554e+00; diff = 1.420373333985586441628783732656383897e-33; -793/1000
Check failed for (fp128): x = -4.969999577979052903247901832348173752e+00; diff = 1.348150961071065097139184559809449123e-33; -791/1000
Check failed for (fp128): x = -4.957433207364693730294051258815055180e+00; diff = 6.259272319258516522431928313401013785e-34; -789/1000
Check failed for (fp128): x = -4.951150022057514143817125972048496279e+00; diff = 6.259272319258516522431928313401013785e-34; -788/1000
Check failed for (fp128): x = -4.944866836750334557340200685281937379e+00; diff = 8.185202263645752375487906255985941104e-34; -787/1000
Check failed for (fp128): x = -4.938583651443154970863275398515378478e+00; diff = 7.703719777548943412223911770339709274e-34; -786/1000
Check failed for (fp128): x = -4.932300466135975384386350111748819577e+00; diff = 5.777789833161707559167933827754781956e-34; -785/1000
Check failed for (fp128): x = -4.926017280828795797909424824982260676e+00; diff = 6.740754805355325485695922799047245615e-34; -784/1000
Check failed for (fp128): x = -4.913450910214436624955574251449142104e+00; diff = 1.251854463851703304486385662680202757e-33; -782/1000
Check failed for (fp128): x = -4.900884539600077452001723677916024302e+00; diff = 1.348150961071065097139184559809449123e-33; -780/1000
Check failed for (fp128): x = -4.888318168985718279047873104382906501e+00; diff = 1.155557966632341511833586765550956391e-33; -778/1000
Check failed for (fp128): x = -4.875751798371359106094022530849788699e+00; diff = 1.059261469412979719180787868421710025e-33; -776/1000
Check failed for (fp128): x = -4.863185427756999933140171957316670897e+00; diff = 1.251854463851703304486385662680202757e-33; -774/1000
Check failed for (fp128): x = -4.856902242449820346663246670550111226e+00; diff = 3.851859888774471706111955885169854637e-34; -773/1000
Check failed for (fp128): x = -4.850619057142640760186321383783552325e+00; diff = 5.777789833161707559167933827754781956e-34; -772/1000
Check failed for (fp128): x = -4.844335871835461173709396097016993425e+00; diff = 3.851859888774471706111955885169854637e-34; -771/1000
Check failed for (fp128): x = -4.838052686528281587232470810250434524e+00; diff = 3.851859888774471706111955885169854637e-34; -770/1000
Check failed for (fp128): x = -4.831769501221102000755545523483875623e+00; diff = 4.814824860968089632639944856462318296e-34; -769/1000
Check failed for (fp128): x = -4.819203130606742827801694949950757051e+00; diff = 7.703719777548943412223911770339709274e-34; -767/1000
Check failed for (fp128): x = -4.806636759992383654847844376417639249e+00; diff = 6.740754805355325485695922799047245615e-34; -765/1000
Check failed for (fp128): x = -4.794070389378024481893993802884520677e+00; diff = 2.888894916580853779583966913877390978e-34; -763/1000
Check failed for (fp128): x = -4.787787204070844895417068516117961776e+00; diff = 2.888894916580853779583966913877390978e-34; -762/1000
Check failed for (fp128): x = -4.781504018763665308940143229351402876e+00; diff = 1.925929944387235853055977942584927319e-34; -761/1000
Check failed for (fp128): x = -4.775220833456485722463217942584843975e+00; diff = 2.888894916580853779583966913877390978e-34; -760/1000
Check failed for (fp128): x = -4.768937648149306135986292655818285074e+00; diff = 1.925929944387235853055977942584927319e-34; -759/1000
Check failed for (fp128): x = -4.756371277534946963032442082285167272e+00; diff = 1.925929944387235853055977942584927319e-34; -757/1000
Check failed for (fp128): x = -4.724955350999049030647815648452371998e+00; diff = 1.925929944387235853055977942584927319e-34; -752/1000
Check failed for (fp128): x = -4.680973053848791925309338641086458922e+00; diff = 1.925929944387235853055977942584927319e-34; -745/1000
Check failed for (fp128): x = -4.674689868541612338832413354319900021e+00; diff = 1.925929944387235853055977942584927319e-34; -744/1000
Check failed for (fp128): x = -4.662123497927253165878562780786782219e+00; diff = 1.925929944387235853055977942584927319e-34; -742/1000
Check failed for (fp128): x = -4.655840312620073579401637494020223318e+00; diff = 2.888894916580853779583966913877390978e-34; -741/1000
Check failed for (fp128): x = -4.649557127312893992924712207253664418e+00; diff = 1.925929944387235853055977942584927319e-34; -740/1000
Check failed for (fp128): x = -4.643273942005714406447786920487105517e+00; diff = 2.888894916580853779583966913877390978e-34; -739/1000
Check failed for (fp128): x = -4.636990756698534819970861633720546616e+00; diff = 2.888894916580853779583966913877390978e-34; -738/1000
Check failed for (fp128): x = -4.630707571391355233493936346953987715e+00; diff = 2.888894916580853779583966913877390978e-34; -737/1000
Check failed for (fp128): x = -4.618141200776996060540085773420869143e+00; diff = 7.703719777548943412223911770339709274e-34; -735/1000
Check failed for (fp128): x = -4.605574830162636887586235199887751341e+00; diff = 7.703719777548943412223911770339709274e-34; -733/1000
Check failed for (fp128): x = -4.593008459548277714632384626354632769e+00; diff = 3.851859888774471706111955885169854637e-34; -731/1000
Check failed for (fp128): x = -4.586725274241098128155459339588073869e+00; diff = 3.851859888774471706111955885169854637e-34; -730/1000
Check failed for (fp128): x = -4.580442088933918541678534052821514968e+00; diff = 4.814824860968089632639944856462318296e-34; -729/1000
Check failed for (fp128): x = -4.574158903626738955201608766054956067e+00; diff = 3.851859888774471706111955885169854637e-34; -728/1000
Check failed for (fp128): x = -4.567875718319559368724683479288397166e+00; diff = 4.814824860968089632639944856462318296e-34; -727/1000
Check failed for (fp128): x = -4.561592533012379782247758192521837495e+00; diff = 1.155557966632341511833586765550956391e-33; -726/1000
Check failed for (fp128): x = -4.549026162398020609293907618988719693e+00; diff = 1.155557966632341511833586765550956391e-33; -724/1000
Check failed for (fp128): x = -4.536459791783661436340057045455601892e+00; diff = 1.155557966632341511833586765550956391e-33; -722/1000
Check failed for (fp128): x = -4.523893421169302263386206471922484090e+00; diff = 1.155557966632341511833586765550956391e-33; -720/1000
Check failed for (fp128): x = -4.511327050554943090432355898389366288e+00; diff = 1.251854463851703304486385662680202757e-33; -718/1000
Check failed for (fp128): x = -4.498760679940583917478505324856247716e+00; diff = 7.222237291452134448959917284693477445e-34; -716/1000
Check failed for (fp128): x = -4.492477494633404331001580038089688816e+00; diff = 6.740754805355325485695922799047245615e-34; -715/1000
Check failed for (fp128): x = -4.486194309326224744524654751323129915e+00; diff = 7.222237291452134448959917284693477445e-34; -714/1000
Check failed for (fp128): x = -4.479911124019045158047729464556571014e+00; diff = 7.703719777548943412223911770339709274e-34; -713/1000
Check failed for (fp128): x = -4.473627938711865571570804177790012113e+00; diff = 6.740754805355325485695922799047245615e-34; -712/1000
Check failed for (fp128): x = -4.467344753404685985093878891023453212e+00; diff = 8.185202263645752375487906255985941104e-34; -711/1000
Check failed for (fp128): x = -4.454778382790326812140028317490334640e+00; diff = 1.540743955509788682444782354067941855e-33; -709/1000
Check failed for (fp128): x = -4.442212012175967639186177743957216839e+00; diff = 1.588892204119469578771181802632565038e-33; -707/1000
Check failed for (fp128): x = -4.429645641561608466232327170424099037e+00; diff = 1.396299209680745993465584008374072306e-33; -705/1000
Check failed for (fp128): x = -4.417079270947249293278476596890981235e+00; diff = 1.564818079814629130607982078350253446e-33; -703/1000
Check failed for (fp128): x = -4.404512900332890120324626023357863434e+00; diff = 1.637040452729150475097581251197188221e-33; -701/1000
Check failed for (fp128): x = -4.398229715025710533847700736591303762e+00; diff = 8.374207491817622180561903751156607940e-34; -700/1000
Check failed for (fp128): x = -4.391946529718530947370775449824744862e+00; diff = 8.305572885169954616303904877397499061e-34; -699/1000
Check failed for (fp128): x = -4.385663344411351360893850163058185961e+00; diff = 6.740754805355325485695922799047245615e-34; -698/1000
Check failed for (fp128): x = -4.379380159104171774416924876291627060e+00; diff = 6.981496048403729967327920041870361530e-34; -697/1000
Check failed for (fp128): x = -4.373096973796992187939999589525068159e+00; diff = 8.666684749742561338751900741632172933e-34; -696/1000
Check failed for (fp128): x = -4.360530603182633014986149015991949587e+00; diff = 1.540743955509788682444782354067941855e-33; -694/1000
Check failed for (fp128): x = -4.347964232568273842032298442458831785e+00; diff = 1.348150961071065097139184559809449123e-33; -692/1000
Check failed for (fp128): x = -4.335397861953914669078447868925713213e+00; diff = 1.011113220803298822854388419857086842e-33; -690/1000
Check failed for (fp128): x = -4.329114676646735082601522582159154313e+00; diff = 1.011113220803298822854388419857086842e-33; -689/1000
Check failed for (fp128): x = -4.322831491339555496124597295392595412e+00; diff = 4.333342374871280669375950370816086467e-34; -688/1000
