Check failed for (fp32): x = -6.270619; diff = 5.960464e-08; -998/1000
Check failed for (fp32): x = -6.264336; diff = 5.960464e-08; -997/1000
Check failed for (fp32): x = -6.258053; diff = 5.960464e-08; -996/1000
Check failed for (fp32): x = -6.25177; diff = 5.960464e-08; -995/1000
Check failed for (fp32): x = -6.245486; diff = 5.960464e-08; -994/1000
Check failed for (fp32): x = -6.23292; diff = 5.960464e-08; -992/1000
Check failed for (fp32): x = -6.226637; diff = 5.960464e-08; -991/1000
Check failed for (fp32): x = -6.220354; diff = 5.960464e-08; -990/1000
Check failed for (fp32): x = -6.207787; diff = 5.960464e-08; -988/1000
Check failed for (fp32): x = -6.188938; diff = 5.960464e-08; -985/1000
Check failed for (fp32): x = -6.132389; diff = 5.960464e-08; -976/1000
Check failed for (fp32): x = -6.113539; diff = 5.960464e-08; -973/1000
Check failed for (fp32): x = -6.107256; diff = 5.960464e-08; -972/1000
Check failed for (fp32): x = -6.088407; diff = 5.960464e-08; -969/1000
Check failed for (fp32): x = -6.082123; diff = 5.960464e-08; -968/1000
Check failed for (fp32): x = -6.07584; diff = 5.960464e-08; -967/1000
Check failed for (fp32): x = -6.069557; diff = 5.960464e-08; -966/1000
Check failed for (fp32): x = -6.063274; diff = 5.960464e-08; -965/1000
Check failed for (fp32): x = -6.050708; diff = 5.960464e-08; -963/1000
Check failed for (fp32): x = -6.044425; diff = 1.192093e-07; -962/1000
Check failed for (fp32): x = -6.031858; diff = 5.960464e-08; -960/1000
Check failed for (fp32): x = -6.025575; diff = 5.960464e-08; -959/1000
Check failed for (fp32): x = -6.013009; diff = 5.960464e-08; -957/1000
Check failed for (fp32): x = -6.006725; diff = 5.960464e-08; -956/1000
Check failed for (fp32): x = -6.000442; diff = 5.960464e-08; -955/1000
Check failed for (fp32): x = -5.981593; diff = 5.960464e-08; -952/1000
Check failed for (fp32): x = -5.975309; diff = 5.960464e-08; -951/1000
Check failed for (fp32): x = -5.962743; diff = 5.960464e-08; -949/1000
Check failed for (fp32): x = -5.950177; diff = 5.960464e-08; -947/1000
Check failed for (fp32): x = -5.943893; diff = 5.960464e-08; -946/1000
