Check failed for (fp64): x = -5.07681372820111; diff = 2.22044604925031e-16; -808/1000
Check failed for (fp64): x = -5.03911461635803; diff = 2.22044604925031e-16; -802/1000
Check failed for (fp64): x = -5.03283143105085; diff = 4.44089209850063e-16; -801/1000
Check failed for (fp64): x = -5.02654824574367; diff = 2.22044604925031e-16; -800/1000
Check failed for (fp64): x = -4.98884913390059; diff = 2.22044604925031e-16; -794/1000
Check failed for (fp64): x = -4.97628276328623; diff = 2.22044604925031e-16; -792/1000
Check failed for (fp64): x = -4.96999957797905; diff = 2.22044604925031e-16; -791/1000
Check failed for (fp64): x = -4.95743320736469; diff = 2.22044604925031e-16; -789/1000
Check failed for (fp64): x = -4.91973409552162; diff = 2.22044604925031e-16; -783/1000
Check failed for (fp64): x = -4.91345091021444; diff = 2.22044604925031e-16; -782/1000
Check failed for (fp64): x = -4.90716772490726; diff = 2.22044604925031e-16; -781/1000
Check failed for (fp64): x = -4.90088453960008; diff = 2.22044604925031e-16; -780/1000
Check failed for (fp64): x = -4.88831816898572; diff = 2.22044604925031e-16; -778/1000
Check failed for (fp64): x = -4.88203498367854; diff = 2.22044604925031e-16; -777/1000
Check failed for (fp64): x = -4.87575179837136; diff = 2.22044604925031e-16; -776/1000
Check failed for (fp64): x = -4.86946861306418; diff = 2.22044604925031e-16; -775/1000
Check failed for (fp64): x = -4.84433587183546; diff = 2.22044604925031e-16; -771/1000
Check failed for (fp64): x = -4.8317695012211; diff = 2.22044604925031e-16; -769/1000
Check failed for (fp64): x = -4.81920313060674; diff = 2.22044604925031e-16; -767/1000
Check failed for (fp64): x = -4.79407038937802; diff = 2.22044604925031e-16; -763/1000
Check failed for (fp64): x = -4.78778720407084; diff = 2.22044604925031e-16; -762/1000
Check failed for (fp64): x = -4.78150401876367; diff = 2.22044604925031e-16; -761/1000
Check failed for (fp64): x = -4.76893764814931; diff = 2.22044604925031e-16; -759/1000
Check failed for (fp64): x = -4.75008809222777; diff = 2.22044604925031e-16; -756/1000
Check failed for (fp64): x = -4.73752172161341; diff = 2.22044604925031e-16; -754/1000
Check failed for (fp64): x = -4.70610579507751; diff = 1.11022302462516e-16; -749/1000
Check failed for (fp64): x = -4.69982260977033; diff = 1.11022302462516e-16; -748/1000
Check failed for (fp64): x = -4.68097305384879; diff = 1.11022302462516e-16; -745/1000
Check failed for (fp64): x = -4.67468986854161; diff = 1.11022302462516e-16; -744/1000
Check failed for (fp64): x = -4.64955712731289; diff = 1.11022302462516e-16; -740/1000
Check failed for (fp64): x = -4.618141200777; diff = 1.11022302462516e-16; -735/1000
Check failed for (fp64): x = -4.61185801546982; diff = 1.11022302462516e-16; -734/1000
Check failed for (fp64): x = -4.60557483016264; diff = 1.11022302462516e-16; -733/1000
Check failed for (fp64): x = -4.59300845954828; diff = 1.11022302462516e-16; -731/1000
Check failed for (fp64): x = -4.5867252742411; diff = 1.11022302462516e-16; -730/1000
Check failed for (fp64): x = -4.56787571831956; diff = 1.11022302462516e-16; -727/1000
Check failed for (fp64): x = -4.56159253301238; diff = 1.11022302462516e-16; -726/1000
Check failed for (fp64): x = -4.5553093477052; diff = 1.11022302462516e-16; -725/1000
Check failed for (fp64): x = -4.54902616239802; diff = 1.11022302462516e-16; -724/1000
Check failed for (fp64): x = -4.54274297709084; diff = 1.11022302462516e-16; -723/1000
Check failed for (fp64): x = -4.53017660647648; diff = 1.11022302462516e-16; -721/1000
Check failed for (fp64): x = -4.5238934211693; diff = 1.11022302462516e-16; -720/1000
Check failed for (fp64): x = -4.4924774946334; diff = 2.22044604925031e-16; -715/1000
Check failed for (fp64): x = -4.48619430932622; diff = 1.11022302462516e-16; -714/1000
Check failed for (fp64): x = -4.47991112401904; diff = 1.11022302462516e-16; -713/1000
Check failed for (fp64): x = -4.46106156809751; diff = 1.11022302462516e-16; -710/1000
Check failed for (fp64): x = -4.45477838279033; diff = 1.11022302462516e-16; -709/1000
Check failed for (fp64): x = -4.44849519748315; diff = 1.11022302462516e-16; -708/1000
Check failed for (fp64): x = -4.44221201217597; diff = 1.11022302462516e-16; -707/1000
Check failed for (fp64): x = -4.43592882686879; diff = 1.11022302462516e-16; -706/1000
Check failed for (fp64): x = -4.38566334441135; diff = 1.11022302462516e-16; -698/1000
Check failed for (fp64): x = -4.35424741787545; diff = 1.11022302462516e-16; -693/1000
Check failed for (fp64): x = -4.34168104726109; diff = 1.11022302462516e-16; -691/1000
Check failed for (fp64): x = -4.32911467664673; diff = 1.11022302462516e-16; -689/1000
Check failed for (fp64): x = -4.31654830603238; diff = 1.11022302462516e-16; -687/1000
Check failed for (fp64): x = -4.28513237949648; diff = 1.11022302462516e-16; -682/1000
Check failed for (fp64): x = -4.2788491941893; diff = 1.11022302462516e-16; -681/1000
Check failed for (fp64): x = -4.27256600888212; diff = 1.11022302462516e-16; -680/1000
Check failed for (fp64): x = -4.26628282357494; diff = 1.11022302462516e-16; -679/1000
Check failed for (fp64): x = -4.25999963826776; diff = 1.11022302462516e-16; -678/1000
Check failed for (fp64): x = -4.2474332676534; diff = 1.11022302462516e-16; -676/1000
Check failed for (fp64): x = -4.23486689703904; diff = 1.11022302462516e-16; -674/1000
Check failed for (fp64): x = -4.22858371173186; diff = 1.11022302462516e-16; -673/1000
Check failed for (fp64): x = -4.2160173411175; diff = 1.11022302462516e-16; -671/1000
Check failed for (fp64): x = -4.20973415581032; diff = 1.11022302462516e-16; -670/1000
Check failed for (fp64): x = -4.19716778519596; diff = 1.11022302462516e-16; -668/1000
Check failed for (fp64): x = -4.15946867335289; diff = 1.11022302462516e-16; -662/1000
Check failed for (fp64): x = -4.15318548804571; diff = 1.11022302462516e-16; -661/1000
Check failed for (fp64): x = -4.12805274681699; diff = 1.11022302462516e-16; -657/1000
Check failed for (fp64): x = -4.10920319089545; diff = 1.11022302462516e-16; -654/1000
Check failed for (fp64): x = -4.07778726435955; diff = 1.11022302462516e-16; -649/1000
Check failed for (fp64): x = -4.07150407905237; diff = 1.11022302462516e-16; -648/1000
Check failed for (fp64): x = -4.02752178190211; diff = 1.11022302462516e-16; -641/1000
Check failed for (fp64): x = -3.9709731141375; diff = 1.11022302462516e-16; -632/1000
Check failed for (fp64): x = -3.95840674352314; diff = 1.11022302462516e-16; -630/1000
Check failed for (fp64): x = -3.90185807575852; diff = 1.11022302462516e-16; -621/1000
Check failed for (fp64): x = -3.89557489045134; diff = 1.11022302462516e-16; -620/1000
Check failed for (fp64): x = -3.88929170514416; diff = 1.11022302462516e-16; -619/1000
Check failed for (fp64): x = -3.87044214922263; diff = 1.11022302462516e-16; -616/1000
Check failed for (fp64): x = -3.82017666676519; diff = 1.11022302462516e-16; -608/1000
Check failed for (fp64): x = -3.80761029615083; diff = 1.11022302462516e-16; -606/1000
Check failed for (fp64): x = -3.76991118430775; diff = 1.11022302462516e-16; -600/1000
Check failed for (fp64): x = -3.68194659000724; diff = 1.11022302462516e-16; -586/1000
Check failed for (fp64): x = -3.65681384877852; diff = 1.11022302462516e-16; -582/1000
Check failed for (fp64): x = -3.64424747816416; diff = 1.11022302462516e-16; -580/1000
Check failed for (fp64): x = -3.62539792224262; diff = 1.11022302462516e-16; -577/1000
Check failed for (fp64): x = -3.58769881039954; diff = 1.11022302462516e-16; -571/1000
Check failed for (fp64): x = -3.56256606917082; diff = 1.38777878078145e-16; -567/1000
Check failed for (fp64): x = -3.55628288386365; diff = 1.11022302462516e-16; -566/1000
Check failed for (fp64): x = -3.54999969855647; diff = 1.11022302462516e-16; -565/1000
Check failed for (fp64): x = -3.54371651324929; diff = 1.11022302462516e-16; -564/1000
Check failed for (fp64): x = -3.53743332794211; diff = 1.11022302462516e-16; -563/1000
Check failed for (fp64): x = -3.52486695732775; diff = 1.38777878078145e-16; -561/1000
Check failed for (fp64): x = -3.49345103079185; diff = 1.38777878078145e-16; -556/1000
Check failed for (fp64): x = -3.46831828956313; diff = 1.66533453693773e-16; -552/1000
Check failed for (fp64): x = -3.45575191894877; diff = 1.66533453693773e-16; -550/1000
Check failed for (fp64): x = -3.44318554833441; diff = 1.38777878078145e-16; -548/1000
Check failed for (fp64): x = -3.4180528071057; diff = 1.38777878078145e-16; -544/1000
Check failed for (fp64): x = -3.40548643649134; diff = 1.11022302462516e-16; -542/1000
Check failed for (fp64): x = -3.38035369526262; diff = 2.08166817117217e-16; -538/1000
Check failed for (fp64): x = -3.37407050995544; diff = 1.2490009027033e-16; -537/1000
Check failed for (fp64): x = -3.36150413934108; diff = 1.11022302462516e-16; -535/1000
