Check failed for (fp64): x = -5.59831810869701; diff = 2.22044604925031e-16; -891/1000
Check failed for (fp64): x = -5.59203492338983; diff = 2.22044604925031e-16; -890/1000
Check failed for (fp64): x = -5.54805262623958; diff = 2.22044604925031e-16; -883/1000
Check failed for (fp64): x = -5.52920307031804; diff = 2.22044604925031e-16; -880/1000
Check failed for (fp64): x = -5.48522077316778; diff = 1.11022302462516e-16; -873/1000
Check failed for (fp64): x = -5.4789375878606; diff = 1.11022302462516e-16; -872/1000
Check failed for (fp64): x = -5.47265440255342; diff = 1.11022302462516e-16; -871/1000
Check failed for (fp64): x = -5.46637121724624; diff = 1.11022302462516e-16; -870/1000
Check failed for (fp64): x = -5.45380484663188; diff = 1.11022302462516e-16; -868/1000
Check failed for (fp64): x = -5.4475216613247; diff = 1.11022302462516e-16; -867/1000
Check failed for (fp64): x = -5.43495529071034; diff = 2.22044604925031e-16; -865/1000
Check failed for (fp64): x = -5.42867210540316; diff = 1.11022302462516e-16; -864/1000
Check failed for (fp64): x = -5.42238892009598; diff = 1.11022302462516e-16; -863/1000
Check failed for (fp64): x = -5.40982254948162; diff = 1.11022302462516e-16; -861/1000
Check failed for (fp64): x = -5.40353936417444; diff = 1.11022302462516e-16; -860/1000
Check failed for (fp64): x = -5.39725617886726; diff = 1.11022302462516e-16; -859/1000
Check failed for (fp64): x = -5.39097299356008; diff = 1.11022302462516e-16; -858/1000
Check failed for (fp64): x = -5.37840662294573; diff = 1.11022302462516e-16; -856/1000
Check failed for (fp64): x = -5.36584025233137; diff = 2.22044604925031e-16; -854/1000
Check failed for (fp64): x = -5.35327388171701; diff = 1.11022302462516e-16; -852/1000
Check failed for (fp64): x = -5.34699069640983; diff = 1.11022302462516e-16; -851/1000
Check failed for (fp64): x = -5.34070751110265; diff = 1.11022302462516e-16; -850/1000
Check failed for (fp64): x = -5.29672521395239; diff = 1.11022302462516e-16; -843/1000
Check failed for (fp64): x = -5.29044202864521; diff = 1.11022302462516e-16; -842/1000
Check failed for (fp64): x = -5.26530928741649; diff = 1.11022302462516e-16; -838/1000
Check failed for (fp64): x = -5.25274291680213; diff = 1.11022302462516e-16; -836/1000
Check failed for (fp64): x = -5.24645973149495; diff = 1.11022302462516e-16; -835/1000
Check failed for (fp64): x = -5.18991106373034; diff = 1.11022302462516e-16; -826/1000
Check failed for (fp64): x = -5.11451284004418; diff = 1.11022302462516e-16; -814/1000
Check failed for (fp64): x = -5.05168098697239; diff = 1.11022302462516e-16; -804/1000
Check failed for (fp64): x = -4.2160173411175; diff = 1.11022302462516e-16; -671/1000
Check failed for (fp64): x = -4.1846014145816; diff = 1.11022302462516e-16; -666/1000
Check failed for (fp64): x = -4.17203504396725; diff = 1.11022302462516e-16; -664/1000
Check failed for (fp64): x = -4.15318548804571; diff = 1.11022302462516e-16; -661/1000
Check failed for (fp64): x = -4.12805274681699; diff = 1.11022302462516e-16; -657/1000
Check failed for (fp64): x = -4.05265452313083; diff = 1.11022302462516e-16; -645/1000
Check failed for (fp64): x = -4.04637133782365; diff = 1.11022302462516e-16; -644/1000
Check failed for (fp64): x = -4.04008815251647; diff = 1.11022302462516e-16; -643/1000
Check failed for (fp64): x = -4.00867222598058; diff = 1.11022302462516e-16; -638/1000
Check failed for (fp64): x = -3.98353948475186; diff = 1.11022302462516e-16; -634/1000
Check failed for (fp64): x = -3.9709731141375; diff = 1.11022302462516e-16; -632/1000
Check failed for (fp64): x = -3.96468992883032; diff = 1.11022302462516e-16; -631/1000
Check failed for (fp64): x = -3.95840674352314; diff = 2.22044604925031e-16; -630/1000
Check failed for (fp64): x = -3.95212355821596; diff = 2.22044604925031e-16; -629/1000
Check failed for (fp64): x = -3.94584037290878; diff = 1.11022302462516e-16; -628/1000
Check failed for (fp64): x = -3.88929170514416; diff = 2.22044604925031e-16; -619/1000
Check failed for (fp64): x = -3.85787577860827; diff = 2.22044604925031e-16; -614/1000
Check failed for (fp64): x = -3.85159259330109; diff = 2.22044604925031e-16; -613/1000
Check failed for (fp64): x = -3.76362799900057; diff = 2.22044604925031e-16; -599/1000
Check failed for (fp64): x = -3.74477844307903; diff = 2.22044604925031e-16; -596/1000
Check failed for (fp64): x = -3.73849525777185; diff = 2.22044604925031e-16; -595/1000
Check failed for (fp64): x = -3.73221207246467; diff = 2.22044604925031e-16; -594/1000
Check failed for (fp64): x = -3.71336251654314; diff = 2.22044604925031e-16; -591/1000
Check failed for (fp64): x = -3.70707933123596; diff = 2.22044604925031e-16; -590/1000
Check failed for (fp64): x = -3.6945129606216; diff = 2.22044604925031e-16; -588/1000
Check failed for (fp64): x = -3.68822977531442; diff = 2.22044604925031e-16; -587/1000
Check failed for (fp64): x = -3.67566340470006; diff = 2.22044604925031e-16; -585/1000
Check failed for (fp64): x = -3.66938021939288; diff = 4.44089209850063e-16; -584/1000
Check failed for (fp64): x = -3.65681384877852; diff = 4.44089209850063e-16; -582/1000
Check failed for (fp64): x = -3.64424747816416; diff = 2.22044604925031e-16; -580/1000
Check failed for (fp64): x = -3.63796429285698; diff = 2.22044604925031e-16; -579/1000
Check failed for (fp64): x = -3.6316811075498; diff = 2.22044604925031e-16; -578/1000
Check failed for (fp64): x = -3.62539792224262; diff = 2.22044604925031e-16; -577/1000
Check failed for (fp64): x = -3.61911473693544; diff = 2.22044604925031e-16; -576/1000
Check failed for (fp64): x = -3.60654836632108; diff = 4.44089209850063e-16; -574/1000
Check failed for (fp64): x = -3.6002651810139; diff = 4.44089209850063e-16; -573/1000
Check failed for (fp64): x = -3.58141562509236; diff = 4.44089209850063e-16; -570/1000
Check failed for (fp64): x = -3.54999969855647; diff = 4.44089209850063e-16; -565/1000
Check failed for (fp64): x = -3.53115014263493; diff = 4.44089209850063e-16; -562/1000
Check failed for (fp64): x = -3.52486695732775; diff = 4.44089209850063e-16; -561/1000
Check failed for (fp64): x = -3.51230058671339; diff = 4.44089209850063e-16; -559/1000
Check failed for (fp64): x = -3.49973421609903; diff = 4.44089209850063e-16; -557/1000
Check failed for (fp64): x = -3.49345103079185; diff = 4.44089209850063e-16; -556/1000
Check failed for (fp64): x = -3.48716784548467; diff = 8.88178419700125e-16; -555/1000
Check failed for (fp64): x = -3.47460147487031; diff = 8.88178419700125e-16; -553/1000
Check failed for (fp64): x = -3.46831828956313; diff = 4.44089209850063e-16; -552/1000
Check failed for (fp64): x = -3.46203510425595; diff = 8.88178419700125e-16; -551/1000
Check failed for (fp64): x = -3.45575191894877; diff = 8.88178419700125e-16; -550/1000
Check failed for (fp64): x = -3.44946873364159; diff = 1.33226762955019e-15; -549/1000
Check failed for (fp64): x = -3.44318554833441; diff = 4.44089209850063e-16; -548/1000
Check failed for (fp64): x = -3.43690236302723; diff = 4.44089209850063e-16; -547/1000
Check failed for (fp64): x = -3.43061917772005; diff = 8.88178419700125e-16; -546/1000
Check failed for (fp64): x = -3.42433599241287; diff = 8.88178419700125e-16; -545/1000
Check failed for (fp64): x = -3.4180528071057; diff = 4.44089209850063e-16; -544/1000
Check failed for (fp64): x = -3.40548643649134; diff = 1.33226762955019e-15; -542/1000
Check failed for (fp64): x = -3.39920325118416; diff = 1.33226762955019e-15; -541/1000
Check failed for (fp64): x = -3.39292006587698; diff = 4.44089209850063e-16; -540/1000
Check failed for (fp64): x = -3.3866368805698; diff = 1.77635683940025e-15; -539/1000
Check failed for (fp64): x = -3.38035369526262; diff = 1.77635683940025e-15; -538/1000
Check failed for (fp64): x = -3.37407050995544; diff = 2.66453525910038e-15; -537/1000
Check failed for (fp64): x = -3.36778732464826; diff = 1.77635683940025e-15; -536/1000
Check failed for (fp64): x = -3.3552209540339; diff = 8.88178419700125e-16; -534/1000
Check failed for (fp64): x = -3.34893776872672; diff = 2.66453525910038e-15; -533/1000
Check failed for (fp64): x = -3.34265458341954; diff = 1.77635683940025e-15; -532/1000
Check failed for (fp64): x = -3.33637139811236; diff = 1.77635683940025e-15; -531/1000
Check failed for (fp64): x = -3.33008821280518; diff = 2.66453525910038e-15; -530/1000
Check failed for (fp64): x = -3.323805027498; diff = 2.66453525910038e-15; -529/1000
Check failed for (fp64): x = -3.31752184219082; diff = 8.88178419700125e-16; -528/1000
Check failed for (fp64): x = -3.31123865688364; diff = 4.44089209850063e-15; -527/1000
Check failed for (fp64): x = -3.30495547157646; diff = 8.88178419700125e-16; -526/1000
Check failed for (fp64): x = -3.29867228626928; diff = 8.88178419700125e-16; -525/1000
Check failed for (fp64): x = -3.28610591565492; diff = 6.21724893790088e-15; -523/1000
Check failed for (fp64): x = -3.27982273034774; diff = 2.66453525910038e-15; -522/1000
Check failed for (fp64): x = -3.27353954504056; diff = 1.06581410364015e-14; -521/1000
Check failed for (fp64): x = -3.26725635973339; diff = 4.44089209850063e-15; -520/1000
Check failed for (fp64): x = -3.26097317442621; diff = 1.06581410364015e-14; -519/1000
Check failed for (fp64): x = -3.25468998911903; diff = 1.59872115546023e-14; -518/1000
Check failed for (fp64): x = -3.24840680381185; diff = 1.06581410364015e-14; -517/1000
Check failed for (fp64): x = -3.24212361850467; diff = 2.1316282072803e-14; -516/1000
Check failed for (fp64): x = -3.23584043319749; diff = 2.48689957516035e-14; -515/1000
Check failed for (fp64): x = -3.22955724789031; diff = 2.48689957516035e-14; -514/1000
Check failed for (fp64): x = -3.22327406258313; diff = 7.105427357601e-15; -513/1000
Check failed for (fp64): x = -3.21699087727595; diff = 4.08562073062058e-14; -512/1000
Check failed for (fp64): x = -3.21070769196877; diff = 3.90798504668055e-14; -511/1000
Check failed for (fp64): x = -3.20442450666159; diff = 7.105427357601e-14; -510/1000
Check failed for (fp64): x = -3.19814132135441; diff = 9.2370555648813e-14; -509/1000
Check failed for (fp64): x = -3.19185813604723; diff = 4.61852778244065e-14; -508/1000
Check failed for (fp64): x = -3.18557495074005; diff = 3.19744231092045e-14; -507/1000
Check failed for (fp64): x = -3.17929176543287; diff = 3.33955085807247e-13; -506/1000
Check failed for (fp64): x = -3.17300858012569; diff = 6.57252030578093e-13; -505/1000
Check failed for (fp64): x = -3.16672539481851; diff = 6.67910171614494e-13; -504/1000
Check failed for (fp64): x = -3.16044220951133; diff = 2.98427949019242e-12; -503/1000
Check failed for (fp64): x = -3.15415902420415; diff = 1.1112888387288e-11; -502/1000
Check failed for (fp64): x = -3.14787583889697; diff = 2.07194261747645e-11; -501/1000
Check failed for (fp64): x = -3.14159265358979; diff = inf; -500/1000
Check failed for (fp64): x = -3.13530946828261; diff = 8.32756086310837e-12; -499/1000
Check failed for (fp64): x = -3.12902628297543; diff = 7.98650034994353e-12; -498/1000
Check failed for (fp64): x = -3.12274309766825; diff = 1.61293201017543e-12; -497/1000
Check failed for (fp64): x = -3.11645991236107; diff = 9.9475983006414e-14; -496/1000
Check failed for (fp64): x = -3.1101767270539; diff = 1.66977542903624e-13; -495/1000
Check failed for (fp64): x = -3.10389354174672; diff = 1.06581410364015e-14; -494/1000
Check failed for (fp64): x = -3.09761035643954; diff = 2.8421709430404e-13; -493/1000
Check failed for (fp64): x = -3.09132717113236; diff = 1.45661260830821e-13; -492/1000
Check failed for (fp64): x = -3.08504398582518; diff = 5.6843418860808e-14; -491/1000
Check failed for (fp64): x = -3.078760800518; diff = 2.8421709430404e-14; -490/1000
