Check failed for (fp128): x = -6.283185307179586476925286766559005595e+00; diff = inf; -1000/1000
Check failed for (fp128): x = -5.881061447520092942402068413499229779e+00; diff = 3.851859888774471706111955885169854637e-34; -936/1000
Check failed for (fp128): x = -5.868495076905733769448217839966111207e+00; diff = 3.851859888774471706111955885169854637e-34; -934/1000
Check failed for (fp128): x = -5.843362335677015423540516692899875604e+00; diff = 3.851859888774471706111955885169854637e-34; -930/1000
Check failed for (fp128): x = -5.830795965062656250586666119366757032e+00; diff = 3.851859888774471706111955885169854637e-34; -928/1000
Check failed for (fp128): x = -5.824512779755476664109740832600198131e+00; diff = 3.851859888774471706111955885169854637e-34; -927/1000
Check failed for (fp128): x = -5.793096853219578731725114398767402857e+00; diff = 1.925929944387235853055977942584927319e-34; -922/1000
Check failed for (fp128): x = -5.786813667912399145248189112000843956e+00; diff = 3.851859888774471706111955885169854637e-34; -921/1000
Check failed for (fp128): x = -5.774247297298039972294338538467726154e+00; diff = 3.851859888774471706111955885169854637e-34; -919/1000
Check failed for (fp128): x = -5.767964111990860385817413251701167253e+00; diff = 1.925929944387235853055977942584927319e-34; -918/1000
Check failed for (fp128): x = -5.761680926683680799340487964934608352e+00; diff = 1.925929944387235853055977942584927319e-34; -917/1000
Check failed for (fp128): x = -5.755397741376501212863562678168049452e+00; diff = 1.925929944387235853055977942584927319e-34; -916/1000
Check failed for (fp128): x = -5.742831370762142039909712104634930880e+00; diff = 1.925929944387235853055977942584927319e-34; -914/1000
Check failed for (fp128): x = -5.730265000147782866955861531101813078e+00; diff = 1.925929944387235853055977942584927319e-34; -912/1000
Check failed for (fp128): x = -5.723981814840603280478936244335254177e+00; diff = 1.925929944387235853055977942584927319e-34; -911/1000
Check failed for (fp128): x = -5.711415444226244107525085670802136375e+00; diff = 1.925929944387235853055977942584927319e-34; -909/1000
Check failed for (fp128): x = -5.692565888304705348094309810502458903e+00; diff = 1.925929944387235853055977942584927319e-34; -906/1000
Check failed for (fp128): x = -5.654866776461627829232758089903105498e+00; diff = 1.925929944387235853055977942584927319e-34; -900/1000
Check failed for (fp128): x = -5.648583591154448242755832803136546597e+00; diff = 1.925929944387235853055977942584927319e-34; -899/1000
Check failed for (fp128): x = -5.636017220540089069801982229603428025e+00; diff = 1.925929944387235853055977942584927319e-34; -897/1000
Check failed for (fp128): x = -5.623450849925729896848131656070310223e+00; diff = 1.925929944387235853055977942584927319e-34; -895/1000
Check failed for (fp128): x = -5.610884479311370723894281082537191651e+00; diff = 1.925929944387235853055977942584927319e-34; -893/1000
Check failed for (fp128): x = -5.604601294004191137417355795770632750e+00; diff = 1.925929944387235853055977942584927319e-34; -892/1000
Check failed for (fp128): x = -5.592034923389831964463505222237514949e+00; diff = 1.925929944387235853055977942584927319e-34; -890/1000
Check failed for (fp128): x = -5.585751738082652377986579935470956048e+00; diff = 1.925929944387235853055977942584927319e-34; -889/1000
Check failed for (fp128): x = -5.566902182161113618555804075171278575e+00; diff = 1.925929944387235853055977942584927319e-34; -886/1000
Check failed for (fp128): x = -5.548052626239574859125028214871601873e+00; diff = 1.925929944387235853055977942584927319e-34; -883/1000
Check failed for (fp128): x = -4.096636820281090382955286971796471901e+00; diff = 1.925929944387235853055977942584927319e-34; -652/1000
Check failed for (fp128): x = -3.933274002294421134555229515865937398e+00; diff = 1.925929944387235853055977942584927319e-34; -626/1000
Check failed for (fp128): x = -3.914424446372882375124453655566260695e+00; diff = 1.925929944387235853055977942584927319e-34; -623/1000
Check failed for (fp128): x = -3.883008519836984442739827221733465806e+00; diff = 1.925929944387235853055977942584927319e-34; -618/1000
Check failed for (fp128): x = -3.876725334529804856262901934966906135e+00; diff = 1.925929944387235853055977942584927319e-34; -617/1000
Check failed for (fp128): x = -3.857875778608266096832126074667229432e+00; diff = 1.925929944387235853055977942584927319e-34; -614/1000
Check failed for (fp128): x = -3.832743037379547750924424927600993444e+00; diff = 1.925929944387235853055977942584927319e-34; -610/1000
Check failed for (fp128): x = -3.826459852072368164447499640834434543e+00; diff = 1.925929944387235853055977942584927319e-34; -609/1000
Check failed for (fp128): x = -3.801327110843649818539798493768198169e+00; diff = 1.925929944387235853055977942584927319e-34; -605/1000
Check failed for (fp128): x = -3.795043925536470232062873207001639268e+00; diff = 1.925929944387235853055977942584927319e-34; -604/1000
Check failed for (fp128): x = -3.776194369614931472632097346701962181e+00; diff = 1.925929944387235853055977942584927319e-34; -601/1000
Check failed for (fp128): x = -3.763627999000572299678246773168844379e+00; diff = 1.925929944387235853055977942584927319e-34; -599/1000
Check failed for (fp128): x = -3.751061628386213126724396199635726577e+00; diff = 1.925929944387235853055977942584927319e-34; -597/1000
Check failed for (fp128): x = -3.744778443079033540247470912869166906e+00; diff = 1.925929944387235853055977942584927319e-34; -596/1000
Check failed for (fp128): x = -3.719645701850315194339769765802931688e+00; diff = 1.925929944387235853055977942584927319e-34; -592/1000
Check failed for (fp128): x = -3.713362516543135607862844479036372017e+00; diff = 1.925929944387235853055977942584927319e-34; -591/1000
Check failed for (fp128): x = -3.707079331235956021385919192269813116e+00; diff = 1.925929944387235853055977942584927319e-34; -590/1000
Check failed for (fp128): x = -3.700796145928776434908993905503254215e+00; diff = 1.925929944387235853055977942584927319e-34; -589/1000
Check failed for (fp128): x = -3.688229775314417261955143331970136414e+00; diff = 1.925929944387235853055977942584927319e-34; -587/1000
Check failed for (fp128): x = -3.681946590007237675478218045203577513e+00; diff = 1.925929944387235853055977942584927319e-34; -586/1000
Check failed for (fp128): x = -3.663097034085698916047442184903900425e+00; diff = 1.925929944387235853055977942584927319e-34; -583/1000
Check failed for (fp128): x = -3.650530663471339743093591611370782624e+00; diff = 3.851859888774471706111955885169854637e-34; -581/1000
Check failed for (fp128): x = -3.644247478164160156616666324604222952e+00; diff = 1.925929944387235853055977942584927319e-34; -580/1000
Check failed for (fp128): x = -3.631681107549800983662815751071105151e+00; diff = 1.925929944387235853055977942584927319e-34; -578/1000
Check failed for (fp128): x = -3.625397922242621397185890464304546250e+00; diff = 1.925929944387235853055977942584927319e-34; -577/1000
Check failed for (fp128): x = -3.619114736935441810708965177537987349e+00; diff = 1.925929944387235853055977942584927319e-34; -576/1000
Check failed for (fp128): x = -3.606548366321082637755114604004869162e+00; diff = 1.925929944387235853055977942584927319e-34; -574/1000
Check failed for (fp128): x = -3.581415625092364291847413456938632789e+00; diff = 3.851859888774471706111955885169854637e-34; -570/1000
Check failed for (fp128): x = -3.575132439785184705370488170172073888e+00; diff = 3.851859888774471706111955885169854637e-34; -569/1000
Check failed for (fp128): x = -3.568849254478005118893562883405514987e+00; diff = 3.851859888774471706111955885169854637e-34; -568/1000
Check failed for (fp128): x = -3.556282883863645945939712309872397185e+00; diff = 3.851859888774471706111955885169854637e-34; -566/1000
Check failed for (fp128): x = -3.531150142634927600032011162806161197e+00; diff = 3.851859888774471706111955885169854637e-34; -562/1000
Check failed for (fp128): x = -3.518583772020568427078160589273043395e+00; diff = 3.851859888774471706111955885169854637e-34; -560/1000
Check failed for (fp128): x = -3.493451030791850081170459442206807407e+00; diff = 3.851859888774471706111955885169854637e-34; -556/1000
Check failed for (fp128): x = -3.487167845484670494693534155440248506e+00; diff = 3.851859888774471706111955885169854637e-34; -555/1000
Check failed for (fp128): x = -3.474601474870311321739683581907129934e+00; diff = 3.851859888774471706111955885169854637e-34; -553/1000
Check failed for (fp128): x = -3.468318289563131735262758295140571033e+00; diff = 3.851859888774471706111955885169854637e-34; -552/1000
Check failed for (fp128): x = -3.462035104255952148785833008374012132e+00; diff = 7.703719777548943412223911770339709274e-34; -551/1000
Check failed for (fp128): x = -3.455751918948772562308907721607453231e+00; diff = 7.703719777548943412223911770339709274e-34; -550/1000
Check failed for (fp128): x = -3.449468733641592975831982434840893945e+00; diff = 7.703719777548943412223911770339709274e-34; -549/1000
Check failed for (fp128): x = -3.443185548334413389355057148074335044e+00; diff = 7.703719777548943412223911770339709274e-34; -548/1000
Check failed for (fp128): x = -3.436902363027233802878131861307776144e+00; diff = 7.703719777548943412223911770339709274e-34; -547/1000
Check failed for (fp128): x = -3.430619177720054216401206574541217243e+00; diff = 3.851859888774471706111955885169854637e-34; -546/1000
Check failed for (fp128): x = -3.424335992412874629924281287774658342e+00; diff = 3.851859888774471706111955885169854637e-34; -545/1000
Check failed for (fp128): x = -3.405486436491335870493505427474980869e+00; diff = 7.703719777548943412223911770339709274e-34; -542/1000
Check failed for (fp128): x = -3.399203251184156284016580140708421968e+00; diff = 3.851859888774471706111955885169854637e-34; -541/1000
Check failed for (fp128): x = -3.386636880569797111062729567175303781e+00; diff = 1.540743955509788682444782354067941855e-33; -539/1000
Check failed for (fp128): x = -3.380353695262617524585804280408744881e+00; diff = 7.703719777548943412223911770339709274e-34; -538/1000
Check failed for (fp128): x = -3.374070509955437938108878993642185980e+00; diff = 7.703719777548943412223911770339709274e-34; -537/1000
Check failed for (fp128): x = -3.361504139341078765155028420109068178e+00; diff = 2.311115933264683023667173531101912782e-33; -535/1000
Check failed for (fp128): x = -3.355220954033899178678103133342509277e+00; diff = 7.703719777548943412223911770339709274e-34; -534/1000
Check failed for (fp128): x = -3.342654583419540005724252559809390705e+00; diff = 1.540743955509788682444782354067941855e-33; -532/1000
Check failed for (fp128): x = -3.336371398112360419247327273042832190e+00; diff = 2.311115933264683023667173531101912782e-33; -531/1000
Check failed for (fp128): x = -3.330088212805180832770401986276273289e+00; diff = 1.540743955509788682444782354067941855e-33; -530/1000
Check failed for (fp128): x = -3.323805027498001246293476699509714388e+00; diff = 4.622231866529366047334347062203825564e-33; -529/1000
Check failed for (fp128): x = -3.317521842190821659816551412743154717e+00; diff = 7.703719777548943412223911770339709274e-34; -528/1000
Check failed for (fp128): x = -3.311238656883642073339626125976595816e+00; diff = 2.311115933264683023667173531101912782e-33; -527/1000
Check failed for (fp128): x = -3.304955471576462486862700839210036915e+00; diff = 1.540743955509788682444782354067941855e-33; -526/1000
Check failed for (fp128): x = -3.298672286269282900385775552443478014e+00; diff = 7.703719777548943412223911770339709274e-34; -525/1000
Check failed for (fp128): x = -3.286105915654923727431924978910359828e+00; diff = 3.851859888774471706111955885169854637e-33; -523/1000
Check failed for (fp128): x = -3.279822730347744140954999692143800927e+00; diff = 2.311115933264683023667173531101912782e-33; -522/1000
Check failed for (fp128): x = -3.273539545040564554478074405377242026e+00; diff = 4.622231866529366047334347062203825564e-33; -521/1000
Check failed for (fp128): x = -3.267256359733384968001149118610683125e+00; diff = 6.162975822039154729779129416271767419e-33; -520/1000
Check failed for (fp128): x = -3.260973174426205381524223831844124224e+00; diff = 1.078520768856852077711347647847559298e-32; -519/1000
Check failed for (fp128): x = -3.254689989119025795047298545077564553e+00; diff = 1.540743955509788682444782354067941855e-32; -518/1000
Check failed for (fp128): x = -3.248406803811846208570373258311005652e+00; diff = 1.540743955509788682444782354067941855e-32; -517/1000
Check failed for (fp128): x = -3.242123618504666622093447971544446751e+00; diff = 2.311115933264683023667173531101912782e-32; -516/1000
Check failed for (fp128): x = -3.223274062583127862662672111244769664e+00; diff = 3.697785493223492837867477649763060452e-32; -513/1000
Check failed for (fp128): x = -3.216990877275948276185746824478210763e+00; diff = 2.002967142162725287178217060288324411e-32; -512/1000
Check failed for (fp128): x = -3.210707691968768689708821537711651862e+00; diff = 1.540743955509788682444782354067941855e-33; -511/1000
Check failed for (fp128): x = -3.204424506661589103231896250945092961e+00; diff = 5.238529448733281520312260003831002306e-32; -510/1000
Check failed for (fp128): x = -3.198141321354409516754970964178534060e+00; diff = 3.081487911019577364889564708135883710e-33; -509/1000
Check failed for (fp128): x = -3.191858136047229930278045677411975160e+00; diff = 1.417484439069005587849199765742506506e-31; -508/1000
Check failed for (fp128): x = -3.185574950740050343801120390645415488e+00; diff = 6.471124613141112466268085887085355790e-32; -507/1000
Check failed for (fp128): x = -3.179291765432870757324195103878856588e+00; diff = 3.574525976782709743271895061437625103e-31; -506/1000
Check failed for (fp128): x = -3.173008580125691170847269817112297687e+00; diff = 5.361788965174064614907842592156437655e-31; -505/1000
Check failed for (fp128): x = -3.166725394818511584370344530345738786e+00; diff = 1.460625269823279670957653671656408878e-30; -504/1000
Check failed for (fp128): x = -3.160442209511331997893419243579179885e+00; diff = 5.916456789157588540587964239620896723e-31; -503/1000
Check failed for (fp128): x = -3.154159024204152411416493956812620599e+00; diff = 8.603514247566660002771664665115387317e-30; -502/1000
Check failed for (fp128): x = -3.147875838896972824939568670046061698e+00; diff = 2.960693584907609932185893771576957068e-29; -501/1000
Check failed for (fp128): x = -3.141592653589793238462643383279502797e+00; diff = inf; -500/1000
Check failed for (fp128): x = -3.135309468282613651985718096512943897e+00; diff = 3.840766532294801227598353452220565456e-29; -499/1000
Check failed for (fp128): x = -3.129026282975434065508792809746384611e+00; diff = 1.516092052221632063525665836402854785e-30; -498/1000
Check failed for (fp128): x = -3.122743097668254479031867522979825710e+00; diff = 3.821045009664275932463060238088495800e-31; -497/1000
Check failed for (fp128): x = -3.116459912361074892554942236213266809e+00; diff = 9.059574458397557452775320241919498106e-31; -496/1000
Check failed for (fp128): x = -3.110176727053895306078016949446707908e+00; diff = 6.748458525132874429108146710817585324e-31; -495/1000
Check failed for (fp128): x = -3.103893541746715719601091662680149007e+00; diff = 3.050673031909381591240669061054524873e-31; -494/1000
Check failed for (fp128): x = -3.097610356439536133124166375913589721e+00; diff = 7.703719777548943412223911770339709274e-32; -493/1000
Check failed for (fp128): x = -3.091327171132356546647241089147030821e+00; diff = 2.773339119917619628400608237322295339e-32; -492/1000
Check failed for (fp128): x = -3.085043985825176960170315802380471920e+00; diff = 1.294224922628222493253617177417071158e-31; -491/1000
Check failed for (fp128): x = -3.078760800517997373693390515613912634e+00; diff = 5.392603844284260388556738239237796492e-32; -490/1000
Check failed for (fp128): x = -3.072477615210817787216465228847353733e+00; diff = 7.087422195345027939245998828712532532e-32; -489/1000
Check failed for (fp128): x = -3.066194429903638200739539942080794447e+00; diff = 9.244463733058732094668694124407651129e-33; -488/1000
Check failed for (fp128): x = -3.059911244596458614262614655314235546e+00; diff = 4.160008679876429442600912355983443008e-32; -487/1000
Check failed for (fp128): x = -3.053628059289279027785689368547676645e+00; diff = 2.619264724366640760156130001915501153e-32; -486/1000
Check failed for (fp128): x = -3.047344873982099441308764081781117744e+00; diff = 2.002967142162725287178217060288324411e-32; -485/1000
Check failed for (fp128): x = -3.041061688674919854831838795014558844e+00; diff = 9.244463733058732094668694124407651129e-33; -484/1000
Check failed for (fp128): x = -3.034778503367740268354913508247999558e+00; diff = 6.162975822039154729779129416271767419e-33; -483/1000
Check failed for (fp128): x = -3.028495318060560681877988221481440657e+00; diff = 3.081487911019577364889564708135883710e-33; -482/1000
Check failed for (fp128): x = -3.022212132753381095401062934714881756e+00; diff = 9.244463733058732094668694124407651129e-33; -481/1000
Check failed for (fp128): x = -3.015928947446201508924137647948322470e+00; diff = 8.474091755303837753446302947373680202e-33; -480/1000
Check failed for (fp128): x = -3.009645762139021922447212361181763569e+00; diff = 6.933347799794049071001520593305738347e-33; -479/1000
Check failed for (fp128): x = -3.003362576831842335970287074415204668e+00; diff = 3.081487911019577364889564708135883710e-33; -478/1000
Check failed for (fp128): x = -2.997079391524662749493361787648645767e+00; diff = 3.851859888774471706111955885169854637e-33; -477/1000
Check failed for (fp128): x = -2.990796206217483163016436500882086867e+00; diff = 4.622231866529366047334347062203825564e-33; -476/1000
Check failed for (fp128): x = -2.965663464988764817108735353815850493e+00; diff = 1.540743955509788682444782354067941855e-33; -472/1000
Check failed for (fp128): x = -2.959380279681585230631810067049291592e+00; diff = 7.703719777548943412223911770339709274e-34; -471/1000
Check failed for (fp128): x = -2.953097094374405644154884780282732306e+00; diff = 7.703719777548943412223911770339709274e-34; -470/1000
Check failed for (fp128): x = -2.946813909067226057677959493516173405e+00; diff = 7.703719777548943412223911770339709274e-34; -469/1000
Check failed for (fp128): x = -2.940530723760046471201034206749614890e+00; diff = 2.311115933264683023667173531101912782e-33; -468/1000
Check failed for (fp128): x = -2.934247538452866884724108919983055604e+00; diff = 7.703719777548943412223911770339709274e-34; -467/1000
Check failed for (fp128): x = -2.927964353145687298247183633216496703e+00; diff = 7.703719777548943412223911770339709274e-34; -466/1000
Check failed for (fp128): x = -2.921681167838507711770258346449937802e+00; diff = 1.540743955509788682444782354067941855e-33; -465/1000
Check failed for (fp128): x = -2.915397982531328125293333059683378516e+00; diff = 2.311115933264683023667173531101912782e-33; -464/1000
Check failed for (fp128): x = -2.909114797224148538816407772916819615e+00; diff = 1.540743955509788682444782354067941855e-33; -463/1000
Check failed for (fp128): x = -2.902831611916968952339482486150260329e+00; diff = 7.703719777548943412223911770339709274e-34; -462/1000
Check failed for (fp128): x = -2.890265241302609779385631912617142527e+00; diff = 7.703719777548943412223911770339709274e-34; -460/1000
Check failed for (fp128): x = -2.883982055995430192908706625850583627e+00; diff = 3.851859888774471706111955885169854637e-34; -459/1000
