Check failed for (fp80): x = -6.28318530717958647703; diff = inf; -1000/1000
Check failed for (fp80): x = -6.27690212187240689041; diff = 4.36456426555764664954e-14; -999/1000
Check failed for (fp80): x = -6.27061893656522730423; diff = 4.62130334000221409951e-15; -998/1000
Check failed for (fp80): x = -6.26433575125804771762; diff = 1.89778748271862696129e-15; -997/1000
Check failed for (fp80): x = -6.25805256595086813144; diff = 5.96744875736021640478e-16; -996/1000
Check failed for (fp80): x = -6.25176938064368854482; diff = 2.44596010112729800312e-16; -995/1000
Check failed for (fp80): x = -6.24548619533650895821; diff = 2.44596010112729800312e-16; -994/1000
Check failed for (fp80): x = -6.2392030100293293716; diff = 1.23165366794353303703e-16; -993/1000
Check failed for (fp80): x = -6.23291982472214978498; diff = 7.63278329429795121541e-17; -992/1000
Check failed for (fp80): x = -6.22663663941497019837; diff = 4.68375338513737915491e-17; -991/1000
Check failed for (fp80): x = -6.22035345410779061219; diff = 2.34187669256868957746e-17; -990/1000
Check failed for (fp80): x = -6.21407026880061102558; diff = 1.90819582357448780385e-17; -989/1000
Check failed for (fp80): x = -6.2077870834934314394; diff = 2.60208521396521064162e-17; -988/1000
Check failed for (fp80): x = -6.20150389818625185278; diff = 1.12757025938492461137e-17; -987/1000
Check failed for (fp80): x = -6.19522071287907226617; diff = 2.60208521396521064162e-18; -986/1000
Check failed for (fp80): x = -6.18893752757189267999; diff = 1.38777878078144567553e-17; -985/1000
Check failed for (fp80): x = -6.18265434226471309338; diff = 5.20417042793042128324e-18; -984/1000
Check failed for (fp80): x = -6.1763711569575335072; diff = 1.73472347597680709441e-18; -983/1000
Check failed for (fp80): x = -6.17008797165035392058; diff = 6.07153216591882483044e-18; -982/1000
Check failed for (fp80): x = -6.16380478634317433397; diff = 2.60208521396521064162e-18; -981/1000
Check failed for (fp80): x = -6.15752160103599474779; diff = 8.67361737988403547206e-19; -980/1000
Check failed for (fp80): x = -6.15123841572881516118; diff = 3.46944695195361418882e-18; -979/1000
Check failed for (fp80): x = -6.14495523042163557456; diff = 8.67361737988403547206e-19; -978/1000
Check failed for (fp80): x = -6.13867204511445598795; diff = 5.20417042793042128324e-18; -977/1000
Check failed for (fp80): x = -6.13238885980727640133; diff = 1.30104260698260532081e-18; -976/1000
Check failed for (fp80): x = -6.12610567450009681515; diff = 8.67361737988403547206e-19; -975/1000
Check failed for (fp80): x = -6.11982248919291722854; diff = 4.33680868994201773603e-19; -974/1000
Check failed for (fp80): x = -6.11353930388573764193; diff = 2.16840434497100886801e-18; -973/1000
Check failed for (fp80): x = -6.10725611857855805575; diff = 2.16840434497100886801e-18; -972/1000
Check failed for (fp80): x = -6.10097293327137846913; diff = 8.67361737988403547206e-19; -971/1000
Check failed for (fp80): x = -6.09468974796419888295; diff = 1.73472347597680709441e-18; -970/1000
Check failed for (fp80): x = -6.08840656265701929634; diff = 2.16840434497100886801e-18; -969/1000
Check failed for (fp80): x = -6.08212337734983970973; diff = 8.67361737988403547206e-19; -968/1000
Check failed for (fp80): x = -6.07584019204266012355; diff = 8.67361737988403547206e-19; -967/1000
Check failed for (fp80): x = -6.06955700673548053693; diff = 8.67361737988403547206e-19; -966/1000
Check failed for (fp80): x = -6.06327382142830095032; diff = 1.30104260698260532081e-18; -965/1000
Check failed for (fp80): x = -6.05699063612112136371; diff = 8.67361737988403547206e-19; -964/1000
Check failed for (fp80): x = -6.05070745081394177709; diff = 8.67361737988403547206e-19; -963/1000
Check failed for (fp80): x = -6.04442426550676219091; diff = 4.33680868994201773603e-19; -962/1000
Check failed for (fp80): x = -6.03185789489240301768; diff = 6.50521303491302660404e-19; -960/1000
Check failed for (fp80): x = -6.0255747095852234315; diff = 6.50521303491302660404e-19; -959/1000
Check failed for (fp80): x = -6.01929152427804384489; diff = 4.33680868994201773603e-19; -958/1000
Check failed for (fp80): x = -6.01300833897086425871; diff = 2.16840434497100886801e-19; -957/1000
Check failed for (fp80): x = -6.0067251536636846721; diff = 2.16840434497100886801e-19; -956/1000
Check failed for (fp80): x = -6.00044196835650508548; diff = 4.33680868994201773603e-19; -955/1000
Check failed for (fp80): x = -5.9941587830493254993; diff = 2.16840434497100886801e-19; -954/1000
Check failed for (fp80): x = -5.98787559774214591269; diff = 2.16840434497100886801e-19; -953/1000
Check failed for (fp80): x = -5.98159241243496632608; diff = 2.16840434497100886801e-19; -952/1000
Check failed for (fp80): x = -5.9753092271277867399; diff = 2.16840434497100886801e-19; -951/1000
Check failed for (fp80): x = -5.96902604182060715328; diff = 4.33680868994201773603e-19; -950/1000
Check failed for (fp80): x = -5.96274285651342756667; diff = 2.16840434497100886801e-19; -949/1000
Check failed for (fp80): x = -5.95017648589906839344; diff = 2.16840434497100886801e-19; -947/1000
Check failed for (fp80): x = -5.93761011528470922065; diff = 2.16840434497100886801e-19; -945/1000
Check failed for (fp80): x = -5.93132692997752963447; diff = 2.16840434497100886801e-19; -944/1000
Check failed for (fp80): x = -5.91247737405599087506; diff = 2.16840434497100886801e-19; -941/1000
Check failed for (fp80): x = -5.90619418874881128845; diff = 2.16840434497100886801e-19; -940/1000
Check failed for (fp80): x = -5.89362781813445211565; diff = 2.16840434497100886801e-19; -938/1000
Check failed for (fp80): x = -5.87477826221291335625; diff = 2.16840434497100886801e-19; -935/1000
Check failed for (fp80): x = -5.85592870629137459641; diff = 2.16840434497100886801e-19; -932/1000
Check failed for (fp80): x = -5.837079150369835837; diff = 2.16840434497100886801e-19; -929/1000
Check failed for (fp80): x = -5.81822959444829707759; diff = 1.08420217248550443401e-19; -926/1000
Check failed for (fp80): x = -5.81194640914111749141; diff = 1.08420217248550443401e-19; -925/1000
Check failed for (fp80): x = -5.8056632238339379048; diff = 1.08420217248550443401e-19; -924/1000
Check failed for (fp80): x = -5.79938003852675831862; diff = 1.08420217248550443401e-19; -923/1000
Check failed for (fp80): x = -5.793096853219578732; diff = 1.08420217248550443401e-19; -922/1000
Check failed for (fp80): x = -5.78681366791239914539; diff = 1.08420217248550443401e-19; -921/1000
Check failed for (fp80): x = -5.77424729729803997216; diff = 1.08420217248550443401e-19; -919/1000
Check failed for (fp80): x = -5.76168092668368079937; diff = 1.08420217248550443401e-19; -917/1000
Check failed for (fp80): x = -5.75539774137650121276; diff = 1.08420217248550443401e-19; -916/1000
Check failed for (fp80): x = -5.74911455606932162658; diff = 1.08420217248550443401e-19; -915/1000
Check failed for (fp80): x = -5.74283137076214203996; diff = 2.16840434497100886801e-19; -914/1000
Check failed for (fp80): x = -5.73654818545496245335; diff = 1.08420217248550443401e-19; -913/1000
Check failed for (fp80): x = -5.73026500014778286717; diff = 1.08420217248550443401e-19; -912/1000
Check failed for (fp80): x = -5.72398181484060328056; diff = 1.08420217248550443401e-19; -911/1000
Check failed for (fp80): x = -5.71769862953342369438; diff = 1.08420217248550443401e-19; -910/1000
Check failed for (fp80): x = -5.71141544422624410776; diff = 1.08420217248550443401e-19; -909/1000
Check failed for (fp80): x = -5.70513225891906452115; diff = 1.08420217248550443401e-19; -908/1000
Check failed for (fp80): x = -5.69256588830470534835; diff = 1.08420217248550443401e-19; -906/1000
Check failed for (fp80): x = -5.68628270299752576174; diff = 1.08420217248550443401e-19; -905/1000
Check failed for (fp80): x = -5.67371633238316658851; diff = 1.08420217248550443401e-19; -903/1000
Check failed for (fp80): x = -5.66114996176880741572; diff = 1.08420217248550443401e-19; -901/1000
Check failed for (fp80): x = -5.65486677646162782911; diff = 1.08420217248550443401e-19; -900/1000
Check failed for (fp80): x = -5.62973403523290948352; diff = 1.08420217248550443401e-19; -896/1000
Check failed for (fp80): x = -5.58575173808265237809; diff = 1.08420217248550443401e-19; -889/1000
Check failed for (fp80): x = -5.54176944093239527266; diff = 1.08420217248550443401e-19; -882/1000
Check failed for (fp80): x = -5.52920307031803609987; diff = 1.08420217248550443401e-19; -880/1000
Check failed for (fp80): x = -5.49150395847495858062; diff = 5.42101086242752217004e-20; -874/1000
Check failed for (fp80): x = -5.48522077316777899444; diff = 1.08420217248550443401e-19; -873/1000
Check failed for (fp80): x = -5.46637121724624023503; diff = 5.42101086242752217004e-20; -870/1000
Check failed for (fp80): x = -5.42867210540316271622; diff = 5.42101086242752217004e-20; -864/1000
Check failed for (fp80): x = -5.41610573478880354299; diff = 5.42101086242752217004e-20; -862/1000
Check failed for (fp80): x = -5.40982254948162395638; diff = 5.42101086242752217004e-20; -861/1000
