Check failed for (fp32): alpha = -6.283185; beta = -1.570796; diff = 1.192093e-07; -1000/1000
Check failed for (fp32): alpha = -5.950177; beta = -1.487544; diff = 1.192093e-07; -947/1000
Check failed for (fp32): alpha = -5.93761; beta = -1.484403; diff = 1.490116e-07; -945/1000
Check failed for (fp32): alpha = -5.931327; beta = -1.482832; diff = 8.940697e-08; -944/1000
Check failed for (fp32): alpha = -5.925044; beta = -1.481261; diff = 2.682209e-07; -943/1000
Check failed for (fp32): alpha = -5.918761; beta = -1.47969; diff = 1.192093e-07; -942/1000
Check failed for (fp32): alpha = -5.906194; beta = -1.476549; diff = 8.940697e-08; -940/1000
Check failed for (fp32): alpha = -5.899911; beta = -1.474978; diff = 1.192093e-07; -939/1000
Check failed for (fp32): alpha = -5.893628; beta = -1.473407; diff = 2.086163e-07; -938/1000
Check failed for (fp32): alpha = -5.887345; beta = -1.471836; diff = 1.192093e-07; -937/1000
Check failed for (fp32): alpha = -5.874778; beta = -1.468695; diff = 1.192093e-07; -935/1000
Check failed for (fp32): alpha = -5.868495; beta = -1.467124; diff = 1.192093e-07; -934/1000
Check failed for (fp32): alpha = -5.862212; beta = -1.465553; diff = 2.086163e-07; -933/1000
Check failed for (fp32): alpha = -5.855929; beta = -1.463982; diff = 8.940697e-08; -932/1000
Check failed for (fp32): alpha = -5.843362; beta = -1.460841; diff = 1.192093e-07; -930/1000
Check failed for (fp32): alpha = -5.83708; beta = -1.45927; diff = 1.192093e-07; -929/1000
Check failed for (fp32): alpha = -5.830796; beta = -1.457699; diff = 5.960464e-08; -928/1000
Check failed for (fp32): alpha = -5.824513; beta = -1.456128; diff = 1.490116e-07; -927/1000
Check failed for (fp32): alpha = -5.805664; beta = -1.451416; diff = 1.192093e-07; -924/1000
Check failed for (fp32): alpha = -5.79938; beta = -1.449845; diff = 1.490116e-07; -923/1000
Check failed for (fp32): alpha = -5.793097; beta = -1.448274; diff = 1.192093e-07; -922/1000
Check failed for (fp32): alpha = -5.774248; beta = -1.443562; diff = 1.192093e-07; -919/1000
Check failed for (fp32): alpha = -5.767964; beta = -1.441991; diff = 2.682209e-07; -918/1000
Check failed for (fp32): alpha = -5.761681; beta = -1.44042; diff = 1.192093e-07; -917/1000
Check failed for (fp32): alpha = -5.755398; beta = -1.438849; diff = 5.960464e-08; -916/1000
Check failed for (fp32): alpha = -5.742831; beta = -1.435708; diff = 2.086163e-07; -914/1000
Check failed for (fp32): alpha = -5.736548; beta = -1.434137; diff = 2.682209e-07; -913/1000
Check failed for (fp32): alpha = -5.730265; beta = -1.432566; diff = 8.940697e-08; -912/1000
Check failed for (fp32): alpha = -5.711415; beta = -1.427854; diff = 2.086163e-07; -909/1000
Check failed for (fp32): alpha = -5.705132; beta = -1.426283; diff = 1.788139e-07; -908/1000
Check failed for (fp32): alpha = -5.698849; beta = -1.424712; diff = 8.940697e-08; -907/1000
Check failed for (fp32): alpha = -5.692566; beta = -1.423142; diff = 5.960464e-08; -906/1000
Check failed for (fp32): alpha = -5.686283; beta = -1.421571; diff = 1.490116e-07; -905/1000
Check failed for (fp32): alpha = -5.679999; beta = -1.42; diff = 1.788139e-07; -904/1000
Check failed for (fp32): alpha = -5.673717; beta = -1.418429; diff = 2.384186e-07; -903/1000
Check failed for (fp32): alpha = -5.667433; beta = -1.416858; diff = 5.960464e-08; -902/1000
Check failed for (fp32): alpha = -5.66115; beta = -1.415288; diff = 8.940697e-08; -901/1000
Check failed for (fp32): alpha = -5.654867; beta = -1.413717; diff = 1.192093e-07; -900/1000
Check failed for (fp32): alpha = -5.648584; beta = -1.412146; diff = 1.192093e-07; -899/1000
Check failed for (fp32): alpha = -5.642301; beta = -1.410575; diff = 1.788139e-07; -898/1000
Check failed for (fp32): alpha = -5.636017; beta = -1.409004; diff = 1.490116e-07; -897/1000
Check failed for (fp32): alpha = -5.629735; beta = -1.407434; diff = 1.490116e-07; -896/1000
Check failed for (fp32): alpha = -5.623451; beta = -1.405863; diff = 8.940697e-08; -895/1000
Check failed for (fp32): alpha = -5.617168; beta = -1.404292; diff = 8.940697e-08; -894/1000
Check failed for (fp32): alpha = -5.610885; beta = -1.402721; diff = 1.788139e-07; -893/1000
Check failed for (fp32): alpha = -5.604601; beta = -1.40115; diff = 5.960464e-08; -892/1000
Check failed for (fp32): alpha = -5.592035; beta = -1.398009; diff = 1.192093e-07; -890/1000
Check failed for (fp32): alpha = -5.585752; beta = -1.396438; diff = 8.940697e-08; -889/1000
Check failed for (fp32): alpha = -5.579469; beta = -1.394867; diff = 1.788139e-07; -888/1000
Check failed for (fp32): alpha = -5.573185; beta = -1.393296; diff = 1.192093e-07; -887/1000
Check failed for (fp32): alpha = -5.554336; beta = -1.388584; diff = 5.960464e-08; -884/1000
Check failed for (fp32): alpha = -5.548053; beta = -1.387013; diff = 1.788139e-07; -883/1000
Check failed for (fp32): alpha = -5.54177; beta = -1.385442; diff = 2.384186e-07; -882/1000
Check failed for (fp32): alpha = -5.535486; beta = -1.383872; diff = 5.960464e-08; -881/1000
Check failed for (fp32): alpha = -5.52292; beta = -1.38073; diff = 1.192093e-07; -879/1000
Check failed for (fp32): alpha = -5.516637; beta = -1.379159; diff = 2.384186e-07; -878/1000
Check failed for (fp32): alpha = -5.510354; beta = -1.377588; diff = 1.192093e-07; -877/1000
Check failed for (fp32): alpha = -5.491504; beta = -1.372876; diff = 1.192093e-07; -874/1000
Check failed for (fp32): alpha = -5.485221; beta = -1.371305; diff = 2.384186e-07; -873/1000
Check failed for (fp32): alpha = -5.478938; beta = -1.369734; diff = 1.192093e-07; -872/1000
Check failed for (fp32): alpha = -5.460088; beta = -1.365022; diff = 5.960464e-08; -869/1000
Check failed for (fp32): alpha = -5.453805; beta = -1.363451; diff = 1.192093e-07; -868/1000
Check failed for (fp32): alpha = -5.447522; beta = -1.36188; diff = 1.192093e-07; -867/1000
Check failed for (fp32): alpha = -5.441238; beta = -1.36031; diff = 5.960464e-08; -866/1000
Check failed for (fp32): alpha = -5.434956; beta = -1.358739; diff = 5.960464e-08; -865/1000
Check failed for (fp32): alpha = -5.428672; beta = -1.357168; diff = 1.192093e-07; -864/1000
Check failed for (fp32): alpha = -5.422389; beta = -1.355597; diff = 2.384186e-07; -863/1000
Check failed for (fp32): alpha = -5.416106; beta = -1.354026; diff = 1.192093e-07; -862/1000
Check failed for (fp32): alpha = -5.409823; beta = -1.352456; diff = 1.192093e-07; -861/1000
Check failed for (fp32): alpha = -5.40354; beta = -1.350885; diff = 5.960464e-08; -860/1000
Check failed for (fp32): alpha = -5.397256; beta = -1.349314; diff = 1.192093e-07; -859/1000
Check failed for (fp32): alpha = -5.390973; beta = -1.347743; diff = 1.788139e-07; -858/1000
Check failed for (fp32): alpha = -5.38469; beta = -1.346172; diff = 1.192093e-07; -857/1000
Check failed for (fp32): alpha = -5.378407; beta = -1.344602; diff = 1.192093e-07; -856/1000
Check failed for (fp32): alpha = -5.359557; beta = -1.339889; diff = 2.384186e-07; -853/1000
Check failed for (fp32): alpha = -5.353274; beta = -1.338318; diff = 1.192093e-07; -852/1000
Check failed for (fp32): alpha = -5.346991; beta = -1.336748; diff = 1.192093e-07; -851/1000
Check failed for (fp32): alpha = -5.340708; beta = -1.335177; diff = 1.192093e-07; -850/1000
Check failed for (fp32): alpha = -5.334424; beta = -1.333606; diff = 5.960464e-08; -849/1000
Check failed for (fp32): alpha = -5.328141; beta = -1.332035; diff = 5.960464e-08; -848/1000
Check failed for (fp32): alpha = -5.321858; beta = -1.330464; diff = 1.192093e-07; -847/1000
Check failed for (fp32): alpha = -5.315575; beta = -1.328894; diff = 5.960464e-08; -846/1000
Check failed for (fp32): alpha = -5.303009; beta = -1.325752; diff = 1.192093e-07; -844/1000
Check failed for (fp32): alpha = -5.296725; beta = -1.324181; diff = 5.960464e-08; -843/1000
Check failed for (fp32): alpha = -5.284159; beta = -1.32104; diff = 1.192093e-07; -841/1000
Check failed for (fp32): alpha = -5.277875; beta = -1.319469; diff = 5.960464e-08; -840/1000
Check failed for (fp32): alpha = -5.271593; beta = -1.317898; diff = 1.192093e-07; -839/1000
Check failed for (fp32): alpha = -5.259027; beta = -1.314757; diff = 5.960464e-08; -837/1000
Check failed for (fp32): alpha = -5.252743; beta = -1.313186; diff = 5.960464e-08; -836/1000
Check failed for (fp32): alpha = -5.240177; beta = -1.310044; diff = 5.960464e-08; -834/1000
Check failed for (fp32): alpha = -5.233893; beta = -1.308473; diff = 5.960464e-08; -833/1000
Check failed for (fp32): alpha = -5.208761; beta = -1.30219; diff = 5.960464e-08; -829/1000
Check failed for (fp32): alpha = -5.202477; beta = -1.300619; diff = 5.960464e-08; -828/1000
Check failed for (fp32): alpha = -5.196195; beta = -1.299049; diff = 5.960464e-08; -827/1000
Check failed for (fp32): alpha = -5.189911; beta = -1.297478; diff = 5.960464e-08; -826/1000
Check failed for (fp32): alpha = -5.177345; beta = -1.294336; diff = 5.960464e-08; -824/1000
Check failed for (fp32): alpha = -5.171062; beta = -1.292765; diff = 5.960464e-08; -823/1000
Check failed for (fp32): alpha = -5.164779; beta = -1.291195; diff = 5.960464e-08; -822/1000
Check failed for (fp32): alpha = -5.152212; beta = -1.288053; diff = 5.960464e-08; -820/1000
Check failed for (fp32): alpha = -5.145929; beta = -1.286482; diff = 1.192093e-07; -819/1000
Check failed for (fp32): alpha = -5.139646; beta = -1.284912; diff = 5.960464e-08; -818/1000
Check failed for (fp32): alpha = -5.133362; beta = -1.283341; diff = 5.960464e-08; -817/1000
Check failed for (fp32): alpha = -5.127079; beta = -1.28177; diff = 5.960464e-08; -816/1000
Check failed for (fp32): alpha = -5.120796; beta = -1.280199; diff = 5.960464e-08; -815/1000
Check failed for (fp32): alpha = -5.114513; beta = -1.278628; diff = 1.192093e-07; -814/1000
Check failed for (fp32): alpha = -5.10823; beta = -1.277058; diff = 5.960464e-08; -813/1000
Check failed for (fp32): alpha = -5.101946; beta = -1.275487; diff = 1.192093e-07; -812/1000
Check failed for (fp32): alpha = -5.095664; beta = -1.273916; diff = 5.960464e-08; -811/1000
Check failed for (fp32): alpha = -5.083097; beta = -1.270774; diff = 5.960464e-08; -809/1000
Check failed for (fp32): alpha = -5.076814; beta = -1.269204; diff = 1.192093e-07; -808/1000
Check failed for (fp32): alpha = -5.07053; beta = -1.267633; diff = 5.960464e-08; -807/1000
Check failed for (fp32): alpha = -5.064248; beta = -1.266062; diff = 1.192093e-07; -806/1000
Check failed for (fp32): alpha = -5.051681; beta = -1.26292; diff = 5.960464e-08; -804/1000
Check failed for (fp32): alpha = -5.039114; beta = -1.259779; diff = 5.960464e-08; -802/1000
Check failed for (fp32): alpha = -5.032832; beta = -1.258208; diff = 5.960464e-08; -801/1000
Check failed for (fp32): alpha = -5.013982; beta = -1.253495; diff = 5.960464e-08; -798/1000
Check failed for (fp32): alpha = -5.007699; beta = -1.251925; diff = 5.960464e-08; -797/1000
Check failed for (fp32): alpha = -4.995132; beta = -1.248783; diff = 5.960464e-08; -795/1000
Check failed for (fp32): alpha = -4.976283; beta = -1.244071; diff = 5.960464e-08; -792/1000
Check failed for (fp32): alpha = -4.97; beta = -1.2425; diff = 1.192093e-07; -791/1000
Check failed for (fp32): alpha = -4.957433; beta = -1.239358; diff = 1.192093e-07; -789/1000
Check failed for (fp32): alpha = -4.95115; beta = -1.237787; diff = 5.960464e-08; -788/1000
Check failed for (fp32): alpha = -4.932301; beta = -1.233075; diff = 5.960464e-08; -785/1000
Check failed for (fp32): alpha = -4.926017; beta = -1.231504; diff = 5.960464e-08; -784/1000
Check failed for (fp32): alpha = -4.907168; beta = -1.226792; diff = 1.192093e-07; -781/1000
Check failed for (fp32): alpha = -4.900885; beta = -1.225221; diff = 5.960464e-08; -780/1000
Check failed for (fp32): alpha = -4.894601; beta = -1.22365; diff = 5.960464e-08; -779/1000
Check failed for (fp32): alpha = -4.888318; beta = -1.22208; diff = 5.960464e-08; -778/1000
Check failed for (fp32): alpha = -4.875752; beta = -1.218938; diff = 5.960464e-08; -776/1000
Check failed for (fp32): alpha = -4.869469; beta = -1.217367; diff = 5.960464e-08; -775/1000
Check failed for (fp32): alpha = -4.856903; beta = -1.214226; diff = 5.960464e-08; -773/1000
Check failed for (fp32): alpha = -4.844336; beta = -1.211084; diff = 5.960464e-08; -771/1000
Check failed for (fp32): alpha = -4.838053; beta = -1.209513; diff = 5.960464e-08; -770/1000
Check failed for (fp32): alpha = -4.831769; beta = -1.207942; diff = 5.960464e-08; -769/1000
Check failed for (fp32): alpha = -4.825487; beta = -1.206372; diff = 5.960464e-08; -768/1000
Check failed for (fp32): alpha = -4.81292; beta = -1.20323; diff = 5.960464e-08; -766/1000
Check failed for (fp32): alpha = -4.800354; beta = -1.200088; diff = 5.960464e-08; -764/1000
Check failed for (fp32): alpha = -4.794071; beta = -1.198518; diff = 5.960464e-08; -763/1000
Check failed for (fp32): alpha = -4.787787; beta = -1.196947; diff = 5.960464e-08; -762/1000
Check failed for (fp32): alpha = -4.781504; beta = -1.195376; diff = 5.960464e-08; -761/1000
Check failed for (fp32): alpha = -4.762655; beta = -1.190664; diff = 5.960464e-08; -758/1000
Check failed for (fp32): alpha = -4.750088; beta = -1.187522; diff = 5.960464e-08; -756/1000
Check failed for (fp32): alpha = -4.743805; beta = -1.185951; diff = 5.960464e-08; -755/1000
Check failed for (fp32): alpha = -4.731239; beta = -1.18281; diff = 5.960464e-08; -753/1000
Check failed for (fp32): alpha = -4.724956; beta = -1.181239; diff = 5.960464e-08; -752/1000
Check failed for (fp32): alpha = -4.718672; beta = -1.179668; diff = 5.960464e-08; -751/1000
Check failed for (fp32): alpha = -4.706106; beta = -1.176527; diff = 5.960464e-08; -749/1000
Check failed for (fp32): alpha = -4.699823; beta = -1.174956; diff = 1.192093e-07; -748/1000
Check failed for (fp32): alpha = -4.69354; beta = -1.173385; diff = 5.960464e-08; -747/1000
Check failed for (fp32): alpha = -4.687256; beta = -1.171814; diff = 5.960464e-08; -746/1000
Check failed for (fp32): alpha = -4.662124; beta = -1.165531; diff = 5.960464e-08; -742/1000
Check failed for (fp32): alpha = -4.65584; beta = -1.16396; diff = 5.960464e-08; -741/1000
Check failed for (fp32): alpha = -4.649557; beta = -1.162389; diff = 5.960464e-08; -740/1000
Check failed for (fp32): alpha = -4.624424; beta = -1.156106; diff = 5.960464e-08; -736/1000
Check failed for (fp32): alpha = -4.618142; beta = -1.154535; diff = 5.960464e-08; -735/1000
Check failed for (fp32): alpha = -4.605575; beta = -1.151394; diff = 5.960464e-08; -733/1000
Check failed for (fp32): alpha = -4.593009; beta = -1.148252; diff = 5.960464e-08; -731/1000
Check failed for (fp32): alpha = -4.586726; beta = -1.146681; diff = 5.960464e-08; -730/1000
Check failed for (fp32): alpha = -4.561593; beta = -1.140398; diff = 5.960464e-08; -726/1000
Check failed for (fp32): alpha = -4.55531; beta = -1.138827; diff = 5.960464e-08; -725/1000
Check failed for (fp32): alpha = -4.549026; beta = -1.137257; diff = 5.960464e-08; -724/1000
Check failed for (fp32): alpha = -4.530177; beta = -1.132544; diff = 5.960464e-08; -721/1000
Check failed for (fp32): alpha = -4.523894; beta = -1.130973; diff = 5.960464e-08; -720/1000
Check failed for (fp32): alpha = -4.51761; beta = -1.129403; diff = 5.960464e-08; -719/1000
Check failed for (fp32): alpha = -4.492477; beta = -1.123119; diff = 5.960464e-08; -715/1000
Check failed for (fp32): alpha = -4.486194; beta = -1.121549; diff = 5.960464e-08; -714/1000
Check failed for (fp32): alpha = -4.479911; beta = -1.119978; diff = 5.960464e-08; -713/1000
Check failed for (fp32): alpha = -4.461061; beta = -1.115265; diff = 5.960464e-08; -710/1000
Check failed for (fp32): alpha = -4.448495; beta = -1.112124; diff = 5.960464e-08; -708/1000
Check failed for (fp32): alpha = -4.442212; beta = -1.110553; diff = 5.960464e-08; -707/1000
Check failed for (fp32): alpha = -4.435929; beta = -1.108982; diff = 5.960464e-08; -706/1000
Check failed for (fp32): alpha = -4.429646; beta = -1.107411; diff = 5.960464e-08; -705/1000
Check failed for (fp32): alpha = -4.423363; beta = -1.105841; diff = 5.960464e-08; -704/1000
Check failed for (fp32): alpha = -4.404513; beta = -1.101128; diff = 5.960464e-08; -701/1000
Check failed for (fp32): alpha = -4.39823; beta = -1.099557; diff = 5.960464e-08; -700/1000
Check failed for (fp32): alpha = -4.373097; beta = -1.093274; diff = 5.960464e-08; -696/1000
Check failed for (fp32): alpha = -4.354248; beta = -1.088562; diff = 5.960464e-08; -693/1000
Check failed for (fp32): alpha = -4.335398; beta = -1.08385; diff = 5.960464e-08; -690/1000
Check failed for (fp32): alpha = -4.329115; beta = -1.082279; diff = 5.960464e-08; -689/1000
Check failed for (fp32): alpha = -4.285132; beta = -1.071283; diff = 5.960464e-08; -682/1000
Check failed for (fp32): alpha = -4.272566; beta = -1.068142; diff = 5.960464e-08; -680/1000
Check failed for (fp32): alpha = -4.266283; beta = -1.066571; diff = 5.960464e-08; -679/1000
Check failed for (fp32): alpha = -4.247433; beta = -1.061858; diff = 5.960464e-08; -676/1000
Check failed for (fp32): alpha = -4.234867; beta = -1.058717; diff = 5.960464e-08; -674/1000
Check failed for (fp32): alpha = -4.197168; beta = -1.049292; diff = 5.960464e-08; -668/1000
Check failed for (fp32): alpha = -4.184602; beta = -1.04615; diff = 5.960464e-08; -666/1000
Check failed for (fp32): alpha = -4.178319; beta = -1.04458; diff = 5.960464e-08; -665/1000
Check failed for (fp32): alpha = -4.172035; beta = -1.043009; diff = 5.960464e-08; -664/1000
Check failed for (fp32): alpha = -4.159469; beta = -1.039867; diff = 5.960464e-08; -662/1000
Check failed for (fp32): alpha = -4.153186; beta = -1.038296; diff = 5.960464e-08; -661/1000
Check failed for (fp32): alpha = -4.146903; beta = -1.036726; diff = 5.960464e-08; -660/1000
Check failed for (fp32): alpha = -4.140619; beta = -1.035155; diff = 5.960464e-08; -659/1000
Check failed for (fp32): alpha = -4.115486; beta = -1.028872; diff = 5.960464e-08; -655/1000
Check failed for (fp32): alpha = -4.109203; beta = -1.027301; diff = 5.960464e-08; -654/1000
Check failed for (fp32): alpha = -4.08407; beta = -1.021018; diff = 5.960464e-08; -650/1000
Check failed for (fp32): alpha = -4.071504; beta = -1.017876; diff = 5.960464e-08; -648/1000
Check failed for (fp32): alpha = -4.065221; beta = -1.016305; diff = 5.960464e-08; -647/1000
Check failed for (fp32): alpha = -4.052655; beta = -1.013164; diff = 5.960464e-08; -645/1000
Check failed for (fp32): alpha = -4.033805; beta = -1.008451; diff = 5.960464e-08; -642/1000
Check failed for (fp32): alpha = -4.027522; beta = -1.00688; diff = 5.960464e-08; -641/1000
Check failed for (fp32): alpha = -4.021239; beta = -1.00531; diff = 5.960464e-08; -640/1000
Check failed for (fp32): alpha = -4.014956; beta = -1.003739; diff = 5.960464e-08; -639/1000
Check failed for (fp32): alpha = -3.98354; beta = -0.9958849; diff = 5.960464e-08; -634/1000
Check failed for (fp32): alpha = -3.96469; beta = -0.9911725; diff = 5.960464e-08; -631/1000
Check failed for (fp32): alpha = -3.958407; beta = -0.9896017; diff = 5.960464e-08; -630/1000
Check failed for (fp32): alpha = -3.945841; beta = -0.9864601; diff = 5.960464e-08; -628/1000
Check failed for (fp32): alpha = -3.939557; beta = -0.9848893; diff = 5.960464e-08; -627/1000
Check failed for (fp32): alpha = -3.926991; beta = -0.9817477; diff = 5.960464e-08; -625/1000
Check failed for (fp32): alpha = -3.914425; beta = -0.9786062; diff = 5.960464e-08; -623/1000
Check failed for (fp32): alpha = -3.908141; beta = -0.9770353; diff = 5.960464e-08; -622/1000
Check failed for (fp32): alpha = -3.901858; beta = -0.9754645; diff = 5.960464e-08; -621/1000
Check failed for (fp32): alpha = -3.895575; beta = -0.9738938; diff = 5.960464e-08; -620/1000
Check failed for (fp32): alpha = -3.889292; beta = -0.972323; diff = 5.960464e-08; -619/1000
Check failed for (fp32): alpha = -3.870442; beta = -0.9676105; diff = 5.960464e-08; -616/1000
Check failed for (fp32): alpha = -3.864159; beta = -0.9660398; diff = 1.192093e-07; -615/1000
Check failed for (fp32): alpha = -3.845309; beta = -0.9613274; diff = 5.960464e-08; -612/1000
Check failed for (fp32): alpha = -3.839026; beta = -0.9597566; diff = 5.960464e-08; -611/1000
Check failed for (fp32): alpha = -3.832743; beta = -0.9581858; diff = 5.960464e-08; -610/1000
Check failed for (fp32): alpha = -3.820177; beta = -0.9550442; diff = 5.960464e-08; -608/1000
Check failed for (fp32): alpha = -3.807611; beta = -0.9519026; diff = 5.960464e-08; -606/1000
Check failed for (fp32): alpha = -3.801327; beta = -0.9503318; diff = 5.960464e-08; -605/1000
Check failed for (fp32): alpha = -3.788761; beta = -0.9471902; diff = 5.960464e-08; -603/1000
Check failed for (fp32): alpha = -3.776195; beta = -0.9440486; diff = 5.960464e-08; -601/1000
Check failed for (fp32): alpha = -3.757345; beta = -0.9393362; diff = 5.960464e-08; -598/1000
Check failed for (fp32): alpha = -3.719646; beta = -0.9299114; diff = 5.960464e-08; -592/1000
Check failed for (fp32): alpha = -3.713363; beta = -0.9283407; diff = 5.960464e-08; -591/1000
Check failed for (fp32): alpha = -3.681947; beta = -0.9204867; diff = 5.960464e-08; -586/1000
Check failed for (fp32): alpha = -3.656814; beta = -0.9142035; diff = 5.960464e-08; -582/1000
Check failed for (fp32): alpha = -3.644248; beta = -0.9110619; diff = 5.960464e-08; -580/1000
Check failed for (fp32): alpha = -3.637964; beta = -0.9094911; diff = 5.960464e-08; -579/1000
Check failed for (fp32): alpha = -3.631681; beta = -0.9079203; diff = 5.960464e-08; -578/1000
Check failed for (fp32): alpha = -3.612832; beta = -0.9032079; diff = 5.960464e-08; -575/1000
Check failed for (fp32): alpha = -3.606549; beta = -0.9016371; diff = 5.960464e-08; -574/1000
Check failed for (fp32): alpha = -3.600265; beta = -0.9000663; diff = 5.960464e-08; -573/1000
Check failed for (fp32): alpha = -3.593982; beta = -0.8984956; diff = 5.960464e-08; -572/1000
Check failed for (fp32): alpha = -3.581416; beta = -0.8953539; diff = 5.960464e-08; -570/1000
Check failed for (fp32): alpha = -3.575133; beta = -0.8937832; diff = 5.960464e-08; -569/1000
Check failed for (fp32): alpha = -3.55; beta = -0.8874999; diff = 1.192093e-07; -565/1000
Check failed for (fp32): alpha = -3.537434; beta = -0.8843584; diff = 5.960464e-08; -563/1000
Check failed for (fp32): alpha = -3.524867; beta = -0.8812168; diff = 5.960464e-08; -561/1000
Check failed for (fp32): alpha = -3.518584; beta = -0.8796459; diff = 5.960464e-08; -560/1000
Check failed for (fp32): alpha = -3.512301; beta = -0.8780752; diff = 5.960464e-08; -559/1000
Check failed for (fp32): alpha = -3.499734; beta = -0.8749335; diff = 5.960464e-08; -557/1000
Check failed for (fp32): alpha = -3.493451; beta = -0.8733628; diff = 5.960464e-08; -556/1000
Check failed for (fp32): alpha = -3.487168; beta = -0.871792; diff = 5.960464e-08; -555/1000
Check failed for (fp32): alpha = -3.480885; beta = -0.8702212; diff = 5.960464e-08; -554/1000
Check failed for (fp32): alpha = -3.455752; beta = -0.863938; diff = 5.960464e-08; -550/1000
Check failed for (fp32): alpha = -3.449469; beta = -0.8623673; diff = 1.192093e-07; -549/1000
Check failed for (fp32): alpha = -3.443186; beta = -0.8607964; diff = 5.960464e-08; -548/1000
Check failed for (fp32): alpha = -3.436902; beta = -0.8592256; diff = 5.960464e-08; -547/1000
Check failed for (fp32): alpha = -3.430619; beta = -0.8576548; diff = 5.960464e-08; -546/1000
Check failed for (fp32): alpha = -3.424336; beta = -0.856084; diff = 5.960464e-08; -545/1000
Check failed for (fp32): alpha = -3.418053; beta = -0.8545133; diff = 5.960464e-08; -544/1000
Check failed for (fp32): alpha = -3.41177; beta = -0.8529424; diff = 5.960464e-08; -543/1000
Check failed for (fp32): alpha = -3.405487; beta = -0.8513716; diff = 1.192093e-07; -542/1000
Check failed for (fp32): alpha = -3.374071; beta = -0.8435177; diff = 5.960464e-08; -537/1000
