Check failed for (fp32): alpha = -5.793097; beta = -1.448274; diff = 3.576279e-07; -922/1000
Check failed for (fp32): alpha = -5.786814; beta = -1.446703; diff = 1.192093e-07; -921/1000
Check failed for (fp32): alpha = -5.780531; beta = -1.445133; diff = 1.192093e-07; -920/1000
Check failed for (fp32): alpha = -5.774248; beta = -1.443562; diff = 3.576279e-07; -919/1000
Check failed for (fp32): alpha = -5.767964; beta = -1.441991; diff = 7.152557e-07; -918/1000
Check failed for (fp32): alpha = -5.761681; beta = -1.44042; diff = 3.576279e-07; -917/1000
Check failed for (fp32): alpha = -5.749115; beta = -1.437279; diff = 1.192093e-07; -915/1000
Check failed for (fp32): alpha = -5.742831; beta = -1.435708; diff = 7.152557e-07; -914/1000
Check failed for (fp32): alpha = -5.736548; beta = -1.434137; diff = 5.960464e-07; -913/1000
Check failed for (fp32): alpha = -5.730265; beta = -1.432566; diff = 3.576279e-07; -912/1000
Check failed for (fp32): alpha = -5.723982; beta = -1.430995; diff = 1.192093e-07; -911/1000
Check failed for (fp32): alpha = -5.717699; beta = -1.429425; diff = 1.192093e-07; -910/1000
Check failed for (fp32): alpha = -5.711415; beta = -1.427854; diff = 5.960464e-07; -909/1000
Check failed for (fp32): alpha = -5.705132; beta = -1.426283; diff = 5.960464e-07; -908/1000
Check failed for (fp32): alpha = -5.698849; beta = -1.424712; diff = 1.192093e-07; -907/1000
Check failed for (fp32): alpha = -5.692566; beta = -1.423142; diff = 2.384186e-07; -906/1000
Check failed for (fp32): alpha = -5.686283; beta = -1.421571; diff = 3.576279e-07; -905/1000
Check failed for (fp32): alpha = -5.679999; beta = -1.42; diff = 5.960464e-07; -904/1000
Check failed for (fp32): alpha = -5.673717; beta = -1.418429; diff = 4.768372e-07; -903/1000
Check failed for (fp32): alpha = -5.667433; beta = -1.416858; diff = 3.576279e-07; -902/1000
Check failed for (fp32): alpha = -5.66115; beta = -1.415288; diff = 3.576279e-07; -901/1000
Check failed for (fp32): alpha = -5.654867; beta = -1.413717; diff = 1.788139e-07; -900/1000
Check failed for (fp32): alpha = -5.648584; beta = -1.412146; diff = 2.980232e-07; -899/1000
Check failed for (fp32): alpha = -5.642301; beta = -1.410575; diff = 4.172325e-07; -898/1000
Check failed for (fp32): alpha = -5.636017; beta = -1.409004; diff = 2.384186e-07; -897/1000
Check failed for (fp32): alpha = -5.629735; beta = -1.407434; diff = 2.384186e-07; -896/1000
Check failed for (fp32): alpha = -5.623451; beta = -1.405863; diff = 1.788139e-07; -895/1000
Check failed for (fp32): alpha = -5.617168; beta = -1.404292; diff = 1.788139e-07; -894/1000
Check failed for (fp32): alpha = -5.610885; beta = -1.402721; diff = 4.172325e-07; -893/1000
Check failed for (fp32): alpha = -5.604601; beta = -1.40115; diff = 1.788139e-07; -892/1000
Check failed for (fp32): alpha = -5.598318; beta = -1.39958; diff = 5.960464e-08; -891/1000
Check failed for (fp32): alpha = -5.592035; beta = -1.398009; diff = 1.788139e-07; -890/1000
Check failed for (fp32): alpha = -5.585752; beta = -1.396438; diff = 2.384186e-07; -889/1000
Check failed for (fp32): alpha = -5.579469; beta = -1.394867; diff = 2.980232e-07; -888/1000
Check failed for (fp32): alpha = -5.573185; beta = -1.393296; diff = 1.788139e-07; -887/1000
Check failed for (fp32): alpha = -5.560619; beta = -1.390155; diff = 2.384186e-07; -885/1000
Check failed for (fp32): alpha = -5.554336; beta = -1.388584; diff = 2.384186e-07; -884/1000
Check failed for (fp32): alpha = -5.548053; beta = -1.387013; diff = 4.172325e-07; -883/1000
Check failed for (fp32): alpha = -5.54177; beta = -1.385442; diff = 2.980232e-07; -882/1000
Check failed for (fp32): alpha = -5.52292; beta = -1.38073; diff = 1.788139e-07; -879/1000
Check failed for (fp32): alpha = -5.516637; beta = -1.379159; diff = 4.172325e-07; -878/1000
Check failed for (fp32): alpha = -5.510354; beta = -1.377588; diff = 1.788139e-07; -877/1000
Check failed for (fp32): alpha = -5.50407; beta = -1.376018; diff = 5.960464e-08; -876/1000
Check failed for (fp32): alpha = -5.491504; beta = -1.372876; diff = 1.788139e-07; -874/1000
Check failed for (fp32): alpha = -5.485221; beta = -1.371305; diff = 3.576279e-07; -873/1000
Check failed for (fp32): alpha = -5.478938; beta = -1.369734; diff = 2.384186e-07; -872/1000
Check failed for (fp32): alpha = -5.472654; beta = -1.368164; diff = 5.960464e-08; -871/1000
Check failed for (fp32): alpha = -5.460088; beta = -1.365022; diff = 1.788139e-07; -869/1000
Check failed for (fp32): alpha = -5.453805; beta = -1.363451; diff = 2.980232e-07; -868/1000
Check failed for (fp32): alpha = -5.447522; beta = -1.36188; diff = 1.192093e-07; -867/1000
Check failed for (fp32): alpha = -5.441238; beta = -1.36031; diff = 5.960464e-08; -866/1000
Check failed for (fp32): alpha = -5.428672; beta = -1.357168; diff = 1.788139e-07; -864/1000
Check failed for (fp32): alpha = -5.422389; beta = -1.355597; diff = 2.980232e-07; -863/1000
Check failed for (fp32): alpha = -5.416106; beta = -1.354026; diff = 1.788139e-07; -862/1000
