Check failed for (fp64): x = -5.61088447931137; diff = 4.44089209850063e-16; -893/1000
Check failed for (fp64): x = -5.60460129400419; diff = 8.88178419700125e-16; -892/1000
Check failed for (fp64): x = -5.59831810869701; diff = 4.44089209850063e-16; -891/1000
Check failed for (fp64): x = -5.59203492338983; diff = 8.88178419700125e-16; -890/1000
Check failed for (fp64): x = -5.57946855277547; diff = 4.44089209850063e-16; -888/1000
Check failed for (fp64): x = -5.57318536746829; diff = 4.44089209850063e-16; -887/1000
Check failed for (fp64): x = -5.56690218216111; diff = 4.44089209850063e-16; -886/1000
Check failed for (fp64): x = -5.56061899685393; diff = 4.44089209850063e-16; -885/1000
Check failed for (fp64): x = -5.55433581154675; diff = 4.44089209850063e-16; -884/1000
Check failed for (fp64): x = -5.54176944093239; diff = 4.44089209850063e-16; -882/1000
Check failed for (fp64): x = -5.52920307031804; diff = 4.44089209850063e-16; -880/1000
Check failed for (fp64): x = -5.52291988501086; diff = 4.44089209850063e-16; -879/1000
Check failed for (fp64): x = -5.51663669970368; diff = 4.44089209850063e-16; -878/1000
Check failed for (fp64): x = -5.5103535143965; diff = 4.44089209850063e-16; -877/1000
Check failed for (fp64): x = -5.49150395847496; diff = 2.22044604925031e-16; -874/1000
Check failed for (fp64): x = -5.48522077316778; diff = 4.44089209850063e-16; -873/1000
Check failed for (fp64): x = -5.4789375878606; diff = 2.22044604925031e-16; -872/1000
Check failed for (fp64): x = -5.47265440255342; diff = 2.22044604925031e-16; -871/1000
Check failed for (fp64): x = -5.46637121724624; diff = 2.22044604925031e-16; -870/1000
Check failed for (fp64): x = -5.46008803193906; diff = 2.22044604925031e-16; -869/1000
Check failed for (fp64): x = -5.45380484663188; diff = 2.22044604925031e-16; -868/1000
Check failed for (fp64): x = -5.43495529071034; diff = 4.44089209850063e-16; -865/1000
Check failed for (fp64): x = -5.4161057347888; diff = 2.22044604925031e-16; -862/1000
Check failed for (fp64): x = -5.40982254948162; diff = 2.22044604925031e-16; -861/1000
Check failed for (fp64): x = -5.39097299356008; diff = 6.66133814775094e-16; -858/1000
Check failed for (fp64): x = -5.38468980825291; diff = 2.22044604925031e-16; -857/1000
Check failed for (fp64): x = -5.37212343763855; diff = 4.44089209850063e-16; -855/1000
Check failed for (fp64): x = -5.34699069640983; diff = 2.22044604925031e-16; -851/1000
Check failed for (fp64): x = -5.33442432579547; diff = 2.22044604925031e-16; -849/1000
Check failed for (fp64): x = -5.32814114048829; diff = 2.22044604925031e-16; -848/1000
Check failed for (fp64): x = -5.32185795518111; diff = 2.22044604925031e-16; -847/1000
Check failed for (fp64): x = -5.30300839925957; diff = 2.22044604925031e-16; -844/1000
Check failed for (fp64): x = -5.29672521395239; diff = 2.22044604925031e-16; -843/1000
Check failed for (fp64): x = -5.27787565803085; diff = 2.22044604925031e-16; -840/1000
Check failed for (fp64): x = -5.27159247272367; diff = 2.22044604925031e-16; -839/1000
Check failed for (fp64): x = -5.26530928741649; diff = 2.22044604925031e-16; -838/1000
Check failed for (fp64): x = -5.25902610210931; diff = 2.22044604925031e-16; -837/1000
Check failed for (fp64): x = -5.24645973149495; diff = 2.22044604925031e-16; -835/1000
Check failed for (fp64): x = -5.24017654618777; diff = 2.22044604925031e-16; -834/1000
Check failed for (fp64): x = -5.23389336088059; diff = 2.22044604925031e-16; -833/1000
Check failed for (fp64): x = -5.21504380495906; diff = 2.22044604925031e-16; -830/1000
Check failed for (fp64): x = -5.2024774343447; diff = 2.22044604925031e-16; -828/1000
Check failed for (fp64): x = -5.17734469311598; diff = 2.22044604925031e-16; -824/1000
Check failed for (fp64): x = -5.1710615078088; diff = 2.22044604925031e-16; -823/1000
Check failed for (fp64): x = -5.15849513719444; diff = 2.22044604925031e-16; -821/1000
Check failed for (fp64): x = -5.14592876658008; diff = 2.22044604925031e-16; -819/1000
Check failed for (fp64): x = -5.1396455812729; diff = 2.22044604925031e-16; -818/1000
Check failed for (fp64): x = -5.108229654737; diff = 2.22044604925031e-16; -813/1000
Check failed for (fp64): x = -5.10194646942982; diff = 2.22044604925031e-16; -812/1000
Check failed for (fp64): x = -5.09566328412264; diff = 2.22044604925031e-16; -811/1000
Check failed for (fp64): x = -5.08938009881547; diff = 2.22044604925031e-16; -810/1000
Check failed for (fp64): x = -5.05168098697239; diff = 2.22044604925031e-16; -804/1000
Check failed for (fp64): x = -5.03911461635803; diff = 2.22044604925031e-16; -802/1000
Check failed for (fp64): x = -5.03283143105085; diff = 2.22044604925031e-16; -801/1000
Check failed for (fp64): x = -5.02026506043649; diff = 2.22044604925031e-16; -799/1000
Check failed for (fp64): x = -4.9260172808288; diff = 2.22044604925031e-16; -784/1000
Check failed for (fp64): x = -4.91345091021444; diff = 2.22044604925031e-16; -782/1000
Check failed for (fp64): x = -4.90716772490726; diff = 2.22044604925031e-16; -781/1000
Check failed for (fp64): x = -4.84433587183546; diff = 2.22044604925031e-16; -771/1000
Check failed for (fp64): x = -4.82548631591392; diff = 2.22044604925031e-16; -768/1000
Check failed for (fp64): x = -4.81291994529956; diff = 2.22044604925031e-16; -766/1000
