Check failed for (fp128): x = -5.824512779755476664109740832600198131e+00; diff = 7.703719777548943412223911770339709274e-34; -927/1000
Check failed for (fp128): x = -5.818229594448297077632815545833639230e+00; diff = 7.703719777548943412223911770339709274e-34; -926/1000
Check failed for (fp128): x = -5.805663223833937904678964972300520658e+00; diff = 7.703719777548943412223911770339709274e-34; -924/1000
Check failed for (fp128): x = -5.786813667912399145248189112000843956e+00; diff = 7.703719777548943412223911770339709274e-34; -921/1000
Check failed for (fp128): x = -5.755397741376501212863562678168049452e+00; diff = 3.851859888774471706111955885169854637e-34; -916/1000
Check failed for (fp128): x = -5.742831370762142039909712104634930880e+00; diff = 3.851859888774471706111955885169854637e-34; -914/1000
Check failed for (fp128): x = -5.730265000147782866955861531101813078e+00; diff = 1.155557966632341511833586765550956391e-33; -912/1000
Check failed for (fp128): x = -5.723981814840603280478936244335254177e+00; diff = 3.851859888774471706111955885169854637e-34; -911/1000
Check failed for (fp128): x = -5.717698629533423694002010957568695276e+00; diff = 3.851859888774471706111955885169854637e-34; -910/1000
Check failed for (fp128): x = -5.711415444226244107525085670802136375e+00; diff = 3.851859888774471706111955885169854637e-34; -909/1000
Check failed for (fp128): x = -5.705132258919064521048160384035576704e+00; diff = 3.851859888774471706111955885169854637e-34; -908/1000
Check failed for (fp128): x = -5.692565888304705348094309810502458903e+00; diff = 3.851859888774471706111955885169854637e-34; -906/1000
Check failed for (fp128): x = -5.686282702997525761617384523735900002e+00; diff = 3.851859888774471706111955885169854637e-34; -905/1000
Check failed for (fp128): x = -5.679999517690346175140459236969341101e+00; diff = 3.851859888774471706111955885169854637e-34; -904/1000
Check failed for (fp128): x = -5.667433147075987002186608663436223299e+00; diff = 3.851859888774471706111955885169854637e-34; -902/1000
Check failed for (fp128): x = -5.661149961768807415709683376669664399e+00; diff = 3.851859888774471706111955885169854637e-34; -901/1000
Check failed for (fp128): x = -5.654866776461627829232758089903105498e+00; diff = 7.703719777548943412223911770339709274e-34; -900/1000
Check failed for (fp128): x = -5.648583591154448242755832803136546597e+00; diff = 3.851859888774471706111955885169854637e-34; -899/1000
Check failed for (fp128): x = -5.636017220540089069801982229603428025e+00; diff = 3.851859888774471706111955885169854637e-34; -897/1000
Check failed for (fp128): x = -5.623450849925729896848131656070310223e+00; diff = 7.703719777548943412223911770339709274e-34; -895/1000
Check failed for (fp128): x = -5.617167664618550310371206369303751322e+00; diff = 3.851859888774471706111955885169854637e-34; -894/1000
Check failed for (fp128): x = -5.604601294004191137417355795770632750e+00; diff = 3.851859888774471706111955885169854637e-34; -892/1000
Check failed for (fp128): x = -5.585751738082652377986579935470956048e+00; diff = 3.851859888774471706111955885169854637e-34; -889/1000
Check failed for (fp128): x = -5.573185367468293205032729361937837476e+00; diff = 3.851859888774471706111955885169854637e-34; -887/1000
Check failed for (fp128): x = -5.566902182161113618555804075171278575e+00; diff = 3.851859888774471706111955885169854637e-34; -886/1000
Check failed for (fp128): x = -5.554335811546754445601953501638160773e+00; diff = 3.851859888774471706111955885169854637e-34; -884/1000
Check failed for (fp128): x = -5.548052626239574859125028214871601873e+00; diff = 3.851859888774471706111955885169854637e-34; -883/1000
Check failed for (fp128): x = -5.535486255625215686171177641338484071e+00; diff = 7.703719777548943412223911770339709274e-34; -881/1000
Check failed for (fp128): x = -5.504070329089317753786551207505688796e+00; diff = 3.851859888774471706111955885169854637e-34; -876/1000
Check failed for (fp128): x = -5.478937587860599407878850060439452423e+00; diff = 1.925929944387235853055977942584927319e-34; -872/1000
Check failed for (fp128): x = -5.472654402553419821401924773672893522e+00; diff = 1.925929944387235853055977942584927319e-34; -871/1000
Check failed for (fp128): x = -5.466371217246240234924999486906334621e+00; diff = 1.925929944387235853055977942584927319e-34; -870/1000
Check failed for (fp128): x = -5.453804846631881061971148913373216819e+00; diff = 3.851859888774471706111955885169854637e-34; -868/1000
Check failed for (fp128): x = -5.447521661324701475494223626606657919e+00; diff = 1.925929944387235853055977942584927319e-34; -867/1000
Check failed for (fp128): x = -5.441238476017521889017298339840099018e+00; diff = 1.925929944387235853055977942584927319e-34; -866/1000
Check failed for (fp128): x = -5.434955290710342302540373053073540117e+00; diff = 1.925929944387235853055977942584927319e-34; -865/1000
