Check failed for (fp80): alpha = -6.28318530717958647703; diff1 = inf; diff2 = inf; -1000/1000
Check failed for (fp80): alpha = -5.9753092271277867399; diff1 = 6.50521303491302660404e-19; diff2 = 6.28956056944832849961; -951/1000
Check failed for (fp80): alpha = -5.96902604182060715328; diff1 = 6.50521303491302660404e-19; diff2 = 6.15536707435050680845; -950/1000
Check failed for (fp80): alpha = -5.95645967120624798006; diff1 = 8.67361737988403547206e-19; diff2 = 5.90196081837345383828; -948/1000
Check failed for (fp80): alpha = -5.95017648589906839344; diff1 = 6.50521303491302660404e-19; diff2 = 5.7821822119176255984; -947/1000
Check failed for (fp80): alpha = -5.94389330059188880726; diff1 = 6.50521303491302660404e-19; diff2 = 5.66667764205016825756; -946/1000
Check failed for (fp80): alpha = -5.93761011528470922065; diff1 = 4.33680868994201773603e-19; diff2 = 5.55521370782994977676; -945/1000
Check failed for (fp80): alpha = -5.93132692997752963447; diff1 = 2.16840434497100886801e-19; diff2 = 5.44757367426649188186; -944/1000
Check failed for (fp80): alpha = -5.92504374467035004785; diff1 = 2.16840434497100886801e-19; diff2 = 5.34355601036264139716; -943/1000
Check failed for (fp80): alpha = -5.91876055936317046124; diff1 = 2.16840434497100886801e-19; diff2 = 5.24297307839350362497; -942/1000
Check failed for (fp80): alpha = -5.91247737405599087506; diff1 = 2.16840434497100886801e-19; diff2 = 5.14564995647834482959; -941/1000
Check failed for (fp80): alpha = -5.90619418874881128845; diff1 = 2.16840434497100886801e-19; diff2 = 5.05142337889460999161; -940/1000
Check failed for (fp80): alpha = -5.89991100344163170183; diff1 = 4.33680868994201773603e-19; diff2 = 4.96014078062265804806; -939/1000
Check failed for (fp80): alpha = -5.88106144752009294243; diff1 = 6.50521303491302660404e-19; diff2 = 4.70257416551560782341; -936/1000
Check failed for (fp80): alpha = -5.86849507690573376963; diff1 = 4.33680868994201773603e-19; diff2 = 4.54319460546597322318; -934/1000
Check failed for (fp80): alpha = -5.86221189159855418302; diff1 = 2.16840434497100886801e-19; diff2 = 4.46687215916174709066; -933/1000
Check failed for (fp80): alpha = -5.85592870629137459641; diff1 = 2.16840434497100886801e-19; diff2 = 4.39266217619974060071; -932/1000
Check failed for (fp80): alpha = -5.84964552098419500979; diff1 = 2.16840434497100886801e-19; diff2 = 4.32047252817652560793; -931/1000
Check failed for (fp80): alpha = -5.84336233567701542361; diff1 = 2.16840434497100886801e-19; diff2 = 4.25021634631440552339; -930/1000
Check failed for (fp80): alpha = -5.837079150369835837; diff1 = 2.16840434497100886801e-19; diff2 = 4.18181165103101864372; -929/1000
Check failed for (fp80): alpha = -5.8245127797554766642; diff1 = 2.16840434497100886801e-19; diff2 = 4.05025123838502004291; -927/1000
Check failed for (fp80): alpha = -5.81822959444829707759; diff1 = 1.08420217248550443401e-19; diff2 = 3.98695308868022653881; -926/1000
Check failed for (fp80): alpha = -5.81194640914111749141; diff1 = 1.08420217248550443401e-19; diff2 = 3.92522101101030116733; -925/1000
Check failed for (fp80): alpha = -5.8056632238339379048; diff1 = 1.08420217248550443401e-19; diff2 = 3.86499289856836395016; -924/1000
Check failed for (fp80): alpha = -5.78681366791239914539; diff1 = 1.08420217248550443401e-19; diff2 = 3.69275838611077309847; -921/1000
Check failed for (fp80): alpha = -5.78053048260521955878; diff1 = 1.08420217248550443401e-19; diff2 = 3.63798649456213255135; -920/1000
Check failed for (fp80): alpha = -5.77424729729803997216; diff1 = 1.08420217248550443401e-19; diff2 = 3.58445245554307682185; -919/1000
Check failed for (fp80): alpha = -5.76796411199086038555; diff1 = 3.25260651745651330202e-19; diff2 = 3.53211068797261002828; -918/1000
Check failed for (fp80): alpha = -5.76168092668368079937; diff1 = 2.16840434497100886801e-19; diff2 = 3.48091780292636491828; -917/1000
Check failed for (fp80): alpha = -5.75539774137650121276; diff1 = 2.16840434497100886801e-19; diff2 = 3.43083247311412429257; -916/1000
Check failed for (fp80): alpha = -5.74911455606932162658; diff1 = 3.25260651745651330202e-19; diff2 = 3.38181531157002249503; -915/1000
Check failed for (fp80): alpha = -5.73654818545496245335; diff1 = 1.08420217248550443401e-19; diff2 = 3.28683697774442365718; -913/1000
Check failed for (fp80): alpha = -5.73026500014778286717; diff1 = 2.16840434497100886801e-19; diff2 = 3.24080575582033887931; -912/1000
Check failed for (fp80): alpha = -5.71769862953342369438; diff1 = 2.16840434497100886801e-19; diff2 = 3.15149571993730217667; -910/1000
Check failed for (fp80): alpha = -5.71141544422624410776; diff1 = 2.16840434497100886801e-19; diff2 = 3.10815581163311670785; -909/1000
Check failed for (fp80): alpha = -5.70513225891906452115; diff1 = 2.16840434497100886801e-19; diff2 = 3.06565411976878028264; -908/1000
Check failed for (fp80): alpha = -5.69884907361188493497; diff1 = 1.08420217248550443401e-19; diff2 = 3.02396329972703755209; -907/1000
Check failed for (fp80): alpha = -5.69256588830470534835; diff1 = 2.16840434497100886801e-19; diff2 = 2.98305716610032456253; -906/1000
Check failed for (fp80): alpha = -5.68628270299752576174; diff1 = 2.16840434497100886801e-19; diff2 = 2.94291063163993808663; -905/1000
Check failed for (fp80): alpha = -5.67371633238316658851; diff1 = 2.16840434497100886801e-19; diff2 = 2.86480116214218411366; -903/1000
Check failed for (fp80): alpha = -5.64230040584726865631; diff1 = 1.08420217248550443401e-19; diff2 = 2.68125206373724189529; -898/1000
Check failed for (fp80): alpha = -5.62973403523290948352; diff1 = 1.08420217248550443401e-19; diff2 = 2.61210997924863248375; -896/1000
Check failed for (fp80): alpha = -5.61088447931137072411; diff1 = 1.08420217248550443401e-19; diff2 = 2.51254387156853359678; -893/1000
Check failed for (fp80): alpha = -5.59831810869701155088; diff1 = 2.16840434497100886801e-19; diff2 = 2.44874989947787661268; -891/1000
Check failed for (fp80): alpha = -5.54805262623957485928; diff1 = 1.08420217248550443401e-19; diff2 = 2.21189123096679220474; -883/1000
Check failed for (fp80): alpha = -5.54176944093239527266; diff1 = 1.08420217248550443401e-19; diff2 = 2.18414715970975397341; -882/1000
Check failed for (fp80): alpha = -5.52920307031803609987; diff1 = 1.08420217248550443401e-19; diff2 = 2.12978368064958373468; -880/1000
Check failed for (fp80): alpha = -5.52291988501085651326; diff1 = 1.08420217248550443401e-19; diff2 = 2.10314499975807087757; -879/1000
Check failed for (fp80): alpha = -5.49778714378213816723; diff1 = 1.08420217248550443401e-19; diff2 = 1.99999999999999999967; -875/1000
Check failed for (fp80): alpha = -5.49150395847495858062; diff1 = 5.42101086242752217004e-20; diff2 = 1.97502385981462860666; -874/1000
Check failed for (fp80): alpha = -5.48522077316777899444; diff1 = 5.42101086242752217004e-20; diff2 = 1.95035575236129826498; -873/1000
Check failed for (fp80): alpha = -5.47893758786059940783; diff1 = 1.08420217248550443401e-19; diff2 = 1.92598810190043076302; -872/1000
Check failed for (fp80): alpha = -5.46637121724624023503; diff1 = 5.42101086242752217004e-20; diff2 = 1.87812501163498470546; -870/1000
Check failed for (fp80): alpha = -5.46008803193906064842; diff1 = 5.42101086242752217004e-20; diff2 = 1.85461553666200633372; -869/1000
Check failed for (fp80): alpha = -5.45380484663188106224; diff1 = 1.08420217248550443401e-19; diff2 = 1.83137843172231596115; -868/1000
Check failed for (fp80): alpha = -5.44752166132470147563; diff1 = 5.42101086242752217004e-20; diff2 = 1.80840718747804159909; -867/1000
Check failed for (fp80): alpha = -5.43495529071034230283; diff1 = 5.42101086242752217004e-20; diff2 = 1.7632371847263782305; -865/1000
Check failed for (fp80): alpha = -5.42867210540316271622; diff1 = 5.42101086242752217004e-20; diff2 = 1.74102632762082153595; -864/1000
Check failed for (fp80): alpha = -5.42238892009598312961; diff1 = 5.42101086242752217004e-20; diff2 = 1.71905712077514886689; -863/1000
Check failed for (fp80): alpha = -5.41610573478880354299; diff1 = 5.42101086242752217004e-20; diff2 = 1.69732393518054752398; -862/1000
Check failed for (fp80): alpha = -5.40982254948162395638; diff1 = 5.42101086242752217004e-20; diff2 = 1.67582129900979559111; -861/1000
Check failed for (fp80): alpha = -5.38468980825290561079; diff1 = 5.42101086242752217004e-20; diff2 = 1.5920120023627192191; -857/1000
Check failed for (fp80): alpha = -5.37840662294572602418; diff1 = 5.42101086242752217004e-20; diff2 = 1.57158515332953602683; -856/1000
Check failed for (fp80): alpha = -5.372123437638546438; diff1 = 5.42101086242752217004e-20; diff2 = 1.55135902209922620846; -855/1000
Check failed for (fp80): alpha = -5.36584025233136685138; diff1 = 5.42101086242752217004e-20; diff2 = 1.53132909095603659774; -854/1000
Check failed for (fp80): alpha = -5.35327388171700767859; diff1 = 5.42101086242752217004e-20; diff2 = 1.49184034358359868993; -852/1000
Check failed for (fp80): alpha = -5.34699069640982809198; diff1 = 1.08420217248550443401e-19; diff2 = 1.47237306545816533647; -851/1000
Check failed for (fp80): alpha = -5.32814114048828933257; diff1 = 1.08420217248550443401e-19; diff2 = 1.4150310741884548684; -848/1000
Check failed for (fp80): alpha = -5.31557476987393015934; diff1 = 5.42101086242752217004e-20; diff2 = 1.37764783266710364807; -846/1000
Check failed for (fp80): alpha = -5.30929158456675057316; diff1 = 5.42101086242752217004e-20; diff2 = 1.35919859644905304408; -845/1000
Check failed for (fp80): alpha = -5.29044202864521181376; diff1 = 5.42101086242752217004e-20; diff2 = 1.30477863572609768198; -842/1000
Check failed for (fp80): alpha = -5.27787565803085264053; diff1 = 5.42101086242752217004e-20; diff2 = 1.26923859508829620134; -840/1000
Check failed for (fp80): alpha = -5.25902610210931388155; diff1 = 5.42101086242752217004e-20; diff2 = 1.21697547736151523369; -837/1000
Check failed for (fp80): alpha = -5.24017654618777512171; diff1 = 5.42101086242752217004e-20; diff2 = 1.16589779050600199275; -834/1000
Check failed for (fp80): alpha = -5.22761017557341594892; diff1 = 5.42101086242752217004e-20; diff2 = 1.13246734130406115056; -832/1000
Check failed for (fp80): alpha = -5.18991106373033843011; diff1 = 5.42101086242752217004e-20; diff2 = 1.03493075019145421315; -826/1000
Check failed for (fp80): alpha = -4.24743326765340045844; diff1 = 5.42101086242752217004e-20; diff2 = 1.00327240151302916112; -676/1000
Check failed for (fp80): alpha = -4.22858371173186169904; diff1 = 5.42101086242752217004e-20; diff2 = 1.05091420089357276977; -673/1000
Check failed for (fp80): alpha = -4.21601734111750252581; diff1 = 5.42101086242752217004e-20; diff2 = 1.08320111465857773538; -671/1000
Check failed for (fp80): alpha = -4.1971677851959637664; diff1 = 5.42101086242752217004e-20; diff2 = 1.13246734130406115078; -668/1000
Check failed for (fp80): alpha = -4.19088459988878418022; diff1 = 5.42101086242752217004e-20; diff2 = 1.1491222219143609317; -667/1000
Check failed for (fp80): alpha = -4.18460141458160459361; diff1 = 5.42101086242752217004e-20; diff2 = 1.16589779050600199297; -666/1000
Check failed for (fp80): alpha = -4.17203504396724542081; diff1 = 5.42101086242752217004e-20; diff2 = 1.19982167333427443951; -664/1000
Check failed for (fp80): alpha = -4.1657518586600658342; diff1 = 1.08420217248550443401e-19; diff2 = 1.21697547736151523272; -663/1000
Check failed for (fp80): alpha = -4.14061911743134748818; diff1 = 5.42101086242752217004e-20; diff2 = 1.28693676971692164395; -659/1000
Check failed for (fp80): alpha = -4.12176956150980872877; diff1 = 5.42101086242752217004e-20; diff2 = 1.34090625062646693179; -656/1000
Check failed for (fp80): alpha = -4.09663682028109038319; diff1 = 5.42101086242752217004e-20; diff2 = 1.41503107418845486742; -652/1000
Check failed for (fp80): alpha = -4.09035363497391079657; diff1 = 5.42101086242752217004e-20; diff2 = 1.43397234819580589598; -651/1000
Check failed for (fp80): alpha = -4.08407044966673120996; diff1 = 5.42101086242752217004e-20; diff2 = 1.4530850560107217719; -650/1000
Check failed for (fp80): alpha = -4.07778726435955162378; diff1 = 5.42101086242752217004e-20; diff2 = 1.47237306545816533528; -649/1000
Check failed for (fp80): alpha = -4.07150407905237203716; diff1 = 5.42101086242752217004e-20; diff2 = 1.49184034358359868862; -648/1000
Check failed for (fp80): alpha = -4.06522089374519245098; diff1 = 5.42101086242752217004e-20; diff2 = 1.51149096009680786895; -647/1000
Check failed for (fp80): alpha = -4.05893770843801286437; diff1 = 5.42101086242752217004e-20; diff2 = 1.53132909095603659644; -646/1000
Check failed for (fp80): alpha = -4.05265452313083327776; diff1 = 5.42101086242752217004e-20; diff2 = 1.55135902209922620716; -645/1000
Check failed for (fp80): alpha = -4.04637133782365369114; diff1 = 5.42101086242752217004e-20; diff2 = 1.57158515332953602705; -644/1000
Check failed for (fp80): alpha = -4.03380496720929451792; diff1 = 5.42101086242752217004e-20; diff2 = 1.61264420904435540208; -642/1000
Check failed for (fp80): alpha = -4.01495541128775575894; diff1 = 5.42101086242752217004e-20; diff2 = 1.67582129900979559132; -639/1000
Check failed for (fp80): alpha = -4.00867222598057617233; diff1 = 1.08420217248550443401e-19; diff2 = 1.6973239351805475242; -638/1000
Check failed for (fp80): alpha = -3.99610585536621699954; diff1 = 1.08420217248550443401e-19; diff2 = 1.74102632762082153465; -636/1000
Check failed for (fp80): alpha = -3.98353948475185782653; diff1 = 5.42101086242752217004e-20; diff2 = 1.78569548420746132306; -634/1000
Check failed for (fp80): alpha = -3.97725629944467823991; diff1 = 1.08420217248550443401e-19; diff2 = 1.80840718747804159844; -633/1000
Check failed for (fp80): alpha = -3.9709731141374986533; diff1 = 5.42101086242752217004e-20; diff2 = 1.8313784317223159605; -632/1000
Check failed for (fp80): alpha = -3.96468992883031906712; diff1 = 1.08420217248550443401e-19; diff2 = 1.85461553666200633329; -631/1000
Check failed for (fp80): alpha = -3.9584067435231394805; diff1 = 1.08420217248550443401e-19; diff2 = 1.87812501163498470481; -630/1000
Check failed for (fp80): alpha = -3.95212355821595989389; diff1 = 1.08420217248550443401e-19; diff2 = 1.90191356300213645805; -629/1000
Check failed for (fp80): alpha = -3.94584037290878030771; diff1 = 1.08420217248550443401e-19; diff2 = 1.92598810190043076237; -628/1000
Check failed for (fp80): alpha = -3.9395571876016007211; diff1 = 1.08420217248550443401e-19; diff2 = 1.95035575236129826422; -627/1000
Check failed for (fp80): alpha = -3.9332740022944211347; diff1 = 1.08420217248550443401e-19; diff2 = 1.97502385981462860688; -626/1000
Check failed for (fp80): alpha = -3.89557489045134361589; diff1 = 1.08420217248550443401e-19; diff2 = 2.12978368064958373338; -620/1000
Check failed for (fp80): alpha = -3.88929170514416402927; diff1 = 1.08420217248550443401e-19; diff2 = 2.15678124167951387052; -619/1000
Check failed for (fp80): alpha = -3.86415896391544568347; diff1 = 1.08420217248550443401e-19; diff2 = 2.26855469851081092752; -615/1000
Check failed for (fp80): alpha = -3.83902622268672733723; diff1 = 1.08420217248550443401e-19; diff2 = 2.38688934337062570517; -611/1000
Check failed for (fp80): alpha = -3.83274303737954775105; diff1 = 1.08420217248550443401e-19; diff2 = 2.41758470081921826144; -610/1000
Check failed for (fp80): alpha = -3.82017666676518857826; diff1 = 1.08420217248550443401e-19; diff2 = 2.48039832814107165165; -608/1000
Check failed for (fp80): alpha = -3.81389348145800899164; diff1 = 1.08420217248550443401e-19; diff2 = 2.51254387156853359504; -607/1000
Check failed for (fp80): alpha = -3.80761029615082940503; diff1 = 1.08420217248550443401e-19; diff2 = 2.54520093392690927026; -606/1000
Check failed for (fp80): alpha = -3.80132711084364981863; diff1 = 1.08420217248550443401e-19; diff2 = 2.57838446357013334042; -605/1000
Check failed for (fp80): alpha = -3.77619436961493147261; diff1 = 1.08420217248550443401e-19; diff2 = 2.71670277991352752565; -601/1000
Check failed for (fp80): alpha = -3.76991118430775188643; diff1 = 1.08420217248550443401e-19; diff2 = 2.75276384094234707499; -600/1000
Check failed for (fp80): alpha = -3.7573448136933927132; diff1 = 1.08420217248550443401e-19; diff2 = 2.82679304572450476769; -598/1000
Check failed for (fp80): alpha = -3.75106162838621312681; diff1 = 1.08420217248550443401e-19; diff2 = 2.86480116214218411387; -597/1000
Check failed for (fp80): alpha = -3.74477844307903354019; diff1 = 1.08420217248550443401e-19; diff2 = 2.90349965002018367121; -596/1000
Check failed for (fp80): alpha = -3.7322120724646743674; diff1 = 1.08420217248550443401e-19; diff2 = 2.98305716610032455993; -594/1000
Check failed for (fp80): alpha = -3.71336251654313560799; diff1 = 1.08420217248550443401e-19; diff2 = 3.10815581163311670503; -591/1000
Check failed for (fp80): alpha = -3.70707933123595602138; diff1 = 1.08420217248550443401e-19; diff2 = 3.15149571993730217385; -590/1000
