Check failed for (fp32): x = -6.270619; diff = 2.980232e-07; -998/1000
Check failed for (fp32): x = -6.264336; diff = 3.576279e-07; -997/1000
Check failed for (fp32): x = -6.258053; diff = 2.980232e-07; -996/1000
Check failed for (fp32): x = -6.25177; diff = 1.192093e-07; -995/1000
Check failed for (fp32): x = -6.245486; diff = 1.192093e-07; -994/1000
Check failed for (fp32): x = -6.239203; diff = 1.788139e-07; -993/1000
Check failed for (fp32): x = -6.23292; diff = 5.960464e-08; -992/1000
Check failed for (fp32): x = -6.226637; diff = 3.576279e-07; -991/1000
Check failed for (fp32): x = -6.220354; diff = 1.788139e-07; -990/1000
Check failed for (fp32): x = -6.214071; diff = 5.960464e-08; -989/1000
Check failed for (fp32): x = -6.207787; diff = 2.980232e-07; -988/1000
Check failed for (fp32): x = -6.201504; diff = 2.980232e-07; -987/1000
Check failed for (fp32): x = -6.195221; diff = 5.960464e-08; -986/1000
Check failed for (fp32): x = -6.188938; diff = 1.192093e-07; -985/1000
Check failed for (fp32): x = -6.182655; diff = 1.192093e-07; -984/1000
Check failed for (fp32): x = -6.176371; diff = 5.960464e-08; -983/1000
Check failed for (fp32): x = -6.170088; diff = 2.384186e-07; -982/1000
Check failed for (fp32): x = -6.157522; diff = 2.384186e-07; -980/1000
Check failed for (fp32): x = -6.151238; diff = 4.172325e-07; -979/1000
Check failed for (fp32): x = -6.144955; diff = 5.364418e-07; -978/1000
Check failed for (fp32): x = -6.138672; diff = 2.384186e-07; -977/1000
Check failed for (fp32): x = -6.132389; diff = 5.960464e-08; -976/1000
Check failed for (fp32): x = -6.126106; diff = 2.384186e-07; -975/1000
Check failed for (fp32): x = -6.119823; diff = 2.980232e-07; -974/1000
Check failed for (fp32): x = -6.113539; diff = 4.172325e-07; -973/1000
Check failed for (fp32): x = -6.107256; diff = 5.364418e-07; -972/1000
Check failed for (fp32): x = -6.100973; diff = 1.192093e-07; -971/1000
Check failed for (fp32): x = -6.09469; diff = 5.960464e-08; -970/1000
Check failed for (fp32): x = -6.088407; diff = 1.788139e-07; -969/1000
Check failed for (fp32): x = -6.082123; diff = 1.192093e-07; -968/1000
Check failed for (fp32): x = -6.07584; diff = 3.576279e-07; -967/1000
Check failed for (fp32): x = -6.063274; diff = 5.364418e-07; -965/1000
Check failed for (fp32): x = -6.056991; diff = 4.768372e-07; -964/1000
Check failed for (fp32): x = -6.050708; diff = 2.384186e-07; -963/1000
Check failed for (fp32): x = -6.038141; diff = 2.384186e-07; -961/1000
Check failed for (fp32): x = -6.031858; diff = 1.788139e-07; -960/1000
Check failed for (fp32): x = -6.025575; diff = 4.172325e-07; -959/1000
Check failed for (fp32): x = -6.019292; diff = 8.34465e-07; -958/1000
Check failed for (fp32): x = -6.013009; diff = 5.960464e-07; -957/1000
Check failed for (fp32): x = -6.006725; diff = 1.192093e-07; -956/1000
Check failed for (fp32): x = -6.000442; diff = 4.768372e-07; -955/1000
Check failed for (fp32): x = -5.994159; diff = 7.152557e-07; -954/1000
Check failed for (fp32): x = -5.987876; diff = 7.748604e-07; -953/1000
Check failed for (fp32): x = -5.981593; diff = 4.768372e-07; -952/1000
Check failed for (fp32): x = -5.975309; diff = 5.960464e-08; -951/1000
Check failed for (fp32): x = -5.969026; diff = 2.384186e-07; -950/1000
Check failed for (fp32): x = -5.962743; diff = 7.152557e-07; -949/1000
Check failed for (fp32): x = -5.95646; diff = 5.364418e-07; -948/1000
Check failed for (fp32): x = -5.950177; diff = 2.980232e-07; -947/1000
Check failed for (fp32): x = -5.943893; diff = 1.192093e-07; -946/1000
Check failed for (fp32): x = -5.93761; diff = 4.768372e-07; -945/1000
Check failed for (fp32): x = -5.931327; diff = 4.768372e-07; -944/1000
Check failed for (fp32): x = -5.925044; diff = 1.013279e-06; -943/1000
Check failed for (fp32): x = -5.918761; diff = 2.086163e-07; -942/1000
Check failed for (fp32): x = -5.906194; diff = 1.788139e-07; -940/1000
Check failed for (fp32): x = -5.899911; diff = 4.172325e-07; -939/1000
Check failed for (fp32): x = -5.893628; diff = 8.046627e-07; -938/1000
Check failed for (fp32): x = -5.887345; diff = 6.854534e-07; -937/1000
Check failed for (fp32): x = -5.874778; diff = 4.768372e-07; -935/1000
Check failed for (fp32): x = -5.868495; diff = 5.960464e-08; -934/1000
Check failed for (fp32): x = -5.862212; diff = 7.748604e-07; -933/1000
Check failed for (fp32): x = -5.855929; diff = 3.874302e-07; -932/1000
Check failed for (fp32): x = -5.849646; diff = 5.960464e-08; -931/1000
Check failed for (fp32): x = -5.843362; diff = 4.768372e-07; -930/1000
Check failed for (fp32): x = -5.83708; diff = 4.917383e-07; -929/1000
Check failed for (fp32): x = -5.830796; diff = 1.788139e-07; -928/1000
Check failed for (fp32): x = -5.824513; diff = 1.192093e-07; -927/1000
Check failed for (fp32): x = -5.811947; diff = 1.043081e-07; -925/1000
Check failed for (fp32): x = -5.805664; diff = 5.066395e-07; -924/1000
Check failed for (fp32): x = -5.79938; diff = 7.227063e-07; -923/1000
Check failed for (fp32): x = -5.793097; diff = 3.874302e-07; -922/1000
Check failed for (fp32): x = -5.786814; diff = 7.450581e-08; -921/1000
Check failed for (fp32): x = -5.774248; diff = 7.040799e-07; -919/1000
Check failed for (fp32): x = -5.767964; diff = 1.052395e-06; -918/1000
Check failed for (fp32): x = -5.761681; diff = 5.587935e-07; -917/1000
Check failed for (fp32): x = -5.749115; diff = 1.937151e-07; -915/1000
Check failed for (fp32): x = -5.742831; diff = 8.828938e-07; -914/1000
Check failed for (fp32): x = -5.736548; diff = 1.132488e-06; -913/1000
Check failed for (fp32): x = -5.730265; diff = 7.450581e-07; -912/1000
Check failed for (fp32): x = -5.717699; diff = 1.043081e-07; -910/1000
Check failed for (fp32): x = -5.711415; diff = 7.301569e-07; -909/1000
Check failed for (fp32): x = -5.705132; diff = 7.301569e-07; -908/1000
Check failed for (fp32): x = -5.698849; diff = 3.576279e-07; -907/1000
Check failed for (fp32): x = -5.692566; diff = 1.937151e-07; -906/1000
Check failed for (fp32): x = -5.686283; diff = 4.470348e-07; -905/1000
Check failed for (fp32): x = -5.679999; diff = 1.102686e-06; -904/1000
Check failed for (fp32): x = -5.673717; diff = 9.834766e-07; -903/1000
Check failed for (fp32): x = -5.667433; diff = 6.854534e-07; -902/1000
Check failed for (fp32): x = -5.66115; diff = 4.172325e-07; -901/1000
Check failed for (fp32): x = -5.654867; diff = 5.066395e-07; -900/1000
Check failed for (fp32): x = -5.648584; diff = 5.066395e-07; -899/1000
Check failed for (fp32): x = -5.642301; diff = 1.162291e-06; -898/1000
Check failed for (fp32): x = -5.636017; diff = 2.384186e-07; -897/1000
Check failed for (fp32): x = -5.629735; diff = 5.960464e-07; -896/1000
Check failed for (fp32): x = -5.623451; diff = 3.278255e-07; -895/1000
Check failed for (fp32): x = -5.617168; diff = 5.364418e-07; -894/1000
Check failed for (fp32): x = -5.610885; diff = 1.013279e-06; -893/1000
Check failed for (fp32): x = -5.604601; diff = 2.980232e-07; -892/1000
Check failed for (fp32): x = -5.592035; diff = 2.980232e-07; -890/1000
Check failed for (fp32): x = -5.585752; diff = 5.960464e-07; -889/1000
Check failed for (fp32): x = -5.579469; diff = 7.152557e-07; -888/1000
Check failed for (fp32): x = -5.573185; diff = 6.556511e-07; -887/1000
Check failed for (fp32): x = -5.566902; diff = 5.960464e-08; -886/1000
Check failed for (fp32): x = -5.560619; diff = 4.768372e-07; -885/1000
Check failed for (fp32): x = -5.554336; diff = 5.960464e-07; -884/1000
Check failed for (fp32): x = -5.548053; diff = 7.748604e-07; -883/1000
Check failed for (fp32): x = -5.54177; diff = 7.748604e-07; -882/1000
Check failed for (fp32): x = -5.535486; diff = 1.192093e-07; -881/1000
Check failed for (fp32): x = -5.529203; diff = 5.960464e-08; -880/1000
Check failed for (fp32): x = -5.52292; diff = 3.576279e-07; -879/1000
Check failed for (fp32): x = -5.516637; diff = 5.364418e-07; -878/1000
Check failed for (fp32): x = -5.510354; diff = 1.788139e-07; -877/1000
Check failed for (fp32): x = -5.50407; diff = 5.960464e-08; -876/1000
