Check failed for (fp128): x = -6.170087971650353920340631604760943839e+00; diff = 1.925929944387235853055977942584927319e-34; -982/1000
Check failed for (fp128): x = -6.000441968356505085463648862063850436e+00; diff = 1.925929944387235853055977942584927319e-34; -955/1000
Check failed for (fp128): x = -5.868495076905733769448217839966111207e+00; diff = 1.925929944387235853055977942584927319e-34; -934/1000
Check failed for (fp128): x = -5.202477434344697602894137442710856935e+00; diff = 1.925929944387235853055977942584927319e-34; -828/1000
Check failed for (fp128): x = -5.108229654737003805740258141212471111e+00; diff = 1.925929944387235853055977942584927319e-34; -813/1000
Check failed for (fp128): x = -4.781504018763665308940143229351402876e+00; diff = 1.925929944387235853055977942584927319e-34; -761/1000
Check failed for (fp128): x = -3.487167845484670494693534155440248506e+00; diff = 1.925929944387235853055977942584927319e-34; -555/1000
Check failed for (fp128): x = -2.959380279681585230631810067049291592e+00; diff = 1.925929944387235853055977942584927319e-34; -471/1000
Check failed for (fp128): x = -1.438849435344125303215890669542012363e+00; diff = 1.925929944387235853055977942584927319e-34; -229/1000
Check failed for (fp128): x = -1.388583952886688611400488375409540193e+00; diff = 1.925929944387235853055977942584927319e-34; -221/1000
Check failed for (fp128): x = -1.281769802664635641292758500378037146e+00; diff = 1.925929944387235853055977942584927319e-34; -204/1000
Check failed for (fp128): x = -5.089380098815465046309482280912794409e-01; diff = 1.925929944387235853055977942584927319e-34; -81/1000
Check failed for (fp128): x = 5.089380098815465046309482280912794409e-01; diff = 1.925929944387235853055977942584927319e-34; 81/1000
Check failed for (fp128): x = 1.281769802664635641292758500378037146e+00; diff = 1.925929944387235853055977942584927319e-34; 204/1000
Check failed for (fp128): x = 1.388583952886688611400488375409540193e+00; diff = 1.925929944387235853055977942584927319e-34; 221/1000
Check failed for (fp128): x = 1.438849435344125303215890669542012363e+00; diff = 1.925929944387235853055977942584927319e-34; 229/1000
Check failed for (fp128): x = 2.959380279681585230631810067049291592e+00; diff = 1.925929944387235853055977942584927319e-34; 471/1000
Check failed for (fp128): x = 3.487167845484670494693534155440248506e+00; diff = 1.925929944387235853055977942584927319e-34; 555/1000
Check failed for (fp128): x = 4.781504018763665308940143229351402876e+00; diff = 1.925929944387235853055977942584927319e-34; 761/1000
Check failed for (fp128): x = 5.108229654737003805740258141212471111e+00; diff = 1.925929944387235853055977942584927319e-34; 813/1000
Check failed for (fp128): x = 5.202477434344697602894137442710856935e+00; diff = 1.925929944387235853055977942584927319e-34; 828/1000
Check failed for (fp128): x = 5.868495076905733769448217839966111207e+00; diff = 1.925929944387235853055977942584927319e-34; 934/1000
Check failed for (fp128): x = 6.000441968356505085463648862063850436e+00; diff = 1.925929944387235853055977942584927319e-34; 955/1000
Check failed for (fp128): x = 6.170087971650353920340631604760943839e+00; diff = 1.925929944387235853055977942584927319e-34; 982/1000
Epsilon (fp128): 1.925929944387235853055977942584927319e-34
Failed: 24; OK: 1977
