Check failed for (fp64): alpha = -5.7868136679124; beta = -1.4467034169781; diff = 4.9960036108132e-16; -921/1000
Check failed for (fp64): alpha = -5.78053048260522; beta = -1.4451326206513; diff = 2.22044604925031e-16; -920/1000
Check failed for (fp64): alpha = -5.77424729729804; beta = -1.44356182432451; diff = 2.22044604925031e-16; -919/1000
Check failed for (fp64): alpha = -5.7553977413765; beta = -1.43884943534413; diff = 2.22044604925031e-16; -916/1000
Check failed for (fp64): alpha = -5.74911455606932; beta = -1.43727863901733; diff = 1.66533453693773e-16; -915/1000
Check failed for (fp64): alpha = -5.74283137076214; beta = -1.43570784269054; diff = 3.88578058618805e-16; -914/1000
Check failed for (fp64): alpha = -5.73654818545496; beta = -1.43413704636374; diff = 4.44089209850063e-16; -913/1000
Check failed for (fp64): alpha = -5.73026500014778; beta = -1.43256625003695; diff = 4.44089209850063e-16; -912/1000
Check failed for (fp64): alpha = -5.7239818148406; beta = -1.43099545371015; diff = 2.22044604925031e-16; -911/1000
Check failed for (fp64): alpha = -5.71769862953342; beta = -1.42942465738336; diff = 1.66533453693773e-16; -910/1000
Check failed for (fp64): alpha = -5.70513225891906; beta = -1.42628306472977; diff = 1.11022302462516e-16; -908/1000
Check failed for (fp64): alpha = -5.69884907361188; beta = -1.42471226840297; diff = 1.66533453693773e-16; -907/1000
Check failed for (fp64): alpha = -5.69256588830471; beta = -1.42314147207618; diff = 2.22044604925031e-16; -906/1000
Check failed for (fp64): alpha = -5.68628270299753; beta = -1.42157067574938; diff = 3.88578058618805e-16; -905/1000
Check failed for (fp64): alpha = -5.67999951769035; beta = -1.41999987942259; diff = 4.44089209850063e-16; -904/1000
Check failed for (fp64): alpha = -5.67371633238317; beta = -1.41842908309579; diff = 2.22044604925031e-16; -903/1000
Check failed for (fp64): alpha = -5.66743314707599; beta = -1.416858286769; diff = 2.22044604925031e-16; -902/1000
Check failed for (fp64): alpha = -5.65486677646163; beta = -1.41371669411541; diff = 1.11022302462516e-16; -900/1000
Check failed for (fp64): alpha = -5.64230040584727; beta = -1.41057510146182; diff = 2.22044604925031e-16; -898/1000
Check failed for (fp64): alpha = -5.63601722054009; beta = -1.40900430513502; diff = 1.66533453693773e-16; -897/1000
