Check failed for (fp64): x = -6.05070745081394; diff = 1.11022302462516e-16; -963/1000
Check failed for (fp64): x = -6.00672515366368; diff = 1.11022302462516e-16; -956/1000
Check failed for (fp64): x = -6.0004419683565; diff = 1.11022302462516e-16; -955/1000
Check failed for (fp64): x = -5.98159241243497; diff = 1.11022302462516e-16; -952/1000
Check failed for (fp64): x = -5.96274285651343; diff = 1.11022302462516e-16; -949/1000
Check failed for (fp64): x = -5.95017648589907; diff = 1.11022302462516e-16; -947/1000
Check failed for (fp64): x = -5.94389330059189; diff = 1.11022302462516e-16; -946/1000
Check failed for (fp64): x = -5.93761011528471; diff = 1.11022302462516e-16; -945/1000
Check failed for (fp64): x = -5.93132692997753; diff = 1.11022302462516e-16; -944/1000
Check failed for (fp64): x = -5.91247737405599; diff = 1.11022302462516e-16; -941/1000
Check failed for (fp64): x = -5.90619418874881; diff = 1.11022302462516e-16; -940/1000
Check failed for (fp64): x = -5.89991100344163; diff = 1.11022302462516e-16; -939/1000
Check failed for (fp64): x = -5.89362781813445; diff = 1.11022302462516e-16; -938/1000
Check failed for (fp64): x = -5.88106144752009; diff = 2.22044604925031e-16; -936/1000
Check failed for (fp64): x = -5.79309685321958; diff = 2.22044604925031e-16; -922/1000
Check failed for (fp64): x = -5.7868136679124; diff = 4.44089209850063e-16; -921/1000
Check failed for (fp64): x = -5.78053048260522; diff = 2.22044604925031e-16; -920/1000
Check failed for (fp64): x = -5.77424729729804; diff = 2.22044604925031e-16; -919/1000
Check failed for (fp64): x = -5.76168092668368; diff = 4.44089209850063e-16; -917/1000
Check failed for (fp64): x = -5.7553977413765; diff = 2.22044604925031e-16; -916/1000
Check failed for (fp64): x = -5.74911455606932; diff = 2.22044604925031e-16; -915/1000
Check failed for (fp64): x = -5.7239818148406; diff = 4.44089209850063e-16; -911/1000
Check failed for (fp64): x = -5.71769862953342; diff = 4.44089209850063e-16; -910/1000
Check failed for (fp64): x = -5.71141544422624; diff = 4.44089209850063e-16; -909/1000
Check failed for (fp64): x = -5.68628270299753; diff = 4.44089209850063e-16; -905/1000
Check failed for (fp64): x = -5.67999951769035; diff = 8.88178419700125e-16; -904/1000
Check failed for (fp64): x = -5.67371633238317; diff = 4.44089209850063e-16; -903/1000
Check failed for (fp64): x = -5.66743314707599; diff = 8.88178419700125e-16; -902/1000
Check failed for (fp64): x = -5.64230040584727; diff = 8.88178419700125e-16; -898/1000
Check failed for (fp64): x = -5.63601722054009; diff = 4.44089209850063e-16; -897/1000
Check failed for (fp64): x = -5.62973403523291; diff = 4.44089209850063e-16; -896/1000
Check failed for (fp64): x = -5.62345084992573; diff = 8.88178419700125e-16; -895/1000
Check failed for (fp64): x = -5.61088447931137; diff = 8.88178419700125e-16; -893/1000
Check failed for (fp64): x = -5.60460129400419; diff = 1.77635683940025e-15; -892/1000
Check failed for (fp64): x = -5.59831810869701; diff = 2.66453525910038e-15; -891/1000
Check failed for (fp64): x = -5.59203492338983; diff = 1.77635683940025e-15; -890/1000
Check failed for (fp64): x = -5.58575173808265; diff = 2.66453525910038e-15; -889/1000
Check failed for (fp64): x = -5.57946855277547; diff = 1.77635683940025e-15; -888/1000
Check failed for (fp64): x = -5.57318536746829; diff = 2.66453525910038e-15; -887/1000
Check failed for (fp64): x = -5.56690218216111; diff = 1.77635683940025e-15; -886/1000
Check failed for (fp64): x = -5.56061899685393; diff = 5.32907051820075e-15; -885/1000
Check failed for (fp64): x = -5.54805262623958; diff = 7.105427357601e-15; -883/1000
Check failed for (fp64): x = -5.54176944093239; diff = 5.32907051820075e-15; -882/1000
Check failed for (fp64): x = -5.53548625562522; diff = 1.06581410364015e-14; -881/1000
Check failed for (fp64): x = -5.52920307031804; diff = 1.06581410364015e-14; -880/1000
Check failed for (fp64): x = -5.52291988501086; diff = 1.4210854715202e-14; -879/1000
Check failed for (fp64): x = -5.51663669970368; diff = 1.77635683940025e-14; -878/1000
Check failed for (fp64): x = -5.5103535143965; diff = 7.105427357601e-15; -877/1000
Check failed for (fp64): x = -5.50407032908932; diff = 5.6843418860808e-14; -876/1000
Check failed for (fp64): x = -5.49778714378214; diff = 81234379628375.5; -875/1000
Check failed for (fp64): x = -5.49150395847496; diff = 1.4210854715202e-14; -874/1000
Check failed for (fp64): x = -5.48522077316778; diff = 2.1316282072803e-14; -873/1000
Check failed for (fp64): x = -5.4789375878606; diff = 3.5527136788005e-15; -872/1000
Check failed for (fp64): x = -5.47265440255342; diff = 7.105427357601e-15; -871/1000
Check failed for (fp64): x = -5.46637121724624; diff = 1.77635683940025e-15; -870/1000
Check failed for (fp64): x = -5.46008803193906; diff = 1.06581410364015e-14; -869/1000
Check failed for (fp64): x = -5.45380484663188; diff = 3.5527136788005e-15; -868/1000
Check failed for (fp64): x = -5.4475216613247; diff = 1.77635683940025e-15; -867/1000
Check failed for (fp64): x = -5.44123847601752; diff = 1.77635683940025e-15; -866/1000
Check failed for (fp64): x = -5.43495529071034; diff = 4.44089209850063e-15; -865/1000
Check failed for (fp64): x = -5.42867210540316; diff = 8.88178419700125e-16; -864/1000
Check failed for (fp64): x = -5.42238892009598; diff = 2.66453525910038e-15; -863/1000
Check failed for (fp64): x = -5.4161057347888; diff = 8.88178419700125e-16; -862/1000
Check failed for (fp64): x = -5.40982254948162; diff = 2.66453525910038e-15; -861/1000
Check failed for (fp64): x = -5.40353936417444; diff = 1.77635683940025e-15; -860/1000
Check failed for (fp64): x = -5.39725617886726; diff = 1.77635683940025e-15; -859/1000
Check failed for (fp64): x = -5.39097299356008; diff = 1.77635683940025e-15; -858/1000
Check failed for (fp64): x = -5.38468980825291; diff = 8.88178419700125e-16; -857/1000
Check failed for (fp64): x = -5.37212343763855; diff = 4.44089209850063e-16; -855/1000
Check failed for (fp64): x = -5.36584025233137; diff = 8.88178419700125e-16; -854/1000
Check failed for (fp64): x = -5.35327388171701; diff = 4.44089209850063e-16; -852/1000
Check failed for (fp64): x = -5.34699069640983; diff = 4.44089209850063e-16; -851/1000
Check failed for (fp64): x = -5.34070751110265; diff = 4.44089209850063e-16; -850/1000
Check failed for (fp64): x = -5.33442432579547; diff = 4.44089209850063e-16; -849/1000
Check failed for (fp64): x = -5.32814114048829; diff = 4.44089209850063e-16; -848/1000
Check failed for (fp64): x = -5.32185795518111; diff = 4.44089209850063e-16; -847/1000
Check failed for (fp64): x = -5.29672521395239; diff = 4.44089209850063e-16; -843/1000
Check failed for (fp64): x = -5.29044202864521; diff = 4.44089209850063e-16; -842/1000
Check failed for (fp64): x = -5.28415884333803; diff = 4.44089209850063e-16; -841/1000
Check failed for (fp64): x = -5.27159247272367; diff = 4.44089209850063e-16; -839/1000
Check failed for (fp64): x = -5.26530928741649; diff = 4.44089209850063e-16; -838/1000
Check failed for (fp64): x = -5.25902610210931; diff = 2.22044604925031e-16; -837/1000
Check failed for (fp64): x = -5.25274291680213; diff = 2.22044604925031e-16; -836/1000
Check failed for (fp64): x = -5.23389336088059; diff = 2.22044604925031e-16; -833/1000
Check failed for (fp64): x = -5.22761017557342; diff = 4.44089209850063e-16; -832/1000
Check failed for (fp64): x = -5.20876061965188; diff = 2.22044604925031e-16; -829/1000
Check failed for (fp64): x = -5.2024774343447; diff = 2.22044604925031e-16; -828/1000
Check failed for (fp64): x = -5.19619424903752; diff = 2.22044604925031e-16; -827/1000
Check failed for (fp64): x = -5.18362787842316; diff = 2.22044604925031e-16; -825/1000
Check failed for (fp64): x = -5.16477832250162; diff = 2.22044604925031e-16; -822/1000
Check failed for (fp64): x = -5.15849513719444; diff = 2.22044604925031e-16; -821/1000
Check failed for (fp64): x = -5.11451284004418; diff = 2.22044604925031e-16; -814/1000
Check failed for (fp64): x = -5.10194646942982; diff = 1.11022302462516e-16; -812/1000
