Check failed for (fp32): x = -6.019292; diff = 5.960464e-08; -958/1000
Check failed for (fp32): x = -6.000442; diff = 5.960464e-08; -955/1000
Check failed for (fp32): x = -5.987876; diff = 5.960464e-08; -953/1000
Check failed for (fp32): x = -5.981593; diff = 5.960464e-08; -952/1000
Check failed for (fp32): x = -5.969026; diff = 5.960464e-08; -950/1000
Check failed for (fp32): x = -5.95646; diff = 5.960464e-08; -948/1000
Check failed for (fp32): x = -5.950177; diff = 5.960464e-08; -947/1000
Check failed for (fp32): x = -5.931327; diff = 5.960464e-08; -944/1000
Check failed for (fp32): x = -5.918761; diff = 5.960464e-08; -942/1000
Check failed for (fp32): x = -5.912477; diff = 5.960464e-08; -941/1000
Check failed for (fp32): x = -5.906194; diff = 5.960464e-08; -940/1000
Check failed for (fp32): x = -5.849646; diff = 1.192093e-07; -931/1000
Check failed for (fp32): x = -5.83708; diff = 1.192093e-07; -929/1000
Check failed for (fp32): x = -5.830796; diff = 1.192093e-07; -928/1000
Check failed for (fp32): x = -5.824513; diff = 1.192093e-07; -927/1000
Check failed for (fp32): x = -5.805664; diff = 1.192093e-07; -924/1000
Check failed for (fp32): x = -5.79938; diff = 1.192093e-07; -923/1000
Check failed for (fp32): x = -5.786814; diff = 1.192093e-07; -921/1000
Check failed for (fp32): x = -5.761681; diff = 1.192093e-07; -917/1000
Check failed for (fp32): x = -5.749115; diff = 1.192093e-07; -915/1000
Check failed for (fp32): x = -5.736548; diff = 1.192093e-07; -913/1000
Check failed for (fp32): x = -5.730265; diff = 1.192093e-07; -912/1000
Check failed for (fp32): x = -5.711415; diff = 2.384186e-07; -909/1000
Check failed for (fp32): x = -5.705132; diff = 2.384186e-07; -908/1000
Check failed for (fp32): x = -5.698849; diff = 2.384186e-07; -907/1000
Check failed for (fp32): x = -5.679999; diff = 2.384186e-07; -904/1000
Check failed for (fp32): x = -5.673717; diff = 2.384186e-07; -903/1000
Check failed for (fp32): x = -5.667433; diff = 2.384186e-07; -902/1000
Check failed for (fp32): x = -5.66115; diff = 4.768372e-07; -901/1000
Check failed for (fp32): x = -5.648584; diff = 2.384186e-07; -899/1000
Check failed for (fp32): x = -5.642301; diff = 4.768372e-07; -898/1000
Check failed for (fp32): x = -5.636017; diff = 4.768372e-07; -897/1000
Check failed for (fp32): x = -5.629735; diff = 4.768372e-07; -896/1000
Check failed for (fp32): x = -5.623451; diff = 2.384186e-07; -895/1000
Check failed for (fp32): x = -5.610885; diff = 4.768372e-07; -893/1000
Check failed for (fp32): x = -5.604601; diff = 4.768372e-07; -892/1000
Check failed for (fp32): x = -5.598318; diff = 9.536743e-07; -891/1000
Check failed for (fp32): x = -5.592035; diff = 4.768372e-07; -890/1000
Check failed for (fp32): x = -5.579469; diff = 9.536743e-07; -888/1000
Check failed for (fp32): x = -5.573185; diff = 9.536743e-07; -887/1000
Check failed for (fp32): x = -5.566902; diff = 4.768372e-07; -886/1000
Check failed for (fp32): x = -5.554336; diff = 1.907349e-06; -884/1000
Check failed for (fp32): x = -5.548053; diff = 9.536743e-07; -883/1000
Check failed for (fp32): x = -5.54177; diff = 2.861023e-06; -882/1000
Check failed for (fp32): x = -5.535486; diff = 9.536743e-07; -881/1000
Check failed for (fp32): x = -5.529203; diff = 2.861023e-06; -880/1000
Check failed for (fp32): x = -5.52292; diff = 1.144409e-05; -879/1000
Check failed for (fp32): x = -5.516637; diff = 1.144409e-05; -878/1000
Check failed for (fp32): x = -5.510354; diff = 2.670288e-05; -877/1000
Check failed for (fp32): x = -5.50407; diff = 0.0001068115; -876/1000
Check failed for (fp32): x = -5.497787; diff = 18285.88; -875/1000
Check failed for (fp32): x = -5.491504; diff = 0.0003814697; -874/1000
Check failed for (fp32): x = -5.485221; diff = 4.196167e-05; -873/1000
Check failed for (fp32): x = -5.478938; diff = 2.861023e-05; -872/1000
Check failed for (fp32): x = -5.472654; diff = 3.051758e-05; -871/1000
Check failed for (fp32): x = -5.466372; diff = 9.536743e-06; -870/1000
Check failed for (fp32): x = -5.460088; diff = 4.768372e-06; -869/1000
Check failed for (fp32): x = -5.453805; diff = 1.907349e-06; -868/1000
Check failed for (fp32): x = -5.447522; diff = 4.768372e-06; -867/1000
Check failed for (fp32): x = -5.441238; diff = 1.907349e-06; -866/1000
Check failed for (fp32): x = -5.434956; diff = 2.384186e-06; -865/1000
Check failed for (fp32): x = -5.428672; diff = 9.536743e-07; -864/1000
Check failed for (fp32): x = -5.422389; diff = 1.907349e-06; -863/1000
Check failed for (fp32): x = -5.416106; diff = 9.536743e-07; -862/1000
Check failed for (fp32): x = -5.409823; diff = 1.430511e-06; -861/1000
Check failed for (fp32): x = -5.40354; diff = 9.536743e-07; -860/1000
Check failed for (fp32): x = -5.397256; diff = 9.536743e-07; -859/1000
Check failed for (fp32): x = -5.390973; diff = 4.768372e-07; -858/1000
Check failed for (fp32): x = -5.378407; diff = 4.768372e-07; -856/1000
Check failed for (fp32): x = -5.372124; diff = 2.384186e-07; -855/1000
Check failed for (fp32): x = -5.36584; diff = 4.768372e-07; -854/1000
Check failed for (fp32): x = -5.359557; diff = 4.768372e-07; -853/1000
Check failed for (fp32): x = -5.353274; diff = 7.152557e-07; -852/1000
Check failed for (fp32): x = -5.346991; diff = 2.384186e-07; -851/1000
Check failed for (fp32): x = -5.340708; diff = 2.384186e-07; -850/1000
Check failed for (fp32): x = -5.328141; diff = 2.384186e-07; -848/1000
Check failed for (fp32): x = -5.321858; diff = 4.768372e-07; -847/1000
Check failed for (fp32): x = -5.315575; diff = 2.384186e-07; -846/1000
Check failed for (fp32): x = -5.309292; diff = 2.384186e-07; -845/1000
Check failed for (fp32): x = -5.303009; diff = 2.384186e-07; -844/1000
Check failed for (fp32): x = -5.284159; diff = 2.384186e-07; -841/1000
Check failed for (fp32): x = -5.271593; diff = 2.384186e-07; -839/1000
Check failed for (fp32): x = -5.265309; diff = 1.192093e-07; -838/1000
Check failed for (fp32): x = -5.259027; diff = 1.192093e-07; -837/1000
Check failed for (fp32): x = -5.252743; diff = 1.192093e-07; -836/1000
Check failed for (fp32): x = -5.233893; diff = 1.192093e-07; -833/1000
Check failed for (fp32): x = -5.221327; diff = 1.192093e-07; -831/1000
Check failed for (fp32): x = -5.215044; diff = 1.192093e-07; -830/1000
Check failed for (fp32): x = -5.208761; diff = 1.192093e-07; -829/1000
Check failed for (fp32): x = -5.202477; diff = 1.192093e-07; -828/1000
Check failed for (fp32): x = -5.158495; diff = 1.192093e-07; -821/1000
Check failed for (fp32): x = -5.152212; diff = 1.192093e-07; -820/1000
Check failed for (fp32): x = -5.145929; diff = 1.192093e-07; -819/1000
Check failed for (fp32): x = -5.133362; diff = 1.192093e-07; -817/1000
Check failed for (fp32): x = -5.127079; diff = 1.192093e-07; -816/1000
Check failed for (fp32): x = -5.08938; diff = 5.960464e-08; -810/1000
Check failed for (fp32): x = -5.076814; diff = 5.960464e-08; -808/1000
Check failed for (fp32): x = -5.07053; diff = 5.960464e-08; -807/1000
Check failed for (fp32): x = -5.057964; diff = 5.960464e-08; -805/1000
Check failed for (fp32): x = -5.051681; diff = 5.960464e-08; -804/1000
Check failed for (fp32): x = -5.001416; diff = 5.960464e-08; -796/1000
Check failed for (fp32): x = -4.995132; diff = 5.960464e-08; -795/1000
Check failed for (fp32): x = -4.98885; diff = 5.960464e-08; -794/1000
Check failed for (fp32): x = -4.976283; diff = 5.960464e-08; -792/1000
Check failed for (fp32): x = -4.963717; diff = 5.960464e-08; -790/1000
Check failed for (fp32): x = -4.479911; diff = 5.960464e-08; -713/1000
Check failed for (fp32): x = -4.473628; diff = 5.960464e-08; -712/1000
Check failed for (fp32): x = -4.461061; diff = 5.960464e-08; -710/1000
Check failed for (fp32): x = -4.435929; diff = 5.960464e-08; -706/1000
Check failed for (fp32): x = -4.410796; diff = 5.960464e-08; -702/1000
Check failed for (fp32): x = -4.404513; diff = 5.960464e-08; -701/1000
Check failed for (fp32): x = -4.391947; diff = 5.960464e-08; -699/1000
Check failed for (fp32): x = -4.366814; diff = 5.960464e-08; -695/1000
Check failed for (fp32): x = -4.354248; diff = 5.960464e-08; -693/1000
Check failed for (fp32): x = -4.341681; diff = 5.960464e-08; -691/1000
Check failed for (fp32): x = -4.335398; diff = 5.960464e-08; -690/1000
Check failed for (fp32): x = -4.322832; diff = 5.960464e-08; -688/1000
Check failed for (fp32): x = -4.297699; diff = 1.192093e-07; -684/1000
Check failed for (fp32): x = -4.278849; diff = 1.192093e-07; -681/1000
Check failed for (fp32): x = -4.26; diff = 1.192093e-07; -678/1000
Check failed for (fp32): x = -4.253716; diff = 1.192093e-07; -677/1000
Check failed for (fp32): x = -4.222301; diff = 1.192093e-07; -672/1000
Check failed for (fp32): x = -4.209734; diff = 1.192093e-07; -670/1000
Check failed for (fp32): x = -4.203451; diff = 1.192093e-07; -669/1000
Check failed for (fp32): x = -4.178319; diff = 1.192093e-07; -665/1000
Check failed for (fp32): x = -4.172035; diff = 1.192093e-07; -664/1000
Check failed for (fp32): x = -4.165752; diff = 1.192093e-07; -663/1000
Check failed for (fp32): x = -4.146903; diff = 2.384186e-07; -660/1000
Check failed for (fp32): x = -4.134336; diff = 2.384186e-07; -658/1000
Check failed for (fp32): x = -4.128053; diff = 2.384186e-07; -657/1000
Check failed for (fp32): x = -4.115486; diff = 2.384186e-07; -655/1000
Check failed for (fp32): x = -4.109203; diff = 2.384186e-07; -654/1000
Check failed for (fp32): x = -4.10292; diff = 2.384186e-07; -653/1000
Check failed for (fp32): x = -4.096637; diff = 2.384186e-07; -652/1000
Check failed for (fp32): x = -4.090354; diff = 2.384186e-07; -651/1000
Check failed for (fp32): x = -4.08407; diff = 2.384186e-07; -650/1000
