Check failed for (fp128): alpha = -5.925043744670350047740545420865142085e+00; beta = -1.481260936167587511935136355216285521e+00; diff = 3.081487911019577364889564708135883710e-33; -943/1000
Check failed for (fp128): alpha = -5.918760559363170461263620134098583184e+00; beta = -1.479690139840792615315905033524645796e+00; diff = 1.540743955509788682444782354067941855e-33; -942/1000
Check failed for (fp128): alpha = -5.912477374055990874786694847332024283e+00; beta = -1.478119343513997718696673711833006071e+00; diff = 3.081487911019577364889564708135883710e-33; -941/1000
Check failed for (fp128): alpha = -5.899911003441631701832844273798905711e+00; beta = -1.474977750860407925458211068449726428e+00; diff = 1.540743955509788682444782354067941855e-33; -939/1000
Check failed for (fp128): alpha = -5.893627818134452115355918987032346810e+00; beta = -1.473406954533613028838979746758086703e+00; diff = 1.540743955509788682444782354067941855e-33; -938/1000
Check failed for (fp128): alpha = -5.887344632827272528878993700265788680e+00; beta = -1.471836158206818132219748425066447170e+00; diff = 3.081487911019577364889564708135883710e-33; -937/1000
Check failed for (fp128): alpha = -5.874778262212913355925143126732670878e+00; beta = -1.468694565553228338981285781683167720e+00; diff = 3.081487911019577364889564708135883710e-33; -935/1000
Check failed for (fp128): alpha = -5.868495076905733769448217839966111207e+00; beta = -1.467123769226433442362054459991527802e+00; diff = 1.540743955509788682444782354067941855e-33; -934/1000
Check failed for (fp128): alpha = -5.862211891598554182971292553199552306e+00; beta = -1.465552972899638545742823138299888077e+00; diff = 1.540743955509788682444782354067941855e-33; -933/1000
Check failed for (fp128): alpha = -5.855928706291374596494367266432993406e+00; beta = -1.463982176572843649123591816608248351e+00; diff = 1.540743955509788682444782354067941855e-33; -932/1000
Check failed for (fp128): alpha = -5.849645520984195010017441979666434505e+00; beta = -1.462411380246048752504360494916608626e+00; diff = 1.540743955509788682444782354067941855e-33; -931/1000
Check failed for (fp128): alpha = -5.830795965062656250586666119366757032e+00; beta = -1.457698991265664062646666529841689258e+00; diff = 1.540743955509788682444782354067941855e-33; -928/1000
Check failed for (fp128): alpha = -5.818229594448297077632815545833639230e+00; beta = -1.454557398612074269408203886458409808e+00; diff = 3.081487911019577364889564708135883710e-33; -926/1000
Check failed for (fp128): alpha = -5.805663223833937904678964972300520658e+00; beta = -1.451415805958484476169741243075130165e+00; diff = 1.540743955509788682444782354067941855e-33; -924/1000
Check failed for (fp128): alpha = -5.799380038526758318202039685533961757e+00; beta = -1.449845009631689579550509921383490439e+00; diff = 7.703719777548943412223911770339709274e-34; -923/1000
Check failed for (fp128): alpha = -5.793096853219578731725114398767402857e+00; beta = -1.448274213304894682931278599691850714e+00; diff = 2.311115933264683023667173531101912782e-33; -922/1000
Check failed for (fp128): alpha = -5.786813667912399145248189112000843956e+00; beta = -1.446703416978099786312047278000210989e+00; diff = 7.703719777548943412223911770339709274e-34; -921/1000
