Check failed for (fp64): alpha = -5.36584025233137; beta = -1.34146006308284; diff = 4.44089209850063e-16; -854/1000
Check failed for (fp64): alpha = -5.34699069640983; beta = -1.33674767410246; diff = 8.88178419700125e-16; -851/1000
Check failed for (fp64): alpha = -5.32814114048829; beta = -1.33203528512207; diff = 4.44089209850063e-16; -848/1000
Check failed for (fp64): alpha = -5.32185795518111; beta = -1.33046448879528; diff = 4.44089209850063e-16; -847/1000
Check failed for (fp64): alpha = -5.30929158456675; beta = -1.32732289614169; diff = 4.44089209850063e-16; -845/1000
Check failed for (fp64): alpha = -5.29044202864521; beta = -1.3226105071613; diff = 4.44089209850063e-16; -842/1000
Check failed for (fp64): alpha = -5.26530928741649; beta = -1.31632732185412; diff = 4.44089209850063e-16; -838/1000
Check failed for (fp64): alpha = -5.25274291680213; beta = -1.31318572920053; diff = 4.44089209850063e-16; -836/1000
Check failed for (fp64): alpha = -5.23389336088059; beta = -1.30847334022015; diff = 4.44089209850063e-16; -833/1000
Check failed for (fp64): alpha = -5.22132699026624; beta = -1.30533174756656; diff = 4.44089209850063e-16; -831/1000
Check failed for (fp64): alpha = -5.21504380495906; beta = -1.30376095123976; diff = 4.44089209850063e-16; -830/1000
Check failed for (fp64): alpha = -5.20876061965188; beta = -1.30219015491297; diff = 2.22044604925031e-16; -829/1000
Check failed for (fp64): alpha = -5.2024774343447; beta = -1.30061935858617; diff = 2.22044604925031e-16; -828/1000
Check failed for (fp64): alpha = -5.18991106373034; beta = -1.29747776593258; diff = 4.44089209850063e-16; -826/1000
Check failed for (fp64): alpha = -5.1710615078088; beta = -1.2927653769522; diff = 2.22044604925031e-16; -823/1000
Check failed for (fp64): alpha = -5.15849513719444; beta = -1.28962378429861; diff = 2.22044604925031e-16; -821/1000
Check failed for (fp64): alpha = -5.15221195188726; beta = -1.28805298797181; diff = 2.22044604925031e-16; -820/1000
Check failed for (fp64): alpha = -5.14592876658008; beta = -1.28648219164502; diff = 2.22044604925031e-16; -819/1000
Check failed for (fp64): alpha = -5.08938009881547; beta = -1.27234502470387; diff = 2.22044604925031e-16; -810/1000
Check failed for (fp64): alpha = -5.07053054289393; beta = -1.26763263572348; diff = 2.22044604925031e-16; -807/1000
