Check failed for (fp32): alpha = -5.705132; diff1 = 5.960464e-08; diff2 = 1.304778; -908/1000
Check failed for (fp32): alpha = -5.692566; diff1 = 1.788139e-07; diff2 = 1.340905; -906/1000
Check failed for (fp32): alpha = -5.673717; diff1 = 5.960464e-08; diff2 = 1.396257; -903/1000
Check failed for (fp32): alpha = -5.667433; diff1 = 5.960464e-08; diff2 = 1.415031; -902/1000
Check failed for (fp32): alpha = -5.66115; diff1 = 1.192093e-07; diff2 = 1.433971; -901/1000
Check failed for (fp32): alpha = -5.642301; diff1 = 5.960464e-08; diff2 = 1.49184; -898/1000
Check failed for (fp32): alpha = -5.636017; diff1 = 5.960464e-08; diff2 = 1.511491; -897/1000
Check failed for (fp32): alpha = -5.629735; diff1 = 5.960464e-08; diff2 = 1.531328; -896/1000
Check failed for (fp32): alpha = -5.623451; diff1 = 5.960464e-08; diff2 = 1.551359; -895/1000
Check failed for (fp32): alpha = -5.617168; diff1 = 5.960464e-08; diff2 = 1.571584; -894/1000
Check failed for (fp32): alpha = -5.610885; diff1 = 5.960464e-08; diff2 = 1.592011; -893/1000
Check failed for (fp32): alpha = -5.604601; diff1 = 5.960464e-08; diff2 = 1.612644; -892/1000
Check failed for (fp32): alpha = -5.585752; diff1 = 5.960464e-08; diff2 = 1.67582; -889/1000
Check failed for (fp32): alpha = -5.579469; diff1 = 5.960464e-08; diff2 = 1.697323; -888/1000
Check failed for (fp32): alpha = -5.573185; diff1 = 1.192093e-07; diff2 = 1.719057; -887/1000
Check failed for (fp32): alpha = -5.566902; diff1 = 5.960464e-08; diff2 = 1.741026; -886/1000
Check failed for (fp32): alpha = -5.560619; diff1 = 5.960464e-08; diff2 = 1.763238; -885/1000
Check failed for (fp32): alpha = -5.554336; diff1 = 1.192093e-07; diff2 = 1.785694; -884/1000
Check failed for (fp32): alpha = -5.529203; diff1 = 5.960464e-08; diff2 = 1.878124; -880/1000
Check failed for (fp32): alpha = -5.516637; diff1 = 5.960464e-08; diff2 = 1.925987; -878/1000
Check failed for (fp32): alpha = -5.510354; diff1 = 5.960464e-08; diff2 = 1.950356; -877/1000
Check failed for (fp32): alpha = -5.497787; diff1 = 5.960464e-08; diff2 = 1.999999; -875/1000
Check failed for (fp32): alpha = -5.485221; diff1 = 1.192093e-07; diff2 = 2.050907; -873/1000
Check failed for (fp32): alpha = -5.472654; diff1 = 1.192093e-07; diff2 = 2.103146; -871/1000
Check failed for (fp32): alpha = -5.466372; diff1 = 1.192093e-07; diff2 = 2.129782; -870/1000
Check failed for (fp32): alpha = -5.460088; diff1 = 1.192093e-07; diff2 = 2.15678; -869/1000
Check failed for (fp32): alpha = -5.453805; diff1 = 1.192093e-07; diff2 = 2.184146; -868/1000
