Check failed for (fp80): alpha = -6.28318530717958647703; beta = -1.57079632679489661926; gamma = -0.785398163397448309628; diff = 6.31121436780998986507e-20; -1000/1000
Check failed for (fp80): alpha = -6.27061893656522730423; beta = -1.56765473414130682606; gamma = -0.783827367070653413029; diff = 7.62329652528870305161e-20; -998/1000
Check failed for (fp80): alpha = -6.25805256595086813144; beta = -1.56451314148771703286; gamma = -0.78225657074385851643; diff = 6.09863722023096244129e-20; -996/1000
Check failed for (fp80): alpha = -6.21407026880061102558; beta = -1.55351756720015275639; gamma = -0.776758783600076378197; diff = 9.48676900924816379757e-20; -989/1000
Check failed for (fp80): alpha = -6.20150389818625185278; beta = -1.5503759745465629632; gamma = -0.775187987273281481598; diff = 9.48676900924816379757e-20; -987/1000
Check failed for (fp80): alpha = -6.19522071287907226617; beta = -1.54880517821976806654; gamma = -0.774402589109884033271; diff = 8.80914265144472352631e-20; -986/1000
Check failed for (fp80): alpha = -6.18265434226471309338; beta = -1.54566358556617827334; gamma = -0.772831792783089136672; diff = 6.77626357803440271255e-20; -984/1000
Check failed for (fp80): alpha = -6.1763711569575335072; beta = -1.5440927892393833768; gamma = -0.772046394619691688399; diff = 7.4538899358378429838e-20; -983/1000
Check failed for (fp80): alpha = -6.15123841572881516118; beta = -1.53780960393220379029; gamma = -0.768904801966101895147; diff = 8.13151629364128325506e-20; -979/1000
Check failed for (fp80): alpha = -6.14495523042163557456; beta = -1.53623880760540889364; gamma = -0.76811940380270444682; diff = 5.42101086242752217004e-20; -978/1000
Check failed for (fp80): alpha = -6.13238885980727640133; beta = -1.53309721495181910033; gamma = -0.766548607475909550167; diff = 6.77626357803440271255e-20; -976/1000
Check failed for (fp80): alpha = -6.11353930388573764193; beta = -1.52838482597143441048; gamma = -0.764192412985717205241; diff = 8.13151629364128325506e-20; -973/1000
Check failed for (fp80): alpha = -6.10725611857855805575; beta = -1.52681402964463951394; gamma = -0.763407014822319756968; diff = 9.48676900924816379757e-20; -972/1000
Check failed for (fp80): alpha = -6.09468974796419888295; beta = -1.52367243699104972074; gamma = -0.761836218495524860369; diff = 6.77626357803440271255e-20; -970/1000
Check failed for (fp80): alpha = -6.08840656265701929634; beta = -1.52210164066425482408; gamma = -0.761050820332127412042; diff = 6.77626357803440271255e-20; -969/1000
Check failed for (fp80): alpha = -6.07584019204266012355; beta = -1.51896004801066503089; gamma = -0.759480024005332515443; diff = 8.13151629364128325506e-20; -967/1000
Check failed for (fp80): alpha = -6.06327382142830095032; beta = -1.51581845535707523758; gamma = -0.75790922767853761879; diff = 6.77626357803440271255e-20; -965/1000
Check failed for (fp80): alpha = -6.05699063612112136371; beta = -1.51424765903028034093; gamma = -0.757123829515140170463; diff = 5.42101086242752217004e-20; -964/1000
Check failed for (fp80): alpha = -6.05070745081394177709; beta = -1.51267686270348544427; gamma = -0.756338431351742722136; diff = 6.77626357803440271255e-20; -963/1000
Check failed for (fp80): alpha = -6.0381410801995826043; beta = -1.50953527004989565107; gamma = -0.754767635024947825537; diff = 5.42101086242752217004e-20; -961/1000
Check failed for (fp80): alpha = -6.0255747095852234315; beta = -1.50639367739630585788; gamma = -0.753196838698152928938; diff = 5.42101086242752217004e-20; -959/1000
Check failed for (fp80): alpha = -6.01929152427804384489; beta = -1.50482288106951096122; gamma = -0.752411440534755480611; diff = 8.13151629364128325506e-20; -958/1000
Check failed for (fp80): alpha = -6.0067251536636846721; beta = -1.50168128841592116802; gamma = -0.750840644207960584012; diff = 8.13151629364128325506e-20; -956/1000
Check failed for (fp80): alpha = -6.00044196835650508548; beta = -1.50011049208912627137; gamma = -0.750055246044563135685; diff = 9.48676900924816379757e-20; -955/1000
Check failed for (fp80): alpha = -5.98787559774214591269; beta = -1.49696889943553647817; gamma = -0.748484449717768239086; diff = 9.48676900924816379757e-20; -953/1000
Check failed for (fp80): alpha = -5.98159241243496632608; beta = -1.49539810310874158152; gamma = -0.74769905155437079076; diff = 6.77626357803440271255e-20; -952/1000
Check failed for (fp80): alpha = -5.94389330059188880726; beta = -1.48597332514797220182; gamma = -0.742986662573986100908; diff = 6.77626357803440271255e-20; -946/1000
Check failed for (fp80): alpha = -5.93761011528470922065; beta = -1.48440252882117730516; gamma = -0.742201264410588652581; diff = 5.42101086242752217004e-20; -945/1000
Check failed for (fp80): alpha = -5.91876055936317046124; beta = -1.47969013984079261531; gamma = -0.739845069920396307655; diff = 6.77626357803440271255e-20; -942/1000
Check failed for (fp80): alpha = -5.91247737405599087506; beta = -1.47811934351399771877; gamma = -0.739059671756998859383; diff = 6.77626357803440271255e-20; -941/1000
Check failed for (fp80): alpha = -5.89991100344163170183; beta = -1.47497775086040792546; gamma = -0.737488875430203962729; diff = 5.42101086242752217004e-20; -939/1000
Check failed for (fp80): alpha = -5.89362781813445211565; beta = -1.47340695453361302891; gamma = -0.736703477266806514457; diff = 8.13151629364128325506e-20; -938/1000
Check failed for (fp80): alpha = -5.87477826221291335625; beta = -1.46869456555322833906; gamma = -0.734347282776614169531; diff = 8.13151629364128325506e-20; -935/1000
Check failed for (fp80): alpha = -5.86849507690573376963; beta = -1.46712376922643344241; gamma = -0.733561884613216721204; diff = 1.08420217248550443401e-19; -934/1000
Check failed for (fp80): alpha = -5.85592870629137459641; beta = -1.4639821765728436491; gamma = -0.731991088286421824551; diff = 8.13151629364128325506e-20; -932/1000
Check failed for (fp80): alpha = -5.84964552098419500979; beta = -1.46241138024604875245; gamma = -0.731205690123024376224; diff = 5.42101086242752217004e-20; -931/1000
Check failed for (fp80): alpha = -5.83079596506265625082; beta = -1.4576989912656640627; gamma = -0.728849495632832031352; diff = 8.13151629364128325506e-20; -928/1000
