Check failed for (fp64): alpha = -5.92504374467035; beta = -1.48126093616759; gamma = -0.740630468083794; diff = 1.2490009027033e-16; -943/1000
Check failed for (fp64): alpha = -5.91876055936317; beta = -1.47969013984079; gamma = -0.739845069920396; diff = 1.94289029309402e-16; -942/1000
Check failed for (fp64): alpha = -5.91247737405599; beta = -1.478119343514; gamma = -0.739059671756999; diff = 2.35922392732846e-16; -941/1000
Check failed for (fp64): alpha = -5.90619418874881; beta = -1.4765485471872; gamma = -0.738274273593601; diff = 1.2490009027033e-16; -940/1000
Check failed for (fp64): alpha = -5.89991100344163; beta = -1.47497775086041; gamma = -0.737488875430204; diff = 1.11022302462516e-16; -939/1000
Check failed for (fp64): alpha = -5.89362781813445; beta = -1.47340695453361; gamma = -0.736703477266806; diff = 1.66533453693773e-16; -938/1000
Check failed for (fp64): alpha = -5.88106144752009; beta = -1.47026536188002; gamma = -0.735132680940012; diff = 1.80411241501588e-16; -936/1000
Check failed for (fp64): alpha = -5.86849507690573; beta = -1.46712376922643; gamma = -0.733561884613217; diff = 1.11022302462516e-16; -934/1000
Check failed for (fp64): alpha = -5.85592870629137; beta = -1.46398217657284; gamma = -0.731991088286422; diff = 2.35922392732846e-16; -932/1000
Check failed for (fp64): alpha = -5.8496455209842; beta = -1.46241138024605; gamma = -0.731205690123024; diff = 2.08166817117217e-16; -931/1000
Check failed for (fp64): alpha = -5.84336233567702; beta = -1.46084058391925; gamma = -0.730420291959627; diff = 2.22044604925031e-16; -930/1000
Check failed for (fp64): alpha = -5.83707915036984; beta = -1.45926978759246; gamma = -0.729634893796229; diff = 3.60822483003176e-16; -929/1000
Check failed for (fp64): alpha = -5.83079596506266; beta = -1.45769899126566; gamma = -0.728849495632832; diff = 1.2490009027033e-16; -928/1000
Check failed for (fp64): alpha = -5.82451277975548; beta = -1.45612819493887; gamma = -0.728064097469435; diff = 1.94289029309402e-16; -927/1000
Check failed for (fp64): alpha = -5.81194640914112; beta = -1.45298660228528; gamma = -0.72649330114264; diff = 1.11022302462516e-16; -925/1000
Check failed for (fp64): alpha = -5.79309685321958; beta = -1.44827421330489; gamma = -0.724137106652447; diff = 2.08166817117217e-16; -922/1000
Check failed for (fp64): alpha = -5.7868136679124; beta = -1.4467034169781; gamma = -0.72335170848905; diff = 1.94289029309402e-16; -921/1000
Check failed for (fp64): alpha = -5.78053048260522; beta = -1.4451326206513; gamma = -0.722566310325652; diff = 1.2490009027033e-16; -920/1000
Check failed for (fp64): alpha = -5.76796411199086; beta = -1.44199102799772; gamma = -0.720995513998858; diff = 2.08166817117217e-16; -918/1000
Check failed for (fp64): alpha = -5.7553977413765; beta = -1.43884943534413; gamma = -0.719424717672063; diff = 1.2490009027033e-16; -916/1000
Check failed for (fp64): alpha = -5.74911455606932; beta = -1.43727863901733; gamma = -0.718639319508665; diff = 1.11022302462516e-16; -915/1000
Check failed for (fp64): alpha = -5.73654818545496; beta = -1.43413704636374; gamma = -0.71706852318187; diff = 2.08166817117217e-16; -913/1000
Check failed for (fp64): alpha = -5.73026500014778; beta = -1.43256625003695; gamma = -0.716283125018473; diff = 2.22044604925031e-16; -912/1000
Check failed for (fp64): alpha = -5.7239818148406; beta = -1.43099545371015; gamma = -0.715497726855075; diff = 1.11022302462516e-16; -911/1000
Check failed for (fp64): alpha = -5.71769862953342; beta = -1.42942465738336; gamma = -0.714712328691678; diff = 1.11022302462516e-16; -910/1000
Check failed for (fp64): alpha = -5.71141544422624; beta = -1.42785386105656; gamma = -0.71392693052828; diff = 2.08166817117217e-16; -909/1000
Check failed for (fp64): alpha = -5.69884907361188; beta = -1.42471226840297; gamma = -0.712356134201486; diff = 1.38777878078145e-16; -907/1000
Check failed for (fp64): alpha = -5.67999951769035; beta = -1.41999987942259; gamma = -0.709999939711293; diff = 2.08166817117217e-16; -904/1000
Check failed for (fp64): alpha = -5.66743314707599; beta = -1.416858286769; gamma = -0.708429143384498; diff = 1.11022302462516e-16; -902/1000
Check failed for (fp64): alpha = -5.65486677646163; beta = -1.41371669411541; gamma = -0.706858347057703; diff = 1.94289029309402e-16; -900/1000
Check failed for (fp64): alpha = -5.63601722054009; beta = -1.40900430513502; gamma = -0.704502152567511; diff = 1.11022302462516e-16; -897/1000
Check failed for (fp64): alpha = -5.62345084992573; beta = -1.40586271248143; gamma = -0.702931356240716; diff = 1.94289029309402e-16; -895/1000
Check failed for (fp64): alpha = -5.59831810869701; beta = -1.39957952717425; gamma = -0.699789763587126; diff = 1.94289029309402e-16; -891/1000
Check failed for (fp64): alpha = -5.57946855277547; beta = -1.39486713819387; gamma = -0.697433569096934; diff = 1.11022302462516e-16; -888/1000
Check failed for (fp64): alpha = -5.56690218216111; beta = -1.39172554554028; gamma = -0.695862772770139; diff = 1.80411241501588e-16; -886/1000
Check failed for (fp64): alpha = -5.55433581154675; beta = -1.38858395288669; gamma = -0.694291976443344; diff = 1.2490009027033e-16; -884/1000
Check failed for (fp64): alpha = -5.54176944093239; beta = -1.3854423602331; gamma = -0.692721180116549; diff = 2.08166817117217e-16; -882/1000
Check failed for (fp64): alpha = -5.5103535143965; beta = -1.37758837859912; gamma = -0.688794189299562; diff = 1.80411241501588e-16; -877/1000
Check failed for (fp64): alpha = -5.50407032908932; beta = -1.37601758227233; gamma = -0.688008791136165; diff = 1.38777878078145e-16; -876/1000
Check failed for (fp64): alpha = -5.48522077316778; beta = -1.37130519329194; gamma = -0.685652596645972; diff = 2.63677968348475e-16; -873/1000
Check failed for (fp64): alpha = -5.45380484663188; beta = -1.36345121165797; gamma = -0.681725605828985; diff = 1.94289029309402e-16; -868/1000
Check failed for (fp64): alpha = -5.4475216613247; beta = -1.36188041533118; gamma = -0.680940207665588; diff = 1.11022302462516e-16; -867/1000
Check failed for (fp64): alpha = -5.43495529071034; beta = -1.35873882267759; gamma = -0.679369411338793; diff = 1.2490009027033e-16; -865/1000
Check failed for (fp64): alpha = -5.42867210540316; beta = -1.35716802635079; gamma = -0.678584013175395; diff = 2.22044604925031e-16; -864/1000
Check failed for (fp64): alpha = -5.39725617886726; beta = -1.34931404471682; gamma = -0.674657022358408; diff = 1.94289029309402e-16; -859/1000
Check failed for (fp64): alpha = -5.39097299356008; beta = -1.34774324839002; gamma = -0.673871624195011; diff = 1.11022302462516e-16; -858/1000
Check failed for (fp64): alpha = -5.37212343763855; beta = -1.34303085940964; gamma = -0.671515429704818; diff = 2.35922392732846e-16; -855/1000
Check failed for (fp64): alpha = -5.34070751110265; beta = -1.33517687777566; gamma = -0.667588438887831; diff = 1.66533453693773e-16; -850/1000
Check failed for (fp64): alpha = -5.31557476987393; beta = -1.32889369246848; gamma = -0.664446846234241; diff = 2.22044604925031e-16; -846/1000
Check failed for (fp64): alpha = -5.28415884333803; beta = -1.32103971083451; gamma = -0.660519855417254; diff = 1.80411241501588e-16; -841/1000
Check failed for (fp64): alpha = -5.25902610210931; beta = -1.31475652552733; gamma = -0.657378262763664; diff = 2.08166817117217e-16; -837/1000
Check failed for (fp64): alpha = -5.22761017557342; beta = -1.30690254389335; gamma = -0.653451271946677; diff = 1.94289029309402e-16; -832/1000
Check failed for (fp64): alpha = -5.2024774343447; beta = -1.30061935858617; gamma = -0.650309679293087; diff = 2.22044604925031e-16; -828/1000
Check failed for (fp64): alpha = -5.1710615078088; beta = -1.2927653769522; gamma = -0.6463826884761; diff = 1.52655665885959e-16; -823/1000
Check failed for (fp64): alpha = -5.14592876658008; beta = -1.28648219164502; gamma = -0.64324109582251; diff = 2.35922392732846e-16; -819/1000
Check failed for (fp64): alpha = -5.11451284004418; beta = -1.27862821001105; gamma = -0.639314105005523; diff = 1.11022302462516e-16; -814/1000
Check failed for (fp64): alpha = -5.10194646942982; beta = -1.27548661735746; gamma = -0.637743308678728; diff = 1.11022302462516e-16; -812/1000
Check failed for (fp64): alpha = -5.07681372820111; beta = -1.26920343205028; gamma = -0.634601716025138; diff = 2.35922392732846e-16; -808/1000
Check failed for (fp64): alpha = -5.02026506043649; beta = -1.25506626510912; gamma = -0.627533132554561; diff = 2.22044604925031e-16; -799/1000
Check failed for (fp64): alpha = -4.99513231920777; beta = -1.24878307980194; gamma = -0.624391539900971; diff = 1.38777878078145e-16; -795/1000
Check failed for (fp64): alpha = -4.96371639267187; beta = -1.24092909816797; gamma = -0.620464549083984; diff = 2.08166817117217e-16; -790/1000
Check failed for (fp64): alpha = -4.90716772490726; beta = -1.22679193122681; gamma = -0.613395965613407; diff = 2.56739074444567e-16; -781/1000
Check failed for (fp64): alpha = -4.85061905714264; beta = -1.21265476428566; gamma = -0.60632738214283; diff = 2.42861286636753e-16; -772/1000
Check failed for (fp64): alpha = -4.81920313060674; beta = -1.20480078265169; gamma = -0.602400391325843; diff = 1.38777878078145e-16; -767/1000
Check failed for (fp64): alpha = -4.79407038937802; beta = -1.19851759734451; gamma = -0.599258798672253; diff = 2.15105711021124e-16; -763/1000
Check failed for (fp64): alpha = -4.76265446284213; beta = -1.19066361571053; gamma = -0.595331807855266; diff = 1.37043154602168e-16; -758/1000
Check failed for (fp64): alpha = -4.73752172161341; beta = -1.18438043040335; gamma = -0.592190215201676; diff = 2.22044604925031e-16; -754/1000
Check failed for (fp64): alpha = -4.70610579507751; beta = -1.17652644876938; gamma = -0.588263224384689; diff = 1.40946282423116e-16; -749/1000
Check failed for (fp64): alpha = -4.68097305384879; beta = -1.1702432634622; gamma = -0.585121631731099; diff = 2.0643209364124e-16; -745/1000
Check failed for (fp64): alpha = -4.64955712731289; beta = -1.16238928182822; gamma = -0.581194640914112; diff = 1.49186218934005e-16; -740/1000
Check failed for (fp64): alpha = -4.62442438608418; beta = -1.15610609652104; gamma = -0.578053048260522; diff = 2.15105711021124e-16; -736/1000
Check failed for (fp64): alpha = -4.59300845954828; beta = -1.14825211488707; gamma = -0.574126057443535; diff = 1.2490009027033e-16; -731/1000
Check failed for (fp64): alpha = -4.56787571831956; beta = -1.14196892957989; gamma = -0.570984464789945; diff = 1.31838984174237e-16; -727/1000
Check failed for (fp64): alpha = -4.51132705055494; beta = -1.12783176263874; gamma = -0.563915881319368; diff = 1.80411241501588e-16; -718/1000
Check failed for (fp64): alpha = -4.4924774946334; beta = -1.12311937365835; gamma = -0.561559686829175; diff = 1.11022302462516e-16; -715/1000
Check failed for (fp64): alpha = -4.45477838279033; beta = -1.11369459569758; gamma = -0.556847297848791; diff = 1.2490009027033e-16; -709/1000
Check failed for (fp64): alpha = -4.43592882686879; beta = -1.1089822067172; gamma = -0.554491103358598; diff = 1.11022302462516e-16; -706/1000
Check failed for (fp64): alpha = -4.39822971502571; beta = -1.09955742875643; gamma = -0.549778714378214; diff = 2.08166817117217e-16; -700/1000
Check failed for (fp64): alpha = -4.37938015910417; beta = -1.09484503977604; gamma = -0.547422519888021; diff = 1.11022302462516e-16; -697/1000
Check failed for (fp64): alpha = -4.34168104726109; beta = -1.08542026181527; gamma = -0.542710130907637; diff = 1.94289029309402e-16; -691/1000
Check failed for (fp64): alpha = -4.32283149133955; beta = -1.08070787283489; gamma = -0.540353936417444; diff = 1.38777878078145e-16; -688/1000
Check failed for (fp64): alpha = -4.3102651207252; beta = -1.0775662801813; gamma = -0.53878314009065; diff = 1.94289029309402e-16; -686/1000
Check failed for (fp64): alpha = -4.30398193541802; beta = -1.0759954838545; gamma = -0.537997741927252; diff = 1.38777878078145e-16; -685/1000
Check failed for (fp64): alpha = -4.28513237949648; beta = -1.07128309487412; gamma = -0.53564154743706; diff = 1.38777878078145e-16; -682/1000
Check failed for (fp64): alpha = -4.27256600888212; beta = -1.06814150222053; gamma = -0.534070751110265; diff = 1.11022302462516e-16; -680/1000
Check failed for (fp64): alpha = -4.25371645296058; beta = -1.06342911324014; gamma = -0.531714556620072; diff = 1.66533453693773e-16; -677/1000
Check failed for (fp64): alpha = -4.2474332676534; beta = -1.06185831691335; gamma = -0.530929158456675; diff = 1.66533453693773e-16; -676/1000
Check failed for (fp64): alpha = -4.22858371173186; beta = -1.05714592793297; gamma = -0.528572963966483; diff = 1.38777878078145e-16; -673/1000
Check failed for (fp64): alpha = -4.2160173411175; beta = -1.05400433527938; gamma = -0.527002167639688; diff = 1.66533453693773e-16; -671/1000
Check failed for (fp64): alpha = -4.19716778519596; beta = -1.04929194629899; gamma = -0.524645973149495; diff = 1.66533453693773e-16; -668/1000
Check failed for (fp64): alpha = -4.19088459988878; beta = -1.0477211499722; gamma = -0.523860574986098; diff = 1.66533453693773e-16; -667/1000
Check failed for (fp64): alpha = -4.14061911743135; beta = -1.03515477935784; gamma = -0.517577389678918; diff = 1.11022302462516e-16; -659/1000
Check failed for (fp64): alpha = -4.13433593212417; beta = -1.03358398303104; gamma = -0.516791991515521; diff = 1.38777878078145e-16; -658/1000
Check failed for (fp64): alpha = -4.08407044966673; beta = -1.02101761241668; gamma = -0.510508806208341; diff = 1.11022302462516e-16; -650/1000
Check failed for (fp64): alpha = -4.07778726435955; beta = -1.01944681608989; gamma = -0.509723408044944; diff = 2.22044604925031e-16; -649/1000
Check failed for (fp64): alpha = -4.05893770843801; beta = -1.0147344271095; gamma = -0.507367213554752; diff = 1.11022302462516e-16; -646/1000
Check failed for (fp64): alpha = -4.04637133782365; beta = -1.01159283445591; gamma = -0.505796417227957; diff = 1.11022302462516e-16; -644/1000
Check failed for (fp64): alpha = -4.04008815251647; beta = -1.01002203812912; gamma = -0.505011019064559; diff = 1.11022302462516e-16; -643/1000
Check failed for (fp64): alpha = -4.03380496720929; beta = -1.00845124180232; gamma = -0.504225620901162; diff = 1.11022302462516e-16; -642/1000
Check failed for (fp64): alpha = -4.02752178190211; beta = -1.00688044547553; gamma = -0.503440222737764; diff = 1.66533453693773e-16; -641/1000
Check failed for (fp64): alpha = -4.02123859659494; beta = -1.00530964914873; gamma = -0.502654824574367; diff = 2.22044604925031e-16; -640/1000
Check failed for (fp64): alpha = -3.98982267005904; beta = -0.997455667514759; gamma = -0.49872783375738; diff = 1.11022302462516e-16; -635/1000
Check failed for (fp64): alpha = -3.9709731141375; beta = -0.992743278534375; gamma = -0.496371639267187; diff = 1.66533453693773e-16; -632/1000
Check failed for (fp64): alpha = -3.95840674352314; beta = -0.989601685880785; gamma = -0.494800842940392; diff = 1.11022302462516e-16; -630/1000
Check failed for (fp64): alpha = -3.94584037290878; beta = -0.986460093227195; gamma = -0.493230046613598; diff = 1.11022302462516e-16; -628/1000
