Check failed for (fp128): alpha = -4.008672225980576172278332957064644978e+00; beta = -1.002168056495144043069583239266161244e+00; gamma = -5.010840282475720215347916196330806222e-01; diff = 1.925929944387235853055977942584927319e-34; -638/1000
Check failed for (fp128): alpha = -3.989822670059037412847557096764968661e+00; beta = -9.974556675147593532118892741912421652e-01; gamma = -4.987278337573796766059446370956210826e-01; diff = 1.925929944387235853055977942584927319e-34; -635/1000
Check failed for (fp128): alpha = -3.883008519836984442739827221733465806e+00; beta = -9.707521299592461106849568054333664515e-01; gamma = -4.853760649796230553424784027166832257e-01; diff = 1.925929944387235853055977942584927319e-34; -618/1000
Check failed for (fp128): alpha = -3.857875778608266096832126074667229432e+00; beta = -9.644689446520665242080315186668073581e-01; gamma = -4.822344723260332621040157593334036790e-01; diff = 1.925929944387235853055977942584927319e-34; -614/1000
Check failed for (fp128): alpha = -3.795043925536470232062873207001639268e+00; beta = -9.487609813841175580157183017504098171e-01; gamma = -4.743804906920587790078591508752049086e-01; diff = 1.925929944387235853055977942584927319e-34; -604/1000
Check failed for (fp128): alpha = -3.763627999000572299678246773168844379e+00; beta = -9.409069997501430749195616932922110948e-01; gamma = -4.704534998750715374597808466461055474e-01; diff = 1.925929944387235853055977942584927319e-34; -599/1000
Check failed for (fp128): alpha = -3.744778443079033540247470912869166906e+00; beta = -9.361946107697583850618677282172917266e-01; gamma = -4.680973053848791925309338641086458633e-01; diff = 2.407412430484044816319972428231159148e-34; -596/1000
Check failed for (fp128): alpha = -3.732212072464674367293620339336049105e+00; beta = -9.330530181161685918234050848340122762e-01; gamma = -4.665265090580842959117025424170061381e-01; diff = 1.925929944387235853055977942584927319e-34; -594/1000
Check failed for (fp128): alpha = -3.700796145928776434908993905503254215e+00; beta = -9.251990364821941087272484763758135538e-01; gamma = -4.625995182410970543636242381879067769e-01; diff = 1.925929944387235853055977942584927319e-34; -589/1000
Check failed for (fp128): alpha = -3.606548366321082637755114604004869162e+00; beta = -9.016370915802706594387786510012172906e-01; gamma = -4.508185457901353297193893255006086453e-01; diff = 1.925929944387235853055977942584927319e-34; -574/1000
Check failed for (fp128): alpha = -3.556282883863645945939712309872397185e+00; beta = -8.890707209659114864849280774680992963e-01; gamma = -4.445353604829557432424640387340496482e-01; diff = 1.925929944387235853055977942584927319e-34; -566/1000
Check failed for (fp128): alpha = -3.543716513249286772985861736339278998e+00; beta = -8.859291283123216932464654340848197496e-01; gamma = -4.429645641561608466232327170424098748e-01; diff = 1.925929944387235853055977942584927319e-34; -564/1000
Check failed for (fp128): alpha = -3.531150142634927600032011162806161197e+00; beta = -8.827875356587319000080027907015402992e-01; gamma = -4.413937678293659500040013953507701496e-01; diff = 2.888894916580853779583966913877390978e-34; -562/1000
Check failed for (fp128): alpha = -3.524866957327748013555085876039602296e+00; beta = -8.812167393319370033887714690099005740e-01; gamma = -4.406083696659685016943857345049502870e-01; diff = 1.925929944387235853055977942584927319e-34; -561/1000
Check failed for (fp128): alpha = -3.518583772020568427078160589273043395e+00; beta = -8.796459430051421067695401473182608488e-01; gamma = -4.398229715025710533847700736591304244e-01; diff = 1.925929944387235853055977942584927319e-34; -560/1000
Check failed for (fp128): alpha = -3.512300586713388840601235302506484109e+00; beta = -8.780751466783472101503088256266210273e-01; gamma = -4.390375733391736050751544128133105136e-01; diff = 1.925929944387235853055977942584927319e-34; -559/1000
Check failed for (fp128): alpha = -3.487167845484670494693534155440248506e+00; beta = -8.717919613711676236733835388600621264e-01; gamma = -4.358959806855838118366917694300310632e-01; diff = 1.925929944387235853055977942584927319e-34; -555/1000
Check failed for (fp128): alpha = -3.449468733641592975831982434840893945e+00; beta = -8.623671834103982439579956087102234863e-01; gamma = -4.311835917051991219789978043551117432e-01; diff = 1.925929944387235853055977942584927319e-34; -549/1000
Check failed for (fp128): alpha = -3.443185548334413389355057148074335044e+00; beta = -8.607963870836033473387642870185837611e-01; gamma = -4.303981935418016736693821435092918806e-01; diff = 1.925929944387235853055977942584927319e-34; -548/1000
Check failed for (fp128): alpha = -3.436902363027233802878131861307776144e+00; beta = -8.592255907568084507195329653269440359e-01; gamma = -4.296127953784042253597664826634720180e-01; diff = 2.888894916580853779583966913877390978e-34; -547/1000
Check failed for (fp128): alpha = -3.418052807105695043447356001008098671e+00; beta = -8.545132017764237608618390002520246677e-01; gamma = -4.272566008882118804309195001260123338e-01; diff = 1.925929944387235853055977942584927319e-34; -544/1000
Check failed for (fp128): alpha = -3.405486436491335870493505427474980869e+00; beta = -8.513716091228339676233763568687452173e-01; gamma = -4.256858045614169838116881784343726086e-01; diff = 1.925929944387235853055977942584927319e-34; -542/1000
Check failed for (fp128): alpha = -3.399203251184156284016580140708421968e+00; beta = -8.498008127960390710041450351771054921e-01; gamma = -4.249004063980195355020725175885527460e-01; diff = 1.925929944387235853055977942584927319e-34; -541/1000
Check failed for (fp128): alpha = -3.386636880569797111062729567175303781e+00; beta = -8.466592201424492777656823917938259454e-01; gamma = -4.233296100712246388828411958969129727e-01; diff = 1.925929944387235853055977942584927319e-34; -539/1000
Check failed for (fp128): alpha = -3.336371398112360419247327273042832190e+00; beta = -8.340928495280901048118318182607080474e-01; gamma = -4.170464247640450524059159091303540237e-01; diff = 2.888894916580853779583966913877390978e-34; -531/1000
Check failed for (fp128): alpha = -3.304955471576462486862700839210036915e+00; beta = -8.262388678941156217156752098025092288e-01; gamma = -4.131194339470578108578376049012546144e-01; diff = 1.925929944387235853055977942584927319e-34; -526/1000
Check failed for (fp128): alpha = -3.248406803811846208570373258311005652e+00; beta = -8.121017009529615521425933145777514131e-01; gamma = -4.060508504764807760712966572888757065e-01; diff = 1.925929944387235853055977942584927319e-34; -517/1000
Check failed for (fp128): alpha = -3.191858136047229930278045677411975160e+00; beta = -7.979645340118074825695114193529937899e-01; gamma = -3.989822670059037412847557096764968950e-01; diff = 1.925929944387235853055977942584927319e-34; -508/1000
Check failed for (fp128): alpha = -3.173008580125691170847269817112297687e+00; beta = -7.932521450314227927118174542780744217e-01; gamma = -3.966260725157113963559087271390372108e-01; diff = 1.925929944387235853055977942584927319e-34; -505/1000
Check failed for (fp128): alpha = -3.166725394818511584370344530345738786e+00; beta = -7.916813487046278960925861325864346965e-01; gamma = -3.958406743523139480462930662932173482e-01; diff = 1.925929944387235853055977942584927319e-34; -504/1000
Check failed for (fp128): alpha = -3.047344873982099441308764081781117744e+00; beta = -7.618362184955248603271910204452794361e-01; gamma = -3.809181092477624301635955102226397180e-01; diff = 1.925929944387235853055977942584927319e-34; -485/1000
Check failed for (fp128): alpha = -3.028495318060560681877988221481440657e+00; beta = -7.571238295151401704694970553703601642e-01; gamma = -3.785619147575700852347485276851800821e-01; diff = 1.925929944387235853055977942584927319e-34; -482/1000
Check failed for (fp128): alpha = -3.015928947446201508924137647948322470e+00; beta = -7.539822368615503772310344119870806175e-01; gamma = -3.769911184307751886155172059935403087e-01; diff = 1.925929944387235853055977942584927319e-34; -480/1000
Check failed for (fp128): alpha = -3.009645762139021922447212361181763569e+00; beta = -7.524114405347554806118030902954408923e-01; gamma = -3.762057202673777403059015451477204461e-01; diff = 1.925929944387235853055977942584927319e-34; -479/1000
Check failed for (fp128): alpha = -2.959380279681585230631810067049291592e+00; beta = -7.398450699203963076579525167623228980e-01; gamma = -3.699225349601981538289762583811614490e-01; diff = 1.925929944387235853055977942584927319e-34; -471/1000
Check failed for (fp128): alpha = -2.934247538452866884724108919983055604e+00; beta = -7.335618846132167211810272299957639009e-01; gamma = -3.667809423066083605905136149978819505e-01; diff = 1.925929944387235853055977942584927319e-34; -467/1000
Check failed for (fp128): alpha = -2.865132500073891433477930765550906539e+00; beta = -7.162831250184728583694826913877266347e-01; gamma = -3.581415625092364291847413456938633174e-01; diff = 1.925929944387235853055977942584927319e-34; -456/1000
Check failed for (fp128): alpha = -2.808583832309275155185603184651875661e+00; beta = -7.021459580773187887964007961629689153e-01; gamma = -3.510729790386593943982003980814844576e-01; diff = 1.925929944387235853055977942584927319e-34; -447/1000
Check failed for (fp128): alpha = -2.362477675499524515323907824226185999e+00; beta = -5.906194188748811288309769560565464997e-01; gamma = -2.953097094374405644154884780282732499e-01; diff = 1.925929944387235853055977942584927319e-34; -376/1000
Check failed for (fp128): alpha = -9.487609813841175580157183017504098171e-01; beta = -2.371902453460293895039295754376024543e-01; gamma = -1.185951226730146947519647877188012271e-01; diff = 1.925929944387235853055977942584927319e-34; -151/1000
Check failed for (fp128): alpha = -5.215043804959056775847988016243974351e-01; beta = -1.303760951239764193961997004060993588e-01; gamma = -6.518804756198820969809985020304967939e-02; diff = 1.925929944387235853055977942584927319e-34; -83/1000
Check failed for (fp128): alpha = -4.398229715025710533847700736591304244e-01; beta = -1.099557428756427633461925184147826061e-01; gamma = -5.497787143782138167309625920739130305e-02; diff = 1.925929944387235853055977942584927319e-34; -70/1000
Check failed for (fp128): alpha = -3.769911184307751886155172059935403087e-01; beta = -9.424777960769379715387930149838507718e-02; gamma = -4.712388980384689857693965074919253859e-02; diff = 1.925929944387235853055977942584927319e-34; -60/1000
Check failed for (fp128): alpha = -2.513274122871834590770114706623602219e-01; beta = -6.283185307179586476925286766559005547e-02; gamma = -3.141592653589793238462643383279502773e-02; diff = 1.925929944387235853055977942584927319e-34; -40/1000
Check failed for (fp128): alpha = -1.822123739082080078308333162302111572e-01; beta = -4.555309347705200195770832905755278931e-02; gamma = -2.277654673852600097885416452877639466e-02; diff = 1.925929944387235853055977942584927319e-34; -29/1000
Check failed for (fp128): alpha = -1.130973355292325565846551617980621047e-01; beta = -2.827433388230813914616379044951552616e-02; gamma = -1.413716694115406957308189522475776308e-02; diff = 1.925929944387235853055977942584927319e-34; -18/1000
Check failed for (fp128): alpha = 1.130973355292325565846551617980621047e-01; beta = 2.827433388230813914616379044951552616e-02; gamma = 1.413716694115406957308189522475776308e-02; diff = 1.925929944387235853055977942584927319e-34; 18/1000
Check failed for (fp128): alpha = 1.822123739082080078308333162302111572e-01; beta = 4.555309347705200195770832905755278931e-02; gamma = 2.277654673852600097885416452877639466e-02; diff = 1.925929944387235853055977942584927319e-34; 29/1000
Check failed for (fp128): alpha = 2.513274122871834590770114706623602219e-01; beta = 6.283185307179586476925286766559005547e-02; gamma = 3.141592653589793238462643383279502773e-02; diff = 1.925929944387235853055977942584927319e-34; 40/1000
Check failed for (fp128): alpha = 3.769911184307751886155172059935403087e-01; beta = 9.424777960769379715387930149838507718e-02; gamma = 4.712388980384689857693965074919253859e-02; diff = 1.925929944387235853055977942584927319e-34; 60/1000
Check failed for (fp128): alpha = 4.398229715025710533847700736591304244e-01; beta = 1.099557428756427633461925184147826061e-01; gamma = 5.497787143782138167309625920739130305e-02; diff = 1.925929944387235853055977942584927319e-34; 70/1000
Check failed for (fp128): alpha = 5.215043804959056775847988016243974351e-01; beta = 1.303760951239764193961997004060993588e-01; gamma = 6.518804756198820969809985020304967939e-02; diff = 1.925929944387235853055977942584927319e-34; 83/1000
Check failed for (fp128): alpha = 9.487609813841175580157183017504098171e-01; beta = 2.371902453460293895039295754376024543e-01; gamma = 1.185951226730146947519647877188012271e-01; diff = 1.925929944387235853055977942584927319e-34; 151/1000
Check failed for (fp128): alpha = 2.362477675499524515323907824226185999e+00; beta = 5.906194188748811288309769560565464997e-01; gamma = 2.953097094374405644154884780282732499e-01; diff = 1.925929944387235853055977942584927319e-34; 376/1000
Check failed for (fp128): alpha = 2.808583832309275155185603184651875661e+00; beta = 7.021459580773187887964007961629689153e-01; gamma = 3.510729790386593943982003980814844576e-01; diff = 1.925929944387235853055977942584927319e-34; 447/1000
Check failed for (fp128): alpha = 2.865132500073891433477930765550906539e+00; beta = 7.162831250184728583694826913877266347e-01; gamma = 3.581415625092364291847413456938633174e-01; diff = 1.925929944387235853055977942584927319e-34; 456/1000
Check failed for (fp128): alpha = 2.934247538452866884724108919983055604e+00; beta = 7.335618846132167211810272299957639009e-01; gamma = 3.667809423066083605905136149978819505e-01; diff = 1.925929944387235853055977942584927319e-34; 467/1000
Check failed for (fp128): alpha = 2.959380279681585230631810067049291592e+00; beta = 7.398450699203963076579525167623228980e-01; gamma = 3.699225349601981538289762583811614490e-01; diff = 1.925929944387235853055977942584927319e-34; 471/1000
Check failed for (fp128): alpha = 3.009645762139021922447212361181763569e+00; beta = 7.524114405347554806118030902954408923e-01; gamma = 3.762057202673777403059015451477204461e-01; diff = 1.925929944387235853055977942584927319e-34; 479/1000
Check failed for (fp128): alpha = 3.015928947446201508924137647948322470e+00; beta = 7.539822368615503772310344119870806175e-01; gamma = 3.769911184307751886155172059935403087e-01; diff = 1.925929944387235853055977942584927319e-34; 480/1000
Check failed for (fp128): alpha = 3.028495318060560681877988221481440657e+00; beta = 7.571238295151401704694970553703601642e-01; gamma = 3.785619147575700852347485276851800821e-01; diff = 1.925929944387235853055977942584927319e-34; 482/1000
Check failed for (fp128): alpha = 3.047344873982099441308764081781117744e+00; beta = 7.618362184955248603271910204452794361e-01; gamma = 3.809181092477624301635955102226397180e-01; diff = 1.925929944387235853055977942584927319e-34; 485/1000
Check failed for (fp128): alpha = 3.166725394818511584370344530345738786e+00; beta = 7.916813487046278960925861325864346965e-01; gamma = 3.958406743523139480462930662932173482e-01; diff = 1.925929944387235853055977942584927319e-34; 504/1000
Check failed for (fp128): alpha = 3.173008580125691170847269817112297687e+00; beta = 7.932521450314227927118174542780744217e-01; gamma = 3.966260725157113963559087271390372108e-01; diff = 1.925929944387235853055977942584927319e-34; 505/1000
Check failed for (fp128): alpha = 3.191858136047229930278045677411975160e+00; beta = 7.979645340118074825695114193529937899e-01; gamma = 3.989822670059037412847557096764968950e-01; diff = 1.925929944387235853055977942584927319e-34; 508/1000
Check failed for (fp128): alpha = 3.248406803811846208570373258311005652e+00; beta = 8.121017009529615521425933145777514131e-01; gamma = 4.060508504764807760712966572888757065e-01; diff = 1.925929944387235853055977942584927319e-34; 517/1000
Check failed for (fp128): alpha = 3.304955471576462486862700839210036915e+00; beta = 8.262388678941156217156752098025092288e-01; gamma = 4.131194339470578108578376049012546144e-01; diff = 1.925929944387235853055977942584927319e-34; 526/1000
Check failed for (fp128): alpha = 3.336371398112360419247327273042832190e+00; beta = 8.340928495280901048118318182607080474e-01; gamma = 4.170464247640450524059159091303540237e-01; diff = 2.888894916580853779583966913877390978e-34; 531/1000
Check failed for (fp128): alpha = 3.386636880569797111062729567175303781e+00; beta = 8.466592201424492777656823917938259454e-01; gamma = 4.233296100712246388828411958969129727e-01; diff = 1.925929944387235853055977942584927319e-34; 539/1000
Check failed for (fp128): alpha = 3.399203251184156284016580140708421968e+00; beta = 8.498008127960390710041450351771054921e-01; gamma = 4.249004063980195355020725175885527460e-01; diff = 1.925929944387235853055977942584927319e-34; 541/1000
Check failed for (fp128): alpha = 3.405486436491335870493505427474980869e+00; beta = 8.513716091228339676233763568687452173e-01; gamma = 4.256858045614169838116881784343726086e-01; diff = 1.925929944387235853055977942584927319e-34; 542/1000
Check failed for (fp128): alpha = 3.418052807105695043447356001008098671e+00; beta = 8.545132017764237608618390002520246677e-01; gamma = 4.272566008882118804309195001260123338e-01; diff = 1.925929944387235853055977942584927319e-34; 544/1000
Check failed for (fp128): alpha = 3.436902363027233802878131861307776144e+00; beta = 8.592255907568084507195329653269440359e-01; gamma = 4.296127953784042253597664826634720180e-01; diff = 2.888894916580853779583966913877390978e-34; 547/1000
Check failed for (fp128): alpha = 3.443185548334413389355057148074335044e+00; beta = 8.607963870836033473387642870185837611e-01; gamma = 4.303981935418016736693821435092918806e-01; diff = 1.925929944387235853055977942584927319e-34; 548/1000
Check failed for (fp128): alpha = 3.449468733641592975831982434840893945e+00; beta = 8.623671834103982439579956087102234863e-01; gamma = 4.311835917051991219789978043551117432e-01; diff = 1.925929944387235853055977942584927319e-34; 549/1000
Check failed for (fp128): alpha = 3.487167845484670494693534155440248506e+00; beta = 8.717919613711676236733835388600621264e-01; gamma = 4.358959806855838118366917694300310632e-01; diff = 1.925929944387235853055977942584927319e-34; 555/1000
Check failed for (fp128): alpha = 3.512300586713388840601235302506484109e+00; beta = 8.780751466783472101503088256266210273e-01; gamma = 4.390375733391736050751544128133105136e-01; diff = 1.925929944387235853055977942584927319e-34; 559/1000
Check failed for (fp128): alpha = 3.518583772020568427078160589273043395e+00; beta = 8.796459430051421067695401473182608488e-01; gamma = 4.398229715025710533847700736591304244e-01; diff = 1.925929944387235853055977942584927319e-34; 560/1000
Check failed for (fp128): alpha = 3.524866957327748013555085876039602296e+00; beta = 8.812167393319370033887714690099005740e-01; gamma = 4.406083696659685016943857345049502870e-01; diff = 1.925929944387235853055977942584927319e-34; 561/1000
Check failed for (fp128): alpha = 3.531150142634927600032011162806161197e+00; beta = 8.827875356587319000080027907015402992e-01; gamma = 4.413937678293659500040013953507701496e-01; diff = 2.888894916580853779583966913877390978e-34; 562/1000
Check failed for (fp128): alpha = 3.543716513249286772985861736339278998e+00; beta = 8.859291283123216932464654340848197496e-01; gamma = 4.429645641561608466232327170424098748e-01; diff = 1.925929944387235853055977942584927319e-34; 564/1000
Check failed for (fp128): alpha = 3.556282883863645945939712309872397185e+00; beta = 8.890707209659114864849280774680992963e-01; gamma = 4.445353604829557432424640387340496482e-01; diff = 1.925929944387235853055977942584927319e-34; 566/1000
Check failed for (fp128): alpha = 3.606548366321082637755114604004869162e+00; beta = 9.016370915802706594387786510012172906e-01; gamma = 4.508185457901353297193893255006086453e-01; diff = 1.925929944387235853055977942584927319e-34; 574/1000
Check failed for (fp128): alpha = 3.700796145928776434908993905503254215e+00; beta = 9.251990364821941087272484763758135538e-01; gamma = 4.625995182410970543636242381879067769e-01; diff = 1.925929944387235853055977942584927319e-34; 589/1000
Check failed for (fp128): alpha = 3.732212072464674367293620339336049105e+00; beta = 9.330530181161685918234050848340122762e-01; gamma = 4.665265090580842959117025424170061381e-01; diff = 1.925929944387235853055977942584927319e-34; 594/1000
Check failed for (fp128): alpha = 3.744778443079033540247470912869166906e+00; beta = 9.361946107697583850618677282172917266e-01; gamma = 4.680973053848791925309338641086458633e-01; diff = 2.407412430484044816319972428231159148e-34; 596/1000
