Check failed for (fp32): x = -6.182655; diff = 5.960464e-08; -984/1000
Check failed for (fp32): x = -6.151238; diff = 5.960464e-08; -979/1000
Check failed for (fp32): x = -6.138672; diff = 5.960464e-08; -977/1000
Check failed for (fp32): x = -6.132389; diff = 1.192093e-07; -976/1000
Check failed for (fp32): x = -6.126106; diff = 5.960464e-08; -975/1000
Check failed for (fp32): x = -6.119823; diff = 5.960464e-08; -974/1000
Check failed for (fp32): x = -6.107256; diff = 1.192093e-07; -972/1000
Check failed for (fp32): x = -6.100973; diff = 5.960464e-08; -971/1000
Check failed for (fp32): x = -6.09469; diff = 5.960464e-08; -970/1000
Check failed for (fp32): x = -6.088407; diff = 1.192093e-07; -969/1000
Check failed for (fp32): x = -6.07584; diff = 5.960464e-08; -967/1000
Check failed for (fp32): x = -6.063274; diff = 1.788139e-07; -965/1000
Check failed for (fp32): x = -6.056991; diff = 5.960464e-08; -964/1000
Check failed for (fp32): x = -6.050708; diff = 1.192093e-07; -963/1000
Check failed for (fp32): x = -6.044425; diff = 1.192093e-07; -962/1000
Check failed for (fp32): x = -6.038141; diff = 5.960464e-08; -961/1000
Check failed for (fp32): x = -6.031858; diff = 5.960464e-08; -960/1000
Check failed for (fp32): x = -6.025575; diff = 1.788139e-07; -959/1000
Check failed for (fp32): x = -6.019292; diff = 5.960464e-08; -958/1000
Check failed for (fp32): x = -6.013009; diff = 2.384186e-07; -957/1000
Check failed for (fp32): x = -6.006725; diff = 1.192093e-07; -956/1000
Check failed for (fp32): x = -6.000442; diff = 5.960464e-08; -955/1000
Check failed for (fp32): x = -5.994159; diff = 1.192093e-07; -954/1000
Check failed for (fp32): x = -5.987876; diff = 1.788139e-07; -953/1000
Check failed for (fp32): x = -5.981593; diff = 5.960464e-08; -952/1000
Check failed for (fp32): x = -5.975309; diff = 1.788139e-07; -951/1000
Check failed for (fp32): x = -5.969026; diff = 1.192093e-07; -950/1000
Check failed for (fp32): x = -5.95646; diff = 5.960464e-08; -948/1000
Check failed for (fp32): x = -5.943893; diff = 5.960464e-08; -946/1000
Check failed for (fp32): x = -5.93761; diff = 1.788139e-07; -945/1000
Check failed for (fp32): x = -5.931327; diff = 5.960464e-08; -944/1000
Check failed for (fp32): x = -5.925044; diff = 2.384186e-07; -943/1000
Check failed for (fp32): x = -5.918761; diff = 2.384186e-07; -942/1000
Check failed for (fp32): x = -5.912477; diff = 1.192093e-07; -941/1000
Check failed for (fp32): x = -5.906194; diff = 1.192093e-07; -940/1000
Check failed for (fp32): x = -5.899911; diff = 2.384186e-07; -939/1000
Check failed for (fp32): x = -5.893628; diff = 5.960464e-08; -938/1000
Check failed for (fp32): x = -5.887345; diff = 1.192093e-07; -937/1000
Check failed for (fp32): x = -5.874778; diff = 2.384186e-07; -935/1000
Check failed for (fp32): x = -5.868495; diff = 1.788139e-07; -934/1000
Check failed for (fp32): x = -5.862212; diff = 1.192093e-07; -933/1000
Check failed for (fp32): x = -5.855929; diff = 5.960464e-08; -932/1000
Check failed for (fp32): x = -5.849646; diff = 1.192093e-07; -931/1000
Check failed for (fp32): x = -5.843362; diff = 5.960464e-08; -930/1000
Check failed for (fp32): x = -5.830796; diff = 1.192093e-07; -928/1000
Check failed for (fp32): x = -5.824513; diff = 1.788139e-07; -927/1000
Check failed for (fp32): x = -5.81823; diff = 1.788139e-07; -926/1000
Check failed for (fp32): x = -5.811947; diff = 1.192093e-07; -925/1000
Check failed for (fp32): x = -5.805664; diff = 1.192093e-07; -924/1000
Check failed for (fp32): x = -5.79938; diff = 5.960464e-08; -923/1000
Check failed for (fp32): x = -5.793097; diff = 2.384186e-07; -922/1000
Check failed for (fp32): x = -5.786814; diff = 1.788139e-07; -921/1000
Check failed for (fp32): x = -5.774248; diff = 1.788139e-07; -919/1000
Check failed for (fp32): x = -5.767964; diff = 1.192093e-07; -918/1000
Check failed for (fp32): x = -5.761681; diff = 1.192093e-07; -917/1000
Check failed for (fp32): x = -5.755398; diff = 1.192093e-07; -916/1000
Check failed for (fp32): x = -5.749115; diff = 3.576279e-07; -915/1000
Check failed for (fp32): x = -5.742831; diff = 2.384186e-07; -914/1000
Check failed for (fp32): x = -5.736548; diff = 5.960464e-08; -913/1000
Check failed for (fp32): x = -5.730265; diff = 2.384186e-07; -912/1000
Check failed for (fp32): x = -5.723982; diff = 1.788139e-07; -911/1000
Check failed for (fp32): x = -5.717699; diff = 5.960464e-08; -910/1000
Check failed for (fp32): x = -5.711415; diff = 3.576279e-07; -909/1000
Check failed for (fp32): x = -5.705132; diff = 5.960464e-08; -908/1000
Check failed for (fp32): x = -5.698849; diff = 1.192093e-07; -907/1000
Check failed for (fp32): x = -5.692566; diff = 1.788139e-07; -906/1000
Check failed for (fp32): x = -5.686283; diff = 5.960464e-08; -905/1000
Check failed for (fp32): x = -5.679999; diff = 5.960464e-08; -904/1000
Check failed for (fp32): x = -5.673717; diff = 5.960464e-08; -903/1000
Check failed for (fp32): x = -5.667433; diff = 2.384186e-07; -902/1000
Check failed for (fp32): x = -5.66115; diff = 1.192093e-07; -901/1000
Check failed for (fp32): x = -5.654867; diff = 1.192093e-07; -900/1000
Check failed for (fp32): x = -5.648584; diff = 1.192093e-07; -899/1000
Check failed for (fp32): x = -5.642301; diff = 1.788139e-07; -898/1000
Check failed for (fp32): x = -5.636017; diff = 1.192093e-07; -897/1000
Check failed for (fp32): x = -5.629735; diff = 1.788139e-07; -896/1000
Check failed for (fp32): x = -5.623451; diff = 1.192093e-07; -895/1000
Check failed for (fp32): x = -5.617168; diff = 8.940697e-08; -894/1000
Check failed for (fp32): x = -5.610885; diff = 5.960464e-08; -893/1000
Check failed for (fp32): x = -5.598318; diff = 1.192093e-07; -891/1000
Check failed for (fp32): x = -5.592035; diff = 8.940697e-08; -890/1000
Check failed for (fp32): x = -5.573185; diff = 2.086163e-07; -887/1000
Check failed for (fp32): x = -5.566902; diff = 1.192093e-07; -886/1000
Check failed for (fp32): x = -5.554336; diff = 2.384186e-07; -884/1000
Check failed for (fp32): x = -5.548053; diff = 2.384186e-07; -883/1000
Check failed for (fp32): x = -5.535486; diff = 1.788139e-07; -881/1000
Check failed for (fp32): x = -5.510354; diff = 1.676381e-07; -877/1000
Check failed for (fp32): x = -5.478938; diff = 8.940697e-08; -872/1000
Check failed for (fp32): x = -5.472654; diff = 1.117587e-07; -871/1000
Check failed for (fp32): x = -5.466372; diff = 8.940697e-08; -870/1000
Check failed for (fp32): x = -5.460088; diff = 2.086163e-07; -869/1000
Check failed for (fp32): x = -5.447522; diff = 1.341105e-07; -867/1000
Check failed for (fp32): x = -5.434956; diff = 1.192093e-07; -865/1000
Check failed for (fp32): x = -5.422389; diff = 8.940697e-08; -863/1000
Check failed for (fp32): x = -5.416106; diff = 8.940697e-08; -862/1000
Check failed for (fp32): x = -5.409823; diff = 1.192093e-07; -861/1000
Check failed for (fp32): x = -5.40354; diff = 5.960464e-08; -860/1000
Check failed for (fp32): x = -5.38469; diff = 1.490116e-07; -857/1000
Check failed for (fp32): x = -5.372124; diff = 5.960464e-08; -855/1000
Check failed for (fp32): x = -5.36584; diff = 5.960464e-08; -854/1000
Check failed for (fp32): x = -5.359557; diff = 1.788139e-07; -853/1000
Check failed for (fp32): x = -5.353274; diff = 5.960464e-08; -852/1000
Check failed for (fp32): x = -5.346991; diff = 5.960464e-08; -851/1000
Check failed for (fp32): x = -5.340708; diff = 1.192093e-07; -850/1000
Check failed for (fp32): x = -5.334424; diff = 5.960464e-08; -849/1000
Check failed for (fp32): x = -5.328141; diff = 1.192093e-07; -848/1000
Check failed for (fp32): x = -5.321858; diff = 5.960464e-08; -847/1000
Check failed for (fp32): x = -5.315575; diff = 5.960464e-08; -846/1000
Check failed for (fp32): x = -5.303009; diff = 1.788139e-07; -844/1000
Check failed for (fp32): x = -5.296725; diff = 5.960464e-08; -843/1000
Check failed for (fp32): x = -5.290442; diff = 5.960464e-08; -842/1000
Check failed for (fp32): x = -5.284159; diff = 5.960464e-08; -841/1000
Check failed for (fp32): x = -5.277875; diff = 5.960464e-08; -840/1000
Check failed for (fp32): x = -5.271593; diff = 5.960464e-08; -839/1000
Check failed for (fp32): x = -5.265309; diff = 5.960464e-08; -838/1000
Check failed for (fp32): x = -5.252743; diff = 5.960464e-08; -836/1000
Check failed for (fp32): x = -5.240177; diff = 5.960464e-08; -834/1000
Check failed for (fp32): x = -5.233893; diff = 5.960464e-08; -833/1000
Check failed for (fp32): x = -5.227611; diff = 5.960464e-08; -832/1000
Check failed for (fp32): x = -5.215044; diff = 5.960464e-08; -830/1000
Check failed for (fp32): x = -5.202477; diff = 5.960464e-08; -828/1000
Check failed for (fp32): x = -5.189911; diff = 5.960464e-08; -826/1000
Check failed for (fp32): x = -5.164779; diff = 5.960464e-08; -822/1000
Check failed for (fp32): x = -5.158495; diff = 5.960464e-08; -821/1000
Check failed for (fp32): x = -5.152212; diff = 5.960464e-08; -820/1000
Check failed for (fp32): x = -5.120796; diff = 5.960464e-08; -815/1000
Check failed for (fp32): x = -5.114513; diff = 5.960464e-08; -814/1000
Check failed for (fp32): x = -5.10823; diff = 5.960464e-08; -813/1000
Check failed for (fp32): x = -5.08938; diff = 5.960464e-08; -810/1000
Check failed for (fp32): x = -5.07053; diff = 5.960464e-08; -807/1000
Check failed for (fp32): x = -5.064248; diff = 5.960464e-08; -806/1000
Check failed for (fp32): x = -5.057964; diff = 5.960464e-08; -805/1000
Check failed for (fp32): x = -5.051681; diff = 5.960464e-08; -804/1000
Check failed for (fp32): x = -5.045398; diff = 5.960464e-08; -803/1000
Check failed for (fp32): x = -5.032832; diff = 5.960464e-08; -801/1000
Check failed for (fp32): x = -5.020266; diff = 5.960464e-08; -799/1000
Check failed for (fp32): x = -5.001416; diff = 5.960464e-08; -796/1000
Check failed for (fp32): x = -4.995132; diff = 5.960464e-08; -795/1000
Check failed for (fp32): x = -4.98885; diff = 5.960464e-08; -794/1000
Check failed for (fp32): x = -4.976283; diff = 5.960464e-08; -792/1000
Check failed for (fp32): x = -4.97; diff = 5.960464e-08; -791/1000
Check failed for (fp32): x = -4.932301; diff = 5.960464e-08; -785/1000
Check failed for (fp32): x = -4.926017; diff = 5.960464e-08; -784/1000
Check failed for (fp32): x = -4.919734; diff = 5.960464e-08; -783/1000
Check failed for (fp32): x = -4.913451; diff = 5.960464e-08; -782/1000
Check failed for (fp32): x = -4.882035; diff = 5.960464e-08; -777/1000
Check failed for (fp32): x = -4.875752; diff = 5.960464e-08; -776/1000
Check failed for (fp32): x = -4.580442; diff = 5.960464e-08; -729/1000
