Check failed for (fp64): alpha = -6.28318530717959; diff1 = inf; diff2 = inf; -1000/1000
Check failed for (fp64): alpha = -5.92504374467035; diff1 = 4.44089209850063e-16; diff2 = 5.34355601036264; -943/1000
Check failed for (fp64): alpha = -5.91876055936317; diff1 = 8.88178419700125e-16; diff2 = 5.24297307839349; -942/1000
Check failed for (fp64): alpha = -5.91247737405599; diff1 = 4.44089209850063e-16; diff2 = 5.14564995647834; -941/1000
Check failed for (fp64): alpha = -5.89991100344163; diff1 = 4.44089209850063e-16; diff2 = 4.96014078062265; -939/1000
Check failed for (fp64): alpha = -5.89362781813445; diff1 = 4.44089209850063e-16; diff2 = 4.87165943435321; -938/1000
Check failed for (fp64): alpha = -5.88106144752009; diff1 = 8.88178419700125e-16; diff2 = 4.70257416551561; -936/1000
Check failed for (fp64): alpha = -5.87477826221291; diff1 = 4.44089209850063e-16; diff2 = 4.62172730776483; -935/1000
Check failed for (fp64): alpha = -5.86849507690573; diff1 = 8.88178419700125e-16; diff2 = 4.54319460546597; -934/1000
Check failed for (fp64): alpha = -5.8496455209842; diff1 = 4.44089209850063e-16; diff2 = 4.32047252817653; -931/1000
Check failed for (fp64): alpha = -5.84336233567702; diff1 = 8.88178419700125e-16; diff2 = 4.25021634631441; -930/1000
Check failed for (fp64): alpha = -5.83707915036984; diff1 = 4.44089209850063e-16; diff2 = 4.18181165103102; -929/1000
Check failed for (fp64): alpha = -5.82451277975548; diff1 = 4.44089209850063e-16; diff2 = 4.05025123838502; -927/1000
Check failed for (fp64): alpha = -5.8182295944483; diff1 = 4.44089209850063e-16; diff2 = 3.98695308868023; -926/1000
Check failed for (fp64): alpha = -5.81194640914112; diff1 = 6.66133814775094e-16; diff2 = 3.9252210110103; -925/1000
Check failed for (fp64): alpha = -5.80566322383394; diff1 = 2.22044604925031e-16; diff2 = 3.86499289856837; -924/1000
Check failed for (fp64): alpha = -5.79938003852676; diff1 = 2.22044604925031e-16; diff2 = 3.80620986622778; -923/1000
Check failed for (fp64): alpha = -5.79309685321958; diff1 = 2.22044604925031e-16; diff2 = 3.74881604398857; -922/1000
Check failed for (fp64): alpha = -5.7868136679124; diff1 = 2.22044604925031e-16; diff2 = 3.69275838611078; -921/1000
Check failed for (fp64): alpha = -5.77424729729804; diff1 = 6.66133814775094e-16; diff2 = 3.58445245554308; -919/1000
Check failed for (fp64): alpha = -5.76796411199086; diff1 = 2.22044604925031e-16; diff2 = 3.53211068797261; -918/1000
Check failed for (fp64): alpha = -5.76168092668368; diff1 = 2.22044604925031e-16; diff2 = 3.48091780292637; -917/1000
Check failed for (fp64): alpha = -5.74911455606932; diff1 = 4.44089209850063e-16; diff2 = 3.38181531157002; -915/1000
Check failed for (fp64): alpha = -5.74283137076214; diff1 = 2.22044604925031e-16; diff2 = 3.33382875880555; -914/1000
Check failed for (fp64): alpha = -5.73654818545496; diff1 = 2.22044604925031e-16; diff2 = 3.28683697774442; -913/1000
Check failed for (fp64): alpha = -5.7239818148406; diff1 = 2.22044604925031e-16; diff2 = 3.19570241367416; -911/1000
Check failed for (fp64): alpha = -5.71769862953342; diff1 = 2.22044604925031e-16; diff2 = 3.1514957199373; -910/1000
Check failed for (fp64): alpha = -5.71141544422624; diff1 = 6.66133814775094e-16; diff2 = 3.10815581163312; -909/1000
Check failed for (fp64): alpha = -5.68628270299753; diff1 = 2.22044604925031e-16; diff2 = 2.94291063163994; -905/1000
Check failed for (fp64): alpha = -5.67999951769035; diff1 = 2.22044604925031e-16; diff2 = 2.90349965002018; -904/1000
Check failed for (fp64): alpha = -5.66743314707599; diff1 = 2.22044604925031e-16; diff2 = 2.8267930457245; -902/1000
Check failed for (fp64): alpha = -5.66114996176881; diff1 = 2.22044604925031e-16; diff2 = 2.78945406794818; -901/1000
Check failed for (fp64): alpha = -5.65486677646163; diff1 = 2.22044604925031e-16; diff2 = 2.75276384094235; -900/1000
Check failed for (fp64): alpha = -5.64230040584727; diff1 = 2.22044604925031e-16; diff2 = 2.68125206373724; -898/1000
Check failed for (fp64): alpha = -5.63601722054009; diff1 = 4.44089209850063e-16; diff2 = 2.64639359784448; -897/1000
Check failed for (fp64): alpha = -5.62345084992573; diff1 = 2.22044604925031e-16; diff2 = 2.57838446357013; -895/1000
Check failed for (fp64): alpha = -5.61088447931137; diff1 = 2.22044604925031e-16; diff2 = 2.51254387156853; -893/1000
Check failed for (fp64): alpha = -5.59831810869701; diff1 = 2.22044604925031e-16; diff2 = 2.44874989947788; -891/1000
