Check failed for (fp32): alpha = -6.283185; beta = -1.570796; gamma = -0.7853982; diff = 8.498178e-08; -1000/1000
Check failed for (fp32): alpha = -6.276902; beta = -1.569226; gamma = -0.7846128; diff = 7.590279e-08; -999/1000
Check failed for (fp32): alpha = -6.258053; beta = -1.564513; gamma = -0.7822566; diff = 8.568168e-08; -996/1000
Check failed for (fp32): alpha = -6.25177; beta = -1.562942; gamma = -0.7814712; diff = 7.636845e-08; -995/1000
Check failed for (fp32): alpha = -6.245486; beta = -1.561372; gamma = -0.7806858; diff = 7.078052e-08; -994/1000
Check failed for (fp32): alpha = -6.214071; beta = -1.553518; gamma = -0.7767588; diff = 8.195639e-08; -989/1000
Check failed for (fp32): alpha = -6.207787; beta = -1.551947; gamma = -0.7759734; diff = 5.960464e-08; -988/1000
Check failed for (fp32): alpha = -6.176371; beta = -1.544093; gamma = -0.7720464; diff = 5.960464e-08; -983/1000
Check failed for (fp32): alpha = -6.157522; beta = -1.53938; gamma = -0.7696902; diff = 7.450581e-08; -980/1000
Check failed for (fp32): alpha = -6.151238; beta = -1.53781; gamma = -0.7689048; diff = 8.195639e-08; -979/1000
Check failed for (fp32): alpha = -6.132389; beta = -1.533097; gamma = -0.7665486; diff = 9.685755e-08; -976/1000
Check failed for (fp32): alpha = -6.119823; beta = -1.529956; gamma = -0.7649778; diff = 8.940697e-08; -974/1000
Check failed for (fp32): alpha = -6.107256; beta = -1.526814; gamma = -0.7634071; diff = 7.450581e-08; -972/1000
Check failed for (fp32): alpha = -6.088407; beta = -1.522102; gamma = -0.7610508; diff = 1.043081e-07; -969/1000
Check failed for (fp32): alpha = -6.07584; beta = -1.51896; gamma = -0.7594801; diff = 7.450581e-08; -967/1000
Check failed for (fp32): alpha = -6.063274; beta = -1.515818; gamma = -0.7579092; diff = 7.450581e-08; -965/1000
Check failed for (fp32): alpha = -6.056991; beta = -1.514248; gamma = -0.7571238; diff = 7.450581e-08; -964/1000
Check failed for (fp32): alpha = -6.050708; beta = -1.512677; gamma = -0.7563385; diff = 7.450581e-08; -963/1000
Check failed for (fp32): alpha = -6.031858; beta = -1.507964; gamma = -0.7539822; diff = 7.450581e-08; -960/1000
Check failed for (fp32): alpha = -6.025575; beta = -1.506394; gamma = -0.7531968; diff = 1.043081e-07; -959/1000
Check failed for (fp32): alpha = -6.019292; beta = -1.504823; gamma = -0.7524115; diff = 7.450581e-08; -958/1000
Check failed for (fp32): alpha = -6.013009; beta = -1.503252; gamma = -0.7516261; diff = 5.960464e-08; -957/1000
Check failed for (fp32): alpha = -6.006725; beta = -1.501681; gamma = -0.7508407; diff = 1.192093e-07; -956/1000
Check failed for (fp32): alpha = -5.994159; beta = -1.49854; gamma = -0.7492698; diff = 7.450581e-08; -954/1000
Check failed for (fp32): alpha = -5.987876; beta = -1.496969; gamma = -0.7484845; diff = 8.940697e-08; -953/1000
Check failed for (fp32): alpha = -5.981593; beta = -1.495398; gamma = -0.7476991; diff = 7.450581e-08; -952/1000
Check failed for (fp32): alpha = -5.969026; beta = -1.492257; gamma = -0.7461283; diff = 5.960464e-08; -950/1000
Check failed for (fp32): alpha = -5.962743; beta = -1.490686; gamma = -0.7453429; diff = 8.940697e-08; -949/1000
Check failed for (fp32): alpha = -5.95646; beta = -1.489115; gamma = -0.7445575; diff = 5.960464e-08; -948/1000
Check failed for (fp32): alpha = -5.950177; beta = -1.487544; gamma = -0.7437721; diff = 7.450581e-08; -947/1000
Check failed for (fp32): alpha = -5.931327; beta = -1.482832; gamma = -0.7414159; diff = 5.960464e-08; -944/1000
Check failed for (fp32): alpha = -5.925044; beta = -1.481261; gamma = -0.7406305; diff = 5.960464e-08; -943/1000
Check failed for (fp32): alpha = -5.918761; beta = -1.47969; gamma = -0.7398451; diff = 5.960464e-08; -942/1000
Check failed for (fp32): alpha = -5.906194; beta = -1.476549; gamma = -0.7382743; diff = 5.960464e-08; -940/1000
Check failed for (fp32): alpha = -5.899911; beta = -1.474978; gamma = -0.7374889; diff = 5.960464e-08; -939/1000
Check failed for (fp32): alpha = -5.893628; beta = -1.473407; gamma = -0.7367035; diff = 8.940697e-08; -938/1000
Check failed for (fp32): alpha = -5.887345; beta = -1.471836; gamma = -0.7359181; diff = 8.940697e-08; -937/1000
Check failed for (fp32): alpha = -5.881062; beta = -1.470265; gamma = -0.7351327; diff = 1.490116e-07; -936/1000
