Check failed for (fp32): x = -6.270619; diff = 5.960464e-08; -998/1000
Check failed for (fp32): x = -6.264336; diff = 1.192093e-07; -997/1000
Check failed for (fp32): x = -6.258053; diff = 5.960464e-08; -996/1000
Check failed for (fp32): x = -6.239203; diff = 5.960464e-08; -993/1000
Check failed for (fp32): x = -6.226637; diff = 1.192093e-07; -991/1000
Check failed for (fp32): x = -6.220354; diff = 5.960464e-08; -990/1000
Check failed for (fp32): x = -6.195221; diff = 5.960464e-08; -986/1000
Check failed for (fp32): x = -6.170088; diff = 5.960464e-08; -982/1000
Check failed for (fp32): x = -6.157522; diff = 5.960464e-08; -980/1000
Check failed for (fp32): x = -6.151238; diff = 1.192093e-07; -979/1000
Check failed for (fp32): x = -6.144955; diff = 5.960464e-08; -978/1000
Check failed for (fp32): x = -6.138672; diff = 5.960464e-08; -977/1000
Check failed for (fp32): x = -6.132389; diff = 5.960464e-08; -976/1000
Check failed for (fp32): x = -6.126106; diff = 5.960464e-08; -975/1000
Check failed for (fp32): x = -6.119823; diff = 5.960464e-08; -974/1000
Check failed for (fp32): x = -6.113539; diff = 5.960464e-08; -973/1000
Check failed for (fp32): x = -6.107256; diff = 1.192093e-07; -972/1000
Check failed for (fp32): x = -6.100973; diff = 5.960464e-08; -971/1000
Check failed for (fp32): x = -6.088407; diff = 5.960464e-08; -969/1000
Check failed for (fp32): x = -6.07584; diff = 1.192093e-07; -967/1000
Check failed for (fp32): x = -6.063274; diff = 1.192093e-07; -965/1000
Check failed for (fp32): x = -6.056991; diff = 1.788139e-07; -964/1000
Check failed for (fp32): x = -6.050708; diff = 1.192093e-07; -963/1000
Check failed for (fp32): x = -6.031858; diff = 5.960464e-08; -960/1000
Check failed for (fp32): x = -6.025575; diff = 1.788139e-07; -959/1000
Check failed for (fp32): x = -6.019292; diff = 1.788139e-07; -958/1000
Check failed for (fp32): x = -6.013009; diff = 1.788139e-07; -957/1000
Check failed for (fp32): x = -6.006725; diff = 5.960464e-08; -956/1000
Check failed for (fp32): x = -6.000442; diff = 1.192093e-07; -955/1000
Check failed for (fp32): x = -5.994159; diff = 1.788139e-07; -954/1000
Check failed for (fp32): x = -5.987876; diff = 1.788139e-07; -953/1000
Check failed for (fp32): x = -5.981593; diff = 1.192093e-07; -952/1000
Check failed for (fp32): x = -5.969026; diff = 1.192093e-07; -950/1000
Check failed for (fp32): x = -5.962743; diff = 1.192093e-07; -949/1000
