Check failed for (fp80): alpha = -5.89991100344163170183; diff1 = 5.42101086242752217004e-20; diff2 = 0.806428723883492408649; -939/1000
Check failed for (fp80): alpha = -5.88106144752009294243; diff1 = 1.08420217248550443401e-19; diff2 = 0.850597961714746297098; -936/1000
Check failed for (fp80): alpha = -5.86849507690573376963; diff1 = 8.13151629364128325506e-20; diff2 = 0.880437742021341299679; -934/1000
Check failed for (fp80): alpha = -5.86221189159855418302; diff1 = 5.42101086242752217004e-20; diff2 = 0.895481190746824443083; -933/1000
Check failed for (fp80): alpha = -5.84964552098419500979; diff1 = 5.42101086242752217004e-20; diff2 = 0.925824657815430562455; -931/1000
Check failed for (fp80): alpha = -5.84336233567701542361; diff1 = 5.42101086242752217004e-20; diff2 = 0.94112856242450298593; -930/1000
Check failed for (fp80): alpha = -5.837079150369835837; diff1 = 5.42101086242752217004e-20; diff2 = 0.956523232942307842486; -929/1000
Check failed for (fp80): alpha = -5.8245127797554766642; diff1 = 5.42101086242752217004e-20; diff2 = 0.98759305647294684668; -927/1000
Check failed for (fp80): alpha = -5.81194640914111749141; diff1 = 5.42101086242752217004e-20; diff2 = 1.01905089898885762027; -925/1000
Check failed for (fp80): alpha = -5.78681366791239914539; diff1 = 5.42101086242752217004e-20; diff2 = 1.08320111465857773451; -921/1000
Check failed for (fp80): alpha = -5.77424729729803997216; diff1 = 5.42101086242752217004e-20; diff2 = 1.11593054995451571249; -919/1000
Check failed for (fp80): alpha = -5.76796411199086038555; diff1 = 5.42101086242752217004e-20; diff2 = 1.13246734130406115078; -918/1000
Check failed for (fp80): alpha = -5.76168092668368079937; diff1 = 5.42101086242752217004e-20; diff2 = 1.1491222219143609317; -917/1000
Check failed for (fp80): alpha = -5.75539774137650121276; diff1 = 5.42101086242752217004e-20; diff2 = 1.16589779050600199318; -916/1000
Check failed for (fp80): alpha = -5.74911455606932162658; diff1 = 1.08420217248550443401e-19; diff2 = 1.18279670279894219575; -915/1000
Check failed for (fp80): alpha = -5.73026500014778286717; diff1 = 5.42101086242752217004e-20; diff2 = 1.2342609527942805549; -912/1000
Check failed for (fp80): alpha = -5.71769862953342369438; diff1 = 1.08420217248550443401e-19; diff2 = 1.26923859508829620026; -910/1000
Check failed for (fp80): alpha = -5.71141544422624410776; diff1 = 1.08420217248550443401e-19; diff2 = 1.28693676971692164276; -909/1000
Check failed for (fp80): alpha = -5.70513225891906452115; diff1 = 1.08420217248550443401e-19; diff2 = 1.30477863572609768101; -908/1000
Check failed for (fp80): alpha = -5.69884907361188493497; diff1 = 5.42101086242752217004e-20; diff2 = 1.32276737629754495389; -907/1000
Check failed for (fp80): alpha = -5.69256588830470534835; diff1 = 1.08420217248550443401e-19; diff2 = 1.34090625062646693071; -906/1000
Check failed for (fp80): alpha = -5.68628270299752576174; diff1 = 5.42101086242752217004e-20; diff2 = 1.35919859644905304322; -905/1000
Check failed for (fp80): alpha = -5.67371633238316658851; diff1 = 5.42101086242752217004e-20; diff2 = 1.39625746207424722141; -903/1000
Check failed for (fp80): alpha = -5.64230040584726865631; diff1 = 5.42101086242752217004e-20; diff2 = 1.49184034358359868884; -898/1000
Check failed for (fp80): alpha = -5.62973403523290948352; diff1 = 5.42101086242752217004e-20; diff2 = 1.53132909095603659665; -896/1000
Check failed for (fp80): alpha = -5.61088447931137072411; diff1 = 5.42101086242752217004e-20; diff2 = 1.59201200236271921801; -893/1000
