Check failed for (fp128): x = -6.283185307179586476925286766559005595e+00; diff = inf; -1000/1000
Check failed for (fp128): x = -6.025574709585223431371350009130086039e+00; diff = 2.311115933264683023667173531101912782e-33; -959/1000
Check failed for (fp128): x = -6.019291524278043844894424722363527138e+00; diff = 6.933347799794049071001520593305738347e-33; -958/1000
Check failed for (fp128): x = -6.013008338970864258417499435596968237e+00; diff = 5.392603844284260388556738239237796492e-33; -957/1000
Check failed for (fp128): x = -6.006725153663684671940574148830409336e+00; diff = 3.081487911019577364889564708135883710e-33; -956/1000
Check failed for (fp128): x = -6.000441968356505085463648862063850436e+00; diff = 6.933347799794049071001520593305738347e-33; -955/1000
Check failed for (fp128): x = -5.994158783049325498986723575297291535e+00; diff = 3.851859888774471706111955885169854637e-33; -954/1000
Check failed for (fp128): x = -5.987875597742145912509798288530732634e+00; diff = 7.703719777548943412223911770339709274e-34; -953/1000
Check failed for (fp128): x = -5.981592412434966326032873001764173733e+00; diff = 4.622231866529366047334347062203825564e-33; -952/1000
Check failed for (fp128): x = -5.975309227127786739555947714997614832e+00; diff = 2.311115933264683023667173531101912782e-33; -951/1000
Check failed for (fp128): x = -5.962742856513427566602097141464496260e+00; diff = 3.081487911019577364889564708135883710e-33; -949/1000
Check failed for (fp128): x = -5.950176485899068393648246567931378459e+00; diff = 3.081487911019577364889564708135883710e-33; -947/1000
Check failed for (fp128): x = -5.937610115284709220694395994398259887e+00; diff = 3.081487911019577364889564708135883710e-33; -945/1000
Check failed for (fp128): x = -5.931326929977529634217470707631700986e+00; diff = 1.540743955509788682444782354067941855e-33; -944/1000
Check failed for (fp128): x = -5.925043744670350047740545420865142085e+00; diff = 7.703719777548943412223911770339709274e-34; -943/1000
Check failed for (fp128): x = -5.918760559363170461263620134098583184e+00; diff = 7.703719777548943412223911770339709274e-34; -942/1000
Check failed for (fp128): x = -5.912477374055990874786694847332024283e+00; diff = 1.540743955509788682444782354067941855e-33; -941/1000
Check failed for (fp128): x = -5.906194188748811288309769560565464612e+00; diff = 7.703719777548943412223911770339709274e-34; -940/1000
Check failed for (fp128): x = -5.899911003441631701832844273798905711e+00; diff = 1.540743955509788682444782354067941855e-33; -939/1000
Check failed for (fp128): x = -5.893627818134452115355918987032346810e+00; diff = 7.703719777548943412223911770339709274e-34; -938/1000
Check failed for (fp128): x = -5.887344632827272528878993700265788680e+00; diff = 2.311115933264683023667173531101912782e-33; -937/1000
Check failed for (fp128): x = -5.881061447520092942402068413499229779e+00; diff = 2.311115933264683023667173531101912782e-33; -936/1000
Check failed for (fp128): x = -5.874778262212913355925143126732670878e+00; diff = 1.540743955509788682444782354067941855e-33; -935/1000
Check failed for (fp128): x = -5.868495076905733769448217839966111207e+00; diff = 7.703719777548943412223911770339709274e-34; -934/1000
Check failed for (fp128): x = -5.855928706291374596494367266432993406e+00; diff = 7.703719777548943412223911770339709274e-34; -932/1000
Check failed for (fp128): x = -5.843362335677015423540516692899875604e+00; diff = 1.540743955509788682444782354067941855e-33; -930/1000
Check failed for (fp128): x = -5.837079150369835837063591406133315933e+00; diff = 2.311115933264683023667173531101912782e-33; -929/1000
Check failed for (fp128): x = -5.830795965062656250586666119366757032e+00; diff = 2.311115933264683023667173531101912782e-33; -928/1000
Check failed for (fp128): x = -5.824512779755476664109740832600198131e+00; diff = 1.540743955509788682444782354067941855e-33; -927/1000
Check failed for (fp128): x = -5.818229594448297077632815545833639230e+00; diff = 1.540743955509788682444782354067941855e-33; -926/1000
Check failed for (fp128): x = -5.811946409141117491155890259067080329e+00; diff = 1.540743955509788682444782354067941855e-33; -925/1000
Check failed for (fp128): x = -5.805663223833937904678964972300520658e+00; diff = 7.703719777548943412223911770339709274e-34; -924/1000
Check failed for (fp128): x = -5.786813667912399145248189112000843956e+00; diff = 7.703719777548943412223911770339709274e-34; -921/1000
Check failed for (fp128): x = -5.780530482605219558771263825234285055e+00; diff = 7.703719777548943412223911770339709274e-34; -920/1000
Check failed for (fp128): x = -5.774247297298039972294338538467726154e+00; diff = 1.540743955509788682444782354067941855e-33; -919/1000
Check failed for (fp128): x = -5.767964111990860385817413251701167253e+00; diff = 3.851859888774471706111955885169854637e-34; -918/1000
Check failed for (fp128): x = -5.755397741376501212863562678168049452e+00; diff = 3.851859888774471706111955885169854637e-34; -916/1000
Check failed for (fp128): x = -5.749114556069321626386637391401490551e+00; diff = 1.155557966632341511833586765550956391e-33; -915/1000
Check failed for (fp128): x = -5.742831370762142039909712104634930880e+00; diff = 3.851859888774471706111955885169854637e-34; -914/1000
Check failed for (fp128): x = -5.736548185454962453432786817868371979e+00; diff = 7.703719777548943412223911770339709274e-34; -913/1000
Check failed for (fp128): x = -5.730265000147782866955861531101813078e+00; diff = 3.851859888774471706111955885169854637e-34; -912/1000
Check failed for (fp128): x = -5.723981814840603280478936244335254177e+00; diff = 3.851859888774471706111955885169854637e-34; -911/1000
Check failed for (fp128): x = -5.717698629533423694002010957568695276e+00; diff = 3.851859888774471706111955885169854637e-34; -910/1000
Check failed for (fp128): x = -5.711415444226244107525085670802136375e+00; diff = 1.155557966632341511833586765550956391e-33; -909/1000
Check failed for (fp128): x = -5.705132258919064521048160384035576704e+00; diff = 3.851859888774471706111955885169854637e-34; -908/1000
Check failed for (fp128): x = -5.698849073611884934571235097269017803e+00; diff = 7.703719777548943412223911770339709274e-34; -907/1000
Check failed for (fp128): x = -5.692565888304705348094309810502458903e+00; diff = 3.851859888774471706111955885169854637e-34; -906/1000
Check failed for (fp128): x = -5.686282702997525761617384523735900002e+00; diff = 3.851859888774471706111955885169854637e-34; -905/1000
Check failed for (fp128): x = -5.679999517690346175140459236969341101e+00; diff = 3.851859888774471706111955885169854637e-34; -904/1000
Check failed for (fp128): x = -5.673716332383166588663533950202782200e+00; diff = 3.851859888774471706111955885169854637e-34; -903/1000
Check failed for (fp128): x = -5.667433147075987002186608663436223299e+00; diff = 7.703719777548943412223911770339709274e-34; -902/1000
Check failed for (fp128): x = -5.661149961768807415709683376669664399e+00; diff = 3.851859888774471706111955885169854637e-34; -901/1000
Check failed for (fp128): x = -5.654866776461627829232758089903105498e+00; diff = 1.155557966632341511833586765550956391e-33; -900/1000
Check failed for (fp128): x = -5.648583591154448242755832803136546597e+00; diff = 3.851859888774471706111955885169854637e-34; -899/1000
Check failed for (fp128): x = -5.642300405847268656278907516369986926e+00; diff = 3.851859888774471706111955885169854637e-34; -898/1000
Check failed for (fp128): x = -5.629734035232909483325056942836869124e+00; diff = 3.851859888774471706111955885169854637e-34; -896/1000
Check failed for (fp128): x = -5.623450849925729896848131656070310223e+00; diff = 3.851859888774471706111955885169854637e-34; -895/1000
Check failed for (fp128): x = -5.617167664618550310371206369303751322e+00; diff = 7.703719777548943412223911770339709274e-34; -894/1000
Check failed for (fp128): x = -5.604601294004191137417355795770632750e+00; diff = 3.851859888774471706111955885169854637e-34; -892/1000
Check failed for (fp128): x = -5.592034923389831964463505222237514949e+00; diff = 3.851859888774471706111955885169854637e-34; -890/1000
Check failed for (fp128): x = -5.585751738082652377986579935470956048e+00; diff = 3.851859888774471706111955885169854637e-34; -889/1000
