Check failed for (fp32): x = -6.283185; diff = 2097152; -1000/1000
Check failed for (fp32): x = -6.276902; diff = 0.001953125; -999/1000
Check failed for (fp32): x = -6.245486; diff = 6.103516e-05; -994/1000
Check failed for (fp32): x = -6.239203; diff = 6.103516e-05; -993/1000
Check failed for (fp32): x = -6.23292; diff = 3.051758e-05; -992/1000
Check failed for (fp32): x = -6.226637; diff = 3.051758e-05; -991/1000
Check failed for (fp32): x = -6.220354; diff = 3.051758e-05; -990/1000
Check failed for (fp32): x = -6.214071; diff = 3.051758e-05; -989/1000
Check failed for (fp32): x = -6.207787; diff = 1.525879e-05; -988/1000
Check failed for (fp32): x = -6.201504; diff = 3.051758e-05; -987/1000
Check failed for (fp32): x = -6.195221; diff = 1.525879e-05; -986/1000
Check failed for (fp32): x = -6.188938; diff = 1.525879e-05; -985/1000
Check failed for (fp32): x = -6.182655; diff = 7.629395e-06; -984/1000
Check failed for (fp32): x = -6.176371; diff = 7.629395e-06; -983/1000
Check failed for (fp32): x = -6.170088; diff = 7.629395e-06; -982/1000
Check failed for (fp32): x = -6.163805; diff = 1.525879e-05; -981/1000
Check failed for (fp32): x = -6.157522; diff = 3.814697e-06; -980/1000
Check failed for (fp32): x = -6.144955; diff = 3.814697e-06; -978/1000
Check failed for (fp32): x = -6.138672; diff = 3.814697e-06; -977/1000
Check failed for (fp32): x = -6.119823; diff = 3.814697e-06; -974/1000
Check failed for (fp32): x = -6.113539; diff = 3.814697e-06; -973/1000
Check failed for (fp32): x = -6.107256; diff = 3.814697e-06; -972/1000
Check failed for (fp32): x = -6.09469; diff = 1.907349e-06; -970/1000
Check failed for (fp32): x = -6.088407; diff = 1.907349e-06; -969/1000
Check failed for (fp32): x = -6.082123; diff = 1.907349e-06; -968/1000
Check failed for (fp32): x = -6.07584; diff = 3.814697e-06; -967/1000
Check failed for (fp32): x = -6.063274; diff = 3.814697e-06; -965/1000
Check failed for (fp32): x = -6.056991; diff = 1.907349e-06; -964/1000
Check failed for (fp32): x = -6.050708; diff = 1.907349e-06; -963/1000
Check failed for (fp32): x = -6.044425; diff = 1.907349e-06; -962/1000
Check failed for (fp32): x = -6.038141; diff = 1.907349e-06; -961/1000
Check failed for (fp32): x = -6.031858; diff = 1.907349e-06; -960/1000
Check failed for (fp32): x = -6.025575; diff = 1.907349e-06; -959/1000
Check failed for (fp32): x = -6.019292; diff = 1.907349e-06; -958/1000
Check failed for (fp32): x = -6.013009; diff = 1.907349e-06; -957/1000
Check failed for (fp32): x = -5.994159; diff = 9.536743e-07; -954/1000
Check failed for (fp32): x = -5.987876; diff = 9.536743e-07; -953/1000
Check failed for (fp32): x = -5.975309; diff = 9.536743e-07; -951/1000
Check failed for (fp32): x = -5.962743; diff = 9.536743e-07; -949/1000
Check failed for (fp32): x = -5.95646; diff = 9.536743e-07; -948/1000
Check failed for (fp32): x = -5.950177; diff = 9.536743e-07; -947/1000
Check failed for (fp32): x = -5.93761; diff = 1.907349e-06; -945/1000
Check failed for (fp32): x = -5.918761; diff = 4.768372e-07; -942/1000
Check failed for (fp32): x = -5.912477; diff = 9.536743e-07; -941/1000
Check failed for (fp32): x = -5.899911; diff = 4.768372e-07; -939/1000
Check failed for (fp32): x = -5.887345; diff = 4.768372e-07; -937/1000
Check failed for (fp32): x = -5.881062; diff = 9.536743e-07; -936/1000
Check failed for (fp32): x = -5.874778; diff = 4.768372e-07; -935/1000
Check failed for (fp32): x = -5.868495; diff = 4.768372e-07; -934/1000
Check failed for (fp32): x = -5.862212; diff = 4.768372e-07; -933/1000
Check failed for (fp32): x = -5.843362; diff = 4.768372e-07; -930/1000
Check failed for (fp32): x = -5.83708; diff = 4.768372e-07; -929/1000
Check failed for (fp32): x = -5.805664; diff = 9.536743e-07; -924/1000
Check failed for (fp32): x = -5.79938; diff = 4.768372e-07; -923/1000
Check failed for (fp32): x = -5.793097; diff = 9.536743e-07; -922/1000
Check failed for (fp32): x = -5.786814; diff = 4.768372e-07; -921/1000
Check failed for (fp32): x = -5.767964; diff = 4.768372e-07; -918/1000
Check failed for (fp32): x = -5.761681; diff = 4.768372e-07; -917/1000
Check failed for (fp32): x = -5.755398; diff = 2.384186e-07; -916/1000
Check failed for (fp32): x = -5.749115; diff = 7.152557e-07; -915/1000
Check failed for (fp32): x = -5.742831; diff = 2.384186e-07; -914/1000
Check failed for (fp32): x = -5.736548; diff = 4.768372e-07; -913/1000
Check failed for (fp32): x = -5.730265; diff = 2.384186e-07; -912/1000
Check failed for (fp32): x = -5.723982; diff = 2.384186e-07; -911/1000
Check failed for (fp32): x = -5.717699; diff = 2.384186e-07; -910/1000
Check failed for (fp32): x = -5.711415; diff = 2.384186e-07; -909/1000
Check failed for (fp32): x = -5.705132; diff = 2.384186e-07; -908/1000
Check failed for (fp32): x = -5.692566; diff = 4.768372e-07; -906/1000
Check failed for (fp32): x = -5.673717; diff = 2.384186e-07; -903/1000
Check failed for (fp32): x = -5.667433; diff = 2.384186e-07; -902/1000
Check failed for (fp32): x = -5.66115; diff = 2.384186e-07; -901/1000
Check failed for (fp32): x = -5.654867; diff = 4.768372e-07; -900/1000
Check failed for (fp32): x = -5.636017; diff = 4.768372e-07; -897/1000
Check failed for (fp32): x = -5.623451; diff = 2.384186e-07; -895/1000
Check failed for (fp32): x = -5.610885; diff = 2.384186e-07; -893/1000
Check failed for (fp32): x = -5.604601; diff = 2.384186e-07; -892/1000
Check failed for (fp32): x = -5.592035; diff = 2.384186e-07; -890/1000
Check failed for (fp32): x = -5.585752; diff = 2.384186e-07; -889/1000
Check failed for (fp32): x = -5.566902; diff = 2.384186e-07; -886/1000
Check failed for (fp32): x = -5.560619; diff = 2.384186e-07; -885/1000
Check failed for (fp32): x = -5.554336; diff = 2.384186e-07; -884/1000
Check failed for (fp32): x = -5.54177; diff = 2.384186e-07; -882/1000
Check failed for (fp32): x = -5.529203; diff = 4.768372e-07; -880/1000
Check failed for (fp32): x = -5.516637; diff = 2.384186e-07; -878/1000
Check failed for (fp32): x = -5.491504; diff = 1.192093e-07; -874/1000
Check failed for (fp32): x = -5.485221; diff = 1.192093e-07; -873/1000
Check failed for (fp32): x = -5.478938; diff = 1.192093e-07; -872/1000
Check failed for (fp32): x = -5.466372; diff = 1.192093e-07; -870/1000
Check failed for (fp32): x = -5.460088; diff = 1.192093e-07; -869/1000
Check failed for (fp32): x = -5.453805; diff = 2.384186e-07; -868/1000
Check failed for (fp32): x = -5.441238; diff = 2.384186e-07; -866/1000
Check failed for (fp32): x = -5.416106; diff = 2.384186e-07; -862/1000
Check failed for (fp32): x = -5.409823; diff = 1.192093e-07; -861/1000
Check failed for (fp32): x = -5.40354; diff = 2.384186e-07; -860/1000
Check failed for (fp32): x = -5.372124; diff = 1.192093e-07; -855/1000
Check failed for (fp32): x = -5.36584; diff = 1.192093e-07; -854/1000
Check failed for (fp32): x = -5.359557; diff = 1.192093e-07; -853/1000
Check failed for (fp32): x = -5.353274; diff = 1.192093e-07; -852/1000
Check failed for (fp32): x = -5.346991; diff = 1.192093e-07; -851/1000
Check failed for (fp32): x = -5.334424; diff = 1.192093e-07; -849/1000
Check failed for (fp32): x = -5.321858; diff = 1.192093e-07; -847/1000
Check failed for (fp32): x = -5.309292; diff = 1.192093e-07; -845/1000
Check failed for (fp32): x = -5.296725; diff = 1.192093e-07; -843/1000
Check failed for (fp32): x = -5.290442; diff = 1.192093e-07; -842/1000
Check failed for (fp32): x = -5.284159; diff = 1.192093e-07; -841/1000
Check failed for (fp32): x = -5.271593; diff = 1.192093e-07; -839/1000
Check failed for (fp32): x = -5.221327; diff = 1.192093e-07; -831/1000
Check failed for (fp32): x = -5.215044; diff = 1.192093e-07; -830/1000
Check failed for (fp32): x = -5.208761; diff = 1.192093e-07; -829/1000
Check failed for (fp32): x = -5.164779; diff = 1.192093e-07; -822/1000
Check failed for (fp32): x = -5.152212; diff = 1.192093e-07; -820/1000
Check failed for (fp32): x = -5.145929; diff = 1.192093e-07; -819/1000
Check failed for (fp32): x = -5.139646; diff = 1.192093e-07; -818/1000
Check failed for (fp32): x = -5.120796; diff = 1.192093e-07; -815/1000
Check failed for (fp32): x = -5.10823; diff = 1.192093e-07; -813/1000
Check failed for (fp32): x = -5.045398; diff = 1.192093e-07; -803/1000
Check failed for (fp32): x = -5.007699; diff = 1.192093e-07; -797/1000
Check failed for (fp32): x = -4.98885; diff = 1.192093e-07; -794/1000
Check failed for (fp32): x = -4.982566; diff = 1.192093e-07; -793/1000
Check failed for (fp32): x = -4.957433; diff = 1.192093e-07; -789/1000
Check failed for (fp32): x = -4.95115; diff = 1.192093e-07; -788/1000
Check failed for (fp32): x = -4.944867; diff = 1.192093e-07; -787/1000
Check failed for (fp32): x = -4.938584; diff = 1.192093e-07; -786/1000
Check failed for (fp32): x = -4.932301; diff = 1.192093e-07; -785/1000
Check failed for (fp32): x = -4.926017; diff = 1.192093e-07; -784/1000
Check failed for (fp32): x = -4.919734; diff = 1.192093e-07; -783/1000
Check failed for (fp32): x = -4.894601; diff = 1.192093e-07; -779/1000
Check failed for (fp32): x = -4.882035; diff = 1.192093e-07; -777/1000
Check failed for (fp32): x = -4.863185; diff = 1.192093e-07; -774/1000
Check failed for (fp32): x = -4.850619; diff = 1.192093e-07; -772/1000
Check failed for (fp32): x = -4.838053; diff = 1.192093e-07; -770/1000
Check failed for (fp32): x = -4.768938; diff = 1.192093e-07; -759/1000
Check failed for (fp32): x = -4.750088; diff = 1.192093e-07; -756/1000
Check failed for (fp32): x = -4.731239; diff = 1.192093e-07; -753/1000
Check failed for (fp32): x = -4.687256; diff = 1.192093e-07; -746/1000
Check failed for (fp32): x = -4.65584; diff = 1.192093e-07; -741/1000
Check failed for (fp32): x = -4.586726; diff = 1.192093e-07; -730/1000
Check failed for (fp32): x = -4.561593; diff = 1.192093e-07; -726/1000
Check failed for (fp32): x = -4.530177; diff = 1.192093e-07; -721/1000
Check failed for (fp32): x = -4.523894; diff = 1.192093e-07; -720/1000
Check failed for (fp32): x = -4.511327; diff = 1.192093e-07; -718/1000
Check failed for (fp32): x = -4.505044; diff = 1.192093e-07; -717/1000
Check failed for (fp32): x = -4.498761; diff = 1.192093e-07; -716/1000
Check failed for (fp32): x = -4.486194; diff = 1.192093e-07; -714/1000
Check failed for (fp32): x = -4.479911; diff = 1.192093e-07; -713/1000
Check failed for (fp32): x = -4.473628; diff = 1.192093e-07; -712/1000
Check failed for (fp32): x = -4.467345; diff = 1.192093e-07; -711/1000
Check failed for (fp32): x = -4.461061; diff = 1.192093e-07; -710/1000
Check failed for (fp32): x = -4.448495; diff = 1.192093e-07; -708/1000
Check failed for (fp32): x = -4.37938; diff = 1.192093e-07; -697/1000
Check failed for (fp32): x = -4.354248; diff = 1.192093e-07; -693/1000
Check failed for (fp32): x = -4.347964; diff = 1.192093e-07; -692/1000
Check failed for (fp32): x = -4.316548; diff = 1.192093e-07; -687/1000
Check failed for (fp32): x = -4.303982; diff = 1.192093e-07; -685/1000
Check failed for (fp32): x = -4.253716; diff = 1.192093e-07; -677/1000
Check failed for (fp32): x = -4.228584; diff = 1.192093e-07; -673/1000
Check failed for (fp32): x = -4.222301; diff = 1.192093e-07; -672/1000
Check failed for (fp32): x = -4.203451; diff = 1.192093e-07; -669/1000
