Check failed for (fp64): x = -6.05070745081394; diff = 1.11022302462516e-16; -963/1000
Check failed for (fp64): x = -6.04442426550676; diff = 1.11022302462516e-16; -962/1000
Check failed for (fp64): x = -6.00672515366368; diff = 1.11022302462516e-16; -956/1000
Check failed for (fp64): x = -6.0004419683565; diff = 1.11022302462516e-16; -955/1000
Check failed for (fp64): x = -5.98787559774215; diff = 1.11022302462516e-16; -953/1000
Check failed for (fp64): x = -5.97530922712779; diff = 1.11022302462516e-16; -951/1000
Check failed for (fp64): x = -5.96902604182061; diff = 1.11022302462516e-16; -950/1000
Check failed for (fp64): x = -5.96274285651343; diff = 1.11022302462516e-16; -949/1000
Check failed for (fp64): x = -5.95017648589907; diff = 2.22044604925031e-16; -947/1000
Check failed for (fp64): x = -5.91876055936317; diff = 2.22044604925031e-16; -942/1000
Check failed for (fp64): x = -5.91247737405599; diff = 1.11022302462516e-16; -941/1000
Check failed for (fp64): x = -5.90619418874881; diff = 2.22044604925031e-16; -940/1000
Check failed for (fp64): x = -5.89991100344163; diff = 1.11022302462516e-16; -939/1000
Check failed for (fp64): x = -5.88734463282727; diff = 2.22044604925031e-16; -937/1000
Check failed for (fp64): x = -5.87477826221291; diff = 2.22044604925031e-16; -935/1000
Check failed for (fp64): x = -5.8496455209842; diff = 2.22044604925031e-16; -931/1000
Check failed for (fp64): x = -5.83707915036984; diff = 2.22044604925031e-16; -929/1000
Check failed for (fp64): x = -5.83079596506266; diff = 2.22044604925031e-16; -928/1000
Check failed for (fp64): x = -5.8182295944483; diff = 2.22044604925031e-16; -926/1000
Check failed for (fp64): x = -5.80566322383394; diff = 2.22044604925031e-16; -924/1000
Check failed for (fp64): x = -5.79309685321958; diff = 2.22044604925031e-16; -922/1000
Check failed for (fp64): x = -5.7868136679124; diff = 2.22044604925031e-16; -921/1000
Check failed for (fp64): x = -5.78053048260522; diff = 2.22044604925031e-16; -920/1000
Check failed for (fp64): x = -5.77424729729804; diff = 2.22044604925031e-16; -919/1000
Check failed for (fp64): x = -5.76796411199086; diff = 2.22044604925031e-16; -918/1000
Check failed for (fp64): x = -5.76168092668368; diff = 2.22044604925031e-16; -917/1000
Check failed for (fp64): x = -5.7553977413765; diff = 4.44089209850063e-16; -916/1000
