Check failed for (fp80): x = -5.61088447931137072411; diff = 5.42101086242752217004e-20; -893/1000
Check failed for (fp80): x = -5.45380484663188106224; diff = 5.42101086242752217004e-20; -868/1000
Check failed for (fp80): x = -5.43495529071034230283; diff = 5.42101086242752217004e-20; -865/1000
Check failed for (fp80): x = -5.42238892009598312961; diff = 5.42101086242752217004e-20; -863/1000
Check failed for (fp80): x = -5.38468980825290561079; diff = 5.42101086242752217004e-20; -857/1000
Check failed for (fp80): x = -5.36584025233136685138; diff = 5.42101086242752217004e-20; -854/1000
Check failed for (fp80): x = -5.35327388171700767859; diff = 5.42101086242752217004e-20; -852/1000
Check failed for (fp80): x = -5.3407075111026485058; diff = 5.42101086242752217004e-20; -850/1000
Check failed for (fp80): x = -5.33442432579546891918; diff = 5.42101086242752217004e-20; -849/1000
Check failed for (fp80): x = -5.31557476987393015934; diff = 5.42101086242752217004e-20; -846/1000
Check failed for (fp80): x = -5.30929158456675057316; diff = 5.42101086242752217004e-20; -845/1000
Check failed for (fp80): x = -5.30300839925957098655; diff = 5.42101086242752217004e-20; -844/1000
Check failed for (fp80): x = -5.29672521395239139994; diff = 5.42101086242752217004e-20; -843/1000
Check failed for (fp80): x = -5.29044202864521181376; diff = 5.42101086242752217004e-20; -842/1000
Check failed for (fp80): x = -5.28415884333803222714; diff = 5.42101086242752217004e-20; -841/1000
Check failed for (fp80): x = -5.27787565803085264053; diff = 5.42101086242752217004e-20; -840/1000
Check failed for (fp80): x = -5.26530928741649346773; diff = 5.42101086242752217004e-20; -838/1000
Check failed for (fp80): x = -5.25274291680213429494; diff = 5.42101086242752217004e-20; -836/1000
Check failed for (fp80): x = -5.22761017557341594892; diff = 5.42101086242752217004e-20; -832/1000
Check failed for (fp80): x = -5.21504380495905677569; diff = 5.42101086242752217004e-20; -830/1000
Check failed for (fp80): x = -5.20876061965187718951; diff = 5.42101086242752217004e-20; -829/1000
Check failed for (fp80): x = -5.2024774343446976029; diff = 5.42101086242752217004e-20; -828/1000
Check failed for (fp80): x = -5.17734469311597925731; diff = 5.42101086242752217004e-20; -824/1000
Check failed for (fp80): x = -5.16477832250162008408; diff = 5.42101086242752217004e-20; -822/1000
Check failed for (fp80): x = -5.1584951371944404979; diff = 5.42101086242752217004e-20; -821/1000
Check failed for (fp80): x = -5.15221195188726091129; diff = 5.42101086242752217004e-20; -820/1000
Check failed for (fp80): x = -5.14592876658008132468; diff = 5.42101086242752217004e-20; -819/1000
Check failed for (fp80): x = -5.12707921065854256527; diff = 5.42101086242752217004e-20; -816/1000
Check failed for (fp80): x = -5.12079602535136297866; diff = 5.42101086242752217004e-20; -815/1000
Check failed for (fp80): x = -5.11451284004418339204; diff = 5.42101086242752217004e-20; -814/1000
Check failed for (fp80): x = -5.10822965473700380586; diff = 5.42101086242752217004e-20; -813/1000
Check failed for (fp80): x = -5.08309691350828545984; diff = 5.42101086242752217004e-20; -809/1000
Check failed for (fp80): x = -5.07053054289392628705; diff = 5.42101086242752217004e-20; -807/1000
Check failed for (fp80): x = -5.05168098697238752764; diff = 5.42101086242752217004e-20; -804/1000
Check failed for (fp80): x = -5.03911461635802835441; diff = 5.42101086242752217004e-20; -802/1000
Check failed for (fp80): x = -5.02654824574366918162; diff = 5.42101086242752217004e-20; -800/1000
Check failed for (fp80): x = -5.02026506043648959501; diff = 5.42101086242752217004e-20; -799/1000
Check failed for (fp80): x = -5.01398187512931000883; diff = 5.42101086242752217004e-20; -798/1000
Check failed for (fp80): x = -5.0014155045149508356; diff = 5.42101086242752217004e-20; -796/1000
Check failed for (fp80): x = -4.99513231920777124942; diff = 5.42101086242752217004e-20; -795/1000
Check failed for (fp80): x = -4.98884913390059166281; diff = 5.42101086242752217004e-20; -794/1000
Check failed for (fp80): x = -4.98256594859341207619; diff = 5.42101086242752217004e-20; -793/1000
Check failed for (fp80): x = -4.93230046613597538458; diff = 5.42101086242752217004e-20; -785/1000
Check failed for (fp80): x = -4.92601728082879579797; diff = 5.42101086242752217004e-20; -784/1000
Check failed for (fp80): x = -4.91973409552161621136; diff = 5.42101086242752217004e-20; -783/1000
Check failed for (fp80): x = -4.90088453960007745195; diff = 5.42101086242752217004e-20; -780/1000
Check failed for (fp80): x = -4.89460135429289786577; diff = 5.42101086242752217004e-20; -779/1000
Check failed for (fp80): x = -4.88203498367853869298; diff = 5.42101086242752217004e-20; -777/1000
Check failed for (fp80): x = -4.85690224244982034652; diff = 5.42101086242752217004e-20; -773/1000
Check failed for (fp80): x = -4.84433587183546117373; diff = 5.42101086242752217004e-20; -771/1000
Check failed for (fp80): x = -4.82548631591392241432; diff = 5.42101086242752217004e-20; -768/1000
Check failed for (fp80): x = -4.80035357468520406873; diff = 5.42101086242752217004e-20; -764/1000
Check failed for (fp80): x = -4.79407038937802448212; diff = 5.42101086242752217004e-20; -763/1000
Check failed for (fp80): x = -4.78778720407084489551; diff = 5.42101086242752217004e-20; -762/1000
Check failed for (fp80): x = -4.78150401876366530889; diff = 5.42101086242752217004e-20; -761/1000
Check failed for (fp80): x = -4.76265446284212654949; diff = 5.42101086242752217004e-20; -758/1000
Check failed for (fp80): x = -4.75637127753494696287; diff = 5.42101086242752217004e-20; -757/1000
Check failed for (fp80): x = -4.73752172161340820346; diff = 5.42101086242752217004e-20; -754/1000
Check failed for (fp80): x = -4.73123853630622861728; diff = 5.42101086242752217004e-20; -753/1000
Check failed for (fp80): x = -4.72495535099904903067; diff = 5.42101086242752217004e-20; -752/1000
Check failed for (fp80): x = -4.71867216569186944449; diff = 5.42101086242752217004e-20; -751/1000
Check failed for (fp80): x = -4.70610579507751027126; diff = 5.42101086242752217004e-20; -749/1000
Check failed for (fp80): x = -4.69982260977033068508; diff = 5.42101086242752217004e-20; -748/1000
Check failed for (fp80): x = -4.69353942446315109847; diff = 5.42101086242752217004e-20; -747/1000
Check failed for (fp80): x = -4.68725623915597151186; diff = 5.42101086242752217004e-20; -746/1000
Check failed for (fp80): x = -4.68097305384879192524; diff = 1.08420217248550443401e-19; -745/1000
Check failed for (fp80): x = -4.66840668323443275245; diff = 5.42101086242752217004e-20; -743/1000
Check failed for (fp80): x = -4.66212349792725316584; diff = 5.42101086242752217004e-20; -742/1000
Check failed for (fp80): x = -4.64327394200571440643; diff = 5.42101086242752217004e-20; -739/1000
Check failed for (fp80): x = -4.63699075669853482025; diff = 5.42101086242752217004e-20; -738/1000
Check failed for (fp80): x = -4.63070757139135523364; diff = 5.42101086242752217004e-20; -737/1000
Check failed for (fp80): x = -4.62442438608417564702; diff = 5.42101086242752217004e-20; -736/1000
Check failed for (fp80): x = -4.61185801546981647423; diff = 5.42101086242752217004e-20; -734/1000
Check failed for (fp80): x = -4.58044208893391854159; diff = 5.42101086242752217004e-20; -729/1000
Check failed for (fp80): x = -4.54274297709084102278; diff = 5.42101086242752217004e-20; -723/1000
Check failed for (fp80): x = -4.52389342116930226381; diff = 1.08420217248550443401e-19; -720/1000
Check failed for (fp80): x = -4.51761023586212267719; diff = 5.42101086242752217004e-20; -719/1000
Check failed for (fp80): x = -4.50504386524776350396; diff = 5.42101086242752217004e-20; -717/1000
Check failed for (fp80): x = -4.49876067994058391735; diff = 5.42101086242752217004e-20; -716/1000
Check failed for (fp80): x = -4.48619430932622474456; diff = 1.08420217248550443401e-19; -714/1000
Check failed for (fp80): x = -4.46106156809750639854; diff = 5.42101086242752217004e-20; -710/1000
Check failed for (fp80): x = -4.44221201217596763956; diff = 5.42101086242752217004e-20; -707/1000
Check failed for (fp80): x = -4.42964564156160846634; diff = 5.42101086242752217004e-20; -705/1000
Check failed for (fp80): x = -4.42336245625442888016; diff = 5.42101086242752217004e-20; -704/1000
Check failed for (fp80): x = -4.41079608564006970693; diff = 5.42101086242752217004e-20; -702/1000
Check failed for (fp80): x = -4.40451290033289012031; diff = 5.42101086242752217004e-20; -701/1000
Check failed for (fp80): x = -4.3982297150257105337; diff = 5.42101086242752217004e-20; -700/1000
Check failed for (fp80): x = -4.37938015910417177429; diff = 5.42101086242752217004e-20; -697/1000
Check failed for (fp80): x = -4.3668137884898126015; diff = 5.42101086242752217004e-20; -695/1000
Check failed for (fp80): x = -4.36053060318263301532; diff = 5.42101086242752217004e-20; -694/1000
