Check failed for (fp128): x = -4.806636759992383654847844376417639249e+00; diff = 7.703719777548943412223911770339709274e-34; -765/1000
Check failed for (fp128): x = -4.794070389378024481893993802884520677e+00; diff = 7.703719777548943412223911770339709274e-34; -763/1000
Check failed for (fp128): x = -4.768937648149306135986292655818285074e+00; diff = 1.540743955509788682444782354067941855e-33; -759/1000
Check failed for (fp128): x = -4.750088092227767376555516795518608372e+00; diff = 1.540743955509788682444782354067941855e-33; -756/1000
Check failed for (fp128): x = -4.737521721613408203601666221985490570e+00; diff = 3.081487911019577364889564708135883710e-33; -754/1000
Check failed for (fp128): x = -4.731238536306228617124740935218931669e+00; diff = 3.081487911019577364889564708135883710e-33; -753/1000
Check failed for (fp128): x = -4.718672165691869444170890361685813097e+00; diff = 1.232595164407830945955825883254353484e-32; -751/1000
Check failed for (fp128): x = -4.706105795077510271217039788152695295e+00; diff = 1.232595164407830945955825883254353484e-32; -749/1000
Check failed for (fp128): x = -4.693539424463151098263189214619576723e+00; diff = 3.081487911019577364889564708135883710e-33; -747/1000
Check failed for (fp128): x = -4.687256239155971511786263927853017823e+00; diff = 3.081487911019577364889564708135883710e-33; -746/1000
Check failed for (fp128): x = -4.668406683234432752355488067553341120e+00; diff = 1.540743955509788682444782354067941855e-33; -743/1000
Check failed for (fp128): x = -4.662123497927253165878562780786782219e+00; diff = 1.540743955509788682444782354067941855e-33; -742/1000
Check failed for (fp128): x = -4.643273942005714406447786920487105517e+00; diff = 7.703719777548943412223911770339709274e-34; -739/1000
Check failed for (fp128): x = -4.630707571391355233493936346953987715e+00; diff = 7.703719777548943412223911770339709274e-34; -737/1000
Check failed for (fp128): x = -4.611858015469816474063160486654310242e+00; diff = 7.703719777548943412223911770339709274e-34; -734/1000
Check failed for (fp128): x = -4.599291644855457301109309913121192441e+00; diff = 7.703719777548943412223911770339709274e-34; -732/1000
Check failed for (fp128): x = -4.586725274241098128155459339588073869e+00; diff = 3.851859888774471706111955885169854637e-34; -730/1000
Check failed for (fp128): x = -4.580442088933918541678534052821514968e+00; diff = 3.851859888774471706111955885169854637e-34; -729/1000
Check failed for (fp128): x = -4.574158903626738955201608766054956067e+00; diff = 3.851859888774471706111955885169854637e-34; -728/1000
Check failed for (fp128): x = -4.567875718319559368724683479288397166e+00; diff = 3.851859888774471706111955885169854637e-34; -727/1000
Check failed for (fp128): x = -4.561592533012379782247758192521837495e+00; diff = 3.851859888774471706111955885169854637e-34; -726/1000
Check failed for (fp128): x = -4.555309347705200195770832905755278594e+00; diff = 3.851859888774471706111955885169854637e-34; -725/1000
Check failed for (fp128): x = -4.530176606476481849863131758689042991e+00; diff = 3.851859888774471706111955885169854637e-34; -721/1000
Check failed for (fp128): x = -4.505043865247763503955430611622807388e+00; diff = 3.851859888774471706111955885169854637e-34; -717/1000
Check failed for (fp128): x = -4.492477494633404331001580038089688816e+00; diff = 3.851859888774471706111955885169854637e-34; -715/1000
Check failed for (fp128): x = -4.479911124019045158047729464556571014e+00; diff = 1.925929944387235853055977942584927319e-34; -713/1000
Check failed for (fp128): x = -4.473627938711865571570804177790012113e+00; diff = 1.925929944387235853055977942584927319e-34; -712/1000
Check failed for (fp128): x = -4.467344753404685985093878891023453212e+00; diff = 3.851859888774471706111955885169854637e-34; -711/1000
Check failed for (fp128): x = -4.461061568097506398616953604256893541e+00; diff = 1.925929944387235853055977942584927319e-34; -710/1000
Check failed for (fp128): x = -4.454778382790326812140028317490334640e+00; diff = 1.925929944387235853055977942584927319e-34; -709/1000
Check failed for (fp128): x = -4.442212012175967639186177743957216839e+00; diff = 1.925929944387235853055977942584927319e-34; -707/1000
Check failed for (fp128): x = -4.417079270947249293278476596890981235e+00; diff = 1.925929944387235853055977942584927319e-34; -703/1000
Check failed for (fp128): x = -4.404512900332890120324626023357863434e+00; diff = 1.925929944387235853055977942584927319e-34; -701/1000
Check failed for (fp128): x = -4.398229715025710533847700736591303762e+00; diff = 1.925929944387235853055977942584927319e-34; -700/1000
Check failed for (fp128): x = -4.391946529718530947370775449824744862e+00; diff = 1.925929944387235853055977942584927319e-34; -699/1000
Check failed for (fp128): x = -4.385663344411351360893850163058185961e+00; diff = 1.925929944387235853055977942584927319e-34; -698/1000
Check failed for (fp128): x = -4.373096973796992187939999589525068159e+00; diff = 1.925929944387235853055977942584927319e-34; -696/1000
Check failed for (fp128): x = -4.322831491339555496124597295392595412e+00; diff = 1.925929944387235853055977942584927319e-34; -688/1000
Check failed for (fp128): x = -4.241150082346220871924568567427328931e+00; diff = 1.925929944387235853055977942584927319e-34; -675/1000
Check failed for (fp128): x = -4.184601414581604593632240986528298053e+00; diff = 1.925929944387235853055977942584927319e-34; -666/1000
Check failed for (fp128): x = -4.172035043967245420678390412995179481e+00; diff = 1.925929944387235853055977942584927319e-34; -664/1000
Check failed for (fp128): x = -3.612831551628262224232039890771428063e+00; diff = 1.925929944387235853055977942584927319e-34; -575/1000
Check failed for (fp128): x = -3.562566069170825532416637596638956086e+00; diff = 1.925929944387235853055977942584927319e-34; -567/1000
Check failed for (fp128): x = -3.543716513249286772985861736339278998e+00; diff = 1.925929944387235853055977942584927319e-34; -564/1000
Check failed for (fp128): x = -3.518583772020568427078160589273043395e+00; diff = 1.925929944387235853055977942584927319e-34; -560/1000
Check failed for (fp128): x = -3.506017401406209254124310015739925208e+00; diff = 1.925929944387235853055977942584927319e-34; -558/1000
Check failed for (fp128): x = -3.487167845484670494693534155440248506e+00; diff = 1.925929944387235853055977942584927319e-34; -555/1000
Check failed for (fp128): x = -3.474601474870311321739683581907129934e+00; diff = 1.925929944387235853055977942584927319e-34; -553/1000
Check failed for (fp128): x = -3.455751918948772562308907721607453231e+00; diff = 1.925929944387235853055977942584927319e-34; -550/1000
Check failed for (fp128): x = -3.443185548334413389355057148074335044e+00; diff = 1.925929944387235853055977942584927319e-34; -548/1000
Check failed for (fp128): x = -3.436902363027233802878131861307776144e+00; diff = 1.925929944387235853055977942584927319e-34; -547/1000
Check failed for (fp128): x = -3.424335992412874629924281287774658342e+00; diff = 1.925929944387235853055977942584927319e-34; -545/1000
Check failed for (fp128): x = -3.418052807105695043447356001008098671e+00; diff = 1.925929944387235853055977942584927319e-34; -544/1000
Check failed for (fp128): x = -3.411769621798515456970430714241539770e+00; diff = 1.925929944387235853055977942584927319e-34; -543/1000
Check failed for (fp128): x = -3.405486436491335870493505427474980869e+00; diff = 1.925929944387235853055977942584927319e-34; -542/1000
Check failed for (fp128): x = -3.392920065876976697539654853941863067e+00; diff = 1.925929944387235853055977942584927319e-34; -540/1000
Check failed for (fp128): x = -3.386636880569797111062729567175303781e+00; diff = 1.925929944387235853055977942584927319e-34; -539/1000
Check failed for (fp128): x = -3.380353695262617524585804280408744881e+00; diff = 1.925929944387235853055977942584927319e-34; -538/1000
Check failed for (fp128): x = -3.374070509955437938108878993642185980e+00; diff = 1.925929944387235853055977942584927319e-34; -537/1000
Check failed for (fp128): x = -3.367787324648258351631953706875627079e+00; diff = 3.851859888774471706111955885169854637e-34; -536/1000
Check failed for (fp128): x = -3.361504139341078765155028420109068178e+00; diff = 3.851859888774471706111955885169854637e-34; -535/1000
Check failed for (fp128): x = -3.323805027498001246293476699509714388e+00; diff = 7.703719777548943412223911770339709274e-34; -529/1000
Check failed for (fp128): x = -3.311238656883642073339626125976595816e+00; diff = 3.851859888774471706111955885169854637e-34; -527/1000
Check failed for (fp128): x = -3.298672286269282900385775552443478014e+00; diff = 3.851859888774471706111955885169854637e-34; -525/1000
Check failed for (fp128): x = -3.292389100962103313908850265676919114e+00; diff = 7.703719777548943412223911770339709274e-34; -524/1000
Check failed for (fp128): x = -3.279822730347744140954999692143800927e+00; diff = 3.851859888774471706111955885169854637e-34; -522/1000
Check failed for (fp128): x = -3.254689989119025795047298545077564553e+00; diff = 7.703719777548943412223911770339709274e-34; -518/1000
Check failed for (fp128): x = -3.216990877275948276185746824478210763e+00; diff = 1.540743955509788682444782354067941855e-33; -512/1000
Check failed for (fp128): x = -3.210707691968768689708821537711651862e+00; diff = 7.703719777548943412223911770339709274e-34; -511/1000
Check failed for (fp128): x = -3.198141321354409516754970964178534060e+00; diff = 1.540743955509788682444782354067941855e-33; -509/1000
Check failed for (fp128): x = -3.173008580125691170847269817112297687e+00; diff = 1.540743955509788682444782354067941855e-33; -505/1000
Check failed for (fp128): x = -3.160442209511331997893419243579179885e+00; diff = 3.081487911019577364889564708135883710e-33; -503/1000
Check failed for (fp128): x = -3.135309468282613651985718096512943897e+00; diff = 1.232595164407830945955825883254353484e-32; -499/1000
Check failed for (fp128): x = -3.129026282975434065508792809746384611e+00; diff = 6.162975822039154729779129416271767419e-33; -498/1000
Check failed for (fp128): x = -3.103893541746715719601091662680149007e+00; diff = 1.540743955509788682444782354067941855e-33; -494/1000
Check failed for (fp128): x = -3.078760800517997373693390515613912634e+00; diff = 7.703719777548943412223911770339709274e-34; -490/1000
Check failed for (fp128): x = -3.072477615210817787216465228847353733e+00; diff = 7.703719777548943412223911770339709274e-34; -489/1000
Check failed for (fp128): x = -3.047344873982099441308764081781117744e+00; diff = 7.703719777548943412223911770339709274e-34; -485/1000
Check failed for (fp128): x = -3.009645762139021922447212361181763569e+00; diff = 3.851859888774471706111955885169854637e-34; -479/1000
Check failed for (fp128): x = -2.997079391524662749493361787648645767e+00; diff = 3.851859888774471706111955885169854637e-34; -477/1000
Check failed for (fp128): x = -2.978229835603123990062585927348968680e+00; diff = 3.851859888774471706111955885169854637e-34; -474/1000
Check failed for (fp128): x = -2.965663464988764817108735353815850493e+00; diff = 3.851859888774471706111955885169854637e-34; -472/1000
Check failed for (fp128): x = -2.946813909067226057677959493516173405e+00; diff = 3.851859888774471706111955885169854637e-34; -469/1000
Check failed for (fp128): x = -2.940530723760046471201034206749614890e+00; diff = 3.851859888774471706111955885169854637e-34; -468/1000
Check failed for (fp128): x = -2.927964353145687298247183633216496703e+00; diff = 3.851859888774471706111955885169854637e-34; -466/1000
Check failed for (fp128): x = -2.921681167838507711770258346449937802e+00; diff = 3.851859888774471706111955885169854637e-34; -465/1000
Check failed for (fp128): x = -2.909114797224148538816407772916819615e+00; diff = 1.925929944387235853055977942584927319e-34; -463/1000
Check failed for (fp128): x = -2.902831611916968952339482486150260329e+00; diff = 1.925929944387235853055977942584927319e-34; -462/1000
Check failed for (fp128): x = -2.896548426609789365862557199383701428e+00; diff = 1.925929944387235853055977942584927319e-34; -461/1000
Check failed for (fp128): x = -2.883982055995430192908706625850583627e+00; diff = 1.925929944387235853055977942584927319e-34; -459/1000
Check failed for (fp128): x = -2.839999758845173087570229618484670550e+00; diff = 1.925929944387235853055977942584927319e-34; -452/1000
Check failed for (fp128): x = -2.833716573537993501093304331718111650e+00; diff = 1.925929944387235853055977942584927319e-34; -451/1000
Check failed for (fp128): x = -2.827433388230813914616379044951552749e+00; diff = 3.851859888774471706111955885169854637e-34; -450/1000
Check failed for (fp128): x = -2.821150202923634328139453758184993463e+00; diff = 1.925929944387235853055977942584927319e-34; -449/1000
Check failed for (fp128): x = -2.808583832309275155185603184651875661e+00; diff = 1.925929944387235853055977942584927319e-34; -447/1000
Check failed for (fp128): x = -2.802300647002095568708677897885316375e+00; diff = 1.925929944387235853055977942584927319e-34; -446/1000
Check failed for (fp128): x = -2.789734276387736395754827324352198188e+00; diff = 1.925929944387235853055977942584927319e-34; -444/1000
Check failed for (fp128): x = -2.783451091080556809277902037585639288e+00; diff = 1.925929944387235853055977942584927319e-34; -443/1000
Check failed for (fp128): x = -2.752035164544658876893275603752844398e+00; diff = 1.925929944387235853055977942584927319e-34; -438/1000
Check failed for (fp128): x = -2.689203311472863012124022736087254234e+00; diff = 1.925929944387235853055977942584927319e-34; -428/1000
Check failed for (fp128): x = -2.682920126165683425647097449320695334e+00; diff = 1.925929944387235853055977942584927319e-34; -427/1000
Check failed for (fp128): x = -2.664070570244144666216321589021018246e+00; diff = 1.925929944387235853055977942584927319e-34; -424/1000
Check failed for (fp128): x = -2.651504199629785493262471015487900444e+00; diff = 1.925929944387235853055977942584927319e-34; -422/1000
Check failed for (fp128): x = -2.601238717172348801447068721355428467e+00; diff = 1.925929944387235853055977942584927319e-34; -414/1000
Check failed for (fp128): x = -2.142566189748238988631522787396621003e+00; diff = 1.925929944387235853055977942584927319e-34; -341/1000
Check failed for (fp128): x = -2.111150263212341056246896353563825729e+00; diff = 1.925929944387235853055977942584927319e-34; -336/1000
Check failed for (fp128): x = -2.048318410140545191477643485898235950e+00; diff = 1.925929944387235853055977942584927319e-34; -326/1000
Check failed for (fp128): x = -2.035752039526186018523792912365117763e+00; diff = 1.925929944387235853055977942584927319e-34; -324/1000
Check failed for (fp128): x = -1.954070630532851394323764184399850705e+00; diff = 1.925929944387235853055977942584927319e-34; -311/1000
