Check failed for (fp64): alpha = -6.27061893656523; diff1 = 1.11022302462516e-16; diff2 = 1.99984208840763; -998/1000
Check failed for (fp64): alpha = -6.26433575125805; diff1 = 1.11022302462516e-16; diff2 = 1.99964470476162; -997/1000
Check failed for (fp64): alpha = -6.25805256595087; diff1 = 2.22044604925031e-16; diff2 = 1.9993683785666; -996/1000
Check failed for (fp64): alpha = -6.25176938064369; diff1 = 1.11022302462516e-16; diff2 = 1.99901312073146; -995/1000
Check failed for (fp64): alpha = -6.23920301002933; diff1 = 1.11022302462516e-16; diff2 = 1.99806586935625; -993/1000
Check failed for (fp64): alpha = -6.22663663941497; diff1 = 1.11022302462516e-16; diff2 = 1.99680310021795; -991/1000
Check failed for (fp64): alpha = -6.22035345410779; diff1 = 1.11022302462516e-16; diff2 = 1.99605345685654; -990/1000
Check failed for (fp64): alpha = -6.20778708349343; diff1 = 1.11022302462516e-16; diff2 = 1.99431780052123; -988/1000
Check failed for (fp64): alpha = -6.20150389818625; diff1 = 1.11022302462516e-16; diff2 = 1.99333185606806; -987/1000
Check failed for (fp64): alpha = -6.17637115695753; diff1 = 1.11022302462516e-16; diff2 = 1.988601580794; -983/1000
Check failed for (fp64): alpha = -6.17008797165035; diff1 = 1.11022302462516e-16; diff2 = 1.98722262104002; -982/1000
Check failed for (fp64): alpha = -6.14495523042164; diff1 = 1.11022302462516e-16; diff2 = 1.9809228513933; -978/1000
Check failed for (fp64): alpha = -6.1261056745001; diff1 = 1.11022302462516e-16; diff2 = 1.97537668119028; -975/1000
Check failed for (fp64): alpha = -6.11353930388574; diff1 = 2.22044604925031e-16; diff2 = 1.971289190298; -973/1000
Check failed for (fp64): alpha = -6.10725611857856; diff1 = 2.22044604925031e-16; diff2 = 1.96912866905841; -972/1000
Check failed for (fp64): alpha = -6.08840656265702; diff1 = 1.11022302462516e-16; diff2 = 1.96218103488667; -969/1000
Check failed for (fp64): alpha = -6.08212337734984; diff1 = 1.11022302462516e-16; diff2 = 1.95971010476849; -968/1000
Check failed for (fp64): alpha = -6.05699063612112; diff1 = 1.11022302462516e-16; diff2 = 1.94905374557315; -964/1000
Check failed for (fp64): alpha = -6.04442426550676; diff1 = 1.11022302462516e-16; diff2 = 1.94326346582935; -962/1000
Check failed for (fp64): alpha = -6.03814108019958; diff1 = 1.11022302462516e-16; diff2 = 1.94025319298021; -961/1000
Check failed for (fp64): alpha = -6.02557470958522; diff1 = 1.11022302462516e-16; diff2 = 1.93400297552487; -959/1000
Check failed for (fp64): alpha = -6.01929152427804; diff1 = 1.11022302462516e-16; diff2 = 1.93076327766655; -958/1000
Check failed for (fp64): alpha = -6.01300833897086; diff1 = 1.11022302462516e-16; diff2 = 1.92744735658002; -957/1000
Check failed for (fp64): alpha = -6.00672515366368; diff1 = 1.11022302462516e-16; diff2 = 1.92405534317217; -956/1000
Check failed for (fp64): alpha = -5.99415878304932; diff1 = 1.11022302462516e-16; diff2 = 1.91704357803475; -954/1000
Check failed for (fp64): alpha = -5.98787559774215; diff1 = 1.11022302462516e-16; diff2 = 1.91342410311766; -953/1000
Check failed for (fp64): alpha = -5.98159241243497; diff1 = 1.11022302462516e-16; diff2 = 1.90972908949329; -952/1000
Check failed for (fp64): alpha = -5.96902604182061; diff1 = 1.11022302462516e-16; diff2 = 1.90211303259031; -950/1000
Check failed for (fp64): alpha = -5.96274285651343; diff1 = 1.11022302462516e-16; diff2 = 1.89819228998059; -949/1000
