Check failed for (fp128): alpha = -6.188937527571892679771407465060620542e+00; beta = -1.547234381892973169942851866265155135e+00; gamma = -7.736171909464865849714259331325775677e-01; diff = 1.976711300342758673400227360992928332e-34; -985/1000
Check failed for (fp128): alpha = -6.132388859807276401479079884161588894e+00; beta = -1.533097214951819100369769971040397223e+00; gamma = -7.665486074759095501848849855201986117e-01; diff = 1.971068927458811693361977425614261553e-34; -976/1000
Check failed for (fp128): alpha = -4.699822609770330684740114501386136395e+00; beta = -1.174955652442582671185028625346534099e+00; gamma = -5.874778262212913355925143126732670493e-01; diff = 1.925929944387235853055977942584927319e-34; -748/1000
Check failed for (fp128): alpha = -4.574158903626738955201608766054956067e+00; beta = -1.143539725906684738800402191513739017e+00; gamma = -5.717698629533423694002010957568695084e-01; diff = 1.925929944387235853055977942584927319e-34; -728/1000
Check failed for (fp128): alpha = -4.247433267653400458401493854193887831e+00; beta = -1.061858316913350114600373463548471958e+00; gamma = -5.309291584566750573001867317742359789e-01; diff = 2.407412430484044816319972428231159148e-34; -676/1000
Check failed for (fp128): alpha = -4.165751858660065834201465126228620580e+00; beta = -1.041437964665016458550366281557155145e+00; gamma = -5.207189823325082292751831407785775725e-01; diff = 1.925929944387235853055977942584927319e-34; -663/1000
Check failed for (fp128): alpha = -4.058937708438012864093735251197117725e+00; beta = -1.014734427109503216023433812799279431e+00; gamma = -5.073672135547516080117169063996397157e-01; diff = 1.925929944387235853055977942584927319e-34; -646/1000
Check failed for (fp128): alpha = -4.002389040673396585801407670298086077e+00; beta = -1.000597260168349146450351917574521519e+00; gamma = -5.002986300841745732251759587872607596e-01; diff = 1.925929944387235853055977942584927319e-34; -637/1000
Check failed for (fp128): alpha = -3.788760740229290645585947920235080368e+00; beta = -9.471901850573226613964869800587700919e-01; gamma = -4.735950925286613306982434900293850459e-01; diff = 1.925929944387235853055977942584927319e-34; -603/1000
Check failed for (fp128): alpha = -3.707079331235956021385919192269813116e+00; beta = -9.267698328089890053464797980674532790e-01; gamma = -4.633849164044945026732398990337266395e-01; diff = 1.925929944387235853055977942584927319e-34; -590/1000
Check failed for (fp128): alpha = -3.681946590007237675478218045203577513e+00; beta = -9.204866475018094188695545113008943782e-01; gamma = -4.602433237509047094347772556504471891e-01; diff = 1.925929944387235853055977942584927319e-34; -586/1000
Check failed for (fp128): alpha = -2.739468793930299703939425030219726211e+00; beta = -6.848671984825749259848562575549315528e-01; gamma = -3.424335992412874629924281287774657764e-01; diff = 1.925929944387235853055977942584927319e-34; -436/1000
Check failed for (fp128): alpha = -2.456725455107218312477787125724571052e+00; beta = -6.141813637768045781194467814311427630e-01; gamma = -3.070906818884022890597233907155713815e-01; diff = 1.925929944387235853055977942584927319e-34; -391/1000
