Check failed for (fp64): alpha = -6.28318530717959; beta = -1.5707963267949; gamma = -0.785398163397448; diff = 1.38777878078145e-16; -1000/1000
Check failed for (fp64): alpha = -6.27690212187241; beta = -1.5692255304681; gamma = -0.784612765234051; diff = 2.55653178206187e-16; -999/1000
Check failed for (fp64): alpha = -6.25805256595087; beta = -1.56451314148772; gamma = -0.782256570743858; diff = 1.29114926215868e-16; -996/1000
Check failed for (fp64): alpha = -6.25176938064369; beta = -1.56294234516092; gamma = -0.781471172580461; diff = 1.32408190314792e-16; -995/1000
Check failed for (fp64): alpha = -6.23291982472215; beta = -1.55822995618054; gamma = -0.779114978090269; diff = 2.31748214368777e-16; -992/1000
Check failed for (fp64): alpha = -6.22663663941497; beta = -1.55665915985374; gamma = -0.778329579926871; diff = 1.27393755267047e-16; -991/1000
Check failed for (fp64): alpha = -6.22035345410779; beta = -1.55508836352695; gamma = -0.777544181763474; diff = 2.44270749460984e-16; -990/1000
Check failed for (fp64): alpha = -6.20150389818625; beta = -1.55037597454656; gamma = -0.775187987273281; diff = 1.39211558947139e-16; -987/1000
Check failed for (fp64): alpha = -6.19522071287907; beta = -1.54880517821977; gamma = -0.774402589109884; diff = 1.33573707650214e-16; -986/1000
Check failed for (fp64): alpha = -6.17637115695753; beta = -1.54409278923938; gamma = -0.772046394619692; diff = 2.04697370165263e-16; -983/1000
Check failed for (fp64): alpha = -6.17008797165035; beta = -1.54252199291259; gamma = -0.771260996456294; diff = 1.14491749414469e-16; -982/1000
Check failed for (fp64): alpha = -6.16380478634317; beta = -1.54095119658579; gamma = -0.770475598292897; diff = 2.30718222304915e-16; -981/1000
Check failed for (fp64): alpha = -6.14495523042164; beta = -1.53623880760541; gamma = -0.768119403802704; diff = 1.196959198424e-16; -978/1000
Check failed for (fp64): alpha = -6.13867204511446; beta = -1.53466801127861; gamma = -0.767334005639307; diff = 1.2490009027033e-16; -977/1000
Check failed for (fp64): alpha = -6.11982248919292; beta = -1.52995562229823; gamma = -0.764977811149115; diff = 2.18575157973078e-16; -974/1000
Check failed for (fp64): alpha = -6.11353930388574; beta = -1.52838482597143; gamma = -0.764192412985717; diff = 1.35308431126191e-16; -973/1000
Check failed for (fp64): alpha = -6.10725611857856; beta = -1.52681402964464; gamma = -0.76340701482232; diff = 2.12503625807159e-16; -972/1000
Check failed for (fp64): alpha = -6.08840656265702; beta = -1.52210164066425; gamma = -0.761050820332127; diff = 1.11022302462516e-16; -969/1000
Check failed for (fp64): alpha = -6.08212337734984; beta = -1.52053084433746; gamma = -0.76026542216873; diff = 1.37043154602168e-16; -968/1000
Check failed for (fp64): alpha = -6.0632738214283; beta = -1.51581845535708; gamma = -0.757909227678538; diff = 2.02962646689286e-16; -965/1000
Check failed for (fp64): alpha = -6.0318578948924; beta = -1.5079644737231; gamma = -0.75398223686155; diff = 1.33573707650214e-16; -960/1000
Check failed for (fp64): alpha = -6.02557470958522; beta = -1.50639367739631; gamma = -0.753196838698153; diff = 1.11022302462516e-16; -959/1000
Check failed for (fp64): alpha = -6.00672515366368; beta = -1.50168128841592; gamma = -0.75084064420796; diff = 1.73472347597681e-16; -956/1000
Check failed for (fp64): alpha = -5.96902604182061; beta = -1.49225651045515; gamma = -0.746128255227576; diff = 1.28369537222284e-16; -950/1000
Check failed for (fp64): alpha = -5.95017648589907; beta = -1.48754412147477; gamma = -0.743772060737383; diff = 1.73472347597681e-16; -947/1000
Check failed for (fp64): alpha = -5.91247737405599; beta = -1.478119343514; gamma = -0.739059671756999; diff = 1.31838984174237e-16; -941/1000
Check failed for (fp64): alpha = -5.89362781813445; beta = -1.47340695453361; gamma = -0.736703477266806; diff = 1.73472347597681e-16; -938/1000
Check failed for (fp64): alpha = -5.88106144752009; beta = -1.47026536188002; gamma = -0.735132680940012; diff = 1.94289029309402e-16; -936/1000
Check failed for (fp64): alpha = -5.82451277975548; beta = -1.45612819493887; gamma = -0.728064097469435; diff = 1.87350135405495e-16; -927/1000
