Check failed for (fp64): alpha = -5.59203492338983; beta = -1.39800873084746; diff = 8.88178419700125e-16; -890/1000
Check failed for (fp64): alpha = -5.58575173808265; beta = -1.39643793452066; diff = 8.88178419700125e-16; -889/1000
Check failed for (fp64): alpha = -5.57946855277547; beta = -1.39486713819387; diff = 1.77635683940025e-15; -888/1000
Check failed for (fp64): alpha = -5.57318536746829; beta = -1.39329634186707; diff = 1.77635683940025e-15; -887/1000
Check failed for (fp64): alpha = -5.56690218216111; beta = -1.39172554554028; diff = 8.88178419700125e-16; -886/1000
Check failed for (fp64): alpha = -5.56061899685393; beta = -1.39015474921348; diff = 8.88178419700125e-16; -885/1000
Check failed for (fp64): alpha = -5.55433581154675; beta = -1.38858395288669; diff = 2.66453525910038e-15; -884/1000
Check failed for (fp64): alpha = -5.54805262623958; beta = -1.38701315655989; diff = 8.88178419700125e-16; -883/1000
Check failed for (fp64): alpha = -5.53548625562522; beta = -1.3838715639063; diff = 8.88178419700125e-16; -881/1000
Check failed for (fp64): alpha = -5.52920307031804; beta = -1.38230076757951; diff = 8.88178419700125e-16; -880/1000
Check failed for (fp64): alpha = -5.52291988501086; beta = -1.38072997125271; diff = 8.88178419700125e-16; -879/1000
Check failed for (fp64): alpha = -5.51663669970368; beta = -1.37915917492592; diff = 3.5527136788005e-15; -878/1000
Check failed for (fp64): alpha = -5.5103535143965; beta = -1.37758837859912; diff = 1.77635683940025e-15; -877/1000
Check failed for (fp64): alpha = -5.50407032908932; beta = -1.37601758227233; diff = 1.77635683940025e-15; -876/1000
Check failed for (fp64): alpha = -5.49150395847496; beta = -1.37287598961874; diff = 8.88178419700125e-16; -874/1000
Check failed for (fp64): alpha = -5.47265440255342; beta = -1.36816360063835; diff = 8.88178419700125e-16; -871/1000
Check failed for (fp64): alpha = -5.46637121724624; beta = -1.36659280431156; diff = 1.77635683940025e-15; -870/1000
Check failed for (fp64): alpha = -5.46008803193906; beta = -1.36502200798477; diff = 2.66453525910038e-15; -869/1000
Check failed for (fp64): alpha = -5.45380484663188; beta = -1.36345121165797; diff = 1.77635683940025e-15; -868/1000
Check failed for (fp64): alpha = -5.4475216613247; beta = -1.36188041533118; diff = 8.88178419700125e-16; -867/1000
Check failed for (fp64): alpha = -5.44123847601752; beta = -1.36030961900438; diff = 1.77635683940025e-15; -866/1000
Check failed for (fp64): alpha = -5.43495529071034; beta = -1.35873882267759; diff = 1.77635683940025e-15; -865/1000
Check failed for (fp64): alpha = -5.42867210540316; beta = -1.35716802635079; diff = 8.88178419700125e-16; -864/1000
Check failed for (fp64): alpha = -5.42238892009598; beta = -1.355597230024; diff = 8.88178419700125e-16; -863/1000
