Check failed for (fp64): x = -5.18362787842316; diff = 1.11022302462516e-16; -825/1000
Check failed for (fp64): x = -5.17734469311598; diff = 1.11022302462516e-16; -824/1000
Check failed for (fp64): x = -5.1710615078088; diff = 1.11022302462516e-16; -823/1000
Check failed for (fp64): x = -5.16477832250162; diff = 1.11022302462516e-16; -822/1000
Check failed for (fp64): x = -5.12707921065854; diff = 1.11022302462516e-16; -816/1000
Check failed for (fp64): x = -5.08309691350829; diff = 1.11022302462516e-16; -809/1000
Check failed for (fp64): x = -5.07681372820111; diff = 1.11022302462516e-16; -808/1000
Check failed for (fp64): x = -5.07053054289393; diff = 1.11022302462516e-16; -807/1000
Check failed for (fp64): x = -5.06424735758675; diff = 1.11022302462516e-16; -806/1000
Check failed for (fp64): x = -5.05168098697239; diff = 1.11022302462516e-16; -804/1000
Check failed for (fp64): x = -4.98884913390059; diff = 1.11022302462516e-16; -794/1000
Check failed for (fp64): x = -4.96371639267187; diff = 1.11022302462516e-16; -790/1000
Check failed for (fp64): x = -4.94486683675034; diff = 1.38777878078145e-16; -787/1000
Check failed for (fp64): x = -4.91973409552162; diff = 1.11022302462516e-16; -783/1000
Check failed for (fp64): x = -4.91345091021444; diff = 1.38777878078145e-16; -782/1000
Check failed for (fp64): x = -4.87575179837136; diff = 1.11022302462516e-16; -776/1000
Check failed for (fp64): x = -4.86946861306418; diff = 1.38777878078145e-16; -775/1000
Check failed for (fp64): x = -4.83805268652828; diff = 1.94289029309402e-16; -770/1000
Check failed for (fp64): x = -4.82548631591392; diff = 1.52655665885959e-16; -768/1000
Check failed for (fp64): x = -4.81920313060674; diff = 1.38777878078145e-16; -767/1000
Check failed for (fp64): x = -4.8003535746852; diff = 3.05311331771918e-16; -764/1000
Check failed for (fp64): x = -4.78778720407084; diff = 2.22044604925031e-16; -762/1000
Check failed for (fp64): x = -4.78150401876367; diff = 3.33066907387547e-16; -761/1000
Check failed for (fp64): x = -4.77522083345649; diff = 1.52655665885959e-16; -760/1000
Check failed for (fp64): x = -4.76893764814931; diff = 4.30211422042248e-16; -759/1000
Check failed for (fp64): x = -4.76265446284213; diff = 4.57966997657877e-16; -758/1000
Check failed for (fp64): x = -4.75008809222777; diff = 2.84494650060196e-16; -756/1000
Check failed for (fp64): x = -4.74380490692059; diff = 7.7715611723761e-16; -755/1000
Check failed for (fp64): x = -4.73752172161341; diff = 5.51642065360625e-16; -754/1000
Check failed for (fp64): x = -4.73123853630623; diff = 8.74300631892311e-16; -753/1000
Check failed for (fp64): x = -4.72495535099905; diff = 1.87697080100691e-15; -752/1000
Check failed for (fp64): x = -4.71867216569187; diff = 1.82753118194157e-15; -751/1000
Check failed for (fp64): x = -4.71238898038469; diff = 1.83697019872103e-16; -750/1000
Check failed for (fp64): x = -4.70610579507751; diff = 1.09374315160338e-15; -749/1000
Check failed for (fp64): x = -4.69982260977033; diff = 1.14144804719274e-15; -748/1000
Check failed for (fp64): x = -4.69353942446315; diff = 1.3392065234541e-15; -747/1000
Check failed for (fp64): x = -4.68725623915597; diff = 1.87350135405495e-16; -746/1000
Check failed for (fp64): x = -4.67468986854161; diff = 4.5102810375397e-16; -744/1000
Check failed for (fp64): x = -4.66840668323443; diff = 5.89805981832114e-16; -743/1000
Check failed for (fp64): x = -4.66212349792725; diff = 2.77555756156289e-16; -742/1000
Check failed for (fp64): x = -4.65584031262007; diff = 3.19189119579733e-16; -741/1000
Check failed for (fp64): x = -4.64327394200571; diff = 3.88578058618805e-16; -739/1000
Check failed for (fp64): x = -4.63699075669853; diff = 2.22044604925031e-16; -738/1000
Check failed for (fp64): x = -4.62442438608418; diff = 2.08166817117217e-16; -736/1000
Check failed for (fp64): x = -4.618141200777; diff = 1.11022302462516e-16; -735/1000
Check failed for (fp64): x = -4.61185801546982; diff = 2.77555756156289e-16; -734/1000
Check failed for (fp64): x = -4.60557483016264; diff = 1.80411241501588e-16; -733/1000
Check failed for (fp64): x = -4.59300845954828; diff = 1.2490009027033e-16; -731/1000
Check failed for (fp64): x = -4.57415890362674; diff = 1.38777878078145e-16; -728/1000
Check failed for (fp64): x = -4.5553093477052; diff = 1.38777878078145e-16; -725/1000
Check failed for (fp64): x = -4.54902616239802; diff = 1.38777878078145e-16; -724/1000
Check failed for (fp64): x = -4.5238934211693; diff = 1.38777878078145e-16; -720/1000
Check failed for (fp64): x = -4.51761023586212; diff = 1.11022302462516e-16; -719/1000
Check failed for (fp64): x = -4.47991112401904; diff = 1.11022302462516e-16; -713/1000
Check failed for (fp64): x = -4.45477838279033; diff = 1.11022302462516e-16; -709/1000
Check failed for (fp64): x = -4.38566334441135; diff = 1.11022302462516e-16; -698/1000
Check failed for (fp64): x = -4.37309697379699; diff = 1.11022302462516e-16; -696/1000
Check failed for (fp64): x = -4.30398193541802; diff = 1.11022302462516e-16; -685/1000
Check failed for (fp64): x = -4.24115008234622; diff = 1.11022302462516e-16; -675/1000
Check failed for (fp64): x = -4.23486689703904; diff = 1.11022302462516e-16; -674/1000
Check failed for (fp64): x = -4.22858371173186; diff = 1.11022302462516e-16; -673/1000
Check failed for (fp64): x = -4.20973415581032; diff = 1.11022302462516e-16; -670/1000
Check failed for (fp64): x = -4.1846014145816; diff = 1.11022302462516e-16; -666/1000
Check failed for (fp64): x = -4.16575185866007; diff = 1.11022302462516e-16; -663/1000
Check failed for (fp64): x = -4.13433593212417; diff = 1.11022302462516e-16; -658/1000
Check failed for (fp64): x = -4.12805274681699; diff = 1.11022302462516e-16; -657/1000
Check failed for (fp64): x = -4.10920319089545; diff = 1.11022302462516e-16; -654/1000
Check failed for (fp64): x = -4.09663682028109; diff = 1.11022302462516e-16; -652/1000
Check failed for (fp64): x = -4.09035363497391; diff = 1.11022302462516e-16; -651/1000
Check failed for (fp64): x = -4.05265452313083; diff = 1.11022302462516e-16; -645/1000
Check failed for (fp64): x = -4.03380496720929; diff = 1.11022302462516e-16; -642/1000
Check failed for (fp64): x = -4.02752178190211; diff = 1.11022302462516e-16; -641/1000
Check failed for (fp64): x = -4.02123859659494; diff = 1.11022302462516e-16; -640/1000
Check failed for (fp64): x = -4.01495541128776; diff = 1.11022302462516e-16; -639/1000
Check failed for (fp64): x = -4.0023890406734; diff = 1.11022302462516e-16; -637/1000
Check failed for (fp64): x = -3.99610585536622; diff = 1.11022302462516e-16; -636/1000
Check failed for (fp64): x = -3.98982267005904; diff = 1.11022302462516e-16; -635/1000
Check failed for (fp64): x = -3.98353948475186; diff = 1.11022302462516e-16; -634/1000
Check failed for (fp64): x = -3.96468992883032; diff = 1.11022302462516e-16; -631/1000
Check failed for (fp64): x = -3.95212355821596; diff = 1.11022302462516e-16; -629/1000
Check failed for (fp64): x = -3.94584037290878; diff = 1.11022302462516e-16; -628/1000
Check failed for (fp64): x = -3.9395571876016; diff = 1.11022302462516e-16; -627/1000
Check failed for (fp64): x = -3.93327400229442; diff = 1.11022302462516e-16; -626/1000
Check failed for (fp64): x = -3.92699081698724; diff = 2.22044604925031e-16; -625/1000
Check failed for (fp64): x = -3.92070763168006; diff = 2.22044604925031e-16; -624/1000
Check failed for (fp64): x = -3.91442444637288; diff = 2.22044604925031e-16; -623/1000
Check failed for (fp64): x = -3.88929170514416; diff = 2.22044604925031e-16; -619/1000
Check failed for (fp64): x = -3.88300851983698; diff = 2.22044604925031e-16; -618/1000
Check failed for (fp64): x = -3.87044214922263; diff = 2.22044604925031e-16; -616/1000
Check failed for (fp64): x = -3.83902622268673; diff = 2.22044604925031e-16; -611/1000
Check failed for (fp64): x = -3.83274303737955; diff = 2.22044604925031e-16; -610/1000
Check failed for (fp64): x = -3.82017666676519; diff = 2.22044604925031e-16; -608/1000
Check failed for (fp64): x = -3.81389348145801; diff = 2.22044604925031e-16; -607/1000
Check failed for (fp64): x = -3.80132711084365; diff = 2.22044604925031e-16; -605/1000
Check failed for (fp64): x = -3.77619436961493; diff = 2.22044604925031e-16; -601/1000
Check failed for (fp64): x = -3.76991118430775; diff = 2.22044604925031e-16; -600/1000
Check failed for (fp64): x = -3.74477844307903; diff = 2.22044604925031e-16; -596/1000
Check failed for (fp64): x = -3.73221207246467; diff = 2.22044604925031e-16; -594/1000
Check failed for (fp64): x = -3.71964570185032; diff = 2.22044604925031e-16; -592/1000
Check failed for (fp64): x = -3.67566340470006; diff = 2.22044604925031e-16; -585/1000
Check failed for (fp64): x = -3.66938021939288; diff = 2.22044604925031e-16; -584/1000
Check failed for (fp64): x = -3.6630970340857; diff = 2.22044604925031e-16; -583/1000
Check failed for (fp64): x = -3.65053066347134; diff = 2.22044604925031e-16; -581/1000
Check failed for (fp64): x = -3.63796429285698; diff = 4.44089209850063e-16; -579/1000
Check failed for (fp64): x = -3.62539792224262; diff = 2.22044604925031e-16; -577/1000
Check failed for (fp64): x = -3.61911473693544; diff = 2.22044604925031e-16; -576/1000
Check failed for (fp64): x = -3.60654836632108; diff = 2.22044604925031e-16; -574/1000
Check failed for (fp64): x = -3.6002651810139; diff = 4.44089209850063e-16; -573/1000
Check failed for (fp64): x = -3.58769881039954; diff = 4.44089209850063e-16; -571/1000
Check failed for (fp64): x = -3.568849254478; diff = 4.44089209850063e-16; -568/1000
Check failed for (fp64): x = -3.54999969855647; diff = 4.44089209850063e-16; -565/1000
Check failed for (fp64): x = -3.53115014263493; diff = 4.44089209850063e-16; -562/1000
Check failed for (fp64): x = -3.51858377202057; diff = 4.44089209850063e-16; -560/1000
Check failed for (fp64): x = -3.50601740140621; diff = 4.44089209850063e-16; -558/1000
Check failed for (fp64): x = -3.49973421609903; diff = 4.44089209850063e-16; -557/1000
Check failed for (fp64): x = -3.49345103079185; diff = 4.44089209850063e-16; -556/1000
Check failed for (fp64): x = -3.47460147487031; diff = 4.44089209850063e-16; -553/1000
Check failed for (fp64): x = -3.46203510425595; diff = 4.44089209850063e-16; -551/1000
Check failed for (fp64): x = -3.45575191894877; diff = 4.44089209850063e-16; -550/1000
Check failed for (fp64): x = -3.42433599241287; diff = 4.44089209850063e-16; -545/1000
Check failed for (fp64): x = -3.4180528071057; diff = 4.44089209850063e-16; -544/1000
Check failed for (fp64): x = -3.41176962179852; diff = 4.44089209850063e-16; -543/1000
Check failed for (fp64): x = -3.40548643649134; diff = 4.44089209850063e-16; -542/1000
Check failed for (fp64): x = -3.39292006587698; diff = 4.44089209850063e-16; -540/1000
Check failed for (fp64): x = -3.3866368805698; diff = 4.44089209850063e-16; -539/1000
Check failed for (fp64): x = -3.38035369526262; diff = 8.88178419700125e-16; -538/1000
Check failed for (fp64): x = -3.37407050995544; diff = 8.88178419700125e-16; -537/1000
Check failed for (fp64): x = -3.34893776872672; diff = 8.88178419700125e-16; -533/1000
Check failed for (fp64): x = -3.34265458341954; diff = 8.88178419700125e-16; -532/1000
Check failed for (fp64): x = -3.31752184219082; diff = 8.88178419700125e-16; -528/1000
Check failed for (fp64): x = -3.30495547157646; diff = 8.88178419700125e-16; -526/1000
Check failed for (fp64): x = -3.2923891009621; diff = 8.88178419700125e-16; -524/1000
Check failed for (fp64): x = -3.27982273034774; diff = 8.88178419700125e-16; -522/1000
Check failed for (fp64): x = -3.27353954504056; diff = 1.77635683940025e-15; -521/1000
Check failed for (fp64): x = -3.21070769196877; diff = 1.77635683940025e-15; -511/1000
Check failed for (fp64): x = -3.19185813604723; diff = 3.5527136788005e-15; -508/1000
Check failed for (fp64): x = -3.17300858012569; diff = 3.5527136788005e-15; -505/1000
Check failed for (fp64): x = -3.14159265358979; diff = 269687594237; -500/1000
Check failed for (fp64): x = -3.12274309766825; diff = 7.105427357601e-15; -497/1000
Check failed for (fp64): x = -3.1101767270539; diff = 3.5527136788005e-15; -495/1000
Check failed for (fp64): x = -3.10389354174672; diff = 3.5527136788005e-15; -494/1000
Check failed for (fp64): x = -3.09132717113236; diff = 3.5527136788005e-15; -492/1000
Check failed for (fp64): x = -3.078760800518; diff = 1.77635683940025e-15; -490/1000
Check failed for (fp64): x = -3.0473448739821; diff = 1.77635683940025e-15; -485/1000
Check failed for (fp64): x = -3.04106168867492; diff = 1.77635683940025e-15; -484/1000
Check failed for (fp64): x = -3.02221213275338; diff = 1.77635683940025e-15; -481/1000
Check failed for (fp64): x = -3.0159289474462; diff = 8.88178419700125e-16; -480/1000
Check failed for (fp64): x = -3.00964576213902; diff = 8.88178419700125e-16; -479/1000
Check failed for (fp64): x = -3.00336257683184; diff = 8.88178419700125e-16; -478/1000
Check failed for (fp64): x = -2.9845130209103; diff = 8.88178419700125e-16; -475/1000
Check failed for (fp64): x = -2.97822983560312; diff = 8.88178419700125e-16; -474/1000
Check failed for (fp64): x = -2.94681390906723; diff = 8.88178419700125e-16; -469/1000
Check failed for (fp64): x = -2.94053072376005; diff = 8.88178419700125e-16; -468/1000
Check failed for (fp64): x = -2.91539798253133; diff = 8.88178419700125e-16; -464/1000
Check failed for (fp64): x = -2.88398205599543; diff = 4.44089209850063e-16; -459/1000
Check failed for (fp64): x = -2.87769887068825; diff = 4.44089209850063e-16; -458/1000
Check failed for (fp64): x = -2.87141568538107; diff = 4.44089209850063e-16; -457/1000
Check failed for (fp64): x = -2.85884931476671; diff = 4.44089209850063e-16; -455/1000
Check failed for (fp64): x = -2.83999975884517; diff = 4.44089209850063e-16; -452/1000
Check failed for (fp64): x = -2.82115020292363; diff = 4.44089209850063e-16; -449/1000
Check failed for (fp64): x = -2.8023006470021; diff = 4.44089209850063e-16; -446/1000
Check failed for (fp64): x = -2.77716790577338; diff = 4.44089209850063e-16; -442/1000
Check failed for (fp64): x = -2.7708847204662; diff = 4.44089209850063e-16; -441/1000
Check failed for (fp64): x = -2.75831834985184; diff = 4.44089209850063e-16; -439/1000
