Check failed for (fp128): x = -6.264335751258047717494510906259328122e+00; diff = 1.232595164407830945955825883254353484e-32; -997/1000
Check failed for (fp128): x = -6.258052565950868131017585619492769221e+00; diff = 6.162975822039154729779129416271767419e-33; -996/1000
Check failed for (fp128): x = -6.251769380643688544540660332726210320e+00; diff = 3.081487911019577364889564708135883710e-33; -995/1000
Check failed for (fp128): x = -6.245486195336508958063735045959651420e+00; diff = 3.081487911019577364889564708135883710e-33; -994/1000
Check failed for (fp128): x = -6.239203010029329371586809759193092519e+00; diff = 3.081487911019577364889564708135883710e-33; -993/1000
Check failed for (fp128): x = -6.220353454107790612156033898893415816e+00; diff = 3.081487911019577364889564708135883710e-33; -990/1000
Check failed for (fp128): x = -6.195220712879072266248332751827179443e+00; diff = 1.540743955509788682444782354067941855e-33; -986/1000
Check failed for (fp128): x = -6.157521601035994747386781031227825267e+00; diff = 7.703719777548943412223911770339709274e-34; -980/1000
Check failed for (fp128): x = -6.151238415728815160909855744461266367e+00; diff = 1.540743955509788682444782354067941855e-33; -979/1000
Check failed for (fp128): x = -6.144955230421635574432930457694707466e+00; diff = 1.540743955509788682444782354067941855e-33; -978/1000
Check failed for (fp128): x = -6.138672045114455987956005170928148565e+00; diff = 7.703719777548943412223911770339709274e-34; -977/1000
Check failed for (fp128): x = -6.132388859807276401479079884161588894e+00; diff = 7.703719777548943412223911770339709274e-34; -976/1000
Check failed for (fp128): x = -6.126105674500096815002154597395029993e+00; diff = 7.703719777548943412223911770339709274e-34; -975/1000
Check failed for (fp128): x = -6.119822489192917228525229310628471092e+00; diff = 7.703719777548943412223911770339709274e-34; -974/1000
Check failed for (fp128): x = -6.113539303885737642048304023861912191e+00; diff = 7.703719777548943412223911770339709274e-34; -973/1000
Check failed for (fp128): x = -6.100972933271378469094453450328794390e+00; diff = 7.703719777548943412223911770339709274e-34; -971/1000
Check failed for (fp128): x = -6.088406562657019296140602876795676588e+00; diff = 7.703719777548943412223911770339709274e-34; -969/1000
Check failed for (fp128): x = -6.069557006735480536709827016495999115e+00; diff = 7.703719777548943412223911770339709274e-34; -966/1000
Check failed for (fp128): x = -6.031857894892403017848275295896644940e+00; diff = 3.851859888774471706111955885169854637e-34; -960/1000
Check failed for (fp128): x = -6.019291524278043844894424722363527138e+00; diff = 7.703719777548943412223911770339709274e-34; -958/1000
Check failed for (fp128): x = -6.013008338970864258417499435596968237e+00; diff = 3.851859888774471706111955885169854637e-34; -957/1000
Check failed for (fp128): x = -5.994158783049325498986723575297291535e+00; diff = 3.851859888774471706111955885169854637e-34; -954/1000
Check failed for (fp128): x = -5.981592412434966326032873001764173733e+00; diff = 3.851859888774471706111955885169854637e-34; -952/1000
Check failed for (fp128): x = -5.969026041820607153079022428231055161e+00; diff = 3.851859888774471706111955885169854637e-34; -950/1000
Check failed for (fp128): x = -5.943893300591888807171321281164819558e+00; diff = 3.851859888774471706111955885169854637e-34; -946/1000
Check failed for (fp128): x = -5.931326929977529634217470707631700986e+00; diff = 3.851859888774471706111955885169854637e-34; -944/1000
Check failed for (fp128): x = -5.862211891598554182971292553199552306e+00; diff = 3.851859888774471706111955885169854637e-34; -933/1000
Check failed for (fp128): x = -5.843362335677015423540516692899875604e+00; diff = 3.851859888774471706111955885169854637e-34; -930/1000
Check failed for (fp128): x = -5.824512779755476664109740832600198131e+00; diff = 3.851859888774471706111955885169854637e-34; -927/1000
