Check failed for (fp32): x = -6.151238; diff = 5.960464e-08; -979/1000
Check failed for (fp32): x = -5.975309; diff = 5.960464e-08; -951/1000
Check failed for (fp32): x = -5.962743; diff = 5.960464e-08; -949/1000
Check failed for (fp32): x = -5.931327; diff = 5.960464e-08; -944/1000
Check failed for (fp32): x = -5.906194; diff = 5.960464e-08; -940/1000
Check failed for (fp32): x = -5.899911; diff = 5.960464e-08; -939/1000
Check failed for (fp32): x = -5.874778; diff = 5.960464e-08; -935/1000
Check failed for (fp32): x = -5.83708; diff = 5.960464e-08; -929/1000
Check failed for (fp32): x = -5.824513; diff = 5.960464e-08; -927/1000
Check failed for (fp32): x = -5.811947; diff = 5.960464e-08; -925/1000
Check failed for (fp32): x = -5.793097; diff = 5.960464e-08; -922/1000
Check failed for (fp32): x = -5.780531; diff = 5.960464e-08; -920/1000
Check failed for (fp32): x = -5.755398; diff = 8.940697e-08; -916/1000
Check failed for (fp32): x = -5.749115; diff = 5.960464e-08; -915/1000
Check failed for (fp32): x = -5.736548; diff = 8.940697e-08; -913/1000
Check failed for (fp32): x = -5.711415; diff = 5.960464e-08; -909/1000
Check failed for (fp32): x = -5.692566; diff = 8.940697e-08; -906/1000
Check failed for (fp32): x = -5.673717; diff = 8.940697e-08; -903/1000
Check failed for (fp32): x = -5.667433; diff = 5.960464e-08; -902/1000
Check failed for (fp32): x = -5.66115; diff = 5.960464e-08; -901/1000
Check failed for (fp32): x = -5.642301; diff = 5.960464e-08; -898/1000
Check failed for (fp32): x = -5.636017; diff = 5.960464e-08; -897/1000
Check failed for (fp32): x = -5.629735; diff = 5.960464e-08; -896/1000
Check failed for (fp32): x = -5.623451; diff = 5.960464e-08; -895/1000
Check failed for (fp32): x = -5.617168; diff = 5.960464e-08; -894/1000
Check failed for (fp32): x = -5.610885; diff = 5.960464e-08; -893/1000
Check failed for (fp32): x = -5.604601; diff = 5.960464e-08; -892/1000
Check failed for (fp32): x = -5.579469; diff = 8.940697e-08; -888/1000
Check failed for (fp32): x = -5.566902; diff = 7.450581e-08; -886/1000
Check failed for (fp32): x = -5.560619; diff = 1.043081e-07; -885/1000
Check failed for (fp32): x = -5.529203; diff = 8.195639e-08; -880/1000
Check failed for (fp32): x = -5.516637; diff = 7.82311e-08; -878/1000
Check failed for (fp32): x = -5.510354; diff = 7.450581e-08; -877/1000
Check failed for (fp32): x = -5.466372; diff = 8.195639e-08; -870/1000
Check failed for (fp32): x = -5.460088; diff = 7.450581e-08; -869/1000
Check failed for (fp32): x = -5.453805; diff = 1.41561e-07; -868/1000
Check failed for (fp32): x = -5.441238; diff = 9.685755e-08; -866/1000
Check failed for (fp32): x = -5.422389; diff = 8.940697e-08; -863/1000
Check failed for (fp32): x = -5.416106; diff = 8.940697e-08; -862/1000
Check failed for (fp32): x = -5.409823; diff = 7.450581e-08; -861/1000
Check failed for (fp32): x = -5.40354; diff = 5.960464e-08; -860/1000
Check failed for (fp32): x = -5.397256; diff = 5.960464e-08; -859/1000
Check failed for (fp32): x = -5.38469; diff = 5.960464e-08; -857/1000
Check failed for (fp32): x = -5.36584; diff = 8.940697e-08; -854/1000
Check failed for (fp32): x = -5.359557; diff = 5.960464e-08; -853/1000
Check failed for (fp32): x = -5.353274; diff = 1.192093e-07; -852/1000
Check failed for (fp32): x = -5.346991; diff = 5.960464e-08; -851/1000
Check failed for (fp32): x = -5.334424; diff = 5.960464e-08; -849/1000
Check failed for (fp32): x = -5.328141; diff = 5.960464e-08; -848/1000
Check failed for (fp32): x = -5.309292; diff = 5.960464e-08; -845/1000
Check failed for (fp32): x = -5.303009; diff = 5.960464e-08; -844/1000
Check failed for (fp32): x = -5.290442; diff = 8.940697e-08; -842/1000
Check failed for (fp32): x = -5.265309; diff = 8.940697e-08; -838/1000
Check failed for (fp32): x = -5.259027; diff = 1.192093e-07; -837/1000
Check failed for (fp32): x = -5.240177; diff = 5.960464e-08; -834/1000
Check failed for (fp32): x = -5.227611; diff = 5.960464e-08; -832/1000
Check failed for (fp32): x = -5.221327; diff = 5.960464e-08; -831/1000
Check failed for (fp32): x = -5.208761; diff = 5.960464e-08; -829/1000
Check failed for (fp32): x = -5.202477; diff = 1.192093e-07; -828/1000
Check failed for (fp32): x = -5.196195; diff = 5.960464e-08; -827/1000
