Check failed for (fp128): alpha = -5.026548245743669181540229413247204630e+00; beta = -1.256637061435917295385057353311801158e+00; diff = 1.942719099991587856366946749251047961e-02; -800/1000
Check failed for (fp128): alpha = -5.013981875129310008586378839714086058e+00; beta = -1.253495468782327502146594709928521515e+00; diff = 2.407412430484044816319972428231159148e-34; -798/1000
Check failed for (fp128): alpha = -3.769911184307751886155172059935403280e+00; beta = -9.424777960769379715387930149838508200e-01; diff = 1.925929944387235853055977942584927319e-34; -600/1000
Check failed for (fp128): alpha = -3.751061628386213126724396199635726577e+00; beta = -9.377654070965532816810990499089316444e-01; diff = 1.925929944387235853055977942584927319e-34; -597/1000
Check failed for (fp128): alpha = -3.744778443079033540247470912869166906e+00; beta = -9.361946107697583850618677282172917266e-01; diff = 1.925929944387235853055977942584927319e-34; -596/1000
Check failed for (fp128): alpha = -3.738495257771853953770545626102608005e+00; beta = -9.346238144429634884426364065256520014e-01; diff = 1.925929944387235853055977942584927319e-34; -595/1000
Check failed for (fp128): alpha = -3.725928887157494780816695052569490589e+00; beta = -9.314822217893736952041737631423726472e-01; diff = 1.925929944387235853055977942584927319e-34; -593/1000
Check failed for (fp128): alpha = -3.644247478164160156616666324604222952e+00; beta = -9.110618695410400391541665811510557381e-01; diff = 1.925929944387235853055977942584927319e-34; -580/1000
Check failed for (fp128): alpha = -3.612831551628262224232039890771428063e+00; beta = -9.032078879070655560580099726928570158e-01; diff = 1.925929944387235853055977942584927319e-34; -575/1000
Check failed for (fp128): alpha = -3.600265181013903051278189317238310261e+00; beta = -9.000662952534757628195473293095775653e-01; diff = 3.851859888774471706111955885169854637e-34; -573/1000
Check failed for (fp128): alpha = -3.587698810399543878324338743705192460e+00; beta = -8.969247025998859695810846859262981149e-01; diff = 1.925929944387235853055977942584927319e-34; -571/1000
Check failed for (fp128): alpha = -3.562566069170825532416637596638956086e+00; beta = -8.906415172927063831041593991597390215e-01; diff = 1.925929944387235853055977942584927319e-34; -567/1000
Check failed for (fp128): alpha = -3.556282883863645945939712309872397185e+00; beta = -8.890707209659114864849280774680992963e-01; diff = 1.925929944387235853055977942584927319e-34; -566/1000
Check failed for (fp128): alpha = -3.549999698556466359462787023105837899e+00; beta = -8.874999246391165898656967557764594748e-01; diff = 1.925929944387235853055977942584927319e-34; -565/1000
Check failed for (fp128): alpha = -3.543716513249286772985861736339278998e+00; beta = -8.859291283123216932464654340848197496e-01; diff = 1.925929944387235853055977942584927319e-34; -564/1000
Check failed for (fp128): alpha = -3.531150142634927600032011162806161197e+00; beta = -8.827875356587319000080027907015402992e-01; diff = 3.851859888774471706111955885169854637e-34; -562/1000
Check failed for (fp128): alpha = -3.506017401406209254124310015739925208e+00; beta = -8.765043503515523135310775039349813021e-01; diff = 3.851859888774471706111955885169854637e-34; -558/1000
Check failed for (fp128): alpha = -3.480884660177490908216608868673688835e+00; beta = -8.702211650443727270541522171684222086e-01; diff = 3.851859888774471706111955885169854637e-34; -554/1000
Check failed for (fp128): alpha = -3.455751918948772562308907721607453231e+00; beta = -8.639379797371931405772269304018633078e-01; diff = 3.851859888774471706111955885169854637e-34; -550/1000
Check failed for (fp128): alpha = -3.443185548334413389355057148074335044e+00; beta = -8.607963870836033473387642870185837611e-01; diff = 3.851859888774471706111955885169854637e-34; -548/1000
Check failed for (fp128): alpha = -3.430619177720054216401206574541217243e+00; beta = -8.576547944300135541003016436353043107e-01; diff = 3.851859888774471706111955885169854637e-34; -546/1000
Check failed for (fp128): alpha = -3.424335992412874629924281287774658342e+00; beta = -8.560839981032186574810703219436645855e-01; diff = 3.851859888774471706111955885169854637e-34; -545/1000
Check failed for (fp128): alpha = -3.418052807105695043447356001008098671e+00; beta = -8.545132017764237608618390002520246677e-01; diff = 3.851859888774471706111955885169854637e-34; -544/1000
Check failed for (fp128): alpha = -3.405486436491335870493505427474980869e+00; beta = -8.513716091228339676233763568687452173e-01; diff = 3.851859888774471706111955885169854637e-34; -542/1000
Check failed for (fp128): alpha = -3.399203251184156284016580140708421968e+00; beta = -8.498008127960390710041450351771054921e-01; diff = 3.851859888774471706111955885169854637e-34; -541/1000
Check failed for (fp128): alpha = -3.386636880569797111062729567175303781e+00; beta = -8.466592201424492777656823917938259454e-01; diff = 3.851859888774471706111955885169854637e-34; -539/1000
Check failed for (fp128): alpha = -3.380353695262617524585804280408744881e+00; beta = -8.450884238156543811464510701021862202e-01; diff = 3.851859888774471706111955885169854637e-34; -538/1000
Check failed for (fp128): alpha = -3.374070509955437938108878993642185980e+00; beta = -8.435176274888594845272197484105464950e-01; diff = 3.851859888774471706111955885169854637e-34; -537/1000
Check failed for (fp128): alpha = -3.361504139341078765155028420109068178e+00; beta = -8.403760348352696912887571050272670445e-01; diff = 7.703719777548943412223911770339709274e-34; -535/1000
Check failed for (fp128): alpha = -3.317521842190821659816551412743154717e+00; beta = -8.293804605477054149541378531857886792e-01; diff = 7.703719777548943412223911770339709274e-34; -528/1000
Check failed for (fp128): alpha = -3.292389100962103313908850265676919114e+00; beta = -8.230972752405258284772125664192297784e-01; diff = 7.703719777548943412223911770339709274e-34; -524/1000
Check failed for (fp128): alpha = -3.279822730347744140954999692143800927e+00; beta = -8.199556825869360352387499230359502317e-01; diff = 7.703719777548943412223911770339709274e-34; -522/1000
Check failed for (fp128): alpha = -3.254689989119025795047298545077564553e+00; beta = -8.136724972797564487618246362693911383e-01; diff = 1.540743955509788682444782354067941855e-33; -518/1000
Check failed for (fp128): alpha = -3.242123618504666622093447971544446751e+00; beta = -8.105309046261666555233619928861116879e-01; diff = 1.540743955509788682444782354067941855e-33; -516/1000
Check failed for (fp128): alpha = -3.235840433197487035616522684777887851e+00; beta = -8.089601082993717589041306711944719626e-01; diff = 1.540743955509788682444782354067941855e-33; -515/1000
Check failed for (fp128): alpha = -3.223274062583127862662672111244769664e+00; beta = -8.058185156457819656656680278111924159e-01; diff = 1.540743955509788682444782354067941855e-33; -513/1000
Check failed for (fp128): alpha = -3.191858136047229930278045677411975160e+00; beta = -7.979645340118074825695114193529937899e-01; diff = 3.081487911019577364889564708135883710e-33; -508/1000
Check failed for (fp128): alpha = -3.179291765432870757324195103878856588e+00; beta = -7.948229413582176893310487759697141469e-01; diff = 3.081487911019577364889564708135883710e-33; -506/1000
Check failed for (fp128): alpha = -3.154159024204152411416493956812620599e+00; beta = -7.885397560510381028541234892031551498e-01; diff = 1.232595164407830945955825883254353484e-32; -502/1000
Check failed for (fp128): alpha = -3.135309468282613651985718096512943897e+00; beta = -7.838273670706534129964295241282359742e-01; diff = 2.465190328815661891911651766508706968e-32; -499/1000
Check failed for (fp128): alpha = -3.122743097668254479031867522979825710e+00; beta = -7.806857744170636197579668807449564275e-01; diff = 6.162975822039154729779129416271767419e-33; -497/1000
Check failed for (fp128): alpha = -3.116459912361074892554942236213266809e+00; beta = -7.791149780902687231387355590533167022e-01; diff = 6.162975822039154729779129416271767419e-33; -496/1000
Check failed for (fp128): alpha = -3.103893541746715719601091662680149007e+00; beta = -7.759733854366789299002729156700372518e-01; diff = 3.081487911019577364889564708135883710e-33; -494/1000
Check failed for (fp128): alpha = -3.047344873982099441308764081781117744e+00; beta = -7.618362184955248603271910204452794361e-01; diff = 1.540743955509788682444782354067941855e-33; -485/1000
Check failed for (fp128): alpha = -3.003362576831842335970287074415204668e+00; beta = -7.508406442079605839925717686038011671e-01; diff = 7.703719777548943412223911770339709274e-34; -478/1000
Check failed for (fp128): alpha = -2.971946650295944403585660640582409779e+00; beta = -7.429866625739861008964151601456024447e-01; diff = 7.703719777548943412223911770339709274e-34; -473/1000
Check failed for (fp128): alpha = -2.959380279681585230631810067049291592e+00; beta = -7.398450699203963076579525167623228980e-01; diff = 7.703719777548943412223911770339709274e-34; -471/1000
