Check failed for (fp32): x = -5.101946; diff = 5.960464e-08; -812/1000
Check failed for (fp32): x = -5.095664; diff = 5.960464e-08; -811/1000
Check failed for (fp32): x = -5.083097; diff = 5.960464e-08; -809/1000
Check failed for (fp32): x = -5.064248; diff = 8.940697e-08; -806/1000
Check failed for (fp32): x = -5.039114; diff = 5.960464e-08; -802/1000
Check failed for (fp32): x = -4.995132; diff = 5.960464e-08; -795/1000
Check failed for (fp32): x = -4.98885; diff = 5.960464e-08; -794/1000
Check failed for (fp32): x = -4.982566; diff = 5.960464e-08; -793/1000
Check failed for (fp32): x = -4.95115; diff = 5.960464e-08; -788/1000
Check failed for (fp32): x = -4.913451; diff = 7.450581e-08; -782/1000
Check failed for (fp32): x = -4.907168; diff = 5.960464e-08; -781/1000
Check failed for (fp32): x = -4.888318; diff = 7.450581e-08; -778/1000
Check failed for (fp32): x = -4.850619; diff = 7.450581e-08; -772/1000
Check failed for (fp32): x = -4.838053; diff = 5.960464e-08; -770/1000
Check failed for (fp32): x = -4.81292; diff = 5.960464e-08; -766/1000
Check failed for (fp32): x = -4.775221; diff = 5.960464e-08; -760/1000
Check failed for (fp32): x = -4.768938; diff = 5.960464e-08; -759/1000
Check failed for (fp32): x = -4.756371; diff = 5.960464e-08; -757/1000
Check failed for (fp32): x = -4.750088; diff = 6.332994e-08; -756/1000
Check failed for (fp32): x = -4.731239; diff = 8.568168e-08; -753/1000
Check failed for (fp32): x = -4.718672; diff = 6.146729e-08; -751/1000
Check failed for (fp32): x = -4.65584; diff = 7.078052e-08; -741/1000
Check failed for (fp32): x = -4.630708; diff = 8.195639e-08; -737/1000
Check failed for (fp32): x = -4.618142; diff = 5.960464e-08; -735/1000
Check failed for (fp32): x = -4.593009; diff = 7.450581e-08; -731/1000
Check failed for (fp32): x = -4.567876; diff = 5.960464e-08; -727/1000
Check failed for (fp32): x = -4.479911; diff = 1.043081e-07; -713/1000
Check failed for (fp32): x = -4.473628; diff = 5.960464e-08; -712/1000
Check failed for (fp32): x = -4.429646; diff = 5.960464e-08; -705/1000
Check failed for (fp32): x = -4.417079; diff = 5.960464e-08; -703/1000
Check failed for (fp32): x = -4.404513; diff = 5.960464e-08; -701/1000
Check failed for (fp32): x = -4.39823; diff = 5.960464e-08; -700/1000
Check failed for (fp32): x = -4.37938; diff = 8.940697e-08; -697/1000
Check failed for (fp32): x = -4.347964; diff = 5.960464e-08; -692/1000
Check failed for (fp32): x = -4.335398; diff = 5.960464e-08; -690/1000
Check failed for (fp32): x = -4.329115; diff = 5.960464e-08; -689/1000
Check failed for (fp32): x = -4.322832; diff = 5.960464e-08; -688/1000
Check failed for (fp32): x = -4.303982; diff = 5.960464e-08; -685/1000
Check failed for (fp32): x = -4.291416; diff = 5.960464e-08; -683/1000
Check failed for (fp32): x = -4.285132; diff = 8.940697e-08; -682/1000
Check failed for (fp32): x = -4.272566; diff = 5.960464e-08; -680/1000
Check failed for (fp32): x = -4.266283; diff = 5.960464e-08; -679/1000
Check failed for (fp32): x = -4.26; diff = 5.960464e-08; -678/1000
Check failed for (fp32): x = -4.253716; diff = 1.192093e-07; -677/1000
Check failed for (fp32): x = -4.24115; diff = 1.192093e-07; -675/1000
Check failed for (fp32): x = -4.228584; diff = 5.960464e-08; -673/1000
Check failed for (fp32): x = -4.222301; diff = 5.960464e-08; -672/1000
Check failed for (fp32): x = -4.209734; diff = 5.960464e-08; -670/1000
Check failed for (fp32): x = -4.197168; diff = 5.960464e-08; -668/1000
Check failed for (fp32): x = -4.190885; diff = 5.960464e-08; -667/1000
Check failed for (fp32): x = -4.172035; diff = 1.192093e-07; -664/1000
Check failed for (fp32): x = -4.165752; diff = 5.960464e-08; -663/1000
Check failed for (fp32): x = -4.159469; diff = 5.960464e-08; -662/1000
Check failed for (fp32): x = -4.153186; diff = 5.960464e-08; -661/1000
Check failed for (fp32): x = -4.140619; diff = 5.960464e-08; -659/1000
Check failed for (fp32): x = -4.128053; diff = 5.960464e-08; -657/1000
Check failed for (fp32): x = -4.12177; diff = 5.960464e-08; -656/1000
Check failed for (fp32): x = -4.115486; diff = 5.960464e-08; -655/1000
Check failed for (fp32): x = -4.109203; diff = 5.960464e-08; -654/1000
Check failed for (fp32): x = -4.10292; diff = 5.960464e-08; -653/1000
Check failed for (fp32): x = -4.090354; diff = 5.960464e-08; -651/1000
Check failed for (fp32): x = -4.08407; diff = 5.960464e-08; -650/1000
Check failed for (fp32): x = -4.065221; diff = 5.960464e-08; -647/1000
Check failed for (fp32): x = -4.058938; diff = 5.960464e-08; -646/1000
Check failed for (fp32): x = -4.052655; diff = 5.960464e-08; -645/1000
Check failed for (fp32): x = -4.046371; diff = 5.960464e-08; -644/1000
Check failed for (fp32): x = -4.033805; diff = 5.960464e-08; -642/1000
Check failed for (fp32): x = -4.021239; diff = 1.192093e-07; -640/1000
Check failed for (fp32): x = -4.014956; diff = 5.960464e-08; -639/1000
Check failed for (fp32): x = -4.002389; diff = 5.960464e-08; -637/1000
Check failed for (fp32): x = -3.996106; diff = 5.960464e-08; -636/1000
Check failed for (fp32): x = -3.98354; diff = 5.960464e-08; -634/1000
Check failed for (fp32): x = -3.977257; diff = 5.960464e-08; -633/1000
Check failed for (fp32): x = -3.970973; diff = 1.192093e-07; -632/1000
Check failed for (fp32): x = -3.96469; diff = 1.192093e-07; -631/1000
Check failed for (fp32): x = -3.958407; diff = 5.960464e-08; -630/1000
Check failed for (fp32): x = -3.945841; diff = 5.960464e-08; -628/1000
Check failed for (fp32): x = -3.939557; diff = 5.960464e-08; -627/1000
Check failed for (fp32): x = -3.933274; diff = 5.960464e-08; -626/1000
Check failed for (fp32): x = -3.926991; diff = 5.960464e-08; -625/1000
Check failed for (fp32): x = -3.914425; diff = 1.192093e-07; -623/1000
Check failed for (fp32): x = -3.895575; diff = 1.192093e-07; -620/1000
Check failed for (fp32): x = -3.889292; diff = 1.192093e-07; -619/1000
Check failed for (fp32): x = -3.883008; diff = 1.192093e-07; -618/1000
Check failed for (fp32): x = -3.876725; diff = 1.192093e-07; -617/1000
Check failed for (fp32): x = -3.870442; diff = 1.192093e-07; -616/1000
Check failed for (fp32): x = -3.864159; diff = 1.192093e-07; -615/1000
Check failed for (fp32): x = -3.857876; diff = 1.192093e-07; -614/1000
