Check failed for (fp80): alpha = -6.28318530717958647703; beta = -1.57079632679489661926; diff = 1.08420217248550443401e-19; -1000/1000
Check failed for (fp80): alpha = -6.27690212187240689041; beta = -1.5692255304681017226; diff = 1.08526096366957230943e-19; -999/1000
Check failed for (fp80): alpha = -6.27061893656522730423; beta = -1.56765473414130682606; diff = 2.16416918023473736632e-19; -998/1000
Check failed for (fp80): alpha = -6.25805256595086813144; beta = -1.56451314148771703286; diff = 1.07996700774923293231e-19; -996/1000
Check failed for (fp80): alpha = -6.25176938064368854482; beta = -1.56294234516092213621; diff = 1.0926725019580474374e-19; -995/1000
Check failed for (fp80): alpha = -6.24548619533650895821; beta = -1.56137154883412723955; diff = 1.0926725019580474374e-19; -994/1000
Check failed for (fp80): alpha = -6.2392030100293293716; beta = -1.5598007525073323429; diff = 1.07573184301296143062e-19; -993/1000
Check failed for (fp80): alpha = -6.23291982472214978498; beta = -1.55822995618053744625; diff = 1.06726151354041842723e-19; -992/1000
Check failed for (fp80): alpha = -6.22663663941497019837; beta = -1.55665915985374254959; diff = 1.10961316090313344418e-19; -991/1000
Check failed for (fp80): alpha = -6.21407026880061102558; beta = -1.55351756720015275639; diff = 2.16840434497100886801e-19; -989/1000
Check failed for (fp80): alpha = -6.2077870834934314394; beta = -1.55194677087335785985; diff = 1.10114283143059044079e-19; -988/1000
Check failed for (fp80): alpha = -6.20150389818625185278; beta = -1.5503759745465629632; diff = 1.06726151354041842723e-19; -987/1000
Check failed for (fp80): alpha = -6.19522071287907226617; beta = -1.54880517821976806654; diff = 1.06726151354041842723e-19; -986/1000
Check failed for (fp80): alpha = -6.18265434226471309338; beta = -1.54566358556617827334; diff = 2.15146368602592286123e-19; -984/1000
Check failed for (fp80): alpha = -6.1763711569575335072; beta = -1.5440927892393833768; diff = 1.10114283143059044079e-19; -983/1000
Check failed for (fp80): alpha = -6.17008797165035392058; beta = -1.54252199291258848015; diff = 1.06726151354041842723e-19; -982/1000
Check failed for (fp80): alpha = -6.16380478634317433397; beta = -1.54095119658579358349; diff = 1.03338019565024641366e-19; -981/1000
Check failed for (fp80): alpha = -6.15123841572881516118; beta = -1.53780960393220379029; diff = 2.20228566286118088158e-19; -979/1000
Check failed for (fp80): alpha = -6.13867204511445598795; beta = -1.53466801127861399699; diff = 2.16840434497100886801e-19; -977/1000
