Check failed for (fp80): alpha = -6.28318530717958647703; beta = -1.57079632679489661926; diff = 1.08420217248550443401e-19; -1000/1000
Check failed for (fp80): alpha = -6.12610567450009681515; beta = -1.53152641862502420379; diff = 1.08420217248550443401e-19; -975/1000
Check failed for (fp80): alpha = -6.11982248919291722854; beta = -1.52995562229822930714; diff = 1.01643953670516040688e-19; -974/1000
Check failed for (fp80): alpha = -6.11353930388573764193; beta = -1.52838482597143441048; diff = 1.08420217248550443401e-19; -973/1000
Check failed for (fp80): alpha = -6.10725611857855805575; beta = -1.52681402964463951394; diff = 2.06676039130049282733e-19; -972/1000
Check failed for (fp80): alpha = -6.09468974796419888295; beta = -1.52367243699104972074; diff = 1.11808349037567644757e-19; -970/1000
Check failed for (fp80): alpha = -6.08840656265701929634; beta = -1.52210164066425482408; diff = 1.05032085459533242044e-19; -969/1000
Check failed for (fp80): alpha = -6.08212337734983970973; beta = -1.52053084433745992743; diff = 1.08420217248550443401e-19; -968/1000
Check failed for (fp80): alpha = -6.07584019204266012355; beta = -1.51896004801066503089; diff = 2.13452302708083685445e-19; -967/1000
Check failed for (fp80): alpha = -6.06327382142830095032; beta = -1.51581845535707523758; diff = 2.13452302708083685445e-19; -965/1000
Check failed for (fp80): alpha = -6.05070745081394177709; beta = -1.51267686270348544427; diff = 2.13452302708083685445e-19; -963/1000
Check failed for (fp80): alpha = -6.04442426550676219091; beta = -1.51110606637669054773; diff = 1.01643953670516040688e-19; -962/1000
Check failed for (fp80): alpha = -6.0381410801995826043; beta = -1.50953527004989565107; diff = 1.05032085459533242044e-19; -961/1000
Check failed for (fp80): alpha = -6.03185789489240301768; beta = -1.50796447372310075442; diff = 1.08420217248550443401e-19; -960/1000
Check failed for (fp80): alpha = -6.01929152427804384489; beta = -1.50482288106951096122; diff = 2.03287907341032081376e-19; -958/1000
Check failed for (fp80): alpha = -6.01300833897086425871; beta = -1.50325208474271606468; diff = 1.01643953670516040688e-19; -957/1000
Check failed for (fp80): alpha = -6.0067251536636846721; beta = -1.50168128841592116802; diff = 1.08420217248550443401e-19; -956/1000
Check failed for (fp80): alpha = -6.00044196835650508548; beta = -1.50011049208912627137; diff = 1.08420217248550443401e-19; -955/1000
Check failed for (fp80): alpha = -5.98787559774214591269; beta = -1.49696889943553647817; diff = 2.03287907341032081376e-19; -953/1000
Check failed for (fp80): alpha = -5.9753092271277867399; beta = -1.49382730678194668497; diff = 1.01643953670516040688e-19; -951/1000
Check failed for (fp80): alpha = -5.96902604182060715328; beta = -1.49225651045515178832; diff = 1.08420217248550443401e-19; -950/1000
Check failed for (fp80): alpha = -5.96274285651342756667; beta = -1.49068571412835689167; diff = 1.08420217248550443401e-19; -949/1000
Check failed for (fp80): alpha = -5.95645967120624798006; beta = -1.48911491780156199501; diff = 9.48676900924816379757e-20; -948/1000
Check failed for (fp80): alpha = -5.95017648589906839344; beta = -1.48754412147476709836; diff = 1.01643953670516040688e-19; -947/1000
Check failed for (fp80): alpha = -5.94389330059188880726; beta = -1.48597332514797220182; diff = 1.96511643762997678664e-19; -946/1000
Check failed for (fp80): alpha = -5.93132692997752963447; beta = -1.48283173249438240862; diff = 1.01643953670516040688e-19; -944/1000
Check failed for (fp80): alpha = -5.92504374467035004785; beta = -1.48126093616758751196; diff = 1.08420217248550443401e-19; -943/1000
Check failed for (fp80): alpha = -5.91876055936317046124; beta = -1.47969013984079261531; diff = 1.08420217248550443401e-19; -942/1000
Check failed for (fp80): alpha = -5.91247737405599087506; beta = -1.47811934351399771877; diff = 1.89735380184963275951e-19; -941/1000
Check failed for (fp80): alpha = -5.89991100344163170183; beta = -1.47497775086040792546; diff = 1.96511643762997678664e-19; -939/1000
Check failed for (fp80): alpha = -5.89362781813445211565; beta = -1.47340695453361302891; diff = 1.01643953670516040688e-19; -938/1000
Check failed for (fp80): alpha = -5.88734463282727252904; beta = -1.47183615820681813226; diff = 9.48676900924816379757e-20; -937/1000
Check failed for (fp80): alpha = -5.88106144752009294243; beta = -1.47026536188002323561; diff = 1.01643953670516040688e-19; -936/1000
Check failed for (fp80): alpha = -5.86849507690573376963; beta = -1.46712376922643344241; diff = 2.10064170919066484089e-19; -934/1000
Check failed for (fp80): alpha = -5.85592870629137459641; beta = -1.4639821765728436491; diff = 1.82959116606928873239e-19; -932/1000
Check failed for (fp80): alpha = -5.84336233567701542361; beta = -1.4608405839192538559; diff = 8.80914265144472352631e-20; -930/1000
Check failed for (fp80): alpha = -5.837079150369835837; beta = -1.45926978759245895925; diff = 1.01643953670516040688e-19; -929/1000
Check failed for (fp80): alpha = -5.8245127797554766642; beta = -1.45612819493886916605; diff = 1.89735380184963275951e-19; -927/1000
Check failed for (fp80): alpha = -5.81194640914111749141; beta = -1.45298660228527937285; diff = 9.48676900924816379757e-20; -925/1000
Check failed for (fp80): alpha = -5.8056632238339379048; beta = -1.4514158059584844762; diff = 8.80914265144472352631e-20; -924/1000
Check failed for (fp80): alpha = -5.793096853219578732; beta = -1.448274213304894683; diff = 1.96511643762997678664e-19; -922/1000
Check failed for (fp80): alpha = -5.78053048260521955878; beta = -1.44513262065130488969; diff = 1.96511643762997678664e-19; -920/1000
Check failed for (fp80): alpha = -5.76796411199086038555; beta = -1.44199102799771509639; diff = 1.96511643762997678664e-19; -918/1000
Check failed for (fp80): alpha = -5.76168092668368079937; beta = -1.44042023167092019984; diff = 8.13151629364128325506e-20; -917/1000
Check failed for (fp80): alpha = -5.75539774137650121276; beta = -1.43884943534412530319; diff = 1.08420217248550443401e-19; -916/1000
Check failed for (fp80): alpha = -5.74911455606932162658; beta = -1.43727863901733040664; diff = 1.96511643762997678664e-19; -915/1000
Check failed for (fp80): alpha = -5.73654818545496245335; beta = -1.43413704636374061334; diff = 1.76182853028894470526e-19; -913/1000
Check failed for (fp80): alpha = -5.73026500014778286717; beta = -1.43256625003694571679; diff = 8.80914265144472352631e-20; -912/1000
Check failed for (fp80): alpha = -5.72398181484060328056; beta = -1.43099545371015082014; diff = 1.01643953670516040688e-19; -911/1000
Check failed for (fp80): alpha = -5.71769862953342369438; beta = -1.42942465738335592359; diff = 1.89735380184963275951e-19; -910/1000
Check failed for (fp80): alpha = -5.70513225891906452115; beta = -1.42628306472976613029; diff = 1.76182853028894470526e-19; -908/1000
Check failed for (fp80): alpha = -5.69884907361188493497; beta = -1.42471226840297123374; diff = 9.48676900924816379757e-20; -907/1000
Check failed for (fp80): alpha = -5.69256588830470534835; beta = -1.42314147207617633709; diff = 1.01643953670516040688e-19; -906/1000
Check failed for (fp80): alpha = -5.68628270299752576174; beta = -1.42157067574938144044; diff = 1.08420217248550443401e-19; -905/1000
Check failed for (fp80): alpha = -5.67999951769034617513; beta = -1.41999987942258654378; diff = 8.80914265144472352631e-20; -904/1000
Check failed for (fp80): alpha = -5.67371633238316658851; beta = -1.41842908309579164713; diff = 8.13151629364128325506e-20; -903/1000
Check failed for (fp80): alpha = -5.66114996176880741572; beta = -1.41528749044220185393; diff = 1.89735380184963275951e-19; -901/1000
Check failed for (fp80): alpha = -5.64858359115444824293; beta = -1.41214589778861206073; diff = 8.13151629364128325506e-20; -899/1000
Check failed for (fp80): alpha = -5.64230040584726865631; beta = -1.41057510146181716408; diff = 8.13151629364128325506e-20; -898/1000
Check failed for (fp80): alpha = -5.62973403523290948352; beta = -1.40743350880822737088; diff = 1.62630325872825665101e-19; -896/1000
Check failed for (fp80): alpha = -5.61716766461855031073; beta = -1.40429191615463757768; diff = 8.13151629364128325506e-20; -894/1000
Check failed for (fp80): alpha = -5.61088447931137072411; beta = -1.40272111982784268103; diff = 6.77626357803440271255e-20; -893/1000
Check failed for (fp80): alpha = -5.6046012940041911375; beta = -1.40115032350104778437; diff = 8.13151629364128325506e-20; -892/1000
Check failed for (fp80): alpha = -5.59831810869701155088; beta = -1.39957952717425288772; diff = 9.48676900924816379757e-20; -891/1000
Check failed for (fp80): alpha = -5.59203492338983196427; beta = -1.39800873084745799107; diff = 8.13151629364128325506e-20; -890/1000
Check failed for (fp80): alpha = -5.58575173808265237809; beta = -1.39643793452066309452; diff = 1.49077798716756859676e-19; -889/1000
Check failed for (fp80): alpha = -5.57318536746829320486; beta = -1.39329634186707330122; diff = 1.49077798716756859676e-19; -887/1000
Check failed for (fp80): alpha = -5.56690218216111361868; beta = -1.39172554554027840467; diff = 1.08420217248550443401e-19; -886/1000
Check failed for (fp80): alpha = -5.56061899685393403207; beta = -1.39015474921348350802; diff = 6.77626357803440271255e-20; -885/1000
Check failed for (fp80): alpha = -5.55433581154675444589; beta = -1.38858395288668861147; diff = 1.49077798716756859676e-19; -884/1000
Check failed for (fp80): alpha = -5.54176944093239527266; beta = -1.38544236023309881817; diff = 1.49077798716756859676e-19; -882/1000
Check failed for (fp80): alpha = -5.53548625562521568648; beta = -1.38387156390630392162; diff = 9.48676900924816379757e-20; -881/1000
Check failed for (fp80): alpha = -5.52920307031803609987; beta = -1.38230076757950902497; diff = 6.77626357803440271255e-20; -880/1000
Check failed for (fp80): alpha = -5.52291988501085651326; beta = -1.38072997125271412831; diff = 6.77626357803440271255e-20; -879/1000
Check failed for (fp80): alpha = -5.51035351439649734046; beta = -1.37758837859912433512; diff = 1.62630325872825665101e-19; -877/1000
Check failed for (fp80): alpha = -5.49778714378213816723; beta = -1.37444678594553454181; diff = 1.49077798716756859676e-19; -875/1000
Check failed for (fp80): alpha = -5.48522077316777899444; beta = -1.37130519329194474861; diff = 8.13151629364128325506e-20; -873/1000
Check failed for (fp80): alpha = -5.47893758786059940783; beta = -1.36973439696514985196; diff = 5.42101086242752217004e-20; -872/1000
Check failed for (fp80): alpha = -5.46637121724624023503; beta = -1.36659280431156005876; diff = 1.49077798716756859676e-19; -870/1000
Check failed for (fp80): alpha = -5.45380484663188106224; beta = -1.36345121165797026556; diff = 8.13151629364128325506e-20; -868/1000
Check failed for (fp80): alpha = -5.44752166132470147563; beta = -1.36188041533117536891; diff = 5.42101086242752217004e-20; -867/1000
Check failed for (fp80): alpha = -5.44123847601752188901; beta = -1.36030961900438047225; diff = 6.77626357803440271255e-20; -866/1000
Check failed for (fp80): alpha = -5.43495529071034230283; beta = -1.35873882267758557571; diff = 1.49077798716756859676e-19; -865/1000
Check failed for (fp80): alpha = -5.42238892009598312961; beta = -1.3555972300239957824; diff = 1.49077798716756859676e-19; -863/1000
Check failed for (fp80): alpha = -5.40982254948162395638; beta = -1.35245563737040598909; diff = 1.21972744404619248826e-19; -861/1000
Check failed for (fp80): alpha = -5.4035393641744443702; beta = -1.35088484104361109255; diff = 6.77626357803440271255e-20; -860/1000
Check failed for (fp80): alpha = -5.39725617886726478359; beta = -1.3493140447168161959; diff = 6.77626357803440271255e-20; -859/1000
Check failed for (fp80): alpha = -5.39097299356008519741; beta = -1.34774324839002129935; diff = 1.35525271560688054251e-19; -858/1000
Check failed for (fp80): alpha = -5.37840662294572602418; beta = -1.34460165573643150604; diff = 1.08420217248550443401e-19; -856/1000
Check failed for (fp80): alpha = -5.36584025233136685138; beta = -1.34146006308284171285; diff = 8.13151629364128325506e-20; -854/1000
Check failed for (fp80): alpha = -5.35955706702418726477; beta = -1.33988926675604681619; diff = 6.77626357803440271255e-20; -853/1000
Check failed for (fp80): alpha = -5.34699069640982809198; beta = -1.33674767410245702299; diff = 1.35525271560688054251e-19; -851/1000
Check failed for (fp80): alpha = -5.3407075111026485058; beta = -1.33517687777566212645; diff = 6.77626357803440271255e-20; -850/1000
Check failed for (fp80): alpha = -5.33442432579546891918; beta = -1.3336060814488672298; diff = 5.42101086242752217004e-20; -849/1000
Check failed for (fp80): alpha = -5.32814114048828933257; beta = -1.33203528512207233314; diff = 5.42101086242752217004e-20; -848/1000
Check failed for (fp80): alpha = -5.32185795518110974596; beta = -1.33046448879527743649; diff = 5.42101086242752217004e-20; -847/1000
Check failed for (fp80): alpha = -5.31557476987393015934; beta = -1.32889369246848253984; diff = 6.77626357803440271255e-20; -846/1000
Check failed for (fp80): alpha = -5.29044202864521181376; beta = -1.32261050716130295344; diff = 5.42101086242752217004e-20; -842/1000
Check failed for (fp80): alpha = -5.28415884333803222714; beta = -1.32103971083450805679; diff = 5.42101086242752217004e-20; -841/1000
Check failed for (fp80): alpha = -5.27787565803085264053; beta = -1.31946891450771316013; diff = 5.42101086242752217004e-20; -840/1000
Check failed for (fp80): alpha = -5.25902610210931388155; beta = -1.31475652552732847039; diff = 5.42101086242752217004e-20; -837/1000
Check failed for (fp80): alpha = -5.25274291680213429494; beta = -1.31318572920053357374; diff = 5.42101086242752217004e-20; -836/1000
Check failed for (fp80): alpha = -5.24645973149495470833; beta = -1.31161493287373867708; diff = 5.42101086242752217004e-20; -835/1000
Check failed for (fp80): alpha = -5.24017654618777512171; beta = -1.31004413654694378043; diff = 5.42101086242752217004e-20; -834/1000
Check failed for (fp80): alpha = -5.20876061965187718951; beta = -1.30219015491296929738; diff = 5.42101086242752217004e-20; -829/1000
Check failed for (fp80): alpha = -5.17734469311597925731; beta = -1.29433617327899481433; diff = 6.09863722023096244129e-20; -824/1000
Check failed for (fp80): alpha = -5.1710615078087996707; beta = -1.29276537695219991767; diff = 6.09863722023096244129e-20; -823/1000
Check failed for (fp80): alpha = -4.66212349792725316584; beta = -1.16553087448181329146; diff = 6.43745039913268257692e-20; -742/1000
Check failed for (fp80): alpha = -4.63070757139135523364; beta = -1.15767689284783880841; diff = 7.11507675693612284817e-20; -737/1000
Check failed for (fp80): alpha = -4.58672527424109812821; beta = -1.14668131856027453205; diff = 5.42101086242752217004e-20; -730/1000
Check failed for (fp80): alpha = -4.55530934770520019601; beta = -1.138827336926300049; diff = 6.09863722023096244129e-20; -725/1000
Check failed for (fp80): alpha = -4.54274297709084102278; beta = -1.13568574427271025569; diff = 6.09863722023096244129e-20; -723/1000
Check failed for (fp80): alpha = -4.52389342116930226381; beta = -1.13097335529232556595; diff = 6.09863722023096244129e-20; -720/1000
Check failed for (fp80): alpha = -4.51132705055494309058; beta = -1.12783176263873577264; diff = 6.09863722023096244129e-20; -718/1000
Check failed for (fp80): alpha = -4.46734475340468598515; beta = -1.11683618835117149629; diff = 6.77626357803440271255e-20; -711/1000
Check failed for (fp80): alpha = -4.43592882686878805295; beta = -1.10898220671719701324; diff = 7.4538899358378429838e-20; -706/1000
Check failed for (fp80): alpha = -4.39194652971853094752; beta = -1.09798663242963273688; diff = 6.77626357803440271255e-20; -699/1000
Check failed for (fp80): alpha = -4.37938015910417177429; beta = -1.09484503977604294357; diff = 6.77626357803440271255e-20; -697/1000
Check failed for (fp80): alpha = -4.36053060318263301532; beta = -1.09013265079565825383; diff = 9.48676900924816379757e-20; -694/1000
Check failed for (fp80): alpha = -4.34796423256827384209; beta = -1.08699105814206846052; diff = 9.48676900924816379757e-20; -692/1000
Check failed for (fp80): alpha = -4.30398193541801673666; beta = -1.07599548385450418417; diff = 6.77626357803440271255e-20; -685/1000
Check failed for (fp80): alpha = -4.27256600888211880446; beta = -1.06814150222052970112; diff = 9.48676900924816379757e-20; -680/1000
Check failed for (fp80): alpha = -4.25999963826775963167; beta = -1.06499990956693990792; diff = 6.77626357803440271255e-20; -678/1000
Check failed for (fp80): alpha = -4.24115008234622087226; beta = -1.06028752058655521807; diff = 9.48676900924816379757e-20; -675/1000
Check failed for (fp80): alpha = -4.22858371173186169904; beta = -1.05714592793296542476; diff = 8.13151629364128325506e-20; -673/1000
Check failed for (fp80): alpha = -4.21601734111750252581; beta = -1.05400433527937563145; diff = 9.48676900924816379757e-20; -671/1000
Check failed for (fp80): alpha = -4.18460141458160459361; beta = -1.0461503536454011484; diff = 1.08420217248550443401e-19; -666/1000
Check failed for (fp80): alpha = -4.17831822927442500743; beta = -1.04457955731860625186; diff = 5.42101086242752217004e-20; -665/1000
Check failed for (fp80): alpha = -4.17203504396724542081; beta = -1.0430087609918113552; diff = 8.13151629364128325506e-20; -664/1000
Check failed for (fp80): alpha = -4.1657518586600658342; beta = -1.04143796466501645855; diff = 5.42101086242752217004e-20; -663/1000
Check failed for (fp80): alpha = -4.15318548804570666141; beta = -1.03829637201142666535; diff = 1.08420217248550443401e-19; -661/1000
Check failed for (fp80): alpha = -4.14061911743134748818; beta = -1.03515477935783687204; diff = 8.13151629364128325506e-20; -659/1000
Check failed for (fp80): alpha = -4.12805274681698831539; beta = -1.03201318670424707885; diff = 8.13151629364128325506e-20; -657/1000
Check failed for (fp80): alpha = -4.12176956150980872877; beta = -1.03044239037745218219; diff = 5.42101086242752217004e-20; -656/1000
Check failed for (fp80): alpha = -4.11548637620262914216; beta = -1.02887159405065728554; diff = 5.42101086242752217004e-20; -655/1000
Check failed for (fp80): alpha = -4.10920319089544955598; beta = -1.02730079772386238899; diff = 8.13151629364128325506e-20; -654/1000
Check failed for (fp80): alpha = -4.09663682028109038319; beta = -1.0241592050702725958; diff = 5.42101086242752217004e-20; -652/1000
Check failed for (fp80): alpha = -4.09035363497391079657; beta = -1.02258840874347769914; diff = 5.42101086242752217004e-20; -651/1000
Check failed for (fp80): alpha = -4.08407044966673120996; beta = -1.02101761241668280249; diff = 5.42101086242752217004e-20; -650/1000
Check failed for (fp80): alpha = -4.07778726435955162378; beta = -1.01944681608988790594; diff = 1.08420217248550443401e-19; -649/1000
Check failed for (fp80): alpha = -4.06522089374519245098; beta = -1.01630522343629811275; diff = 8.13151629364128325506e-20; -647/1000
Check failed for (fp80): alpha = -4.05893770843801286437; beta = -1.01473442710950321609; diff = 8.13151629364128325506e-20; -646/1000
Check failed for (fp80): alpha = -4.05265452313083327776; beta = -1.01316363078270831944; diff = 5.42101086242752217004e-20; -645/1000
Check failed for (fp80): alpha = -4.04637133782365369114; beta = -1.01159283445591342279; diff = 8.13151629364128325506e-20; -644/1000
Check failed for (fp80): alpha = -4.04008815251647410453; beta = -1.01002203812911852613; diff = 5.42101086242752217004e-20; -643/1000
Check failed for (fp80): alpha = -4.03380496720929451792; beta = -1.00845124180232362948; diff = 5.42101086242752217004e-20; -642/1000
Check failed for (fp80): alpha = -4.02123859659493534512; beta = -1.00530964914873383628; diff = 8.13151629364128325506e-20; -640/1000
Check failed for (fp80): alpha = -4.01495541128775575894; beta = -1.00373885282193893974; diff = 5.42101086242752217004e-20; -639/1000
Check failed for (fp80): alpha = -4.00867222598057617233; beta = -1.00216805649514404308; diff = 8.13151629364128325506e-20; -638/1000
Check failed for (fp80): alpha = -3.98982267005903741292; beta = -0.997455667514759353231; diff = 8.13151629364128325506e-20; -635/1000
Check failed for (fp80): alpha = -3.98353948475185782653; beta = -0.995884871187964456631; diff = 5.42101086242752217004e-20; -634/1000
Check failed for (fp80): alpha = -3.9709731141374986533; beta = -0.992743278534374663325; diff = 5.42101086242752217004e-20; -632/1000
Check failed for (fp80): alpha = -3.96468992883031906712; beta = -0.99117248220757976678; diff = 8.13151629364128325506e-20; -631/1000
Check failed for (fp80): alpha = -3.95212355821595989389; beta = -0.988030889553989973473; diff = 8.13151629364128325506e-20; -629/1000
Check failed for (fp80): alpha = -3.94584037290878030771; beta = -0.986460093227195076928; diff = 5.42101086242752217004e-20; -628/1000
Check failed for (fp80): alpha = -3.9395571876016007211; beta = -0.984889296900400180274; diff = 8.13151629364128325506e-20; -627/1000
Check failed for (fp80): alpha = -3.9332740022944211347; beta = -0.983318500573605283675; diff = 5.42101086242752217004e-20; -626/1000
Check failed for (fp80): alpha = -3.92699081698724154809; beta = -0.981747704246810387022; diff = 5.42101086242752217004e-20; -625/1000
Check failed for (fp80): alpha = -3.91442444637288237529; beta = -0.978606111593220593823; diff = 8.13151629364128325506e-20; -623/1000
Check failed for (fp80): alpha = -3.89557489045134361589; beta = -0.973893722612835903971; diff = 8.13151629364128325506e-20; -620/1000
Check failed for (fp80): alpha = -3.88929170514416402927; beta = -0.972322926286041007318; diff = 5.42101086242752217004e-20; -619/1000
Check failed for (fp80): alpha = -3.88300851983698444288; beta = -0.970752129959246110719; diff = 5.42101086242752217004e-20; -618/1000
Check failed for (fp80): alpha = -3.87672533452980485626; beta = -0.969181333632451214065; diff = 5.42101086242752217004e-20; -617/1000
Check failed for (fp80): alpha = -3.86415896391544568347; beta = -0.966039740978861420867; diff = 5.42101086242752217004e-20; -615/1000
Check failed for (fp80): alpha = -3.85159259330108651046; beta = -0.962898148325271627614; diff = 5.42101086242752217004e-20; -613/1000
Check failed for (fp80): alpha = -3.84530940799390692384; beta = -0.961327351998476730961; diff = 8.13151629364128325506e-20; -612/1000
Check failed for (fp80): alpha = -3.83902622268672733723; beta = -0.959756555671681834308; diff = 5.42101086242752217004e-20; -611/1000
Check failed for (fp80): alpha = -3.82645985207236816444; beta = -0.956614963018092041109; diff = 1.35525271560688054251e-19; -609/1000
Check failed for (fp80): alpha = -3.82017666676518857826; beta = -0.955044166691297144564; diff = 8.13151629364128325506e-20; -608/1000
Check failed for (fp80): alpha = -3.81389348145800899164; beta = -0.953473370364502247911; diff = 1.08420217248550443401e-19; -607/1000
Check failed for (fp80): alpha = -3.80761029615082940503; beta = -0.951902574037707351257; diff = 1.08420217248550443401e-19; -606/1000
Check failed for (fp80): alpha = -3.80132711084364981863; beta = -0.950331777710912454658; diff = 8.13151629364128325506e-20; -605/1000
Check failed for (fp80): alpha = -3.78876074022929064541; beta = -0.947190185057322661351; diff = 5.42101086242752217004e-20; -603/1000
Check failed for (fp80): alpha = -3.78247755492211105923; beta = -0.945619388730527764806; diff = 5.42101086242752217004e-20; -602/1000
Check failed for (fp80): alpha = -3.77619436961493147261; beta = -0.944048592403732868153; diff = 8.13151629364128325506e-20; -601/1000
Check failed for (fp80): alpha = -3.7573448136933927132; beta = -0.939336203423348178301; diff = 8.13151629364128325506e-20; -598/1000
Check failed for (fp80): alpha = -3.75106162838621312681; beta = -0.937765407096553281702; diff = 1.08420217248550443401e-19; -597/1000
Check failed for (fp80): alpha = -3.73849525777185395401; beta = -0.934623814442963488504; diff = 5.42101086242752217004e-20; -595/1000
Check failed for (fp80): alpha = -3.7322120724646743674; beta = -0.93305301811616859185; diff = 8.13151629364128325506e-20; -594/1000
Check failed for (fp80): alpha = -3.72592888715749478079; beta = -0.931482221789373695197; diff = 5.42101086242752217004e-20; -593/1000
Check failed for (fp80): alpha = -3.71964570185031519461; beta = -0.929911425462578798652; diff = 1.08420217248550443401e-19; -592/1000
Check failed for (fp80): alpha = -3.70707933123595602138; beta = -0.926769832808989005345; diff = 1.08420217248550443401e-19; -590/1000
Check failed for (fp80): alpha = -3.70079614592877643498; beta = -0.925199036482194108746; diff = 5.42101086242752217004e-20; -589/1000
Check failed for (fp80): alpha = -3.68822977531441726219; beta = -0.922057443828604315547; diff = 5.42101086242752217004e-20; -587/1000
Check failed for (fp80): alpha = -3.68194659000723767558; beta = -0.920486647501809418894; diff = 5.42101086242752217004e-20; -586/1000
Check failed for (fp80): alpha = -3.67566340470005808896; beta = -0.918915851175014522241; diff = 1.08420217248550443401e-19; -585/1000
Check failed for (fp80): alpha = -3.66938021939287850257; beta = -0.917345054848219625641; diff = 5.42101086242752217004e-20; -584/1000
Check failed for (fp80): alpha = -3.66309703408569891617; beta = -0.915774258521424729042; diff = 5.42101086242752217004e-20; -583/1000
Check failed for (fp80): alpha = -3.65681384877851932977; beta = -0.914203462194629832443; diff = 5.42101086242752217004e-20; -582/1000
Check failed for (fp80): alpha = -3.65053066347133974316; beta = -0.91263266586783493579; diff = 5.42101086242752217004e-20; -581/1000
Check failed for (fp80): alpha = -3.64424747816416015654; beta = -0.911061869541040039136; diff = 1.08420217248550443401e-19; -580/1000
Check failed for (fp80): alpha = -3.63796429285698057036; beta = -0.909491073214245142591; diff = 5.42101086242752217004e-20; -579/1000
Check failed for (fp80): alpha = -3.63168110754980098375; beta = -0.907920276887450245938; diff = 1.08420217248550443401e-19; -578/1000
Check failed for (fp80): alpha = -3.61911473693544181074; beta = -0.904778684233860452685; diff = 5.42101086242752217004e-20; -576/1000
Check failed for (fp80): alpha = -3.61283155162826222413; beta = -0.903207887907065556032; diff = 5.42101086242752217004e-20; -575/1000
Check failed for (fp80): alpha = -3.60654836632108263795; beta = -0.901637091580270659487; diff = 5.42101086242752217004e-20; -574/1000
Check failed for (fp80): alpha = -3.60026518101390305133; beta = -0.900066295253475762833; diff = 5.42101086242752217004e-20; -573/1000
Check failed for (fp80): alpha = -3.59398199570672346472; beta = -0.89849549892668086618; diff = 5.42101086242752217004e-20; -572/1000
Check failed for (fp80): alpha = -3.58769881039954387854; beta = -0.896924702599885969635; diff = 5.42101086242752217004e-20; -571/1000
Check failed for (fp80): alpha = -3.58141562509236429193; beta = -0.895353906273091072982; diff = 5.42101086242752217004e-20; -570/1000
Check failed for (fp80): alpha = -3.57513243978518470553; beta = -0.893783109946296176382; diff = 1.08420217248550443401e-19; -569/1000
Check failed for (fp80): alpha = -3.56884925447800511892; beta = -0.892212313619501279729; diff = 1.08420217248550443401e-19; -568/1000
Check failed for (fp80): alpha = -3.5625660691708255323; beta = -0.890641517292706383076; diff = 5.42101086242752217004e-20; -567/1000
Check failed for (fp80): alpha = -3.55628288386364594612; beta = -0.889070720965911486531; diff = 1.08420217248550443401e-19; -566/1000
Check failed for (fp80): alpha = -3.54371651324928677289; beta = -0.885929128312321693224; diff = 1.08420217248550443401e-19; -564/1000
Check failed for (fp80): alpha = -3.53743332794210718672; beta = -0.884358331985526796679; diff = 1.08420217248550443401e-19; -563/1000
