Check failed for (fp80): alpha = -6.28318530717958647703; beta = -1.57079632679489661926; diff = 5.42101086242752217004e-20; -1000/1000
Check failed for (fp80): alpha = -5.8245127797554766642; beta = -1.45612819493886916605; diff = 2.71050543121376108502e-19; -927/1000
Check failed for (fp80): alpha = -5.81822959444829707759; beta = -1.4545573986120742694; diff = 5.42101086242752217004e-20; -926/1000
Check failed for (fp80): alpha = -5.81194640914111749141; beta = -1.45298660228527937285; diff = 1.08420217248550443401e-19; -925/1000
Check failed for (fp80): alpha = -5.8056632238339379048; beta = -1.4514158059584844762; diff = 1.08420217248550443401e-19; -924/1000
Check failed for (fp80): alpha = -5.793096853219578732; beta = -1.448274213304894683; diff = 2.16840434497100886801e-19; -922/1000
Check failed for (fp80): alpha = -5.78053048260521955878; beta = -1.44513262065130488969; diff = 2.16840434497100886801e-19; -920/1000
Check failed for (fp80): alpha = -5.76796411199086038555; beta = -1.44199102799771509639; diff = 2.16840434497100886801e-19; -918/1000
Check failed for (fp80): alpha = -5.76168092668368079937; beta = -1.44042023167092019984; diff = 5.42101086242752217004e-20; -917/1000
Check failed for (fp80): alpha = -5.75539774137650121276; beta = -1.43884943534412530319; diff = 1.08420217248550443401e-19; -916/1000
Check failed for (fp80): alpha = -5.74911455606932162658; beta = -1.43727863901733040664; diff = 2.71050543121376108502e-19; -915/1000
Check failed for (fp80): alpha = -5.74283137076214203996; beta = -1.43570784269053550999; diff = 5.42101086242752217004e-20; -914/1000
Check failed for (fp80): alpha = -5.73654818545496245335; beta = -1.43413704636374061334; diff = 2.16840434497100886801e-19; -913/1000
Check failed for (fp80): alpha = -5.73026500014778286717; beta = -1.43256625003694571679; diff = 1.08420217248550443401e-19; -912/1000
Check failed for (fp80): alpha = -5.72398181484060328056; beta = -1.43099545371015082014; diff = 1.08420217248550443401e-19; -911/1000
Check failed for (fp80): alpha = -5.71769862953342369438; beta = -1.42942465738335592359; diff = 1.62630325872825665101e-19; -910/1000
Check failed for (fp80): alpha = -5.70513225891906452115; beta = -1.42628306472976613029; diff = 2.71050543121376108502e-19; -908/1000
Check failed for (fp80): alpha = -5.69884907361188493497; beta = -1.42471226840297123374; diff = 1.08420217248550443401e-19; -907/1000
Check failed for (fp80): alpha = -5.69256588830470534835; beta = -1.42314147207617633709; diff = 5.42101086242752217004e-20; -906/1000
Check failed for (fp80): alpha = -5.68628270299752576174; beta = -1.42157067574938144044; diff = 1.08420217248550443401e-19; -905/1000
Check failed for (fp80): alpha = -5.67999951769034617513; beta = -1.41999987942258654378; diff = 1.62630325872825665101e-19; -904/1000
Check failed for (fp80): alpha = -5.67371633238316658851; beta = -1.41842908309579164713; diff = 1.62630325872825665101e-19; -903/1000
Check failed for (fp80): alpha = -5.66114996176880741572; beta = -1.41528749044220185393; diff = 2.71050543121376108502e-19; -901/1000
Check failed for (fp80): alpha = -5.65486677646162782911; beta = -1.41371669411540695728; diff = 5.42101086242752217004e-20; -900/1000
Check failed for (fp80): alpha = -5.64858359115444824293; beta = -1.41214589778861206073; diff = 5.42101086242752217004e-20; -899/1000
Check failed for (fp80): alpha = -5.64230040584726865631; beta = -1.41057510146181716408; diff = 1.08420217248550443401e-19; -898/1000
Check failed for (fp80): alpha = -5.62973403523290948352; beta = -1.40743350880822737088; diff = 2.16840434497100886801e-19; -896/1000
Check failed for (fp80): alpha = -5.61716766461855031073; beta = -1.40429191615463757768; diff = 5.42101086242752217004e-20; -894/1000
Check failed for (fp80): alpha = -5.61088447931137072411; beta = -1.40272111982784268103; diff = 5.42101086242752217004e-20; -893/1000
Check failed for (fp80): alpha = -5.6046012940041911375; beta = -1.40115032350104778437; diff = 1.08420217248550443401e-19; -892/1000
Check failed for (fp80): alpha = -5.59831810869701155088; beta = -1.39957952717425288772; diff = 5.42101086242752217004e-20; -891/1000
Check failed for (fp80): alpha = -5.59203492338983196427; beta = -1.39800873084745799107; diff = 1.08420217248550443401e-19; -890/1000
Check failed for (fp80): alpha = -5.58575173808265237809; beta = -1.39643793452066309452; diff = 2.71050543121376108502e-19; -889/1000
Check failed for (fp80): alpha = -5.57318536746829320486; beta = -1.39329634186707330122; diff = 2.16840434497100886801e-19; -887/1000
Check failed for (fp80): alpha = -5.56690218216111361868; beta = -1.39172554554027840467; diff = 1.08420217248550443401e-19; -886/1000
Check failed for (fp80): alpha = -5.56061899685393403207; beta = -1.39015474921348350802; diff = 1.08420217248550443401e-19; -885/1000
Check failed for (fp80): alpha = -5.55433581154675444589; beta = -1.38858395288668861147; diff = 2.16840434497100886801e-19; -884/1000
Check failed for (fp80): alpha = -5.54176944093239527266; beta = -1.38544236023309881817; diff = 2.16840434497100886801e-19; -882/1000
Check failed for (fp80): alpha = -5.53548625562521568648; beta = -1.38387156390630392162; diff = 1.08420217248550443401e-19; -881/1000
Check failed for (fp80): alpha = -5.52920307031803609987; beta = -1.38230076757950902497; diff = 5.42101086242752217004e-20; -880/1000
Check failed for (fp80): alpha = -5.52291988501085651326; beta = -1.38072997125271412831; diff = 1.62630325872825665101e-19; -879/1000
Check failed for (fp80): alpha = -5.51035351439649734046; beta = -1.37758837859912433512; diff = 2.16840434497100886801e-19; -877/1000
Check failed for (fp80): alpha = -5.49778714378213816723; beta = -1.37444678594553454181; diff = 2.16840434497100886801e-19; -875/1000
Check failed for (fp80): alpha = -5.48522077316777899444; beta = -1.37130519329194474861; diff = 5.42101086242752217004e-20; -873/1000
Check failed for (fp80): alpha = -5.47893758786059940783; beta = -1.36973439696514985196; diff = 5.42101086242752217004e-20; -872/1000
Check failed for (fp80): alpha = -5.47265440255341982165; beta = -1.36816360063835495541; diff = 5.42101086242752217004e-20; -871/1000
Check failed for (fp80): alpha = -5.46637121724624023503; beta = -1.36659280431156005876; diff = 1.89735380184963275951e-19; -870/1000
Check failed for (fp80): alpha = -5.45380484663188106224; beta = -1.36345121165797026556; diff = 1.08420217248550443401e-19; -868/1000
Check failed for (fp80): alpha = -5.44752166132470147563; beta = -1.36188041533117536891; diff = 1.08420217248550443401e-19; -867/1000
Check failed for (fp80): alpha = -5.44123847601752188901; beta = -1.36030961900438047225; diff = 1.08420217248550443401e-19; -866/1000
Check failed for (fp80): alpha = -5.43495529071034230283; beta = -1.35873882267758557571; diff = 1.89735380184963275951e-19; -865/1000
Check failed for (fp80): alpha = -5.42238892009598312961; beta = -1.3555972300239957824; diff = 2.16840434497100886801e-19; -863/1000
Check failed for (fp80): alpha = -5.40982254948162395638; beta = -1.35245563737040598909; diff = 1.89735380184963275951e-19; -861/1000
Check failed for (fp80): alpha = -5.4035393641744443702; beta = -1.35088484104361109255; diff = 8.13151629364128325506e-20; -860/1000
Check failed for (fp80): alpha = -5.39725617886726478359; beta = -1.3493140447168161959; diff = 1.08420217248550443401e-19; -859/1000
Check failed for (fp80): alpha = -5.39097299356008519741; beta = -1.34774324839002129935; diff = 1.89735380184963275951e-19; -858/1000
Check failed for (fp80): alpha = -5.37840662294572602418; beta = -1.34460165573643150604; diff = 2.16840434497100886801e-19; -856/1000
Check failed for (fp80): alpha = -5.372123437638546438; beta = -1.3430308594096366095; diff = 1.35525271560688054251e-19; -855/1000
Check failed for (fp80): alpha = -5.36584025233136685138; beta = -1.34146006308284171285; diff = 1.08420217248550443401e-19; -854/1000
Check failed for (fp80): alpha = -5.35955706702418726477; beta = -1.33988926675604681619; diff = 1.08420217248550443401e-19; -853/1000
Check failed for (fp80): alpha = -5.34699069640982809198; beta = -1.33674767410245702299; diff = 1.89735380184963275951e-19; -851/1000
Check failed for (fp80): alpha = -5.3407075111026485058; beta = -1.33517687777566212645; diff = 1.08420217248550443401e-19; -850/1000
Check failed for (fp80): alpha = -5.33442432579546891918; beta = -1.3336060814488672298; diff = 1.08420217248550443401e-19; -849/1000
Check failed for (fp80): alpha = -5.32814114048828933257; beta = -1.33203528512207233314; diff = 8.13151629364128325506e-20; -848/1000
Check failed for (fp80): alpha = -5.32185795518110974596; beta = -1.33046448879527743649; diff = 1.08420217248550443401e-19; -847/1000
Check failed for (fp80): alpha = -5.31557476987393015934; beta = -1.32889369246848253984; diff = 8.13151629364128325506e-20; -846/1000
Check failed for (fp80): alpha = -5.30300839925957098655; beta = -1.32575209981489274664; diff = 2.16840434497100886801e-19; -844/1000
Check failed for (fp80): alpha = -5.29044202864521181376; beta = -1.32261050716130295344; diff = 1.35525271560688054251e-19; -842/1000
Check failed for (fp80): alpha = -5.28415884333803222714; beta = -1.32103971083450805679; diff = 1.08420217248550443401e-19; -841/1000
Check failed for (fp80): alpha = -5.27787565803085264053; beta = -1.31946891450771316013; diff = 8.13151629364128325506e-20; -840/1000
Check failed for (fp80): alpha = -5.27159247272367305435; beta = -1.31789811818091826359; diff = 2.16840434497100886801e-19; -839/1000
Check failed for (fp80): alpha = -5.25902610210931388155; beta = -1.31475652552732847039; diff = 8.13151629364128325506e-20; -837/1000
Check failed for (fp80): alpha = -5.25274291680213429494; beta = -1.31318572920053357374; diff = 1.35525271560688054251e-19; -836/1000
Check failed for (fp80): alpha = -5.24645973149495470833; beta = -1.31161493287373867708; diff = 8.13151629364128325506e-20; -835/1000
Check failed for (fp80): alpha = -5.24017654618777512171; beta = -1.31004413654694378043; diff = 1.49077798716756859676e-19; -834/1000
Check failed for (fp80): alpha = -5.22761017557341594892; beta = -1.30690254389335398723; diff = 2.16840434497100886801e-19; -832/1000
Check failed for (fp80): alpha = -5.21504380495905677569; beta = -1.30376095123976419392; diff = 2.03287907341032081376e-19; -830/1000
Check failed for (fp80): alpha = -5.20876061965187718951; beta = -1.30219015491296929738; diff = 9.48676900924816379757e-20; -829/1000
Check failed for (fp80): alpha = -5.2024774343446976029; beta = -1.30061935858617440072; diff = 9.48676900924816379757e-20; -828/1000
Check failed for (fp80): alpha = -5.19619424903751801629; beta = -1.29904856225937950407; diff = 1.08420217248550443401e-19; -827/1000
Check failed for (fp80): alpha = -5.18362787842315884349; beta = -1.29590696960578971087; diff = 2.03287907341032081376e-19; -825/1000
Check failed for (fp80): alpha = -5.17734469311597925731; beta = -1.29433617327899481433; diff = 1.21972744404619248826e-19; -824/1000
Check failed for (fp80): alpha = -5.1710615078087996707; beta = -1.29276537695219991767; diff = 1.08420217248550443401e-19; -823/1000
Check failed for (fp80): alpha = -5.16477832250162008408; beta = -1.29119458062540502102; diff = 1.08420217248550443401e-19; -822/1000
Check failed for (fp80): alpha = -5.15221195188726091129; beta = -1.28805298797181522782; diff = 1.62630325872825665101e-19; -820/1000
Check failed for (fp80): alpha = -5.13964558127290173806; beta = -1.28491139531822543452; diff = 2.03287907341032081376e-19; -818/1000
Check failed for (fp80): alpha = -5.12707921065854256527; beta = -1.28176980266463564132; diff = 9.48676900924816379757e-20; -816/1000
Check failed for (fp80): alpha = -5.12079602535136297866; beta = -1.28019900633784074466; diff = 1.21972744404619248826e-19; -815/1000
Check failed for (fp80): alpha = -5.11451284004418339204; beta = -1.27862821001104584801; diff = 1.08420217248550443401e-19; -814/1000
Check failed for (fp80): alpha = -5.10822965473700380586; beta = -1.27705741368425095147; diff = 1.82959116606928873239e-19; -813/1000
Check failed for (fp80): alpha = -5.09566328412264463307; beta = -1.27391582103066115827; diff = 8.80914265144472352631e-20; -811/1000
Check failed for (fp80): alpha = -5.08938009881546504646; beta = -1.27234502470386626161; diff = 1.15196480826584846113e-19; -810/1000
Check failed for (fp80): alpha = -5.08309691350828545984; beta = -1.27077422837707136496; diff = 9.48676900924816379757e-20; -809/1000
Check failed for (fp80): alpha = -5.07681372820110587366; beta = -1.26920343205027646842; diff = 2.13452302708083685445e-19; -808/1000
Check failed for (fp80): alpha = -5.06424735758674670043; beta = -1.26606183939668667511; diff = 2.03287907341032081376e-19; -806/1000
Check failed for (fp80): alpha = -5.05796417227956711425; beta = -1.26449104306989177856; diff = 1.08420217248550443401e-19; -805/1000
Check failed for (fp80): alpha = -5.05168098697238752764; beta = -1.26292024674309688191; diff = 1.05032085459533242044e-19; -804/1000
Check failed for (fp80): alpha = -5.04539780166520794103; beta = -1.26134945041630198526; diff = 1.2705494208814505086e-19; -803/1000
Check failed for (fp80): alpha = -5.03911461635802835441; beta = -1.2597786540895070886; diff = 1.04185052512278941705e-19; -802/1000
Check failed for (fp80): alpha = -5.0328314310508487678; beta = -1.25820785776271219195; diff = 1.02490986617770341027e-19; -801/1000
Check failed for (fp80): alpha = -5.02026506043648959501; beta = -1.25506626510912239875; diff = 1.85923731922318924425e-19; -799/1000
Check failed for (fp80): alpha = -5.01398187512931000883; beta = -1.25349546878232750221; diff = 1.10961316090313344418e-19; -798/1000
Check failed for (fp80): alpha = -5.00769868982213042221; beta = -1.25192467245553260555; diff = 9.31736241979730372975e-20; -797/1000
Check failed for (fp80): alpha = -5.0014155045149508356; beta = -1.2503538761287377089; diff = 9.48676900924816379757e-20; -796/1000
Check failed for (fp80): alpha = -4.98884913390059166281; beta = -1.2472122834751479157; diff = 1.89735380184963275951e-19; -794/1000
Check failed for (fp80): alpha = -4.97628276328623249001; beta = -1.2440706908215581225; diff = 9.14795583034644366194e-20; -792/1000
Check failed for (fp80): alpha = -4.9699995779790529034; beta = -1.24249989449476322585; diff = 8.80914265144472352631e-20; -791/1000
Check failed for (fp80): alpha = -4.96371639267187331679; beta = -1.2409290981679683292; diff = 1.01643953670516040688e-19; -790/1000
Check failed for (fp80): alpha = -4.95743320736469373017; beta = -1.23935830184117343254; diff = 9.48676900924816379757e-20; -789/1000
Check failed for (fp80): alpha = -4.95115002205751414356; beta = -1.23778750551437853589; diff = 1.08420217248550443401e-19; -788/1000
Check failed for (fp80): alpha = -4.94486683675033455738; beta = -1.23621670918758363934; diff = 2.16840434497100886801e-19; -787/1000
Check failed for (fp80): alpha = -4.93230046613597538458; beta = -1.23307511653399384615; diff = 1.21972744404619248826e-19; -785/1000
Check failed for (fp80): alpha = -4.92601728082879579797; beta = -1.23150432020719894949; diff = 1.15196480826584846113e-19; -784/1000
Check failed for (fp80): alpha = -4.91973409552161621136; beta = -1.22993352388040405284; diff = 1.21972744404619248826e-19; -783/1000
Check failed for (fp80): alpha = -4.91345091021443662518; beta = -1.22836272755360915629; diff = 2.16840434497100886801e-19; -782/1000
Check failed for (fp80): alpha = -4.90088453960007745195; beta = -1.22522113490001936299; diff = 2.03287907341032081376e-19; -780/1000
Check failed for (fp80): alpha = -4.89460135429289786577; beta = -1.22365033857322446644; diff = 8.13151629364128325506e-20; -779/1000
Check failed for (fp80): alpha = -4.88831816898571827916; beta = -1.22207954224642956979; diff = 1.08420217248550443401e-19; -778/1000
Check failed for (fp80): alpha = -4.88203498367853869298; beta = -1.22050874591963467324; diff = 2.16840434497100886801e-19; -777/1000
Check failed for (fp80): alpha = -4.86946861306417951975; beta = -1.21736715326604487994; diff = 2.16840434497100886801e-19; -775/1000
Check failed for (fp80): alpha = -4.85690224244982034652; beta = -1.21422556061245508663; diff = 2.30392961653169692227e-19; -773/1000
Check failed for (fp80): alpha = -4.85061905714264076034; beta = -1.21265476428566019009; diff = 1.08420217248550443401e-19; -772/1000
Check failed for (fp80): alpha = -4.84433587183546117373; beta = -1.21108396795886529343; diff = 1.08420217248550443401e-19; -771/1000
Check failed for (fp80): alpha = -4.83805268652828158711; beta = -1.20951317163207039678; diff = 9.48676900924816379757e-20; -770/1000
Check failed for (fp80): alpha = -4.82548631591392241432; beta = -1.20637157897848060358; diff = 2.30392961653169692227e-19; -768/1000
Check failed for (fp80): alpha = -4.81291994529956324153; beta = -1.20322998632489081038; diff = 1.08420217248550443401e-19; -766/1000
Check failed for (fp80): alpha = -4.80663675999238365491; beta = -1.20165918999809591373; diff = 1.08420217248550443401e-19; -765/1000
Check failed for (fp80): alpha = -4.79407038937802448212; beta = -1.19851759734450612053; diff = 2.16840434497100886801e-19; -763/1000
Check failed for (fp80): alpha = -4.78150401876366530889; beta = -1.19537600469091632722; diff = 2.16840434497100886801e-19; -761/1000
Check failed for (fp80): alpha = -4.7689376481493061361; beta = -1.19223441203732653402; diff = 8.13151629364128325506e-20; -759/1000
Check failed for (fp80): alpha = -4.76265446284212654949; beta = -1.19066361571053163737; diff = 1.08420217248550443401e-19; -758/1000
Check failed for (fp80): alpha = -4.75637127753494696287; beta = -1.18909281938373674072; diff = 1.08420217248550443401e-19; -757/1000
Check failed for (fp80): alpha = -4.75008809222776737669; beta = -1.18752202305694184417; diff = 2.16840434497100886801e-19; -756/1000
Check failed for (fp80): alpha = -4.73752172161340820346; beta = -1.18438043040335205087; diff = 2.16840434497100886801e-19; -754/1000
Check failed for (fp80): alpha = -4.73123853630622861728; beta = -1.18280963407655715432; diff = 1.08420217248550443401e-19; -753/1000
Check failed for (fp80): alpha = -4.72495535099904903067; beta = -1.18123883774976225767; diff = 1.08420217248550443401e-19; -752/1000
Check failed for (fp80): alpha = -4.71867216569186944449; beta = -1.17966804142296736112; diff = 1.89735380184963275951e-19; -751/1000
Check failed for (fp80): alpha = -4.70610579507751027126; beta = -1.17652644876937756782; diff = 2.16840434497100886801e-19; -749/1000
Check failed for (fp80): alpha = -4.69982260977033068508; beta = -1.17495565244258267127; diff = 1.08420217248550443401e-19; -748/1000
Check failed for (fp80): alpha = -4.69353942446315109847; beta = -1.17338485611578777462; diff = 1.08420217248550443401e-19; -747/1000
Check failed for (fp80): alpha = -4.68725623915597151186; beta = -1.17181405978899287796; diff = 1.08420217248550443401e-19; -746/1000
Check failed for (fp80): alpha = -4.68097305384879192524; beta = -1.17024326346219798131; diff = 1.08420217248550443401e-19; -745/1000
Check failed for (fp80): alpha = -4.67468986854161233863; beta = -1.16867246713540308466; diff = 8.13151629364128325506e-20; -744/1000
Check failed for (fp80): alpha = -4.66212349792725316584; beta = -1.16553087448181329146; diff = 1.89735380184963275951e-19; -742/1000
Check failed for (fp80): alpha = -4.64955712731289399304; beta = -1.16238928182822349826; diff = 1.08420217248550443401e-19; -740/1000
Check failed for (fp80): alpha = -4.64327394200571440643; beta = -1.16081848550142860161; diff = 8.13151629364128325506e-20; -739/1000
Check failed for (fp80): alpha = -4.63070757139135523364; beta = -1.15767689284783880841; diff = 2.43945488809238497652e-19; -737/1000
Check failed for (fp80): alpha = -4.61814120077699606084; beta = -1.15453530019424901521; diff = 5.42101086242752217004e-20; -735/1000
Check failed for (fp80): alpha = -4.61185801546981647423; beta = -1.15296450386745411856; diff = 1.08420217248550443401e-19; -734/1000
Check failed for (fp80): alpha = -4.60557483016263688761; beta = -1.1513937075406592219; diff = 5.42101086242752217004e-20; -733/1000
Check failed for (fp80): alpha = -4.599291644855457301; beta = -1.14982291121386432525; diff = 1.08420217248550443401e-19; -732/1000
Check failed for (fp80): alpha = -4.59300845954827771482; beta = -1.14825211488706942871; diff = 5.42101086242752217004e-20; -731/1000
Check failed for (fp80): alpha = -4.58672527424109812821; beta = -1.14668131856027453205; diff = 1.62630325872825665101e-19; -730/1000
Check failed for (fp80): alpha = -4.57415890362673895498; beta = -1.14353972590668473874; diff = 1.62630325872825665101e-19; -728/1000
Check failed for (fp80): alpha = -4.5678757183195593688; beta = -1.1419689295798898422; diff = 5.42101086242752217004e-20; -727/1000
Check failed for (fp80): alpha = -4.56159253301237978219; beta = -1.14039813325309494555; diff = 1.62630325872825665101e-19; -726/1000
Check failed for (fp80): alpha = -4.55530934770520019601; beta = -1.138827336926300049; diff = 2.16840434497100886801e-19; -725/1000
Check failed for (fp80): alpha = -4.54902616239802060939; beta = -1.13725654059950515235; diff = 5.42101086242752217004e-20; -724/1000
Check failed for (fp80): alpha = -4.54274297709084102278; beta = -1.13568574427271025569; diff = 2.16840434497100886801e-19; -723/1000
Check failed for (fp80): alpha = -4.5364597917836614366; beta = -1.13411494794591535915; diff = 1.08420217248550443401e-19; -722/1000
Check failed for (fp80): alpha = -4.53017660647648184999; beta = -1.1325441516191204625; diff = 1.08420217248550443401e-19; -721/1000
Check failed for (fp80): alpha = -4.52389342116930226381; beta = -1.13097335529232556595; diff = 2.16840434497100886801e-19; -720/1000
Check failed for (fp80): alpha = -4.51132705055494309058; beta = -1.12783176263873577264; diff = 1.62630325872825665101e-19; -718/1000
