Check failed for (fp128): alpha = -4.768937648149306135986292655818285074e+00; diff1 = 8.606499438980460218343901430926393955e-34; diff2 = 1.130370689640490518293635039568104986e-01; -759/1000
Check failed for (fp128): alpha = -4.762654462842126549509367369051726173e+00; diff1 = 7.282422602214235569367916595399256423e-34; diff2 = 1.004886363595391144285794205719853262e-01; -758/1000
Check failed for (fp128): alpha = -4.756371277534946963032442082285167272e+00; diff1 = 9.509279100411977024463891091513078635e-34; diff2 = 8.793623663572980785408347295358169048e-02; -757/1000
Check failed for (fp128): alpha = -4.750088092227767376555516795518608372e+00; diff1 = 6.861125426879527726511921420458803572e-34; diff2 = 7.538036533986907715278845481170086009e-02; -756/1000
Check failed for (fp128): alpha = -4.737521721613408203601666221985490570e+00; diff1 = 1.074307797103504999282787696098154770e-33; diff2 = 5.026019088667495768793241077622503830e-02; -754/1000
Check failed for (fp128): alpha = -4.731238536306228617124740935218931669e+00; diff1 = 1.513660565666843178261182664250341314e-33; diff2 = 3.769687943081635291289667995492367387e-02; -753/1000
Check failed for (fp128): alpha = -4.724955350999049030647815648452371998e+00; diff1 = 3.110075933631575397083364380721128725e-33; diff2 = 2.513207976670521582854917829758546273e-02; -752/1000
Check failed for (fp128): alpha = -4.718672165691869444170890361685813097e+00; diff1 = 5.409154804743838196668938049681885711e-34; diff2 = 1.256628793111790249947062031591854480e-02; -751/1000
Check failed for (fp128): alpha = -4.706105795077510271217039788152695295e+00; diff1 = 1.256628793111790249947062031591880660e-02; diff2 = 8.012169495204711654314908237706826540e-34; -749/1000
Check failed for (fp128): alpha = -4.699822609770330684740114501386136395e+00; diff1 = 2.513207976670521582854917829758572153e-02; diff2 = 3.368872769908610214837761416755978333e-33; -748/1000
Check failed for (fp128): alpha = -4.693539424463151098263189214619576723e+00; diff1 = 3.769687943081635291289667995492392665e-02; diff2 = 1.772457401943877996015579700285190923e-33; -747/1000
Check failed for (fp128): alpha = -4.687256239155971511786263927853017823e+00; diff1 = 5.026019088667495768793241077622529108e-02; diff2 = 8.155109608264701815283906600633051614e-34; -746/1000
