Check failed for (fp64): alpha = -5.54176944093239; diff1 = 2.22044604925031e-16; diff2 = 2.18414715970975; -882/1000
Check failed for (fp64): alpha = -5.52920307031804; diff1 = 2.22044604925031e-16; diff2 = 2.12978368064958; -880/1000
Check failed for (fp64): alpha = -5.52291988501086; diff1 = 2.22044604925031e-16; diff2 = 2.10314499975807; -879/1000
Check failed for (fp64): alpha = -5.51663669970368; diff1 = 2.22044604925031e-16; diff2 = 2.07685602836958; -878/1000
Check failed for (fp64): alpha = -5.48522077316778; diff1 = 2.22044604925031e-16; diff2 = 1.9503557523613; -873/1000
Check failed for (fp64): alpha = -5.4789375878606; diff1 = 1.11022302462516e-16; diff2 = 1.92598810190043; -872/1000
Check failed for (fp64): alpha = -5.47265440255342; diff1 = 1.11022302462516e-16; diff2 = 1.90191356300214; -871/1000
Check failed for (fp64): alpha = -5.46637121724624; diff1 = 1.11022302462516e-16; diff2 = 1.87812501163498; -870/1000
Check failed for (fp64): alpha = -5.46008803193906; diff1 = 1.11022302462516e-16; diff2 = 1.854615536662; -869/1000
Check failed for (fp64): alpha = -5.45380484663188; diff1 = 1.11022302462516e-16; diff2 = 1.83137843172232; -868/1000
Check failed for (fp64): alpha = -5.43495529071034; diff1 = 2.22044604925031e-16; diff2 = 1.76323718472638; -865/1000
Check failed for (fp64): alpha = -5.42867210540316; diff1 = 1.11022302462516e-16; diff2 = 1.74102632762082; -864/1000
Check failed for (fp64): alpha = -5.4161057347888; diff1 = 2.22044604925031e-16; diff2 = 1.69732393518055; -862/1000
Check failed for (fp64): alpha = -5.40982254948162; diff1 = 1.11022302462516e-16; diff2 = 1.6758212990098; -861/1000
Check failed for (fp64): alpha = -5.40353936417444; diff1 = 1.11022302462516e-16; diff2 = 1.65454389194495; -860/1000
Check failed for (fp64): alpha = -5.39725617886726; diff1 = 1.11022302462516e-16; diff2 = 1.63348653974539; -859/1000
Check failed for (fp64): alpha = -5.39097299356008; diff1 = 2.22044604925031e-16; diff2 = 1.61264420904435; -858/1000
Check failed for (fp64): alpha = -5.38468980825291; diff1 = 1.11022302462516e-16; diff2 = 1.59201200236272; -857/1000
Check failed for (fp64): alpha = -5.37212343763855; diff1 = 1.11022302462516e-16; diff2 = 1.55135902209922; -855/1000
Check failed for (fp64): alpha = -5.34699069640983; diff1 = 1.11022302462516e-16; diff2 = 1.47237306545816; -851/1000
Check failed for (fp64): alpha = -5.34070751110265; diff1 = 1.11022302462516e-16; diff2 = 1.45308505601072; -850/1000
Check failed for (fp64): alpha = -5.33442432579547; diff1 = 1.11022302462516e-16; diff2 = 1.4339723481958; -849/1000
Check failed for (fp64): alpha = -5.32814114048829; diff1 = 1.11022302462516e-16; diff2 = 1.41503107418845; -848/1000
Check failed for (fp64): alpha = -5.32185795518111; diff1 = 1.11022302462516e-16; diff2 = 1.39625746207425; -847/1000
Check failed for (fp64): alpha = -5.30300839925957; diff1 = 1.11022302462516e-16; diff2 = 1.34090625062647; -844/1000
Check failed for (fp64): alpha = -5.29672521395239; diff1 = 1.11022302462516e-16; diff2 = 1.32276737629754; -843/1000
