Check failed for (fp32): alpha = -5.372124; diff1 = 5.960464e-08; diff2 = 1.55136; -855/1000
Check failed for (fp32): alpha = -5.36584; diff1 = 1.192093e-07; diff2 = 1.53133; -854/1000
Check failed for (fp32): alpha = -5.359557; diff1 = 5.960464e-08; diff2 = 1.511491; -853/1000
Check failed for (fp32): alpha = -5.353274; diff1 = 5.960464e-08; diff2 = 1.49184; -852/1000
Check failed for (fp32): alpha = -5.346991; diff1 = 5.960464e-08; diff2 = 1.472374; -851/1000
Check failed for (fp32): alpha = -5.328141; diff1 = 5.960464e-08; diff2 = 1.415031; -848/1000
Check failed for (fp32): alpha = -5.315575; diff1 = 5.960464e-08; diff2 = 1.377649; -846/1000
Check failed for (fp32): alpha = -5.309292; diff1 = 5.960464e-08; diff2 = 1.359199; -845/1000
Check failed for (fp32): alpha = -5.296725; diff1 = 5.960464e-08; diff2 = 1.322767; -843/1000
Check failed for (fp32): alpha = -5.277875; diff1 = 5.960464e-08; diff2 = 1.269238; -840/1000
Check failed for (fp32): alpha = -5.271593; diff1 = 1.192093e-07; diff2 = 1.251681; -839/1000
Check failed for (fp32): alpha = -5.265309; diff1 = 5.960464e-08; diff2 = 1.234261; -838/1000
Check failed for (fp32): alpha = -5.259027; diff1 = 5.960464e-08; diff2 = 1.216977; -837/1000
Check failed for (fp32): alpha = -5.227611; diff1 = 5.960464e-08; diff2 = 1.132468; -832/1000
Check failed for (fp32): alpha = -5.221327; diff1 = 5.960464e-08; diff2 = 1.11593; -831/1000
Check failed for (fp32): alpha = -5.215044; diff1 = 5.960464e-08; diff2 = 1.09951; -830/1000
Check failed for (fp32): alpha = -5.208761; diff1 = 5.960464e-08; diff2 = 1.083201; -829/1000
Check failed for (fp32): alpha = -5.202477; diff1 = 5.960464e-08; diff2 = 1.067004; -828/1000
Check failed for (fp32): alpha = -5.196195; diff1 = 5.960464e-08; diff2 = 1.050915; -827/1000
Check failed for (fp32): alpha = -5.171062; diff1 = 5.960464e-08; diff2 = 0.9875932; -823/1000
Check failed for (fp32): alpha = -5.164779; diff1 = 8.940697e-08; diff2 = 0.9720117; -822/1000
Check failed for (fp32): alpha = -5.158495; diff1 = 5.960464e-08; diff2 = 0.9565227; -821/1000
Check failed for (fp32): alpha = -5.152212; diff1 = 8.940697e-08; diff2 = 0.941129; -820/1000
Check failed for (fp32): alpha = -5.145929; diff1 = 5.960464e-08; diff2 = 0.9258249; -819/1000
Check failed for (fp32): alpha = -5.139646; diff1 = 5.960464e-08; diff2 = 0.9106107; -818/1000
Check failed for (fp32): alpha = -5.133362; diff1 = 5.960464e-08; diff2 = 0.8954809; -817/1000
Check failed for (fp32): alpha = -5.120796; diff1 = 1.192093e-07; diff2 = 0.8654778; -815/1000
Check failed for (fp32): alpha = -5.101946; diff1 = 5.960464e-08; diff2 = 0.8210751; -812/1000
Check failed for (fp32): alpha = -5.07053; diff1 = 8.940697e-08; diff2 = 0.748565; -807/1000
Check failed for (fp32): alpha = -5.064248; diff1 = 5.960464e-08; diff2 = 0.7342725; -806/1000
Check failed for (fp32): alpha = -5.051681; diff1 = 5.960464e-08; diff2 = 0.7058811; -804/1000
Check failed for (fp32): alpha = -5.045398; diff1 = 1.192093e-07; diff2 = 0.6917801; -803/1000
Check failed for (fp32): alpha = -5.020266; diff1 = 1.192093e-07; diff2 = 0.6359755; -799/1000
Check failed for (fp32): alpha = -5.007699; diff1 = 1.192093e-07; diff2 = 0.6084089; -797/1000
Check failed for (fp32): alpha = -4.98885; diff1 = 5.960464e-08; diff2 = 0.5674524; -794/1000
Check failed for (fp32): alpha = -4.982566; diff1 = 5.960464e-08; diff2 = 0.5538971; -793/1000
Check failed for (fp32): alpha = -4.976283; diff1 = 5.960464e-08; diff2 = 0.5403911; -792/1000
Check failed for (fp32): alpha = -4.963717; diff1 = 1.788139e-07; diff2 = 0.5135131; -790/1000
Check failed for (fp32): alpha = -4.957433; diff1 = 1.490116e-07; diff2 = 0.5001395; -789/1000
Check failed for (fp32): alpha = -4.95115; diff1 = 1.043081e-07; diff2 = 0.4868076; -788/1000
Check failed for (fp32): alpha = -4.944867; diff1 = 1.192093e-07; diff2 = 0.4735177; -787/1000
Check failed for (fp32): alpha = -4.938584; diff1 = 1.043081e-07; diff2 = 0.4602664; -786/1000
Check failed for (fp32): alpha = -4.926017; diff1 = 1.788139e-07; diff2 = 0.4338773; -784/1000
Check failed for (fp32): alpha = -4.919734; diff1 = 1.490116e-07; diff2 = 0.4207367; -783/1000
Check failed for (fp32): alpha = -4.913451; diff1 = 8.940697e-08; diff2 = 0.4076322; -782/1000
Check failed for (fp32): alpha = -4.894601; diff1 = 1.192093e-07; diff2 = 0.368512; -779/1000
