Check failed for (fp128): x = -6.069557006735480536709827016495999115e+00; diff = 1.925929944387235853055977942584927319e-34; -966/1000
Check failed for (fp128): x = -6.063273821428300950232901729729440214e+00; diff = 1.925929944387235853055977942584927319e-34; -965/1000
Check failed for (fp128): x = -6.044424265506762190802125869429763512e+00; diff = 1.925929944387235853055977942584927319e-34; -962/1000
Check failed for (fp128): x = -6.038141080199582604325200582663204611e+00; diff = 3.851859888774471706111955885169854637e-34; -961/1000
Check failed for (fp128): x = -6.031857894892403017848275295896644940e+00; diff = 1.925929944387235853055977942584927319e-34; -960/1000
Check failed for (fp128): x = -6.025574709585223431371350009130086039e+00; diff = 3.851859888774471706111955885169854637e-34; -959/1000
Check failed for (fp128): x = -6.019291524278043844894424722363527138e+00; diff = 5.777789833161707559167933827754781956e-34; -958/1000
Check failed for (fp128): x = -6.013008338970864258417499435596968237e+00; diff = 3.851859888774471706111955885169854637e-34; -957/1000
Check failed for (fp128): x = -6.006725153663684671940574148830409336e+00; diff = 5.777789833161707559167933827754781956e-34; -956/1000
Check failed for (fp128): x = -6.000441968356505085463648862063850436e+00; diff = 3.851859888774471706111955885169854637e-34; -955/1000
Check failed for (fp128): x = -5.994158783049325498986723575297291535e+00; diff = 7.703719777548943412223911770339709274e-34; -954/1000
Check failed for (fp128): x = -5.987875597742145912509798288530732634e+00; diff = 3.851859888774471706111955885169854637e-34; -953/1000
Check failed for (fp128): x = -5.981592412434966326032873001764173733e+00; diff = 7.703719777548943412223911770339709274e-34; -952/1000
Check failed for (fp128): x = -5.969026041820607153079022428231055161e+00; diff = 7.703719777548943412223911770339709274e-34; -950/1000
Check failed for (fp128): x = -5.962742856513427566602097141464496260e+00; diff = 3.851859888774471706111955885169854637e-34; -949/1000
Check failed for (fp128): x = -5.956459671206247980125171854697937359e+00; diff = 1.540743955509788682444782354067941855e-33; -948/1000
Check failed for (fp128): x = -5.950176485899068393648246567931378459e+00; diff = 1.540743955509788682444782354067941855e-33; -947/1000
Check failed for (fp128): x = -5.937610115284709220694395994398259887e+00; diff = 7.703719777548943412223911770339709274e-34; -945/1000
Check failed for (fp128): x = -5.931326929977529634217470707631700986e+00; diff = 2.311115933264683023667173531101912782e-33; -944/1000
Check failed for (fp128): x = -5.925043744670350047740545420865142085e+00; diff = 4.622231866529366047334347062203825564e-33; -943/1000
Check failed for (fp128): x = -5.912477374055990874786694847332024283e+00; diff = 4.622231866529366047334347062203825564e-33; -941/1000
Check failed for (fp128): x = -5.906194188748811288309769560565464612e+00; diff = 2.311115933264683023667173531101912782e-32; -940/1000
Check failed for (fp128): x = -5.899911003441631701832844273798905711e+00; diff = 1.848892746611746418933738824881530226e-32; -939/1000
Check failed for (fp128): x = -5.893627818134452115355918987032346810e+00; diff = 6.039716305598371635183546827946332071e-31; -938/1000
Check failed for (fp128): x = -5.887344632827272528878993700265788680e+00; diff = 9.860761315262647567646607066034827871e-32; -937/1000
Check failed for (fp128): x = -5.881061447520092942402068413499229779e+00; diff = 7.087422195345027939245998828712532532e-32; -936/1000
Check failed for (fp128): x = -5.874778262212913355925143126732670878e+00; diff = 3.081487911019577364889564708135883710e-33; -935/1000
Check failed for (fp128): x = -5.868495076905733769448217839966111207e+00; diff = 1.078520768856852077711347647847559298e-32; -934/1000
Check failed for (fp128): x = -5.862211891598554182971292553199552306e+00; diff = 1.540743955509788682444782354067941855e-33; -933/1000
Check failed for (fp128): x = -5.855928706291374596494367266432993406e+00; diff = 1.540743955509788682444782354067941855e-33; -932/1000
Check failed for (fp128): x = -5.849645520984195010017441979666434505e+00; diff = 3.851859888774471706111955885169854637e-33; -931/1000
Check failed for (fp128): x = -5.843362335677015423540516692899875604e+00; diff = 5.392603844284260388556738239237796492e-33; -930/1000
Check failed for (fp128): x = -5.837079150369835837063591406133315933e+00; diff = 7.703719777548943412223911770339709274e-34; -929/1000
Check failed for (fp128): x = -5.830795965062656250586666119366757032e+00; diff = 7.703719777548943412223911770339709274e-34; -928/1000
Check failed for (fp128): x = -5.824512779755476664109740832600198131e+00; diff = 1.155557966632341511833586765550956391e-33; -927/1000
Check failed for (fp128): x = -5.818229594448297077632815545833639230e+00; diff = 2.696301922142130194278369119618898246e-33; -926/1000
Check failed for (fp128): x = -5.811946409141117491155890259067080329e+00; diff = 3.851859888774471706111955885169854637e-34; -925/1000
Check failed for (fp128): x = -5.805663223833937904678964972300520658e+00; diff = 1.540743955509788682444782354067941855e-33; -924/1000
Check failed for (fp128): x = -5.799380038526758318202039685533961757e+00; diff = 3.851859888774471706111955885169854637e-34; -923/1000
Check failed for (fp128): x = -5.793096853219578731725114398767402857e+00; diff = 3.851859888774471706111955885169854637e-34; -922/1000
Check failed for (fp128): x = -5.780530482605219558771263825234285055e+00; diff = 7.703719777548943412223911770339709274e-34; -920/1000
Check failed for (fp128): x = -5.774247297298039972294338538467726154e+00; diff = 7.703719777548943412223911770339709274e-34; -919/1000
Check failed for (fp128): x = -5.767964111990860385817413251701167253e+00; diff = 5.777789833161707559167933827754781956e-34; -918/1000
Check failed for (fp128): x = -5.761680926683680799340487964934608352e+00; diff = 1.925929944387235853055977942584927319e-34; -917/1000
Check failed for (fp128): x = -5.755397741376501212863562678168049452e+00; diff = 3.851859888774471706111955885169854637e-34; -916/1000
Check failed for (fp128): x = -5.749114556069321626386637391401490551e+00; diff = 9.629649721936179265279889712924636593e-34; -915/1000
Check failed for (fp128): x = -5.742831370762142039909712104634930880e+00; diff = 1.925929944387235853055977942584927319e-34; -914/1000
Check failed for (fp128): x = -5.736548185454962453432786817868371979e+00; diff = 3.851859888774471706111955885169854637e-34; -913/1000
Check failed for (fp128): x = -5.730265000147782866955861531101813078e+00; diff = 5.777789833161707559167933827754781956e-34; -912/1000
Check failed for (fp128): x = -5.723981814840603280478936244335254177e+00; diff = 1.925929944387235853055977942584927319e-34; -911/1000
Check failed for (fp128): x = -5.717698629533423694002010957568695276e+00; diff = 1.925929944387235853055977942584927319e-34; -910/1000
Check failed for (fp128): x = -5.711415444226244107525085670802136375e+00; diff = 1.925929944387235853055977942584927319e-34; -909/1000
Check failed for (fp128): x = -5.705132258919064521048160384035576704e+00; diff = 1.925929944387235853055977942584927319e-34; -908/1000
Check failed for (fp128): x = -5.667433147075987002186608663436223299e+00; diff = 2.888894916580853779583966913877390978e-34; -902/1000
Check failed for (fp128): x = -5.661149961768807415709683376669664399e+00; diff = 2.888894916580853779583966913877390978e-34; -901/1000
Check failed for (fp128): x = -5.654866776461627829232758089903105498e+00; diff = 1.925929944387235853055977942584927319e-34; -900/1000
Check failed for (fp128): x = -5.648583591154448242755832803136546597e+00; diff = 1.925929944387235853055977942584927319e-34; -899/1000
Check failed for (fp128): x = -5.636017220540089069801982229603428025e+00; diff = 2.888894916580853779583966913877390978e-34; -897/1000
Check failed for (fp128): x = -5.629734035232909483325056942836869124e+00; diff = 1.925929944387235853055977942584927319e-34; -896/1000
Check failed for (fp128): x = -5.623450849925729896848131656070310223e+00; diff = 1.925929944387235853055977942584927319e-34; -895/1000
Check failed for (fp128): x = -5.617167664618550310371206369303751322e+00; diff = 1.925929944387235853055977942584927319e-34; -894/1000
Check failed for (fp128): x = -5.566902182161113618555804075171278575e+00; diff = 1.925929944387235853055977942584927319e-34; -886/1000
Check failed for (fp128): x = -5.554335811546754445601953501638160773e+00; diff = 1.925929944387235853055977942584927319e-34; -884/1000
Check failed for (fp128): x = -5.453804846631881061971148913373216819e+00; diff = 1.925929944387235853055977942584927319e-34; -868/1000
Check failed for (fp128): x = -5.390972993560085197201896045707627041e+00; diff = 2.407412430484044816319972428231159148e-34; -858/1000
Check failed for (fp128): x = -5.384689808252905610724970758941068140e+00; diff = 1.925929944387235853055977942584927319e-34; -857/1000
Check failed for (fp128): x = -5.359557067024187264817269611874831766e+00; diff = 1.925929944387235853055977942584927319e-34; -853/1000
Check failed for (fp128): x = -5.334424325795468918909568464808595393e+00; diff = 1.925929944387235853055977942584927319e-34; -849/1000
Check failed for (fp128): x = -5.328141140488289332432643178042036492e+00; diff = 1.925929944387235853055977942584927319e-34; -848/1000
Check failed for (fp128): x = -5.321857955181109745955717891275477591e+00; diff = 1.925929944387235853055977942584927319e-34; -847/1000
Check failed for (fp128): x = -5.309291584566750573001867317742359789e+00; diff = 2.888894916580853779583966913877390978e-34; -845/1000
Check failed for (fp128): x = -5.303008399259570986524942030975800889e+00; diff = 1.925929944387235853055977942584927319e-34; -844/1000
Check failed for (fp128): x = -5.296725213952391400048016744209241988e+00; diff = 1.925929944387235853055977942584927319e-34; -843/1000
Check failed for (fp128): x = -5.290442028645211813571091457442683087e+00; diff = 3.851859888774471706111955885169854637e-34; -842/1000
Check failed for (fp128): x = -5.284158843338032227094166170676123416e+00; diff = 1.925929944387235853055977942584927319e-34; -841/1000
Check failed for (fp128): x = -5.271592472723673054140315597143005614e+00; diff = 5.777789833161707559167933827754781956e-34; -839/1000
Check failed for (fp128): x = -5.265309287416493467663390310376446713e+00; diff = 1.925929944387235853055977942584927319e-34; -838/1000
Check failed for (fp128): x = -5.246459731494954708232614450076769240e+00; diff = 1.925929944387235853055977942584927319e-34; -835/1000
Check failed for (fp128): x = -5.240176546187775121755689163310210340e+00; diff = 1.925929944387235853055977942584927319e-34; -834/1000
Check failed for (fp128): x = -5.233893360880595535278763876543651439e+00; diff = 5.777789833161707559167933827754781956e-34; -833/1000
Check failed for (fp128): x = -5.227610175573415948801838589777092538e+00; diff = 1.925929944387235853055977942584927319e-34; -832/1000
Check failed for (fp128): x = -5.215043804959056775847988016243974736e+00; diff = 7.703719777548943412223911770339709274e-34; -830/1000
Check failed for (fp128): x = -5.208760619651877189371062729477415835e+00; diff = 7.703719777548943412223911770339709274e-34; -829/1000
Check failed for (fp128): x = -5.196194249037518016417212155944298034e+00; diff = 7.703719777548943412223911770339709274e-34; -827/1000
Check failed for (fp128): x = -5.183627878423158843463361582411179462e+00; diff = 1.155557966632341511833586765550956391e-33; -825/1000
Check failed for (fp128): x = -5.177344693115979256986436295644620561e+00; diff = 3.851859888774471706111955885169854637e-34; -824/1000
Check failed for (fp128): x = -5.171061507808799670509511008878061660e+00; diff = 2.311115933264683023667173531101912782e-33; -823/1000
Check failed for (fp128): x = -5.164778322501620084032585722111502759e+00; diff = 2.311115933264683023667173531101912782e-33; -822/1000
Check failed for (fp128): x = -5.152211951887260911078735148578384187e+00; diff = 1.540743955509788682444782354067941855e-33; -820/1000
Check failed for (fp128): x = -5.145928766580081324601809861811825286e+00; diff = 2.311115933264683023667173531101912782e-33; -819/1000
Check failed for (fp128): x = -5.139645581272901738124884575045266386e+00; diff = 5.392603844284260388556738239237796492e-33; -818/1000
Check failed for (fp128): x = -5.133362395965722151647959288278707485e+00; diff = 3.081487911019577364889564708135883710e-33; -817/1000
Check failed for (fp128): x = -5.127079210658542565171034001512148584e+00; diff = 1.540743955509788682444782354067941855e-32; -816/1000
Check failed for (fp128): x = -5.120796025351362978694108714745588913e+00; diff = 2.773339119917619628400608237322295339e-32; -815/1000
Check failed for (fp128): x = -5.114512840044183392217183427979030012e+00; diff = 1.540743955509788682444782354067941855e-32; -814/1000
Check failed for (fp128): x = -5.108229654737003805740258141212471111e+00; diff = 1.269573019340065874334500659751984088e-30; -813/1000
Check failed for (fp128): x = -5.101946469429824219263332854445912981e+00; diff = 8.258387601532467337904033417804168342e-31; -812/1000
Check failed for (fp128): x = -5.095663284122644632786407567679354080e+00; diff = 1.540743955509788682444782354067941855e-32; -811/1000
Check failed for (fp128): x = -5.089380098815465046309482280912795179e+00; diff = 2.619264724366640760156130001915501153e-32; -810/1000
Check failed for (fp128): x = -5.083096913508285459832556994146235508e+00; diff = 9.244463733058732094668694124407651129e-33; -809/1000
Check failed for (fp128): x = -5.076813728201105873355631707379676607e+00; diff = 6.162975822039154729779129416271767419e-33; -808/1000
Check failed for (fp128): x = -5.070530542893926286878706420613117706e+00; diff = 7.703719777548943412223911770339709274e-33; -807/1000
Check failed for (fp128): x = -5.064247357586746700401781133846558805e+00; diff = 1.540743955509788682444782354067941855e-33; -806/1000
Check failed for (fp128): x = -5.057964172279567113924855847079999905e+00; diff = 7.703719777548943412223911770339709274e-34; -805/1000
Check failed for (fp128): x = -5.051680986972387527447930560313440233e+00; diff = 1.540743955509788682444782354067941855e-33; -804/1000
Check failed for (fp128): x = -5.045397801665207940971005273546881333e+00; diff = 7.703719777548943412223911770339709274e-34; -803/1000
Check failed for (fp128): x = -5.039114616358028354494079986780322432e+00; diff = 1.925929944387235853055977942584927319e-33; -802/1000
Check failed for (fp128): x = -5.032831431050848768017154700013763531e+00; diff = 3.851859888774471706111955885169854637e-34; -801/1000
Check failed for (fp128): x = -5.020265060436489595063304126480644959e+00; diff = 1.155557966632341511833586765550956391e-33; -799/1000
Check failed for (fp128): x = -5.013981875129310008586378839714086058e+00; diff = 3.851859888774471706111955885169854637e-34; -798/1000
Check failed for (fp128): x = -5.001415504514950835632528266180968256e+00; diff = 3.851859888774471706111955885169854637e-34; -796/1000
Check failed for (fp128): x = -4.988849133900591662678677692647850455e+00; diff = 3.851859888774471706111955885169854637e-34; -794/1000
Check failed for (fp128): x = -4.982565948593412076201752405881291554e+00; diff = 1.925929944387235853055977942584927319e-34; -793/1000
Check failed for (fp128): x = -4.976282763286232489724827119114732653e+00; diff = 1.925929944387235853055977942584927319e-34; -792/1000
Check failed for (fp128): x = -4.963716392671873316770976545581614851e+00; diff = 1.925929944387235853055977942584927319e-34; -790/1000
Check failed for (fp128): x = -4.944866836750334557340200685281937379e+00; diff = 1.925929944387235853055977942584927319e-34; -787/1000
Check failed for (fp128): x = -4.926017280828795797909424824982260676e+00; diff = 1.925929944387235853055977942584927319e-34; -784/1000
Check failed for (fp128): x = -4.919734095521616211432499538215701005e+00; diff = 1.925929944387235853055977942584927319e-34; -783/1000
Check failed for (fp128): x = -4.549026162398020609293907618988719693e+00; diff = 1.925929944387235853055977942584927319e-34; -724/1000
Check failed for (fp128): x = -4.536459791783661436340057045455601892e+00; diff = 1.925929944387235853055977942584927319e-34; -722/1000
Check failed for (fp128): x = -4.523893421169302263386206471922484090e+00; diff = 1.925929944387235853055977942584927319e-34; -720/1000
Check failed for (fp128): x = -4.498760679940583917478505324856247716e+00; diff = 1.925929944387235853055977942584927319e-34; -716/1000
Check failed for (fp128): x = -4.486194309326224744524654751323129915e+00; diff = 1.925929944387235853055977942584927319e-34; -714/1000
Check failed for (fp128): x = -4.479911124019045158047729464556571014e+00; diff = 1.925929944387235853055977942584927319e-34; -713/1000
Check failed for (fp128): x = -4.473627938711865571570804177790012113e+00; diff = 1.925929944387235853055977942584927319e-34; -712/1000
Check failed for (fp128): x = -4.467344753404685985093878891023453212e+00; diff = 1.925929944387235853055977942584927319e-34; -711/1000
Check failed for (fp128): x = -4.461061568097506398616953604256893541e+00; diff = 3.851859888774471706111955885169854637e-34; -710/1000
Check failed for (fp128): x = -4.454778382790326812140028317490334640e+00; diff = 1.925929944387235853055977942584927319e-34; -709/1000
Check failed for (fp128): x = -4.448495197483147225663103030723775739e+00; diff = 1.925929944387235853055977942584927319e-34; -708/1000
Check failed for (fp128): x = -4.442212012175967639186177743957216839e+00; diff = 3.851859888774471706111955885169854637e-34; -707/1000
