Check failed for (fp32): x = -6.138672; diff = 5.960464e-08; -977/1000
Check failed for (fp32): x = -6.126106; diff = 1.192093e-07; -975/1000
Check failed for (fp32): x = -6.119823; diff = 5.960464e-08; -974/1000
Check failed for (fp32): x = -6.113539; diff = 5.960464e-08; -973/1000
Check failed for (fp32): x = -6.107256; diff = 5.960464e-08; -972/1000
Check failed for (fp32): x = -6.09469; diff = 5.960464e-08; -970/1000
Check failed for (fp32): x = -6.088407; diff = 5.960464e-08; -969/1000
Check failed for (fp32): x = -6.07584; diff = 1.192093e-07; -967/1000
Check failed for (fp32): x = -6.069557; diff = 1.192093e-07; -966/1000
Check failed for (fp32): x = -6.050708; diff = 1.192093e-07; -963/1000
Check failed for (fp32): x = -6.038141; diff = 1.192093e-07; -961/1000
Check failed for (fp32): x = -6.031858; diff = 1.192093e-07; -960/1000
Check failed for (fp32): x = -6.025575; diff = 2.384186e-07; -959/1000
Check failed for (fp32): x = -6.019292; diff = 4.768372e-07; -958/1000
Check failed for (fp32): x = -6.013009; diff = 1.192093e-07; -957/1000
Check failed for (fp32): x = -6.006725; diff = 2.384186e-07; -956/1000
Check failed for (fp32): x = -6.000442; diff = 4.768372e-07; -955/1000
Check failed for (fp32): x = -5.987876; diff = 2.384186e-07; -953/1000
Check failed for (fp32): x = -5.981593; diff = 2.384186e-07; -952/1000
Check failed for (fp32): x = -5.969026; diff = 2.384186e-07; -950/1000
Check failed for (fp32): x = -5.95646; diff = 4.768372e-07; -948/1000
Check failed for (fp32): x = -5.950177; diff = 9.536743e-07; -947/1000
Check failed for (fp32): x = -5.943893; diff = 4.768372e-07; -946/1000
Check failed for (fp32): x = -5.93761; diff = 1.430511e-06; -945/1000
Check failed for (fp32): x = -5.931327; diff = 1.907349e-06; -944/1000
Check failed for (fp32): x = -5.925044; diff = 3.814697e-06; -943/1000
Check failed for (fp32): x = -5.918761; diff = 1.907349e-06; -942/1000
Check failed for (fp32): x = -5.912477; diff = 1.907349e-06; -941/1000
Check failed for (fp32): x = -5.906194; diff = 1.621246e-05; -940/1000
Check failed for (fp32): x = -5.899911; diff = 5.722046e-06; -939/1000
Check failed for (fp32): x = -5.893628; diff = 0.0006027222; -938/1000
Check failed for (fp32): x = -5.887345; diff = 0.0003051758; -937/1000
Check failed for (fp32): x = -5.881062; diff = 5.531311e-05; -936/1000
Check failed for (fp32): x = -5.874778; diff = 1.049042e-05; -935/1000
Check failed for (fp32): x = -5.868495; diff = 7.629395e-06; -934/1000
Check failed for (fp32): x = -5.862212; diff = 3.814697e-06; -933/1000
Check failed for (fp32): x = -5.843362; diff = 4.768372e-07; -930/1000
Check failed for (fp32): x = -5.83708; diff = 9.536743e-07; -929/1000
Check failed for (fp32): x = -5.824513; diff = 1.192093e-06; -927/1000
Check failed for (fp32): x = -5.81823; diff = 2.384186e-07; -926/1000
Check failed for (fp32): x = -5.805664; diff = 7.152557e-07; -924/1000
Check failed for (fp32): x = -5.79938; diff = 2.384186e-07; -923/1000
Check failed for (fp32): x = -5.793097; diff = 2.384186e-07; -922/1000
Check failed for (fp32): x = -5.780531; diff = 4.768372e-07; -920/1000
Check failed for (fp32): x = -5.774248; diff = 2.384186e-07; -919/1000
Check failed for (fp32): x = -5.767964; diff = 2.384186e-07; -918/1000
Check failed for (fp32): x = -5.761681; diff = 3.576279e-07; -917/1000
Check failed for (fp32): x = -5.755398; diff = 4.768372e-07; -916/1000
Check failed for (fp32): x = -5.736548; diff = 3.576279e-07; -913/1000
Check failed for (fp32): x = -5.730265; diff = 2.384186e-07; -912/1000
Check failed for (fp32): x = -5.723982; diff = 1.192093e-07; -911/1000
Check failed for (fp32): x = -5.717699; diff = 1.192093e-07; -910/1000
Check failed for (fp32): x = -5.705132; diff = 1.192093e-07; -908/1000
Check failed for (fp32): x = -5.692566; diff = 1.192093e-07; -906/1000
Check failed for (fp32): x = -5.679999; diff = 1.192093e-07; -904/1000
Check failed for (fp32): x = -5.673717; diff = 5.960464e-08; -903/1000
Check failed for (fp32): x = -5.667433; diff = 1.192093e-07; -902/1000
Check failed for (fp32): x = -5.66115; diff = 1.788139e-07; -901/1000
Check failed for (fp32): x = -5.642301; diff = 1.788139e-07; -898/1000
Check failed for (fp32): x = -5.636017; diff = 5.960464e-08; -897/1000
Check failed for (fp32): x = -5.629735; diff = 1.788139e-07; -896/1000
Check failed for (fp32): x = -5.623451; diff = 5.960464e-08; -895/1000
Check failed for (fp32): x = -5.604601; diff = 5.960464e-08; -892/1000
Check failed for (fp32): x = -5.598318; diff = 5.960464e-08; -891/1000
Check failed for (fp32): x = -5.491504; diff = 9.49949e-08; -874/1000
Check failed for (fp32): x = -5.478938; diff = 6.705523e-08; -872/1000
Check failed for (fp32): x = -5.472654; diff = 1.862645e-07; -871/1000
Check failed for (fp32): x = -5.466372; diff = 8.940697e-08; -870/1000
Check failed for (fp32): x = -5.453805; diff = 5.960464e-08; -868/1000
Check failed for (fp32): x = -5.447522; diff = 1.043081e-07; -867/1000
Check failed for (fp32): x = -5.428672; diff = 5.960464e-08; -864/1000
Check failed for (fp32): x = -5.416106; diff = 8.940697e-08; -862/1000
Check failed for (fp32): x = -5.409823; diff = 5.960464e-08; -861/1000
Check failed for (fp32): x = -5.40354; diff = 1.490116e-07; -860/1000
Check failed for (fp32): x = -5.397256; diff = 8.940697e-08; -859/1000
Check failed for (fp32): x = -5.390973; diff = 5.960464e-08; -858/1000
Check failed for (fp32): x = -5.378407; diff = 5.960464e-08; -856/1000
Check failed for (fp32): x = -5.36584; diff = 1.192093e-07; -854/1000
Check failed for (fp32): x = -5.359557; diff = 5.960464e-08; -853/1000
Check failed for (fp32): x = -5.353274; diff = 1.192093e-07; -852/1000
Check failed for (fp32): x = -5.346991; diff = 1.192093e-07; -851/1000
Check failed for (fp32): x = -5.340708; diff = 2.384186e-07; -850/1000
Check failed for (fp32): x = -5.334424; diff = 1.192093e-07; -849/1000
Check failed for (fp32): x = -5.328141; diff = 5.960464e-08; -848/1000
Check failed for (fp32): x = -5.321858; diff = 2.980232e-07; -847/1000
Check failed for (fp32): x = -5.309292; diff = 1.192093e-07; -845/1000
Check failed for (fp32): x = -5.296725; diff = 1.192093e-07; -843/1000
Check failed for (fp32): x = -5.290442; diff = 2.384186e-07; -842/1000
Check failed for (fp32): x = -5.284159; diff = 2.384186e-07; -841/1000
Check failed for (fp32): x = -5.277875; diff = 1.192093e-07; -840/1000
Check failed for (fp32): x = -5.271593; diff = 1.192093e-07; -839/1000
Check failed for (fp32): x = -5.265309; diff = 3.576279e-07; -838/1000
Check failed for (fp32): x = -5.259027; diff = 2.384186e-07; -837/1000
Check failed for (fp32): x = -5.252743; diff = 1.192093e-07; -836/1000
Check failed for (fp32): x = -5.24646; diff = 4.768372e-07; -835/1000
Check failed for (fp32): x = -5.240177; diff = 2.384186e-07; -834/1000
Check failed for (fp32): x = -5.233893; diff = 1.192093e-07; -833/1000
Check failed for (fp32): x = -5.227611; diff = 3.576279e-07; -832/1000
Check failed for (fp32): x = -5.221327; diff = 1.192093e-07; -831/1000
Check failed for (fp32): x = -5.208761; diff = 4.768372e-07; -829/1000
Check failed for (fp32): x = -5.202477; diff = 2.384186e-07; -828/1000
Check failed for (fp32): x = -5.196195; diff = 2.384186e-07; -827/1000
Check failed for (fp32): x = -5.183628; diff = 2.384186e-07; -825/1000
Check failed for (fp32): x = -5.177345; diff = 2.384186e-07; -824/1000
Check failed for (fp32): x = -5.171062; diff = 1.430511e-06; -823/1000
Check failed for (fp32): x = -5.164779; diff = 9.536743e-07; -822/1000
Check failed for (fp32): x = -5.158495; diff = 4.768372e-07; -821/1000
Check failed for (fp32): x = -5.152212; diff = 4.768372e-07; -820/1000
Check failed for (fp32): x = -5.145929; diff = 4.768372e-07; -819/1000
Check failed for (fp32): x = -5.139646; diff = 2.384186e-06; -818/1000
Check failed for (fp32): x = -5.133362; diff = 5.722046e-06; -817/1000
Check failed for (fp32): x = -5.127079; diff = 7.629395e-06; -816/1000
Check failed for (fp32): x = -5.120796; diff = 5.722046e-06; -815/1000
Check failed for (fp32): x = -5.114513; diff = 4.959106e-05; -814/1000
Check failed for (fp32): x = -5.10823; diff = 0.0001373291; -813/1000
Check failed for (fp32): x = -5.101946; diff = 0.000289917; -812/1000
Check failed for (fp32): x = -5.095664; diff = 4.005432e-05; -811/1000
Check failed for (fp32): x = -5.08938; diff = 2.861023e-06; -810/1000
Check failed for (fp32): x = -5.083097; diff = 8.583069e-06; -809/1000
Check failed for (fp32): x = -5.076814; diff = 1.907349e-06; -808/1000
Check failed for (fp32): x = -5.07053; diff = 4.768372e-06; -807/1000
Check failed for (fp32): x = -5.064248; diff = 4.768372e-07; -806/1000
Check failed for (fp32): x = -5.057964; diff = 1.430511e-06; -805/1000
Check failed for (fp32): x = -5.051681; diff = 1.907349e-06; -804/1000
Check failed for (fp32): x = -5.045398; diff = 4.768372e-07; -803/1000
Check failed for (fp32): x = -5.032832; diff = 2.384186e-07; -801/1000
Check failed for (fp32): x = -5.026548; diff = 4.768372e-07; -800/1000
Check failed for (fp32): x = -5.020266; diff = 4.768372e-07; -799/1000
Check failed for (fp32): x = -5.001416; diff = 2.384186e-07; -796/1000
Check failed for (fp32): x = -4.995132; diff = 4.768372e-07; -795/1000
Check failed for (fp32): x = -4.98885; diff = 1.192093e-07; -794/1000
Check failed for (fp32): x = -4.982566; diff = 1.192093e-07; -793/1000
Check failed for (fp32): x = -4.976283; diff = 1.192093e-07; -792/1000
Check failed for (fp32): x = -4.97; diff = 1.192093e-07; -791/1000
Check failed for (fp32): x = -4.95115; diff = 1.192093e-07; -788/1000
Check failed for (fp32): x = -4.919734; diff = 1.192093e-07; -783/1000
Check failed for (fp32): x = -4.907168; diff = 5.960464e-08; -781/1000
Check failed for (fp32): x = -4.894601; diff = 5.960464e-08; -779/1000
Check failed for (fp32): x = -4.888318; diff = 5.960464e-08; -778/1000
Check failed for (fp32): x = -4.882035; diff = 1.192093e-07; -777/1000
Check failed for (fp32): x = -4.875752; diff = 5.960464e-08; -776/1000
Check failed for (fp32): x = -4.844336; diff = 5.960464e-08; -771/1000
Check failed for (fp32): x = -4.831769; diff = 5.960464e-08; -769/1000
Check failed for (fp32): x = -4.806637; diff = 5.960464e-08; -765/1000
Check failed for (fp32): x = -4.586726; diff = 5.960464e-08; -730/1000
Check failed for (fp32): x = -4.55531; diff = 5.960464e-08; -725/1000
Check failed for (fp32): x = -4.549026; diff = 1.192093e-07; -724/1000
Check failed for (fp32): x = -4.53646; diff = 5.960464e-08; -722/1000
Check failed for (fp32): x = -4.523894; diff = 1.192093e-07; -720/1000
Check failed for (fp32): x = -4.51761; diff = 5.960464e-08; -719/1000
Check failed for (fp32): x = -4.498761; diff = 1.192093e-07; -716/1000
Check failed for (fp32): x = -4.486194; diff = 2.384186e-07; -714/1000
Check failed for (fp32): x = -4.479911; diff = 2.384186e-07; -713/1000
Check failed for (fp32): x = -4.473628; diff = 1.192093e-07; -712/1000
