Check failed for (fp80): x = -6.27061893656522730423; diff = 3.46944695195361418882e-18; -998/1000
Check failed for (fp80): x = -5.12079602535136297866; diff = 1.08420217248550443401e-19; -815/1000
Check failed for (fp80): x = -5.11451284004418339204; diff = 5.42101086242752217004e-20; -814/1000
Check failed for (fp80): x = -5.10822965473700380586; diff = 5.42101086242752217004e-20; -813/1000
Check failed for (fp80): x = -5.10194646942982421925; diff = 1.08420217248550443401e-19; -812/1000
Check failed for (fp80): x = -5.09566328412264463307; diff = 1.08420217248550443401e-19; -811/1000
Check failed for (fp80): x = -5.05168098697238752764; diff = 1.08420217248550443401e-19; -804/1000
Check failed for (fp80): x = -5.03911461635802835441; diff = 1.08420217248550443401e-19; -802/1000
Check failed for (fp80): x = -5.01398187512931000883; diff = 1.08420217248550443401e-19; -798/1000
Check failed for (fp80): x = -4.99513231920777124942; diff = 1.08420217248550443401e-19; -795/1000
Check failed for (fp80): x = -4.98256594859341207619; diff = 1.08420217248550443401e-19; -793/1000
Check failed for (fp80): x = -4.9699995779790529034; diff = 1.08420217248550443401e-19; -791/1000
Check failed for (fp80): x = -4.95115002205751414356; diff = 1.08420217248550443401e-19; -788/1000
Check failed for (fp80): x = -4.93230046613597538458; diff = 2.16840434497100886801e-19; -785/1000
Check failed for (fp80): x = -4.91973409552161621136; diff = 2.16840434497100886801e-19; -783/1000
Check failed for (fp80): x = -4.91345091021443662518; diff = 2.16840434497100886801e-19; -782/1000
Check failed for (fp80): x = -4.89460135429289786577; diff = 2.16840434497100886801e-19; -779/1000
Check failed for (fp80): x = -4.88203498367853869298; diff = 2.16840434497100886801e-19; -777/1000
Check failed for (fp80): x = -4.87575179837135910636; diff = 2.16840434497100886801e-19; -776/1000
Check failed for (fp80): x = -4.86946861306417951975; diff = 2.16840434497100886801e-19; -775/1000
Check failed for (fp80): x = -4.85061905714264076034; diff = 2.16840434497100886801e-19; -772/1000
Check failed for (fp80): x = -4.84433587183546117373; diff = 2.16840434497100886801e-19; -771/1000
Check failed for (fp80): x = -4.83805268652828158711; diff = 2.16840434497100886801e-19; -770/1000
Check failed for (fp80): x = -4.83176950122110200093; diff = 4.33680868994201773603e-19; -769/1000
Check failed for (fp80): x = -4.82548631591392241432; diff = 4.33680868994201773603e-19; -768/1000
Check failed for (fp80): x = -4.80035357468520406873; diff = 4.33680868994201773603e-19; -764/1000
Check failed for (fp80): x = -4.78778720407084489551; diff = 4.33680868994201773603e-19; -762/1000
Check failed for (fp80): x = -4.71867216569186944449; diff = 6.93889390390722837765e-18; -751/1000
Check failed for (fp80): x = -4.69353942446315109847; diff = 1.73472347597680709441e-18; -747/1000
Check failed for (fp80): x = -4.68725623915597151186; diff = 1.73472347597680709441e-18; -746/1000
Check failed for (fp80): x = -4.68097305384879192524; diff = 8.67361737988403547206e-19; -745/1000
Check failed for (fp80): x = -4.66840668323443275245; diff = 8.67361737988403547206e-19; -743/1000
Check failed for (fp80): x = -4.65584031262007357922; diff = 8.67361737988403547206e-19; -741/1000
Check failed for (fp80): x = -4.64955712731289399304; diff = 4.33680868994201773603e-19; -740/1000
Check failed for (fp80): x = -4.63699075669853482025; diff = 4.33680868994201773603e-19; -738/1000
Check failed for (fp80): x = -4.63070757139135523364; diff = 4.33680868994201773603e-19; -737/1000
Check failed for (fp80): x = -4.61185801546981647423; diff = 4.33680868994201773603e-19; -734/1000
Check failed for (fp80): x = -4.60557483016263688761; diff = 4.33680868994201773603e-19; -733/1000
Check failed for (fp80): x = -4.599291644855457301; diff = 4.33680868994201773603e-19; -732/1000
Check failed for (fp80): x = -4.58672527424109812821; diff = 2.16840434497100886801e-19; -730/1000
Check failed for (fp80): x = -4.58044208893391854159; diff = 2.16840434497100886801e-19; -729/1000
Check failed for (fp80): x = -4.53017660647648184999; diff = 2.16840434497100886801e-19; -721/1000
Check failed for (fp80): x = -4.51761023586212267719; diff = 2.16840434497100886801e-19; -719/1000
Check failed for (fp80): x = -4.51132705055494309058; diff = 2.16840434497100886801e-19; -718/1000
Check failed for (fp80): x = -4.48619430932622474456; diff = 2.16840434497100886801e-19; -714/1000
Check failed for (fp80): x = -4.46734475340468598515; diff = 2.16840434497100886801e-19; -711/1000
Check failed for (fp80): x = -4.46106156809750639854; diff = 1.08420217248550443401e-19; -710/1000
Check failed for (fp80): x = -4.43592882686878805295; diff = 1.08420217248550443401e-19; -706/1000
Check failed for (fp80): x = -4.42964564156160846634; diff = 1.08420217248550443401e-19; -705/1000
Check failed for (fp80): x = -4.41707927094724929354; diff = 1.08420217248550443401e-19; -703/1000
Check failed for (fp80): x = -4.3982297150257105337; diff = 1.08420217248550443401e-19; -700/1000
Check failed for (fp80): x = -4.37309697379699218811; diff = 1.08420217248550443401e-19; -696/1000
Check failed for (fp80): x = -4.36053060318263301532; diff = 1.08420217248550443401e-19; -694/1000
Check failed for (fp80): x = -4.35424741787545342871; diff = 1.08420217248550443401e-19; -693/1000
Check failed for (fp80): x = -4.32911467664673508269; diff = 1.08420217248550443401e-19; -689/1000
Check failed for (fp80): x = -4.31654830603237590946; diff = 5.42101086242752217004e-20; -687/1000
Check failed for (fp80): x = -4.28513237949647797726; diff = 5.42101086242752217004e-20; -682/1000
Check failed for (fp80): x = -4.27256600888211880446; diff = 5.42101086242752217004e-20; -680/1000
Check failed for (fp80): x = -4.25999963826775963167; diff = 5.42101086242752217004e-20; -678/1000
Check failed for (fp80): x = -4.25371645296058004506; diff = 1.08420217248550443401e-19; -677/1000
Check failed for (fp80): x = -4.24115008234622087226; diff = 5.42101086242752217004e-20; -675/1000
Check failed for (fp80): x = -4.20973415581032293963; diff = 5.42101086242752217004e-20; -670/1000
Check failed for (fp80): x = -4.1971677851959637664; diff = 5.42101086242752217004e-20; -668/1000
Check failed for (fp80): x = -4.19088459988878418022; diff = 5.42101086242752217004e-20; -667/1000
Check failed for (fp80): x = -4.17203504396724542081; diff = 5.42101086242752217004e-20; -664/1000
Check failed for (fp80): x = -4.1657518586600658342; diff = 5.42101086242752217004e-20; -663/1000
Check failed for (fp80): x = -4.15946867335288624802; diff = 5.42101086242752217004e-20; -662/1000
Check failed for (fp80): x = -4.13433593212416790157; diff = 5.42101086242752217004e-20; -658/1000
Check failed for (fp80): x = -4.10292000558826996937; diff = 5.42101086242752217004e-20; -653/1000
Check failed for (fp80): x = -3.81389348145800899164; diff = 5.42101086242752217004e-20; -607/1000
Check failed for (fp80): x = -3.71964570185031519461; diff = 5.42101086242752217004e-20; -592/1000
Check failed for (fp80): x = -3.70707933123595602138; diff = 5.42101086242752217004e-20; -590/1000
Check failed for (fp80): x = -3.70079614592877643498; diff = 5.42101086242752217004e-20; -589/1000
Check failed for (fp80): x = -3.69451296062159684837; diff = 5.42101086242752217004e-20; -588/1000
Check failed for (fp80): x = -3.68194659000723767558; diff = 5.42101086242752217004e-20; -586/1000
Check failed for (fp80): x = -3.67566340470005808896; diff = 5.42101086242752217004e-20; -585/1000
Check failed for (fp80): x = -3.66309703408569891617; diff = 5.42101086242752217004e-20; -583/1000
Check failed for (fp80): x = -3.65681384877851932977; diff = 5.42101086242752217004e-20; -582/1000
Check failed for (fp80): x = -3.65053066347133974316; diff = 5.42101086242752217004e-20; -581/1000
Check failed for (fp80): x = -3.64424747816416015654; diff = 5.42101086242752217004e-20; -580/1000
Check failed for (fp80): x = -3.63796429285698057036; diff = 5.42101086242752217004e-20; -579/1000
Check failed for (fp80): x = -3.63168110754980098375; diff = 5.42101086242752217004e-20; -578/1000
Check failed for (fp80): x = -3.62539792224262139714; diff = 5.42101086242752217004e-20; -577/1000
Check failed for (fp80): x = -3.61283155162826222413; diff = 5.42101086242752217004e-20; -575/1000
Check failed for (fp80): x = -3.60654836632108263795; diff = 5.42101086242752217004e-20; -574/1000
Check failed for (fp80): x = -3.60026518101390305133; diff = 5.42101086242752217004e-20; -573/1000
Check failed for (fp80): x = -3.59398199570672346472; diff = 5.42101086242752217004e-20; -572/1000
Check failed for (fp80): x = -3.58141562509236429193; diff = 1.08420217248550443401e-19; -570/1000
Check failed for (fp80): x = -3.57513243978518470553; diff = 5.42101086242752217004e-20; -569/1000
Check failed for (fp80): x = -3.5625660691708255323; diff = 5.42101086242752217004e-20; -567/1000
Check failed for (fp80): x = -3.49345103079185008107; diff = 1.08420217248550443401e-19; -556/1000
Check failed for (fp80): x = -3.48716784548467049489; diff = 1.08420217248550443401e-19; -555/1000
Check failed for (fp80): x = -3.47460147487031132188; diff = 1.08420217248550443401e-19; -553/1000
Check failed for (fp80): x = -3.45575191894877256247; diff = 1.08420217248550443401e-19; -550/1000
Check failed for (fp80): x = -3.44946873364159297586; diff = 1.08420217248550443401e-19; -549/1000
Check failed for (fp80): x = -3.43690236302723380285; diff = 1.08420217248550443401e-19; -547/1000
Check failed for (fp80): x = -3.41805280710569504344; diff = 1.08420217248550443401e-19; -544/1000
Check failed for (fp80): x = -3.41176962179851545683; diff = 1.08420217248550443401e-19; -543/1000
Check failed for (fp80): x = -3.39292006587697669764; diff = 1.08420217248550443401e-19; -540/1000
Check failed for (fp80): x = -3.38663688056979711102; diff = 1.08420217248550443401e-19; -539/1000
Check failed for (fp80): x = -3.3363713981123604192; diff = 2.16840434497100886801e-19; -531/1000
Check failed for (fp80): x = -3.29867228626928290038; diff = 2.16840434497100886801e-19; -525/1000
Check failed for (fp80): x = -3.29238910096210331399; diff = 2.16840434497100886801e-19; -524/1000
Check failed for (fp80): x = -3.27982273034774414119; diff = 2.16840434497100886801e-19; -522/1000
Check failed for (fp80): x = -3.27353954504056455458; diff = 2.16840434497100886801e-19; -521/1000
Check failed for (fp80): x = -3.25468998911902579517; diff = 4.33680868994201773603e-19; -518/1000
Check failed for (fp80): x = -3.24840680381184620856; diff = 4.33680868994201773603e-19; -517/1000
Check failed for (fp80): x = -3.20442450666158910313; diff = 4.33680868994201773603e-19; -510/1000
Check failed for (fp80): x = -3.19185813604722993034; diff = 8.67361737988403547206e-19; -508/1000
Check failed for (fp80): x = -3.18557495074005034372; diff = 8.67361737988403547206e-19; -507/1000
Check failed for (fp80): x = -3.17300858012569117093; diff = 8.67361737988403547206e-19; -505/1000
Check failed for (fp80): x = -3.12274309766825447911; diff = 1.73472347597680709441e-18; -497/1000
Check failed for (fp80): x = -3.1101767270538953061; diff = 8.67361737988403547206e-19; -495/1000
Check failed for (fp80): x = -3.09132717113235654669; diff = 8.67361737988403547206e-19; -492/1000
Check failed for (fp80): x = -3.07876080051799737389; diff = 4.33680868994201773603e-19; -490/1000
Check failed for (fp80): x = -3.05991124459645861427; diff = 4.33680868994201773603e-19; -487/1000
Check failed for (fp80): x = -3.04106168867491985486; diff = 4.33680868994201773603e-19; -484/1000
Check failed for (fp80): x = -3.03477850336774026847; diff = 4.33680868994201773603e-19; -483/1000
Check failed for (fp80): x = -3.00964576213902192245; diff = 2.16840434497100886801e-19; -479/1000
Check failed for (fp80): x = -2.99707939152466274965; diff = 2.16840434497100886801e-19; -477/1000
Check failed for (fp80): x = -2.97822983560312399003; diff = 2.16840434497100886801e-19; -474/1000
Check failed for (fp80): x = -2.95309709437440564422; diff = 2.16840434497100886801e-19; -470/1000
Check failed for (fp80): x = -2.94681390906722605783; diff = 2.16840434497100886801e-19; -469/1000
Check failed for (fp80): x = -2.94053072376004647121; diff = 2.16840434497100886801e-19; -468/1000
Check failed for (fp80): x = -2.92168116783850771181; diff = 2.16840434497100886801e-19; -465/1000
Check failed for (fp80): x = -2.9028316119169689524; diff = 2.16840434497100886801e-19; -462/1000
Check failed for (fp80): x = -2.896548426609789366; diff = 1.08420217248550443401e-19; -461/1000
Check failed for (fp80): x = -2.89026524130260977939; diff = 1.08420217248550443401e-19; -460/1000
Check failed for (fp80): x = -2.87769887068825060638; diff = 1.08420217248550443401e-19; -458/1000
Check failed for (fp80): x = -2.87141568538107101998; diff = 1.08420217248550443401e-19; -457/1000
Check failed for (fp80): x = -2.85256612945953226057; diff = 1.08420217248550443401e-19; -454/1000
Check failed for (fp80): x = -2.84628294415235267418; diff = 1.08420217248550443401e-19; -453/1000
Check failed for (fp80): x = -2.83371657353799350117; diff = 1.08420217248550443401e-19; -451/1000
Check failed for (fp80): x = -2.82743338823081391455; diff = 1.08420217248550443401e-19; -450/1000
Check failed for (fp80): x = -2.82115020292363432816; diff = 1.08420217248550443401e-19; -449/1000
Check failed for (fp80): x = -2.80858383230927515536; diff = 1.08420217248550443401e-19; -447/1000
Check failed for (fp80): x = -2.79601746169491598214; diff = 1.08420217248550443401e-19; -445/1000
Check failed for (fp80): x = -2.74575197923747929031; diff = 5.42101086242752217004e-20; -437/1000
Check failed for (fp80): x = -2.73318560862312011752; diff = 1.08420217248550443401e-19; -435/1000
Check failed for (fp80): x = -2.72690242331594053112; diff = 5.42101086242752217004e-20; -434/1000
Check failed for (fp80): x = -2.72061923800876094451; diff = 5.42101086242752217004e-20; -433/1000
Check failed for (fp80): x = -2.71433605270158135811; diff = 5.42101086242752217004e-20; -432/1000
Check failed for (fp80): x = -2.7080528673944017715; diff = 1.08420217248550443401e-19; -431/1000
Check failed for (fp80): x = -2.7017696820872221851; diff = 5.42101086242752217004e-20; -430/1000
Check failed for (fp80): x = -2.6766369408585038393; diff = 1.08420217248550443401e-19; -426/1000
Check failed for (fp80): x = -2.66407057024414466628; diff = 5.42101086242752217004e-20; -424/1000
Check failed for (fp80): x = -2.65150419962978549327; diff = 5.42101086242752217004e-20; -422/1000
Check failed for (fp80): x = -2.63265464370824673387; diff = 5.42101086242752217004e-20; -419/1000
Check failed for (fp80): x = -2.62637145840106714747; diff = 5.42101086242752217004e-20; -418/1000
Check failed for (fp80): x = -2.60123871717234880145; diff = 5.42101086242752217004e-20; -414/1000
Check failed for (fp80): x = -2.59495553186516921505; diff = 5.42101086242752217004e-20; -413/1000
Check failed for (fp80): x = -2.58867234655798962866; diff = 5.42101086242752217004e-20; -412/1000
Check failed for (fp80): x = -2.51327412287183459081; diff = 5.42101086242752217004e-20; -400/1000
Check failed for (fp80): x = -2.48814138164311624501; diff = 5.42101086242752217004e-20; -396/1000
Check failed for (fp80): x = -2.47557501102875707178; diff = 5.42101086242752217004e-20; -394/1000
Check failed for (fp80): x = -2.36247767549952451534; diff = 5.75982404132924230566e-20; -376/1000
Check failed for (fp80): x = -2.28079626650618989109; diff = 5.42101086242752217004e-20; -363/1000
Check failed for (fp80): x = -2.2745130811990103047; diff = 5.42101086242752217004e-20; -362/1000
Check failed for (fp80): x = -2.24309715466311237228; diff = 5.42101086242752217004e-20; -357/1000
Check failed for (fp80): x = -2.19911485751285526685; diff = 5.42101086242752217004e-20; -350/1000
Check failed for (fp80): x = -2.18654848689849609406; diff = 5.42101086242752217004e-20; -348/1000
Check failed for (fp80): x = -2.12371663382670022922; diff = 5.42101086242752217004e-20; -338/1000
Check failed for (fp80): x = -2.10486707790516146981; diff = 5.42101086242752217004e-20; -335/1000
Check failed for (fp80): x = -2.0985838925979818832; diff = 5.42101086242752217004e-20; -334/1000
Check failed for (fp80): x = -2.07973433667644312401; diff = 5.42101086242752217004e-20; -331/1000
Check failed for (fp80): x = -2.05460159544772477799; diff = 5.42101086242752217004e-20; -327/1000
Check failed for (fp80): x = -2.02318566891182684557; diff = 5.42101086242752217004e-20; -322/1000
Check failed for (fp80): x = -2.01690248360464725896; diff = 5.42101086242752217004e-20; -321/1000
Check failed for (fp80): x = -2.01061929829746767256; diff = 5.42101086242752217004e-20; -320/1000
Check failed for (fp80): x = -1.99805292768310849977; diff = 5.42101086242752217004e-20; -318/1000
Check failed for (fp80): x = -1.99176974237592891326; diff = 5.42101086242752217004e-20; -317/1000
Check failed for (fp80): x = -1.97292018645439015386; diff = 5.42101086242752217004e-20; -314/1000
Check failed for (fp80): x = -1.96035381584003098074; diff = 1.08420217248550443401e-19; -312/1000
Check failed for (fp80): x = -1.92893788930413304843; diff = 1.08420217248550443401e-19; -307/1000
Check failed for (fp80): x = -1.92265470399695346192; diff = 1.08420217248550443401e-19; -306/1000
Check failed for (fp80): x = -1.91637151868977387553; diff = 1.08420217248550443401e-19; -305/1000
Check failed for (fp80): x = -1.91008833338259428913; diff = 1.08420217248550443401e-19; -304/1000
Check failed for (fp80): x = -1.88495559215387594322; diff = 1.08420217248550443401e-19; -300/1000
Check failed for (fp80): x = -1.8661060362323371837; diff = 1.08420217248550443401e-19; -297/1000
Check failed for (fp80): x = -1.85353966561797801069; diff = 1.08420217248550443401e-19; -295/1000
Check failed for (fp80): x = -1.84097329500361883779; diff = 1.08420217248550443401e-19; -293/1000
Check failed for (fp80): x = -1.83469010969643925128; diff = 1.08420217248550443401e-19; -292/1000
Check failed for (fp80): x = -1.82840692438925966489; diff = 1.08420217248550443401e-19; -291/1000
Check failed for (fp80): x = -1.82212373908208007827; diff = 1.08420217248550443401e-19; -290/1000
Check failed for (fp80): x = -1.79699099785336173236; diff = 2.16840434497100886801e-19; -286/1000
Check failed for (fp80): x = -1.79070781254618214596; diff = 2.16840434497100886801e-19; -285/1000
Check failed for (fp80): x = -1.77814144193182297306; diff = 2.16840434497100886801e-19; -283/1000
Check failed for (fp80): x = -1.76557507131746380005; diff = 2.16840434497100886801e-19; -281/1000
Check failed for (fp80): x = -1.74672551539592504054; diff = 2.16840434497100886801e-19; -278/1000
Check failed for (fp80): x = -1.70274321824566793532; diff = 2.16840434497100886801e-19; -271/1000
Check failed for (fp80): x = -1.6524777357882312435; diff = 4.33680868994201773603e-19; -263/1000
Check failed for (fp80): x = -1.6399113651738720706; diff = 4.33680868994201773603e-19; -261/1000
Check failed for (fp80): x = -1.63362817986669248398; diff = 4.33680868994201773603e-19; -260/1000
Check failed for (fp80): x = -1.61477862394515372468; diff = 8.67361737988403547206e-19; -257/1000
Check failed for (fp80): x = -1.60221225333079455157; diff = 8.67361737988403547206e-19; -255/1000
Check failed for (fp80): x = -1.59592906802361496517; diff = 1.73472347597680709441e-18; -254/1000
Check failed for (fp80): x = -1.55194677087335785985; diff = 1.73472347597680709441e-18; -247/1000
Check failed for (fp80): x = -1.54566358556617827334; diff = 1.73472347597680709441e-18; -246/1000
Check failed for (fp80): x = -1.53938040025899868695; diff = 8.67361737988403547206e-19; -245/1000
Check failed for (fp80): x = -1.52681402964463951394; diff = 8.67361737988403547206e-19; -243/1000
Check failed for (fp80): x = -1.48283173249438240862; diff = 4.33680868994201773603e-19; -236/1000
Check failed for (fp80): x = -1.47654854718720282211; diff = 4.33680868994201773603e-19; -235/1000
Check failed for (fp80): x = -1.4639821765728436491; diff = 4.33680868994201773603e-19; -233/1000
Check failed for (fp80): x = -1.4514158059584844762; diff = 4.33680868994201773603e-19; -231/1000
Check failed for (fp80): x = -1.44513262065130488969; diff = 2.16840434497100886801e-19; -230/1000
Check failed for (fp80): x = -1.43884943534412530319; diff = 2.16840434497100886801e-19; -229/1000
Check failed for (fp80): x = -1.43256625003694571679; diff = 2.16840434497100886801e-19; -228/1000
Check failed for (fp80): x = -1.42628306472976613029; diff = 2.16840434497100886801e-19; -227/1000
Check failed for (fp80): x = -1.41371669411540695728; diff = 2.16840434497100886801e-19; -225/1000
Check failed for (fp80): x = -1.40115032350104778437; diff = 2.16840434497100886801e-19; -223/1000
Check failed for (fp80): x = -1.36345121165797026556; diff = 2.16840434497100886801e-19; -217/1000
Check failed for (fp80): x = -1.33831847042925191965; diff = 1.08420217248550443401e-19; -213/1000
Check failed for (fp80): x = -1.32575209981489274664; diff = 1.08420217248550443401e-19; -211/1000
Check failed for (fp80): x = -1.30061935858617440072; diff = 1.08420217248550443401e-19; -207/1000
Check failed for (fp80): x = -1.27548661735745605481; diff = 1.08420217248550443401e-19; -203/1000
Check failed for (fp80): x = -1.2503538761287377089; diff = 1.08420217248550443401e-19; -199/1000
Check failed for (fp80): x = -1.2440706908215581225; diff = 1.08420217248550443401e-19; -198/1000
Check failed for (fp80): x = -1.21893794959283977659; diff = 1.08420217248550443401e-19; -194/1000
Check failed for (fp80): x = -1.21265476428566019009; diff = 1.08420217248550443401e-19; -193/1000
Check failed for (fp80): x = -1.19380520836412143057; diff = 1.08420217248550443401e-19; -190/1000
Check failed for (fp80): x = -1.18123883774976225767; diff = 1.08420217248550443401e-19; -188/1000
Check failed for (fp80): x = -1.17495565244258267127; diff = 1.08420217248550443401e-19; -187/1000
Check failed for (fp80): x = -1.16238928182822349826; diff = 1.08420217248550443401e-19; -185/1000
Check failed for (fp80): x = -1.14982291121386432525; diff = 5.42101086242752217004e-20; -183/1000
Check failed for (fp80): x = -1.14353972590668473874; diff = 5.42101086242752217004e-20; -182/1000
Check failed for (fp80): x = -1.13725654059950515235; diff = 1.08420217248550443401e-19; -181/1000
Check failed for (fp80): x = -1.12469016998514597934; diff = 5.42101086242752217004e-20; -179/1000
Check failed for (fp80): x = -1.11212379937078680644; diff = 5.42101086242752217004e-20; -177/1000
Check failed for (fp80): x = -1.10584061406360722004; diff = 5.42101086242752217004e-20; -176/1000
Check failed for (fp80): x = -1.09955742875642763343; diff = 5.42101086242752217004e-20; -175/1000
Check failed for (fp80): x = -1.08070787283488887402; diff = 5.42101086242752217004e-20; -172/1000
