Check failed for (fp64): x = -6.27061893656523; diff = 7.105427357601e-15; -998/1000
Check failed for (fp64): x = -6.26433575125805; diff = 3.5527136788005e-15; -997/1000
Check failed for (fp64): x = -6.25805256595087; diff = 3.5527136788005e-15; -996/1000
Check failed for (fp64): x = -6.24548619533651; diff = 1.77635683940025e-15; -994/1000
Check failed for (fp64): x = -6.21407026880061; diff = 8.88178419700125e-16; -989/1000
Check failed for (fp64): x = -6.20150389818625; diff = 8.88178419700125e-16; -987/1000
Check failed for (fp64): x = -6.17008797165035; diff = 8.88178419700125e-16; -982/1000
Check failed for (fp64): x = -6.15752160103599; diff = 8.88178419700125e-16; -980/1000
Check failed for (fp64): x = -6.15123841572882; diff = 4.44089209850063e-16; -979/1000
Check failed for (fp64): x = -6.14495523042164; diff = 4.44089209850063e-16; -978/1000
Check failed for (fp64): x = -6.13867204511446; diff = 8.88178419700125e-16; -977/1000
Check failed for (fp64): x = -6.13238885980728; diff = 8.88178419700125e-16; -976/1000
Check failed for (fp64): x = -6.1261056745001; diff = 4.44089209850063e-16; -975/1000
Check failed for (fp64): x = -6.11982248919292; diff = 4.44089209850063e-16; -974/1000
Check failed for (fp64): x = -6.10097293327138; diff = 4.44089209850063e-16; -971/1000
Check failed for (fp64): x = -6.0946897479642; diff = 4.44089209850063e-16; -970/1000
Check failed for (fp64): x = -6.08840656265702; diff = 4.44089209850063e-16; -969/1000
Check failed for (fp64): x = -6.05070745081394; diff = 4.44089209850063e-16; -963/1000
Check failed for (fp64): x = -6.04442426550676; diff = 2.22044604925031e-16; -962/1000
Check failed for (fp64): x = -6.02557470958522; diff = 2.22044604925031e-16; -959/1000
Check failed for (fp64): x = -6.00672515366368; diff = 2.22044604925031e-16; -956/1000
Check failed for (fp64): x = -6.0004419683565; diff = 2.22044604925031e-16; -955/1000
Check failed for (fp64): x = -5.98787559774215; diff = 2.22044604925031e-16; -953/1000
Check failed for (fp64): x = -5.97530922712779; diff = 2.22044604925031e-16; -951/1000
Check failed for (fp64): x = -5.96902604182061; diff = 2.22044604925031e-16; -950/1000
Check failed for (fp64): x = -5.96274285651343; diff = 2.22044604925031e-16; -949/1000
Check failed for (fp64): x = -5.95017648589907; diff = 2.22044604925031e-16; -947/1000
Check failed for (fp64): x = -5.91876055936317; diff = 2.22044604925031e-16; -942/1000
Check failed for (fp64): x = -5.91247737405599; diff = 2.22044604925031e-16; -941/1000
Check failed for (fp64): x = -5.90619418874881; diff = 2.22044604925031e-16; -940/1000
Check failed for (fp64): x = -5.88734463282727; diff = 1.11022302462516e-16; -937/1000
Check failed for (fp64): x = -5.88106144752009; diff = 1.11022302462516e-16; -936/1000
Check failed for (fp64): x = -5.87477826221291; diff = 1.11022302462516e-16; -935/1000
Check failed for (fp64): x = -5.8496455209842; diff = 2.22044604925031e-16; -931/1000
Check failed for (fp64): x = -5.84336233567702; diff = 1.11022302462516e-16; -930/1000
Check failed for (fp64): x = -5.83707915036984; diff = 1.11022302462516e-16; -929/1000
Check failed for (fp64): x = -5.83079596506266; diff = 1.11022302462516e-16; -928/1000
Check failed for (fp64): x = -5.8182295944483; diff = 1.11022302462516e-16; -926/1000
Check failed for (fp64): x = -5.80566322383394; diff = 1.11022302462516e-16; -924/1000
Check failed for (fp64): x = -5.79309685321958; diff = 1.11022302462516e-16; -922/1000
Check failed for (fp64): x = -5.7868136679124; diff = 1.11022302462516e-16; -921/1000
Check failed for (fp64): x = -5.78053048260522; diff = 1.11022302462516e-16; -920/1000
Check failed for (fp64): x = -5.77424729729804; diff = 1.11022302462516e-16; -919/1000
Check failed for (fp64): x = -5.76796411199086; diff = 1.11022302462516e-16; -918/1000
Check failed for (fp64): x = -5.76168092668368; diff = 1.11022302462516e-16; -917/1000
Check failed for (fp64): x = -5.7553977413765; diff = 1.11022302462516e-16; -916/1000
Check failed for (fp64): x = -5.74283137076214; diff = 1.11022302462516e-16; -914/1000
Check failed for (fp64): x = -5.7239818148406; diff = 1.11022302462516e-16; -911/1000
Check failed for (fp64): x = -5.71141544422624; diff = 1.66533453693773e-16; -909/1000
Check failed for (fp64): x = -5.70513225891906; diff = 1.11022302462516e-16; -908/1000
Check failed for (fp64): x = -5.67999951769035; diff = 1.11022302462516e-16; -904/1000
Check failed for (fp64): x = -5.59831810869701; diff = 1.11022302462516e-16; -891/1000
Check failed for (fp64): x = -5.59203492338983; diff = 1.11022302462516e-16; -890/1000
Check failed for (fp64): x = -5.43495529071034; diff = 1.38777878078145e-16; -865/1000
Check failed for (fp64): x = -5.39097299356008; diff = 1.11022302462516e-16; -858/1000
Check failed for (fp64): x = -5.36584025233137; diff = 1.11022302462516e-16; -854/1000
Check failed for (fp64): x = -5.27159247272367; diff = 1.11022302462516e-16; -839/1000
Check failed for (fp64): x = -5.25902610210931; diff = 1.11022302462516e-16; -837/1000
Check failed for (fp64): x = -5.25274291680213; diff = 1.11022302462516e-16; -836/1000
Check failed for (fp64): x = -5.24645973149495; diff = 1.11022302462516e-16; -835/1000
Check failed for (fp64): x = -5.23389336088059; diff = 1.11022302462516e-16; -833/1000
Check failed for (fp64): x = -5.18991106373034; diff = 1.11022302462516e-16; -826/1000
