Check failed for (fp32): alpha = -6.270619; beta = -1.567655; diff = 5.960464e-08; -998/1000
Check failed for (fp32): alpha = -6.264336; beta = -1.566084; diff = 5.960464e-08; -997/1000
Check failed for (fp32): alpha = -6.25177; beta = -1.562942; diff = 5.960464e-08; -995/1000
Check failed for (fp32): alpha = -6.245486; beta = -1.561372; diff = 5.960464e-08; -994/1000
Check failed for (fp32): alpha = -6.23292; beta = -1.55823; diff = 5.960464e-08; -992/1000
Check failed for (fp32): alpha = -6.207787; beta = -1.551947; diff = 5.960464e-08; -988/1000
Check failed for (fp32): alpha = -6.201504; beta = -1.550376; diff = 5.960464e-08; -987/1000
Check failed for (fp32): alpha = -6.151238; beta = -1.53781; diff = 5.960464e-08; -979/1000
Check failed for (fp32): alpha = -6.138672; beta = -1.534668; diff = 5.960464e-08; -977/1000
Check failed for (fp32): alpha = -6.132389; beta = -1.533097; diff = 5.960464e-08; -976/1000
Check failed for (fp32): alpha = -6.107256; beta = -1.526814; diff = 5.960464e-08; -972/1000
Check failed for (fp32): alpha = -6.09469; beta = -1.523673; diff = 5.960464e-08; -970/1000
Check failed for (fp32): alpha = -6.082123; beta = -1.520531; diff = 5.960464e-08; -968/1000
Check failed for (fp32): alpha = -6.044425; beta = -1.511106; diff = 5.960464e-08; -962/1000
Check failed for (fp32): alpha = -6.019292; beta = -1.504823; diff = 1.192093e-07; -958/1000
Check failed for (fp32): alpha = -6.013009; beta = -1.503252; diff = 5.960464e-08; -957/1000
Check failed for (fp32): alpha = -6.000442; beta = -1.500111; diff = 5.960464e-08; -955/1000
Check failed for (fp32): alpha = -5.994159; beta = -1.49854; diff = 5.960464e-08; -954/1000
Check failed for (fp32): alpha = -5.987876; beta = -1.496969; diff = 5.960464e-08; -953/1000
Check failed for (fp32): alpha = -5.981593; beta = -1.495398; diff = 5.960464e-08; -952/1000
Check failed for (fp32): alpha = -5.975309; beta = -1.493827; diff = 5.960464e-08; -951/1000
Check failed for (fp32): alpha = -5.962743; beta = -1.490686; diff = 5.960464e-08; -949/1000
Check failed for (fp32): alpha = -5.943893; beta = -1.485973; diff = 5.960464e-08; -946/1000
Check failed for (fp32): alpha = -5.931327; beta = -1.482832; diff = 5.960464e-08; -944/1000
Check failed for (fp32): alpha = -5.925044; beta = -1.481261; diff = 1.192093e-07; -943/1000
Check failed for (fp32): alpha = -5.912477; beta = -1.478119; diff = 5.960464e-08; -941/1000
Check failed for (fp32): alpha = -5.906194; beta = -1.476549; diff = 5.960464e-08; -940/1000
Check failed for (fp32): alpha = -5.899911; beta = -1.474978; diff = 5.960464e-08; -939/1000
Check failed for (fp32): alpha = -5.893628; beta = -1.473407; diff = 5.960464e-08; -938/1000
Check failed for (fp32): alpha = -5.874778; beta = -1.468695; diff = 5.960464e-08; -935/1000
Check failed for (fp32): alpha = -5.862212; beta = -1.465553; diff = 1.192093e-07; -933/1000
Check failed for (fp32): alpha = -5.855929; beta = -1.463982; diff = 5.960464e-08; -932/1000
Check failed for (fp32): alpha = -5.843362; beta = -1.460841; diff = 5.960464e-08; -930/1000
Check failed for (fp32): alpha = -5.83708; beta = -1.45927; diff = 5.960464e-08; -929/1000
Check failed for (fp32): alpha = -5.830796; beta = -1.457699; diff = 5.960464e-08; -928/1000
Check failed for (fp32): alpha = -5.811947; beta = -1.452987; diff = 5.960464e-08; -925/1000
Check failed for (fp32): alpha = -5.805664; beta = -1.451416; diff = 5.960464e-08; -924/1000
Check failed for (fp32): alpha = -5.79938; beta = -1.449845; diff = 5.960464e-08; -923/1000
Check failed for (fp32): alpha = -5.774248; beta = -1.443562; diff = 5.960464e-08; -919/1000
Check failed for (fp32): alpha = -5.767964; beta = -1.441991; diff = 5.960464e-08; -918/1000
Check failed for (fp32): alpha = -5.761681; beta = -1.44042; diff = 5.960464e-08; -917/1000
Check failed for (fp32): alpha = -5.742831; beta = -1.435708; diff = 1.192093e-07; -914/1000
Check failed for (fp32): alpha = -5.736548; beta = -1.434137; diff = 5.960464e-08; -913/1000
Check failed for (fp32): alpha = -5.730265; beta = -1.432566; diff = 1.192093e-07; -912/1000
Check failed for (fp32): alpha = -5.723982; beta = -1.430995; diff = 5.960464e-08; -911/1000
Check failed for (fp32): alpha = -5.711415; beta = -1.427854; diff = 5.960464e-08; -909/1000
Check failed for (fp32): alpha = -5.705132; beta = -1.426283; diff = 1.192093e-07; -908/1000
Check failed for (fp32): alpha = -5.698849; beta = -1.424712; diff = 5.960464e-08; -907/1000
Check failed for (fp32): alpha = -5.686283; beta = -1.421571; diff = 5.960464e-08; -905/1000
Check failed for (fp32): alpha = -5.679999; beta = -1.42; diff = 1.192093e-07; -904/1000
Check failed for (fp32): alpha = -5.673717; beta = -1.418429; diff = 1.788139e-07; -903/1000
Check failed for (fp32): alpha = -5.667433; beta = -1.416858; diff = 5.960464e-08; -902/1000
Check failed for (fp32): alpha = -5.66115; beta = -1.415288; diff = 5.960464e-08; -901/1000
Check failed for (fp32): alpha = -5.654867; beta = -1.413717; diff = 5.960464e-08; -900/1000
Check failed for (fp32): alpha = -5.648584; beta = -1.412146; diff = 5.960464e-08; -899/1000
Check failed for (fp32): alpha = -5.642301; beta = -1.410575; diff = 5.960464e-08; -898/1000
Check failed for (fp32): alpha = -5.617168; beta = -1.404292; diff = 1.192093e-07; -894/1000
Check failed for (fp32): alpha = -5.610885; beta = -1.402721; diff = 1.192093e-07; -893/1000
Check failed for (fp32): alpha = -5.604601; beta = -1.40115; diff = 5.960464e-08; -892/1000
Check failed for (fp32): alpha = -5.592035; beta = -1.398009; diff = 5.960464e-08; -890/1000
Check failed for (fp32): alpha = -5.585752; beta = -1.396438; diff = 5.960464e-08; -889/1000
Check failed for (fp32): alpha = -5.579469; beta = -1.394867; diff = 5.960464e-08; -888/1000
Check failed for (fp32): alpha = -5.573185; beta = -1.393296; diff = 1.192093e-07; -887/1000
Check failed for (fp32): alpha = -5.560619; beta = -1.390155; diff = 1.192093e-07; -885/1000
Check failed for (fp32): alpha = -5.554336; beta = -1.388584; diff = 5.960464e-08; -884/1000
Check failed for (fp32): alpha = -5.548053; beta = -1.387013; diff = 1.192093e-07; -883/1000
Check failed for (fp32): alpha = -5.54177; beta = -1.385442; diff = 1.192093e-07; -882/1000
Check failed for (fp32): alpha = -5.52292; beta = -1.38073; diff = 5.960464e-08; -879/1000
